"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","Female","50","50","24500","24440"
"In post","2021","Commercial","London","AA/AO","Male","45","45","23790","23870"
"In post","2021","Commercial","London","EO","Female","95","90","28840","29000"
"In post","2021","Commercial","London","EO","Male","70","65","29270","29220"
"In post","2021","Commercial","London","G6/G7","Female","300","295","64250","60640"
"In post","2021","Commercial","London","G6/G7","Male","355","355","66570","63120"
"In post","2021","Commercial","London","SCS level","Female","135","130","91240","74000"
"In post","2021","Commercial","London","SCS level","Male","225","220","103510","94050"
"In post","2021","Commercial","London","SEO/HEO","Female","295","290","40500","40600"
"In post","2021","Commercial","London","SEO/HEO","Male","295","290","42150","40950"
"In post","2021","Commercial","London","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Commercial","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","AA/AO","Female","250","230","21590","21130"
"In post","2021","Commercial","Outside London","AA/AO","Male","170","165","21710","20920"
"In post","2021","Commercial","Outside London","EO","Female","410","380","26210","26670"
"In post","2021","Commercial","Outside London","EO","Male","280","275","26370","26670"
"In post","2021","Commercial","Outside London","G6/G7","Female","495","480","58200","54540"
"In post","2021","Commercial","Outside London","G6/G7","Male","570","565","59450","55290"
"In post","2021","Commercial","Outside London","SCS level","Female","90","90","84320","72000"
"In post","2021","Commercial","Outside London","SCS level","Male","130","130","82910","72910"
"In post","2021","Commercial","Outside London","SEO/HEO","Female","1265","1205","36630","36260"
"In post","2021","Commercial","Outside London","SEO/HEO","Male","1145","1130","38290","38000"
"In post","2021","Commercial","Outside London","Unknown","Female","105","100","37620","33680"
"In post","2021","Commercial","Outside London","Unknown","Male","120","120","43070","39860"
"In post","2021","Commercial","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","Female","45","45","24160","24270"
"In post","2021","Communications","London","AA/AO","Male","30","30","24560","24490"
"In post","2021","Communications","London","EO","Female","205","200","27990","27920"
"In post","2021","Communications","London","EO","Male","190","185","24440","23650"
"In post","2021","Communications","London","G6/G7","Female","420","395","59420","58430"
"In post","2021","Communications","London","G6/G7","Male","285","285","59860","57760"
"In post","2021","Communications","London","SCS level","Female","60","60","86570","82020"
"In post","2021","Communications","London","SCS level","Male","55","55","94360","85000"
"In post","2021","Communications","London","SEO/HEO","Female","655","640","38970","38750"
"In post","2021","Communications","London","SEO/HEO","Male","500","500","38640","38630"
"In post","2021","Communications","Outside London","AA/AO","Female","260","210","20940","21050"
"In post","2021","Communications","Outside London","AA/AO","Male","170","160","20920","21000"
"In post","2021","Communications","Outside London","EO","Female","1295","1215","25720","25560"
"In post","2021","Communications","Outside London","EO","Male","1510","1485","25700","25560"
"In post","2021","Communications","Outside London","G6/G7","Female","215","205","54740","52580"
"In post","2021","Communications","Outside London","G6/G7","Male","145","145","55290","52580"
"In post","2021","Communications","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Communications","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Communications","Outside London","SEO/HEO","Female","1125","1070","34280","31810"
"In post","2021","Communications","Outside London","SEO/HEO","Male","1015","1005","33900","31810"
"In post","2021","Communications","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","Female","85","75","24940","25630"
"In post","2021","Counter Fraud","London","AA/AO","Male","50","50","25110","25630"
"In post","2021","Counter Fraud","London","EO","Female","350","330","30060","29570"
"In post","2021","Counter Fraud","London","EO","Male","385","375","30180","29570"
"In post","2021","Counter Fraud","London","G6/G7","Female","120","115","61080","59160"
"In post","2021","Counter Fraud","London","G6/G7","Male","245","240","62100","59160"
"In post","2021","Counter Fraud","London","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Counter Fraud","London","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","Female","430","410","37830","36160"
"In post","2021","Counter Fraud","London","SEO/HEO","Male","625","615","38770","37970"
"In post","2021","Counter Fraud","Outside London","AA/AO","Female","435","350","20870","21440"
"In post","2021","Counter Fraud","Outside London","AA/AO","Male","280","265","20710","20140"
"In post","2021","Counter Fraud","Outside London","EO","Female","1365","1230","26200","25560"
"In post","2021","Counter Fraud","Outside London","EO","Male","1310","1270","26050","25560"
"In post","2021","Counter Fraud","Outside London","G6/G7","Female","270","260","54060","52580"
"In post","2021","Counter Fraud","Outside London","G6/G7","Male","460","445","55990","52580"
"In post","2021","Counter Fraud","Outside London","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","Female","1440","1330","33870","31810"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","Male","1715","1655","34370","31870"
"In post","2021","Counter Fraud","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","AA/AO","Female","260","220","24900","24670"
"In post","2021","Debt","London","AA/AO","Male","125","120","24820","24630"
"In post","2021","Debt","London","EO","Female","75","65","31270","32520"
"In post","2021","Debt","London","EO","Male","50","50","30460","31080"
"In post","2021","Debt","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Debt","London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Debt","London","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Debt","Outside London","AA/AO","Female","1685","1440","20530","20140"
"In post","2021","Debt","Outside London","AA/AO","Male","1345","1290","20350","20140"
"In post","2021","Debt","Outside London","EO","Female","455","400","26220","25560"
"In post","2021","Debt","Outside London","EO","Male","370","355","26200","25560"
"In post","2021","Debt","Outside London","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Debt","Outside London","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Debt","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Outside London","SEO/HEO","Female","125","115","33320","31810"
"In post","2021","Debt","Outside London","SEO/HEO","Male","85","80","34080","31810"
"In post","2021","Digital, Data & Technology","London","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Digital, Data & Technology","London","AA/AO","Male","35","35","24910","24310"
"In post","2021","Digital, Data & Technology","London","EO","Female","155","150","28900","28630"
"In post","2021","Digital, Data & Technology","London","EO","Male","180","175","29440","29500"
"In post","2021","Digital, Data & Technology","London","G6/G7","Female","585","565","58830","56580"
"In post","2021","Digital, Data & Technology","London","G6/G7","Male","900","890","61130","59240"
"In post","2021","Digital, Data & Technology","London","SCS level","Female","45","45","88160","80670"
"In post","2021","Digital, Data & Technology","London","SCS level","Male","85","85","95590","90710"
"In post","2021","Digital, Data & Technology","London","SEO/HEO","Female","580","560","38520","38600"
"In post","2021","Digital, Data & Technology","London","SEO/HEO","Male","795","790","39630","39520"
"In post","2021","Digital, Data & Technology","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","London","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Outside London","AA/AO","Female","185","170","21390","21130"
"In post","2021","Digital, Data & Technology","Outside London","AA/AO","Male","205","205","21520","21130"
"In post","2021","Digital, Data & Technology","Outside London","EO","Female","720","670","26810","26470"
"In post","2021","Digital, Data & Technology","Outside London","EO","Male","1215","1190","27340","26670"
"In post","2021","Digital, Data & Technology","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Outside London","G6/G7","Female","715","690","54550","52580"
"In post","2021","Digital, Data & Technology","Outside London","G6/G7","Male","1460","1435","55870","52580"
"In post","2021","Digital, Data & Technology","Outside London","SCS level","Female","45","40","87560","76800"
"In post","2021","Digital, Data & Technology","Outside London","SCS level","Male","80","80","88990","87550"
"In post","2021","Digital, Data & Technology","Outside London","SEO/HEO","Female","1900","1795","35750","35640"
"In post","2021","Digital, Data & Technology","Outside London","SEO/HEO","Male","3535","3465","37290","37410"
"In post","2021","Digital, Data & Technology","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Outside London","Unknown","Female","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Outside London","Unknown","Male","65","65","37220","36830"
"In post","2021","Digital, Data & Technology","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","AA/AO","Female","50","45","24200","24200"
"In post","2021","Finance","London","AA/AO","Male","30","30","23850","23710"
"In post","2021","Finance","London","EO","Female","200","190","28610","28830"
"In post","2021","Finance","London","EO","Male","125","125","28620","28920"
"In post","2021","Finance","London","G6/G7","Female","405","385","60770","59160"
"In post","2021","Finance","London","G6/G7","Male","485","485","62320","61090"
"In post","2021","Finance","London","SCS level","Female","65","65","87810","82720"
"In post","2021","Finance","London","SCS level","Male","105","100","94340","87110"
"In post","2021","Finance","London","SEO/HEO","Female","535","520","38800","38060"
"In post","2021","Finance","London","SEO/HEO","Male","540","535","39810","40230"
"In post","2021","Finance","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","AA/AO","Female","940","750","21010","21050"
"In post","2021","Finance","Outside London","AA/AO","Male","465","430","20780","20140"
"In post","2021","Finance","Outside London","EO","Female","870","800","26080","26350"
"In post","2021","Finance","Outside London","EO","Male","480","470","25580","25560"
"In post","2021","Finance","Outside London","G6/G7","Female","590","565","55840","54240"
"In post","2021","Finance","Outside London","G6/G7","Male","585","580","56880","54940"
"In post","2021","Finance","Outside London","SCS level","Female","35","35","88830","83440"
"In post","2021","Finance","Outside London","SCS level","Male","75","75","90860","82450"
"In post","2021","Finance","Outside London","SEO/HEO","Female","1545","1460","36320","35780"
"In post","2021","Finance","Outside London","SEO/HEO","Male","1185","1160","36860","36820"
"In post","2021","Finance","Outside London","Unknown","Female","25","25","[c]","[c]"
"In post","2021","Finance","Outside London","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Finance","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","EO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Overseas","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Grants Management","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Outside London","AA/AO","Female","565","480","21000","21050"
"In post","2021","Grants Management","Outside London","AA/AO","Male","390","380","21020","21050"
"In post","2021","Grants Management","Outside London","EO","Female","315","280","25510","25190"
"In post","2021","Grants Management","Outside London","EO","Male","225","220","25530","25190"
"In post","2021","Grants Management","Outside London","G6/G7","Female","30","25","[c]","[c]"
"In post","2021","Grants Management","Outside London","G6/G7","Male","30","30","[c]","[c]"
"In post","2021","Grants Management","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Grants Management","Outside London","SEO/HEO","Female","180","165","32440","30780"
"In post","2021","Grants Management","Outside London","SEO/HEO","Male","150","145","33080","31640"
"In post","2021","Human Resources","London","AA/AO","Female","70","65","24360","24300"
"In post","2021","Human Resources","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Human Resources","London","EO","Female","270","260","28490","27810"
"In post","2021","Human Resources","London","EO","Male","135","130","28640","27960"
"In post","2021","Human Resources","London","G6/G7","Female","590","570","60250","59160"
"In post","2021","Human Resources","London","G6/G7","Male","275","265","60880","59160"
"In post","2021","Human Resources","London","SCS level","Female","105","105","89110","81340"
"In post","2021","Human Resources","London","SCS level","Male","50","50","89790","82680"
"In post","2021","Human Resources","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","SEO/HEO","Female","780","760","38150","37330"
"In post","2021","Human Resources","London","SEO/HEO","Male","360","355","39010","37930"
"In post","2021","Human Resources","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Outside London","AA/AO","Female","1075","940","21230","21050"
"In post","2021","Human Resources","Outside London","AA/AO","Male","440","430","21060","20920"
"In post","2021","Human Resources","Outside London","EO","Female","960","880","25980","26130"
"In post","2021","Human Resources","Outside London","EO","Male","390","380","26470","25920"
"In post","2021","Human Resources","Outside London","G6/G7","Female","720","690","55220","52930"
"In post","2021","Human Resources","Outside London","G6/G7","Male","295","295","56290","53500"
"In post","2021","Human Resources","Outside London","SCS level","Female","45","45","87990","81990"
"In post","2021","Human Resources","Outside London","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Human Resources","Outside London","SEO/HEO","Female","1860","1740","35320","33350"
"In post","2021","Human Resources","Outside London","SEO/HEO","Male","830","810","35970","35000"
"In post","2021","Human Resources","Outside London","Unknown","Female","165","150","35070","32580"
"In post","2021","Human Resources","Outside London","Unknown","Male","65","65","44460","36900"
"In post","2021","Human Resources","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","EO","Female","5","5","[c]","[c]"
"In post","2021","Human Resources","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","Female","10","5","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Internal Audit","London","EO","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Internal Audit","London","G6/G7","Male","50","50","62810","60590"
"In post","2021","Internal Audit","London","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Internal Audit","London","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Internal Audit","London","SEO/HEO","Female","50","45","43990","43450"
"In post","2021","Internal Audit","London","SEO/HEO","Male","50","45","45500","46350"
"In post","2021","Internal Audit","Outside London","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Outside London","EO","Female","25","25","[c]","[c]"
"In post","2021","Internal Audit","Outside London","EO","Male","15","10","[c]","[c]"
"In post","2021","Internal Audit","Outside London","G6/G7","Female","60","55","57840","54540"
"In post","2021","Internal Audit","Outside London","G6/G7","Male","65","65","55670","54340"
"In post","2021","Internal Audit","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Outside London","SEO/HEO","Female","200","185","38990","39690"
"In post","2021","Internal Audit","Outside London","SEO/HEO","Male","160","155","40160","40480"
"In post","2021","Internal Audit","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Outside London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AA/AO","Female","295","265","23410","23520"
"In post","2021","Legal","London","AA/AO","Male","160","160","23540","23520"
"In post","2021","Legal","London","EO","Female","510","480","28860","29280"
"In post","2021","Legal","London","EO","Male","260","255","29030","29280"
"In post","2021","Legal","London","G6/G7","Female","1945","1760","60660","60710"
"In post","2021","Legal","London","G6/G7","Male","1115","1080","62530","62590"
"In post","2021","Legal","London","SCS level","Female","195","180","88110","81390"
"In post","2021","Legal","London","SCS level","Male","170","165","90370","83820"
"In post","2021","Legal","London","SEO/HEO","Female","475","445","38920","38640"
"In post","2021","Legal","London","SEO/HEO","Male","275","270","38770","37730"
"In post","2021","Legal","London","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Legal","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outside London","AA/AO","Female","1525","1335","21900","21950"
"In post","2021","Legal","Outside London","AA/AO","Male","605","570","21520","21950"
"In post","2021","Legal","Outside London","EO","Female","1210","1080","27750","28430"
"In post","2021","Legal","Outside London","EO","Male","470","460","27420","28060"
"In post","2021","Legal","Outside London","G6/G7","Female","1765","1575","57000","55610"
"In post","2021","Legal","Outside London","G6/G7","Male","1190","1140","58260","55610"
"In post","2021","Legal","Outside London","SCS level","Female","50","50","85720","83230"
"In post","2021","Legal","Outside London","SCS level","Male","45","45","90110","83900"
"In post","2021","Legal","Outside London","SEO/HEO","Female","1725","1575","38470","38000"
"In post","2021","Legal","Outside London","SEO/HEO","Male","845","815","38330","37940"
"In post","2021","Legal","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outside London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Legal","Overseas","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Legal","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","London","AA/AO","Female","3620","3330","25060","23530"
"In post","2021","No function","London","AA/AO","Male","3160","3065","27700","25760"
"In post","2021","No function","London","EO","Female","3465","3305","29380","28520"
"In post","2021","No function","London","EO","Male","2525","2475","30580","29570"
"In post","2021","No function","London","G6/G7","Female","5580","5340","58760","55850"
"In post","2021","No function","London","G6/G7","Male","5505","5440","59540","57620"
"In post","2021","No function","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","London","SCS level","Female","1010","935","87410","78000"
"In post","2021","No function","London","SCS level","Male","1020","995","91090","81370"
"In post","2021","No function","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","London","SEO/HEO","Female","8280","8030","36950","36160"
"In post","2021","No function","London","SEO/HEO","Male","6855","6775","37770","36800"
"In post","2021","No function","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","London","Unknown","Female","1155","1110","33280","32090"
"In post","2021","No function","London","Unknown","Male","390","385","34130","34100"
"In post","2021","No function","Outside London","AA/AO","Female","34330","29480","21720","21050"
