"Status","Year","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Overseas","SEO","Female","130","130","44380","41500"
"In post","2021","Overseas","SEO","Male","340","340","48650","43140"
"In post","2021","Overseas","Unknown","Female","100","100","[c]","[c]"
"In post","2021","Overseas","Unknown","Male","155","155","[c]","[c]"
"In post","2021","Unknown","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Male","10","10","[c]","[c]"
"In post","2021","Unknown","AO","Female","155","135","22490","21010"
"In post","2021","Unknown","AO","Male","75","70","22120","21010"
"In post","2021","Unknown","EO","Female","355","330","28060","27570"
"In post","2021","Unknown","EO","Male","230","225","28000","27570"
"In post","2021","Unknown","G6","Female","35","30","66100","64500"
"In post","2021","Unknown","G6","Male","25","25","[c]","[c]"
"In post","2021","Unknown","G7","Female","75","70","52500","51580"
"In post","2021","Unknown","G7","Male","65","65","54700","54700"
"In post","2021","Unknown","HEO","Female","325","315","32120","32000"
"In post","2021","Unknown","HEO","Male","295","295","33130","32000"
"In post","2021","Unknown","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Unknown","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Unknown","SEO","Female","75","75","39650","38230"
"In post","2021","Unknown","SEO","Male","65","65","42630","41950"
"In post","2021","Unknown","Unknown","Female","165","165","33050","32700"
"In post","2021","Unknown","Unknown","Male","1745","1745","37670","34160"
"Leaver CS","2021","London","AA","Female","100","[c]","20190","20280"
"Leaver CS","2021","London","AA","Male","140","[c]","20760","21530"
"Leaver CS","2021","London","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","AO","Female","600","[c]","23190","23500"
"Leaver CS","2021","London","AO","Male","430","[c]","23900","24100"
"Leaver CS","2021","London","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","EO","Female","640","[c]","28490","28860"
"Leaver CS","2021","London","EO","Male","500","[c]","28980","29390"
"Leaver CS","2021","London","EO","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","London","G6","Female","140","[c]","71370","70160"
"Leaver CS","2021","London","G6","Male","155","[c]","70710","70880"
"Leaver CS","2021","London","G6","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","London","G7","Female","360","[c]","56710","54940"
"Leaver CS","2021","London","G7","Male","405","[c]","57210","56320"
"Leaver CS","2021","London","G7","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","London","HEO","Female","420","[c]","33720","33360"
"Leaver CS","2021","London","HEO","Male","425","[c]","34330","34000"
"Leaver CS","2021","London","HEO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","London","SCS level","Female","110","[c]","93400","86540"
"Leaver CS","2021","London","SCS level","Male","140","[c]","104620","96490"
"Leaver CS","2021","London","SCS level","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","London","SEO","Female","260","[c]","42270","40960"
"Leaver CS","2021","London","SEO","Male","290","[c]","42230","41960"
"Leaver CS","2021","London","SEO","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Female","90","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Male","40","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","AA","Female","825","[c]","18620","18060"
"Leaver CS","2021","Outside London","AA","Male","900","[c]","18770","18800"
"Leaver CS","2021","Outside London","AO","Female","5075","[c]","21030","21010"
"Leaver CS","2021","Outside London","AO","Male","3780","[c]","22230","21010"
"Leaver CS","2021","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","EO","Female","2680","[c]","26740","27570"
"Leaver CS","2021","Outside London","EO","Male","2295","[c]","27410","27570"
"Leaver CS","2021","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","G6","Female","165","[c]","71130","70280"
"Leaver CS","2021","Outside London","G6","Male","225","[c]","72360","70540"
"Leaver CS","2021","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","G7","Female","400","[c]","54830","54540"
"Leaver CS","2021","Outside London","G7","Male","545","[c]","55900","55610"
"Leaver CS","2021","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","HEO","Female","1115","[c]","32640","33000"
"Leaver CS","2021","Outside London","HEO","Male","1225","[c]","33710","33300"
"Leaver CS","2021","Outside London","HEO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","SCS level","Female","65","[c]","94060","86390"
"Leaver CS","2021","Outside London","SCS level","Male","95","[c]","97180","95000"
"Leaver CS","2021","Outside London","SEO","Female","730","[c]","41100","40580"
"Leaver CS","2021","Outside London","SEO","Male","880","[c]","42400","41060"
"Leaver CS","2021","Outside London","SEO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","Unknown","Female","440","[c]","32470","33080"
"Leaver CS","2021","Outside London","Unknown","Male","210","[c]","38580","35660"
"Leaver CS","2021","Overseas","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","EO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G7","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G7","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","HEO","Female","55","[c]","35900","36960"
"Leaver CS","2021","Overseas","HEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AO","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G7","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","225","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","255","[c]","35470","32400"
"Leaver Dept.","2021","London","AA","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","London","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","AO","Female","135","[c]","23680","23520"
"Leaver Dept.","2021","London","AO","Male","85","[c]","24280","23740"
"Leaver Dept.","2021","London","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","EO","Female","470","[c]","28500","28000"
"Leaver Dept.","2021","London","EO","Male","335","[c]","28480","28000"
"Leaver Dept.","2021","London","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","G6","Female","210","[c]","66650","65830"
"Leaver Dept.","2021","London","G6","Male","180","[c]","66410","65620"
"Leaver Dept.","2021","London","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","G7","Female","655","[c]","54990","54400"
"Leaver Dept.","2021","London","G7","Male","575","[c]","55120","54160"
"Leaver Dept.","2021","London","G7","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","London","HEO","Female","800","[c]","33880","33640"
"Leaver Dept.","2021","London","HEO","Male","710","[c]","33980","33640"
"Leaver Dept.","2021","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","SCS level","Female","170","[c]","86720","77970"
"Leaver Dept.","2021","London","SCS level","Male","105","[c]","91430","84830"
"Leaver Dept.","2021","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","SEO","Female","435","[c]","41390","40780"
"Leaver Dept.","2021","London","SEO","Male","355","[c]","41490","40640"
"Leaver Dept.","2021","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Unknown","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Unknown","Male","45","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","AA","Female","40","[c]","17890","17410"
"Leaver Dept.","2021","Outside London","AA","Male","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","AO","Female","1040","[c]","20770","21010"
"Leaver Dept.","2021","Outside London","AO","Male","785","[c]","20900","21010"
"Leaver Dept.","2021","Outside London","EO","Female","900","[c]","25990","26890"
"Leaver Dept.","2021","Outside London","EO","Male","665","[c]","25880","26670"
"Leaver Dept.","2021","Outside London","G6","Female","55","[c]","65590","63680"
"Leaver Dept.","2021","Outside London","G6","Male","80","[c]","65300","65030"
"Leaver Dept.","2021","Outside London","G7","Female","220","[c]","52560","52340"
"Leaver Dept.","2021","Outside London","G7","Male","200","[c]","52180","51950"
"Leaver Dept.","2021","Outside London","HEO","Female","560","[c]","31050","31590"
"Leaver Dept.","2021","Outside London","HEO","Male","455","[c]","31100","31500"
"Leaver Dept.","2021","Outside London","SCS level","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","SCS level","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","SEO","Female","330","[c]","38910","37770"
"Leaver Dept.","2021","Outside London","SEO","Male","290","[c]","39210","38280"
"Leaver Dept.","2021","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","Unknown","Female","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","Unknown","Male","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","G6","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","G6","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","G7","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","G7","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","HEO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","HEO","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","SCS level","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","SEO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","SEO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G7","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G7","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","HEO","Female","305","[c]","31570","32000"
"Leaver Dept.","2021","Unknown","HEO","Male","245","[c]","31510","32000"
"Leaver Dept.","2021","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","London","AA","Female","170","[c]","21640","22210"
"New entrant CS","2021","London","AA","Male","140","[c]","21310","21150"
"New entrant CS","2021","London","AA","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","AO","Female","1245","[c]","24200","24180"
"New entrant CS","2021","London","AO","Male","945","[c]","25120","25110"
"New entrant CS","2021","London","AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","EO","Female","3110","[c]","29540","31060"
"New entrant CS","2021","London","EO","Male","1850","[c]","29510","31060"
"New entrant CS","2021","London","EO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","London","G6","Female","180","[c]","69190","66800"
"New entrant CS","2021","London","G6","Male","200","[c]","70770","67700"
"New entrant CS","2021","London","G6","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","G7","Female","730","[c]","55140","53680"
"New entrant CS","2021","London","G7","Male","730","[c]","56360","54700"
"New entrant CS","2021","London","G7","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","London","HEO","Female","2060","[c]","33100","32790"
"New entrant CS","2021","London","HEO","Male","1665","[c]","33440","33400"
"New entrant CS","2021","London","HEO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","London","SCS level","Female","145","[c]","88390","80000"
"New entrant CS","2021","London","SCS level","Male","185","[c]","93380","84830"
"New entrant CS","2021","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","SEO","Female","845","[c]","40910","40470"
"New entrant CS","2021","London","SEO","Male","615","[c]","41540","40650"
"New entrant CS","2021","London","SEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","London","Unknown","Female","200","[c]","26310","26810"
"New entrant CS","2021","London","Unknown","Male","65","[c]","26770","26810"
"New entrant CS","2021","Outside London","AA","Female","1375","[c]","19490","20060"
"New entrant CS","2021","Outside London","AA","Male","1160","[c]","19640","20060"
"New entrant CS","2021","Outside London","AO","Female","8175","[c]","21130","21010"
"New entrant CS","2021","Outside London","AO","Male","7250","[c]","21810","21010"
"New entrant CS","2021","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","EO","Female","7680","[c]","26970","27570"
"New entrant CS","2021","Outside London","EO","Male","5800","[c]","26840","27570"
"New entrant CS","2021","Outside London","EO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","G6","Female","150","[c]","67930","64670"
"New entrant CS","2021","Outside London","G6","Male","190","[c]","69960","68270"
"New entrant CS","2021","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","G7","Female","715","[c]","53280","50520"
"New entrant CS","2021","Outside London","G7","Male","805","[c]","53920","52580"
"New entrant CS","2021","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","HEO","Female","2085","[c]","31070","30650"
"New entrant CS","2021","Outside London","HEO","Male","1795","[c]","31500","31410"
"New entrant CS","2021","Outside London","HEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","SCS level","Female","65","[c]","90930","85000"
"New entrant CS","2021","Outside London","SCS level","Male","105","[c]","94260","90000"
"New entrant CS","2021","Outside London","SEO","Female","1190","[c]","38820","38540"
"New entrant CS","2021","Outside London","SEO","Male","1150","[c]","39670","38630"
"New entrant CS","2021","Outside London","SEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","Unknown","Female","1010","[c]","23070","22920"
"New entrant CS","2021","Outside London","Unknown","Male","415","[c]","28190","22920"
"New entrant CS","2021","Overseas","AO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","EO","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","HEO","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","HEO","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","SEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AO","Female","60","[c]","21420","21010"
"New entrant CS","2021","Unknown","AO","Male","45","[c]","21460","21010"
"New entrant CS","2021","Unknown","EO","Female","120","[c]","27570","27570"
"New entrant CS","2021","Unknown","EO","Male","95","[c]","27430","27570"
"New entrant CS","2021","Unknown","G6","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G7","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G7","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HEO","Female","80","[c]","30010","28000"
"New entrant CS","2021","Unknown","HEO","Male","65","[c]","30900","28000"
"New entrant CS","2021","Unknown","SCS level","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS level","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Female","215","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Male","110","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
