"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","EO","Female","Heterosexual / straight","8525","7990","29870","30110"
"In post","2021","London","EO","Female","LGBO","440","425","29710","29570"
"In post","2021","London","EO","Female","Undeclared","1160","1060","29890","30170"
"In post","2021","London","EO","Female","Unknown","2545","2355","29950","30330"
"In post","2021","London","EO","Male","Heterosexual / straight","5720","5540","30140","30070"
"In post","2021","London","EO","Male","LGBO","455","445","29780","29970"
"In post","2021","London","EO","Male","Undeclared","850","815","30160","30340"
"In post","2021","London","EO","Male","Unknown","1605","1575","30250","30330"
"In post","2021","London","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","Female","Heterosexual / straight","9520","9015","59930","57990"
"In post","2021","London","G6/G7","Female","LGBO","575","560","58930","57460"
"In post","2021","London","G6/G7","Female","Undeclared","1100","1050","60800","59160"
"In post","2021","London","G6/G7","Female","Unknown","2790","2640","59880","58030"
"In post","2021","London","G6/G7","Male","Heterosexual / straight","8560","8435","61100","59160"
"In post","2021","London","G6/G7","Male","LGBO","1075","1060","59580","57620"
"In post","2021","London","G6/G7","Male","Undeclared","1330","1300","61560","59540"
"In post","2021","London","G6/G7","Male","Unknown","2680","2640","61540","59160"
"In post","2021","London","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS level","Female","Heterosexual / straight","1555","1465","87610","79930"
"In post","2021","London","SCS level","Female","LGBO","80","80","85120","76400"
"In post","2021","London","SCS level","Female","Undeclared","125","115","86350","80570"
"In post","2021","London","SCS level","Female","Unknown","500","470","92030","81930"
"In post","2021","London","SCS level","Male","Heterosexual / straight","1565","1535","93120","83940"
"In post","2021","London","SCS level","Male","LGBO","170","165","89250","80420"
"In post","2021","London","SCS level","Male","Undeclared","185","180","90300","82370"
"In post","2021","London","SCS level","Male","Unknown","515","510","96070","85900"
"In post","2021","London","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
