"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Transport","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","AA","Unknown","15","10","[c]","[c]"
"In post","2021","16-19","Department for Transport","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Transport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","EO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Department for Transport","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","AO","Heterosexual / straight","120","120","21200","21010"
"In post","2021","16-19","Department for Work and Pensions","AO","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","EO","Heterosexual / straight","30","30","28380","27570"
"In post","2021","16-19","Department for Work and Pensions","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","AO","Heterosexual / straight","70","65","20250","20140"
"In post","2021","16-19","HM Revenue and Customs","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","AO","Unknown","145","140","20250","20140"
"In post","2021","16-19","HM Revenue and Customs","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","EO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","HM Treasury","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","HM Treasury","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","AO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","16-19","Home Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","AO","Unknown","35","35","21550","21430"
"In post","2021","16-19","Home Office","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AA","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","EO","Heterosexual / straight","75","75","19400","19040"
"In post","2021","16-19","Ministry of Defence","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","EO","Unknown","40","40","17140","16780"
"In post","2021","16-19","Ministry of Defence","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","Unknown","50","50","18180","16470"
"In post","2021","16-19","Ministry of Justice","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","AA","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","AO","Heterosexual / straight","40","40","23220","22850"
"In post","2021","16-19","Ministry of Justice","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","AO","Unknown","30","30","22840","22680"
"In post","2021","16-19","Ministry of Justice","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","AA","Heterosexual / straight","40","40","20930","21150"
"In post","2021","16-19","Scottish Government","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","AA","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","Scottish Government","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government","AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AO","Heterosexual / straight","330","325","21920","21950"
"In post","2021","20-29","Attorney General's Departments","AO","LGBO","30","30","21890","21950"
"In post","2021","20-29","Attorney General's Departments","AO","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AO","Unknown","60","60","20540","20120"
"In post","2021","20-29","Attorney General's Departments","EO","Heterosexual / straight","345","340","27310","26970"
"In post","2021","20-29","Attorney General's Departments","EO","LGBO","40","35","27460","26970"
"In post","2021","20-29","Attorney General's Departments","EO","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","EO","Unknown","40","40","26620","26970"
"In post","2021","20-29","Attorney General's Departments","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","G7","Heterosexual / straight","120","120","50550","50520"
"In post","2021","20-29","Attorney General's Departments","G7","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","G7","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","G7","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","HEO","Heterosexual / straight","175","170","36900","38000"
"In post","2021","20-29","Attorney General's Departments","HEO","LGBO","25","25","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","HEO","Unknown","30","30","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","SEO","Heterosexual / straight","30","30","39260","39750"
"In post","2021","20-29","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","SEO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office","AO","Heterosexual / straight","100","95","22690","20920"
"In post","2021","20-29","Cabinet Office","AO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Cabinet Office","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","AO","Unknown","60","60","21450","20920"
"In post","2021","20-29","Cabinet Office","EO","Heterosexual / straight","270","270","27030","27500"
"In post","2021","20-29","Cabinet Office","EO","LGBO","45","45","27220","27500"
"In post","2021","20-29","Cabinet Office","EO","Undeclared","35","35","27480","27500"
"In post","2021","20-29","Cabinet Office","EO","Unknown","105","105","27170","27500"
"In post","2021","20-29","Cabinet Office","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Cabinet Office","G6","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","G6","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Cabinet Office","G7","Heterosexual / straight","200","200","55050","54700"
"In post","2021","20-29","Cabinet Office","G7","LGBO","45","45","55140","54700"
"In post","2021","20-29","Cabinet Office","G7","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Cabinet Office","G7","Unknown","120","120","54860","54700"
"In post","2021","20-29","Cabinet Office","HEO","Heterosexual / straight","380","380","34090","34550"
"In post","2021","20-29","Cabinet Office","HEO","LGBO","65","65","33900","34550"
"In post","2021","20-29","Cabinet Office","HEO","Undeclared","40","40","34570","34550"
"In post","2021","20-29","Cabinet Office","HEO","Unknown","1630","1625","30070","29250"
"In post","2021","20-29","Cabinet Office","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SEO","Heterosexual / straight","100","100","40400","40600"
"In post","2021","20-29","Cabinet Office","SEO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SEO","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SEO","Unknown","60","60","40500","40600"
"In post","2021","20-29","Chancellor's other departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","HEO","Heterosexual / straight","40","40","34170","33610"
"In post","2021","20-29","Competition and Markets Authority","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AA","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","115","115","21460","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AO","Unknown","200","200","22160","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","240","240","26890","27680"
