"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Operational Research","London","SEO/HEO","140","140","39830","38360"
"In post","2021","Analysis","Operational Research","Outside London","AA/AO","15","15","20760","21590"
"In post","2021","Analysis","Operational Research","Outside London","EO","10","10","24630","24590"
"In post","2021","Analysis","Operational Research","Outside London","G6/G7","170","160","49540","46650"
"In post","2021","Analysis","Operational Research","Outside London","SEO/HEO","190","180","34530","37320"
"In post","2021","Analysis","Operational Research","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Other","London","EO","25","25","28430","28230"
"In post","2021","Analysis","Other","London","G6/G7","115","100","84300","79460"
"In post","2021","Analysis","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","London","SEO/HEO","60","60","40700","38000"
"In post","2021","Analysis","Other","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Other","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","London","EO","10","10","30660","29500"
"In post","2021","Analysis","Policy","London","G6/G7","90","85","59300","57000"
"In post","2021","Analysis","Policy","London","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","London","SEO/HEO","105","100","41180","39870"
"In post","2021","Analysis","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","Outside London","G6/G7","40","40","53690","50630"
"In post","2021","Analysis","Policy","Outside London","SEO/HEO","80","75","38870","41990"
"In post","2021","Analysis","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","G6/G7","15","10","61250","61000"
"In post","2021","Analysis","Science and Engineering","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Outside London","AA/AO","40","40","20750","21050"
"In post","2021","Analysis","Science and Engineering","Outside London","EO","95","90","25080","24920"
"In post","2021","Analysis","Science and Engineering","Outside London","G6/G7","135","130","52160","48080"
"In post","2021","Analysis","Science and Engineering","Outside London","SEO/HEO","380","360","33080","30660"
"In post","2021","Analysis","Social Research","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","London","G6/G7","130","125","59300","59160"
"In post","2021","Analysis","Social Research","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","London","SEO/HEO","190","185","37620","36160"
"In post","2021","Analysis","Social Research","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Outside London","EO","10","10","23640","23050"
"In post","2021","Analysis","Social Research","Outside London","G6/G7","125","120","51650","49120"
"In post","2021","Analysis","Social Research","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","Outside London","SEO/HEO","395","375","33890","34460"
"In post","2021","Analysis","Statistics","London","AA/AO","10","10","24050","24510"
"In post","2021","Analysis","Statistics","London","EO","80","75","29720","29970"
"In post","2021","Analysis","Statistics","London","G6/G7","290","280","59280","59160"
"In post","2021","Analysis","Statistics","London","SCS level","25","25","87040","79590"
"In post","2021","Analysis","Statistics","London","SEO/HEO","375","365","38850","39140"
"In post","2021","Analysis","Statistics","Outside London","AA/AO","20","20","20920","21050"
"In post","2021","Analysis","Statistics","Outside London","EO","125","120","25760","25880"
"In post","2021","Analysis","Statistics","Outside London","G6/G7","280","265","54270","52580"
"In post","2021","Analysis","Statistics","Outside London","SCS level","25","20","82900","75350"
"In post","2021","Analysis","Statistics","Outside London","SEO/HEO","550","530","34950","36030"
"In post","2021","Analysis","Statistics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","London","EO","15","15","27840","27500"
"In post","2021","Analysis","Unknown","London","G6/G7","30","25","60420","59160"
"In post","2021","Analysis","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","London","SEO/HEO","30","30","38610","36370"
"In post","2021","Analysis","Unknown","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","Outside London","SEO/HEO","15","15","39740","38630"
"In post","2021","Analysis","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","London","AA/AO","50","45","23730","24040"
"In post","2021","Commercial","Commercial","London","EO","90","85","28910","29600"
"In post","2021","Commercial","Commercial","London","G6/G7","170","165","64140","62380"
"In post","2021","Commercial","Commercial","London","SCS level","50","45","86720","77510"
"In post","2021","Commercial","Commercial","London","SEO/HEO","335","330","41810","40650"
"In post","2021","Commercial","Commercial","London","Unknown","10","10","45860","41060"
"In post","2021","Commercial","Commercial","Outside London","AA/AO","215","200","22240","21590"
"In post","2021","Commercial","Commercial","Outside London","EO","450","425","26190","26670"
"In post","2021","Commercial","Commercial","Outside London","G6/G7","540","525","57690","54540"
"In post","2021","Commercial","Commercial","Outside London","SCS level","35","35","91540","80950"
"In post","2021","Commercial","Commercial","Outside London","SEO/HEO","1900","1835","37610","36970"
"In post","2021","Commercial","Commercial","Outside London","Unknown","205","205","38240","35570"
"In post","2021","Commercial","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Overseas","SEO/HEO","20","20","42930","42040"
"In post","2021","Commercial","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","SEO/HEO","10","10","38990","40480"
"In post","2021","Commercial","Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Outside London","EO","20","15","25020","24250"
"In post","2021","Commercial","Finance","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","Outside London","SEO/HEO","25","25","32540","31520"
"In post","2021","Commercial","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","London","AA/AO","40","40","24550","24590"
"In post","2021","Commercial","Knowledge and Information Management","London","EO","25","25","30530","30750"
"In post","2021","Commercial","Knowledge and Information Management","London","G6/G7","20","20","64540","61730"
"In post","2021","Commercial","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","London","SEO/HEO","40","40","40820","39640"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","AA/AO","135","130","20900","20920"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","EO","145","145","27270","26670"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","G6/G7","30","30","59050","56730"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","SEO/HEO","220","215","37120","35300"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","Unknown","15","15","64490","74000"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","London","EO","25","25","28550","29000"
"In post","2021","Commercial","Operational Delivery","London","G6/G7","70","70","66760","63420"
"In post","2021","Commercial","Operational Delivery","London","SCS level","15","15","120560","108970"
"In post","2021","Commercial","Operational Delivery","London","SEO/HEO","125","125","41970","41000"
"In post","2021","Commercial","Operational Delivery","Outside London","AA/AO","65","60","21280","20200"
"In post","2021","Commercial","Operational Delivery","Outside London","EO","40","35","25560","25560"
"In post","2021","Commercial","Operational Delivery","Outside London","G6/G7","15","15","53140","52580"
"In post","2021","Commercial","Operational Delivery","Outside London","SEO/HEO","50","50","35540","35000"
"In post","2021","Commercial","Other","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Outside London","EO","10","10","23190","22640"
"In post","2021","Commercial","Other","Outside London","G6/G7","20","20","57190","54680"
"In post","2021","Commercial","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Outside London","SEO/HEO","25","25","34310","32480"
"In post","2021","Commercial","Policy","London","G6/G7","10","10","58290","57450"
"In post","2021","Commercial","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","G6/G7","25","25","58750","56480"
"In post","2021","Commercial","Project Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","SEO/HEO","40","40","37820","38780"
"In post","2021","Commercial","Project Delivery","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","G6/G7","20","20","57160","55140"
"In post","2021","Commercial","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","SEO/HEO","80","80","37850","39360"
"In post","2021","Commercial","Science and Engineering","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","London","EO","20","20","27740","27500"
"In post","2021","Commercial","Unknown","London","G6/G7","370","370","66180","61380"
"In post","2021","Commercial","Unknown","London","SCS level","295","290","100050","89600"
"In post","2021","Commercial","Unknown","London","SEO/HEO","70","70","38510","39660"
"In post","2021","Commercial","Unknown","Outside London","EO","10","10","25410","25560"
"In post","2021","Commercial","Unknown","Outside London","G6/G7","410","405","60730","53690"
"In post","2021","Commercial","Unknown","Outside London","SCS level","180","180","81850","71000"
"In post","2021","Commercial","Unknown","Outside London","SEO/HEO","65","65","36910","37560"
"In post","2021","Commercial","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","G6/G7","10","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","London","AA/AO","60","60","24510","24270"
"In post","2021","Communications","Communications","London","EO","210","205","28610","27940"
"In post","2021","Communications","Communications","London","G6/G7","540","520","59460","58110"
"In post","2021","Communications","Communications","London","SCS level","90","85","88620","82600"
"In post","2021","Communications","Communications","London","SEO/HEO","890","880","39460","39420"
"In post","2021","Communications","Communications","Outside London","AA/AO","155","145","21130","21130"
"In post","2021","Communications","Communications","Outside London","EO","350","330","26680","26670"
"In post","2021","Communications","Communications","Outside London","G6/G7","265","255","55320","53360"
"In post","2021","Communications","Communications","Outside London","SCS level","10","10","76580","75880"
"In post","2021","Communications","Communications","Outside London","SEO/HEO","845","810","35890","35910"
"In post","2021","Communications","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Communications","Human Resources","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","London","EO","25","20","30830","31610"
"In post","2021","Communications","Operational Delivery","London","G6/G7","15","10","62600","60720"
"In post","2021","Communications","Operational Delivery","London","SCS level","5","5","[c]","[c]"
"In post","2021","Communications","Operational Delivery","London","SEO/HEO","35","35","37890","36480"
"In post","2021","Communications","Operational Delivery","Outside London","AA/AO","230","190","20770","20660"
"In post","2021","Communications","Operational Delivery","Outside London","EO","570","540","25680","25560"
"In post","2021","Communications","Operational Delivery","Outside London","G6/G7","50","50","53550","52580"
"In post","2021","Communications","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Outside London","SEO/HEO","595","580","33110","31810"
"In post","2021","Communications","Other","London","EO","125","120","20920","20000"
"In post","2021","Communications","Other","London","G6/G7","10","10","63410","64450"
"In post","2021","Communications","Other","London","SEO/HEO","55","55","29230","27780"
"In post","2021","Communications","Other","Outside London","EO","45","40","19880","19040"
"In post","2021","Communications","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Outside London","SEO/HEO","15","15","30670","29740"
"In post","2021","Communications","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","SEO/HEO","15","15","35100","35010"
"In post","2021","Communications","Project Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","Outside London","AA/AO","45","40","20820","21110"
"In post","2021","Communications","Tax","Outside London","EO","1585","1530","25660","25560"
"In post","2021","Communications","Tax","Outside London","G6/G7","20","20","54490","52580"
"In post","2021","Communications","Tax","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","Outside London","SEO/HEO","490","480","32510","31810"
"In post","2021","Communications","Unknown","London","AA/AO","10","10","24120","24490"
"In post","2021","Communications","Unknown","London","EO","35","35","27860","27500"
"In post","2021","Communications","Unknown","London","G6/G7","135","130","59480","57920"
"In post","2021","Communications","Unknown","London","SCS level","20","20","86680","81040"
"In post","2021","Communications","Unknown","London","SEO/HEO","145","145","38880","39370"
"In post","2021","Communications","Unknown","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Outside London","EO","255","250","25750","25560"
"In post","2021","Communications","Unknown","Outside London","G6/G7","15","15","54120","52580"
"In post","2021","Communications","Unknown","Outside London","SEO/HEO","170","170","33510","31810"
"In post","2021","Communications","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","London","EO","45","40","27770","27020"
"In post","2021","Counter Fraud","Counter Fraud","London","G6/G7","85","80","63540","62900"
"In post","2021","Counter Fraud","Counter Fraud","London","SCS level","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","London","SEO/HEO","195","195","38270","38510"
"In post","2021","Counter Fraud","Counter Fraud","Outside London","AA/AO","10","10","20680","20880"
"In post","2021","Counter Fraud","Counter Fraud","Outside London","EO","35","35","26930","26780"
"In post","2021","Counter Fraud","Counter Fraud","Outside London","G6/G7","25","25","55630","55320"
"In post","2021","Counter Fraud","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Outside London","SEO/HEO","265","255","37280","37910"
"In post","2021","Counter Fraud","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","London","EO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","London","G6/G7","15","15","57230","59160"
"In post","2021","Counter Fraud","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","London","SEO/HEO","40","35","37990","36160"
"In post","2021","Counter Fraud","Intelligence Analysis","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","Outside London","EO","25","20","25950","25560"
"In post","2021","Counter Fraud","Intelligence Analysis","Outside London","G6/G7","20","20","51890","52580"
"In post","2021","Counter Fraud","Intelligence Analysis","Outside London","SEO/HEO","85","80","34000","31810"
