"Status","Year","Age","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Economics","10","10","91560","85980"
"In post","2021","40-49","Water Services Regulation Authority","Finance","10","10","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Human Resources","5","5","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Legal","10","5","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Operational Delivery","15","10","44680","30000"
"In post","2021","40-49","Water Services Regulation Authority","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Policy","25","25","65240","62020"
"In post","2021","40-49","Water Services Regulation Authority","Project Delivery","5","5","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Welsh Government","Communications","55","50","41980","38360"
"In post","2021","40-49","Welsh Government","Digital, Data and Technology","80","75","41220","37410"
"In post","2021","40-49","Welsh Government","Economics","10","10","52960","58730"
"In post","2021","40-49","Welsh Government","Finance","90","85","44660","37410"
"In post","2021","40-49","Welsh Government","Human Resources","35","35","36810","37410"
"In post","2021","40-49","Welsh Government","Internal Audit","5","5","[c]","[c]"
"In post","2021","40-49","Welsh Government","Knowledge and Information Management","35","30","36920","37410"
"In post","2021","40-49","Welsh Government","Legal","55","50","60270","60830"
"In post","2021","40-49","Welsh Government","Medicine","45","45","49000","47000"
"In post","2021","40-49","Welsh Government","Operational Delivery","430","405","39880","37410"
"In post","2021","40-49","Welsh Government","Other","195","190","43650","37410"
"In post","2021","40-49","Welsh Government","Planning","5","5","[c]","[c]"
"In post","2021","40-49","Welsh Government","Policy","510","485","46030","47000"
"In post","2021","40-49","Welsh Government","Project Delivery","15","15","45350","47000"
"In post","2021","40-49","Welsh Government","Property","15","15","34350","28850"
"In post","2021","40-49","Welsh Government","Science and Engineering","30","30","50000","47000"
"In post","2021","40-49","Welsh Government","Social Research","40","40","45950","47000"
"In post","2021","40-49","Welsh Government","Statistics","15","15","45020","47000"
"In post","2021","40-49","Welsh Government","Tax","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Welsh Government","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Attorney General's Departments","Commercial","10","10","[c]","[c]"
"In post","2021","50-59","Attorney General's Departments","Communications","10","10","48600","42210"
"In post","2021","50-59","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Attorney General's Departments","Counter Fraud","75","75","52980","48060"
"In post","2021","50-59","Attorney General's Departments","Digital, Data and Technology","50","45","41400","38180"
"In post","2021","50-59","Attorney General's Departments","Finance","35","30","46890","38180"
"In post","2021","50-59","Attorney General's Departments","Human Resources","70","65","47770","40530"
"In post","2021","50-59","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Attorney General's Departments","Legal","1515","1415","62170","60770"
"In post","2021","50-59","Attorney General's Departments","Operational Delivery","975","900","28850","28430"
"In post","2021","50-59","Attorney General's Departments","Other","105","105","37950","31710"
"In post","2021","50-59","Attorney General's Departments","Policy","25","20","44630","43000"
"In post","2021","50-59","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Attorney General's Departments","Security","10","10","46640","45530"
"In post","2021","50-59","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Cabinet Office","Operational Delivery","5","5","[c]","[c]"
"In post","2021","50-59","Cabinet Office","Other","5","5","[c]","[c]"
"In post","2021","50-59","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Cabinet Office","Unknown","1495","1460","56990","52920"
"In post","2021","50-59","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","Finance","10","10","56670","46160"
"In post","2021","50-59","Chancellor's other departments","Human Resources","5","5","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","Other","50","45","76420","62410"
"In post","2021","50-59","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","Digital, Data and Technology","10","10","35890","37910"
"In post","2021","50-59","Charity Commission","Finance","5","5","[c]","[c]"
"In post","2021","50-59","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
