"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","UK Intellectual Property Office","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Science and Engineering","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Science and Engineering","G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Science and Engineering","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Security","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Digital, Data and Technology","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Digital, Data and Technology","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Digital, Data and Technology","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","AA","40","25","19080","18320"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","AO","105","75","19550","19520"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","EO","50","50","24710","23520"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","HEO","55","50","30950","30130"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","SEO","35","35","36870","36030"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Property","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Security","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Social Research","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Social Research","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Social Research","SEO","30","25","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Statistics","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Statistics","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Statistics","HEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Statistics","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","AO","45","40","21090","21100"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Policy","HEO","[c]","[c]","[c]","[c]"
