"Status","Year","Age","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","16-19","Asian","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2021","16-19","Asian","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Department for Work and Pensions","20","20","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Home Office","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
