"Status","Year","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Office of Gas and Electricity Markets","G7","350","340","56280","55040"
"In post","2021","Office of Gas and Electricity Markets","HEO","235","235","34290","34240"
"In post","2021","Office of Gas and Electricity Markets","SCS level","45","45","102300","96250"
"In post","2021","Office of Gas and Electricity Markets","SEO","135","135","40300","40000"
"In post","2021","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","EO","30","25","24270","24200"
"In post","2021","Office of Qualifications and Examinations Regulation","G6","20","20","66400","66090"
"In post","2021","Office of Qualifications and Examinations Regulation","G7","75","75","49250","47880"
"In post","2021","Office of Qualifications and Examinations Regulation","HEO","60","60","33070","32850"
"In post","2021","Office of Qualifications and Examinations Regulation","SCS level","20","20","96170","86380"
"In post","2021","Office of Qualifications and Examinations Regulation","SEO","50","50","39920","39540"
"In post","2021","Office of Rail and Road","AO","15","15","23860","23260"
"In post","2021","Office of Rail and Road","EO","25","20","30310","29510"
"In post","2021","Office of Rail and Road","G6","30","25","74410","74450"
"In post","2021","Office of Rail and Road","G7","150","140","59910","60010"
"In post","2021","Office of Rail and Road","HEO","45","45","34570","34650"
"In post","2021","Office of Rail and Road","SCS level","15","15","112140","99360"
"In post","2021","Office of Rail and Road","SEO","50","45","44670","44340"
"In post","2021","Other Cabinet Office Agencies","AO","30","25","20000","18870"
"In post","2021","Other Cabinet Office Agencies","EO","130","125","23930","22640"
"In post","2021","Other Cabinet Office Agencies","G6","85","85","62920","63770"
"In post","2021","Other Cabinet Office Agencies","G7","205","205","50460","49700"
"In post","2021","Other Cabinet Office Agencies","HEO","235","225","29670","28540"
"In post","2021","Other Cabinet Office Agencies","SCS level","40","40","89280","80760"
"In post","2021","Other Cabinet Office Agencies","SEO","275","265","36980","35760"
"In post","2021","Scotland Office","AA","10","10","[c]","[c]"
"In post","2021","Scotland Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","EO","10","10","27170","26410"
"In post","2021","Scotland Office","G6","10","10","69680","69160"
"In post","2021","Scotland Office","G7","35","35","56100","56120"
"In post","2021","Scotland Office","HEO","15","15","31340","31110"
"In post","2021","Scotland Office","SCS level","10","10","82670","79040"
"In post","2021","Scotland Office","SEO","20","20","42630","44660"
"In post","2021","Scottish Government","AA","1870","1710","21080","20810"
"In post","2021","Scottish Government","AO","4250","3980","23870","23340"
"In post","2021","Scottish Government","EO","5500","5225","30230","29350"
"In post","2021","Scottish Government","G6","1180","1135","71620","73940"
"In post","2021","Scottish Government","G7","2075","1990","57440","56800"
"In post","2021","Scottish Government","HEO","3705","3530","34630","35110"
"In post","2021","Scottish Government","SCS level","255","250","89460","83230"
"In post","2021","Scottish Government","SEO","3385","3205","44540","45190"
"In post","2021","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA","10","10","18390","18770"
"In post","2021","The National Archives","AO","85","75","21590","21100"
"In post","2021","The National Archives","EO","75","75","25550","24630"
"In post","2021","The National Archives","G6","25","25","64150","65890"
"In post","2021","The National Archives","G7","65","65","49040","48000"
"In post","2021","The National Archives","HEO","130","125","31050","30250"
"In post","2021","The National Archives","SCS level","10","10","[c]","[c]"
"In post","2021","The National Archives","SEO","145","140","40410","38250"
"In post","2021","UK Export Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","AO","5","5","[c]","[c]"
"In post","2021","UK Export Finance","EO","45","45","29640","29000"
"In post","2021","UK Export Finance","G6","45","45","76870","76790"
"In post","2021","UK Export Finance","G7","75","75","62620","60380"
"In post","2021","UK Export Finance","HEO","70","70","34820","33350"
"In post","2021","UK Export Finance","SCS level","25","25","117220","101500"
"In post","2021","UK Export Finance","SEO","125","125","46900","47000"
"In post","2021","UK Supreme Court","AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","EO","20","20","27550","27300"
"In post","2021","UK Supreme Court","G6","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","G7","10","5","[c]","[c]"
"In post","2021","UK Supreme Court","HEO","10","10","33390","32770"
"In post","2021","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SEO","10","10","37230","37230"
"In post","2021","United Kingdom Statistics Authority","AA","375","220","19810","19130"
"In post","2021","United Kingdom Statistics Authority","AO","1090","815","19570","19520"
"In post","2021","United Kingdom Statistics Authority","EO","775","725","23970","23050"
"In post","2021","United Kingdom Statistics Authority","G6","180","175","60760","58880"
"In post","2021","United Kingdom Statistics Authority","G7","745","725","50900","49120"
"In post","2021","United Kingdom Statistics Authority","HEO","1260","1210","30500","29540"
"In post","2021","United Kingdom Statistics Authority","SCS level","85","85","84910","76380"
"In post","2021","United Kingdom Statistics Authority","SEO","1040","1005","37130","36840"
"In post","2021","Wales Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","EO","10","10","[c]","[c]"
"In post","2021","Wales Office","G6","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","G7","10","10","58100","57460"
"In post","2021","Wales Office","HEO","5","5","[c]","[c]"
"In post","2021","Wales Office","SCS level","5","5","[c]","[c]"
"In post","2021","Wales Office","SEO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","AO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","EO","35","35","29860","29300"
"In post","2021","Water Services Regulation Authority","G6","30","25","90420","86460"
"In post","2021","Water Services Regulation Authority","G7","40","35","70520","70000"
"In post","2021","Water Services Regulation Authority","HEO","85","85","42500","42240"
"In post","2021","Water Services Regulation Authority","SCS level","10","10","131930","127040"
"In post","2021","Water Services Regulation Authority","SEO","45","40","58160","58590"
"In post","2021","Welsh Government","AO","970","890","23340","23830"
"In post","2021","Welsh Government","EO","1020","960","28690","28850"
"In post","2021","Welsh Government","G6","195","190","73350","74730"
"In post","2021","Welsh Government","G7","860","825","59000","60830"
"In post","2021","Welsh Government","HEO","1450","1370","36680","37410"
"In post","2021","Welsh Government","SCS level","175","170","89800","81760"
"In post","2021","Welsh Government","SEO","1105","1055","46290","47000"
"Leaver CS","2021","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","AO","85","[c]","22140","21950"
"Leaver CS","2021","Attorney General's Departments","EO","45","[c]","27490","26970"
"Leaver CS","2021","Attorney General's Departments","G6","45","[c]","70990","72030"
"Leaver CS","2021","Attorney General's Departments","G7","170","[c]","55990","55610"
"Leaver CS","2021","Attorney General's Departments","HEO","30","[c]","35690","34820"
"Leaver CS","2021","Attorney General's Departments","SCS level","20","[c]","94740","85750"
"Leaver CS","2021","Attorney General's Departments","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","AO","80","[c]","20750","20450"
"Leaver CS","2021","Cabinet Office","EO","25","[c]","26160","26000"
"Leaver CS","2021","Cabinet Office","G6","40","[c]","73080","67930"
"Leaver CS","2021","Cabinet Office","G7","70","[c]","56270","56040"
"Leaver CS","2021","Cabinet Office","HEO","95","[c]","32710","32910"
"Leaver CS","2021","Cabinet Office","SCS level","45","[c]","106050","96990"
"Leaver CS","2021","Cabinet Office","SEO","20","[c]","41090","40600"
"Leaver CS","2021","Chancellor's other departments","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","AO","10","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","HEO","10","[c]","29320","29160"
"Leaver CS","2021","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","G6","15","[c]","75220","75140"
"Leaver CS","2021","Competition and Markets Authority","G7","15","[c]","58650","58750"
"Leaver CS","2021","Competition and Markets Authority","HEO","20","[c]","34290","33850"
"Leaver CS","2021","Competition and Markets Authority","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","AA","15","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","AO","80","[c]","22120","21000"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","EO","90","[c]","25780","24570"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","G6","40","[c]","67370","64990"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","G7","70","[c]","54320","53600"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","HEO","95","[c]","32600","32830"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","SCS level","25","[c]","93650","78950"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","SEO","85","[c]","41280","40220"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","G7","20","[c]","55440","53000"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","HEO","30","[c]","35060","32700"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","AO","20","[c]","21690","21000"
"Leaver CS","2021","Department for Education","EO","65","[c]","25990","26000"
"Leaver CS","2021","Department for Education","G6","30","[c]","66910","67320"
"Leaver CS","2021","Department for Education","G7","80","[c]","53650","53760"
"Leaver CS","2021","Department for Education","HEO","60","[c]","33190","33300"
"Leaver CS","2021","Department for Education","SCS level","20","[c]","82970","80630"
"Leaver CS","2021","Department for Education","SEO","85","[c]","39550","39460"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","AA","10","[c]","18390","17640"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","AO","160","[c]","21940","21050"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","EO","125","[c]","24150","25100"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","G6","20","[c]","64980","64120"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","G7","70","[c]","53220","53370"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","HEO","70","[c]","31830","31660"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","SCS level","15","[c]","93080","83530"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","SEO","80","[c]","40020","38940"
"Leaver CS","2021","Department for International Trade","AO","45","[c]","19030","18200"
"Leaver CS","2021","Department for International Trade","EO","10","[c]","24540","25730"
"Leaver CS","2021","Department for International Trade","G6","15","[c]","62880","60970"
"Leaver CS","2021","Department for International Trade","G7","20","[c]","56980","52270"
"Leaver CS","2021","Department for International Trade","HEO","20","[c]","32690","32120"
"Leaver CS","2021","Department for International Trade","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","SEO","25","[c]","35080","37410"
"Leaver CS","2021","Department for Transport","AA","85","[c]","17990","18060"
"Leaver CS","2021","Department for Transport","AO","255","[c]","22230","21590"
"Leaver CS","2021","Department for Transport","EO","180","[c]","27560","26780"
"Leaver CS","2021","Department for Transport","G6","20","[c]","75110","71570"
"Leaver CS","2021","Department for Transport","G7","35","[c]","57780","55710"
"Leaver CS","2021","Department for Transport","HEO","90","[c]","31790","33350"
"Leaver CS","2021","Department for Transport","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","SEO","50","[c]","45530","43460"
"Leaver CS","2021","Department for Work and Pensions","AA","20","[c]","21760","20230"
"Leaver CS","2021","Department for Work and Pensions","AO","2060","[c]","21200","21010"
"Leaver CS","2021","Department for Work and Pensions","EO","1875","[c]","28070","27570"
"Leaver CS","2021","Department for Work and Pensions","G6","45","[c]","69160","69190"
"Leaver CS","2021","Department for Work and Pensions","G7","100","[c]","53950","53000"
"Leaver CS","2021","Department for Work and Pensions","HEO","240","[c]","33660","33450"
"Leaver CS","2021","Department for Work and Pensions","SCS level","20","[c]","91760","85500"
"Leaver CS","2021","Department for Work and Pensions","SEO","160","[c]","41880","39960"
"Leaver CS","2021","Department of Health and Social Care","AA","35","[c]","19110","18850"
"Leaver CS","2021","Department of Health and Social Care","AO","150","[c]","21070","20230"
"Leaver CS","2021","Department of Health and Social Care","EO","150","[c]","25930","26730"
"Leaver CS","2021","Department of Health and Social Care","G6","50","[c]","70520","68960"
"Leaver CS","2021","Department of Health and Social Care","G7","165","[c]","53340","52750"
"Leaver CS","2021","Department of Health and Social Care","HEO","195","[c]","32450","32650"
"Leaver CS","2021","Department of Health and Social Care","SCS level","85","[c]","103470","104930"
"Leaver CS","2021","Department of Health and Social Care","SEO","175","[c]","40230","40470"
"Leaver CS","2021","Department of Health and Social Care","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","EO","15","[c]","27510","26970"
"Leaver CS","2021","Food Standards Agency","G7","5","[c]","[c]","[c]"
