"Status","Year","Age","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Department for Work and Pensions","Unknown","Male","55","55","27520","27570"
"In post","2021","20-29","Department of Health and Social Care","London","Female","1130","1110","35340","32790"
"In post","2021","20-29","Department of Health and Social Care","London","Male","580","565","36830","32790"
"In post","2021","20-29","Department of Health and Social Care","Outside London","Female","660","630","27100","23920"
"In post","2021","20-29","Department of Health and Social Care","Outside London","Male","315","305","27440","24360"
"In post","2021","20-29","ESTYN","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","Female","30","30","36180","32830"
"In post","2021","20-29","Food Standards Agency","London","Male","25","25","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Outside London","Female","45","45","30370","30350"
"In post","2021","20-29","Food Standards Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","Female","550","550","36500","36360"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","Male","375","375","35880","35700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","Female","175","175","28660","26120"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","Male","180","180","28900","26650"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","Female","110","110","37810","34220"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","Male","95","95","36720","34040"
"In post","2021","20-29","HM Land Registry","London","Female","25","25","[c]","[c]"
"In post","2021","20-29","HM Land Registry","London","Male","25","25","[c]","[c]"
"In post","2021","20-29","HM Land Registry","Outside London","Female","605","590","24700","22350"
"In post","2021","20-29","HM Land Registry","Outside London","Male","455","450","25630","22350"
"In post","2021","20-29","HM Revenue and Customs","London","Female","525","520","36830","36160"
"In post","2021","20-29","HM Revenue and Customs","London","Male","670","665","37600","36160"
"In post","2021","20-29","HM Revenue and Customs","Outside London","Female","4270","4120","25360","25560"
"In post","2021","20-29","HM Revenue and Customs","Outside London","Male","4865","4795","25620","25560"
"In post","2021","20-29","HM Treasury","London","Female","475","470","38280","32960"
"In post","2021","20-29","HM Treasury","London","Male","540","540","39310","34320"
"In post","2021","20-29","HM Treasury","Outside London","Female","25","25","[c]","[c]"
"In post","2021","20-29","HM Treasury","Outside London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Home Office","London","Female","1080","1070","35630","35050"
"In post","2021","20-29","Home Office","London","Male","855","850","35870","35050"
"In post","2021","20-29","Home Office","Outside London","Female","1745","1665","24020","24880"
"In post","2021","20-29","Home Office","Outside London","Male","1590","1545","24010","24880"
"In post","2021","20-29","Home Office","Overseas","Female","5","5","[c]","[c]"
"In post","2021","20-29","Home Office","Overseas","Male","10","10","[c]","[c]"
"In post","2021","20-29","Home Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Home Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","London","Female","340","340","37020","37000"
"In post","2021","20-29","Ministry of Defence","London","Male","395","395","36970","37000"
"In post","2021","20-29","Ministry of Defence","Outside London","Female","2590","2550","27210","26670"
"In post","2021","20-29","Ministry of Defence","Outside London","Male","3825","3815","27620","26750"
"In post","2021","20-29","Ministry of Defence","Overseas","Female","30","30","33200","33000"
"In post","2021","20-29","Ministry of Defence","Overseas","Male","25","25","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Unknown","Female","65","65","28040","28980"
"In post","2021","20-29","Ministry of Defence","Unknown","Male","315","315","29270","28980"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","London","Female","285","285","38290","33210"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","London","Male","270","270","38570","33960"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","Outside London","Female","95","95","29220","27860"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","Outside London","Male","70","70","28970","27860"
"In post","2021","20-29","Ministry of Justice","London","Female","1890","1880","30290","30220"
"In post","2021","20-29","Ministry of Justice","London","Male","1000","995","30960","30850"
"In post","2021","20-29","Ministry of Justice","Outside London","Female","6485","6335","24240","22920"
"In post","2021","20-29","Ministry of Justice","Outside London","Male","4660","4635","25130","24920"
"In post","2021","20-29","Ministry of Justice","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Justice","Unknown","Male","5","5","[c]","[c]"
"In post","2021","20-29","National Crime Agency","London","Female","190","190","34540","32260"
"In post","2021","20-29","National Crime Agency","London","Male","145","145","35370","36200"
"In post","2021","20-29","National Crime Agency","Outside London","Female","375","375","30250","30640"
"In post","2021","20-29","National Crime Agency","Outside London","Male","225","225","30370","30640"
"In post","2021","20-29","National Crime Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","National Crime Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","Outside London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office for Standards in Education","London","Female","25","25","[c]","[c]"
"In post","2021","20-29","Office for Standards in Education","London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Office for Standards in Education","Outside London","Female","70","70","26980","25620"
"In post","2021","20-29","Office for Standards in Education","Outside London","Male","45","45","27610","25880"
"In post","2021","20-29","Office of Gas and Electricity Markets","London","Female","75","75","33690","34240"
"In post","2021","20-29","Office of Gas and Electricity Markets","London","Male","105","105","34190","33400"
"In post","2021","20-29","Office of Gas and Electricity Markets","Outside London","Female","90","90","27140","24180"
"In post","2021","20-29","Office of Gas and Electricity Markets","Outside London","Male","75","75","28740","26380"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","Outside London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","Outside London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other Cabinet Office Agencies","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Other Cabinet Office Agencies","London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Other Cabinet Office Agencies","Outside London","Female","60","60","29460","27770"
"In post","2021","20-29","Other Cabinet Office Agencies","Outside London","Male","75","75","28070","27770"
"In post","2021","20-29","Other Cabinet Office Agencies","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other Cabinet Office Agencies","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland Office","London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Scotland Office","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Scotland Office","Outside London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Scotland Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Government","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Government","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Government","Outside London","Female","2035","1985","27520","26160"
"In post","2021","20-29","Scottish Government","Outside London","Male","1425","1415","27480","26160"
"In post","2021","20-29","Scottish Government","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Government","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","The National Archives","London","Female","50","50","27460","28040"
"In post","2021","20-29","The National Archives","London","Male","25","25","[c]","[c]"
"In post","2021","20-29","UK Export Finance","London","Female","30","30","35280","33000"
"In post","2021","20-29","UK Export Finance","London","Male","40","40","36510","33000"
"In post","2021","20-29","UK Supreme Court","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","UK Supreme Court","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","United Kingdom Statistics Authority","London","Female","110","110","33400","32540"
"In post","2021","20-29","United Kingdom Statistics Authority","London","Male","75","75","34550","32540"
"In post","2021","20-29","United Kingdom Statistics Authority","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","United Kingdom Statistics Authority","Outside London","Female","590","570","29280","29540"
"In post","2021","20-29","United Kingdom Statistics Authority","Outside London","Male","420","410","28830","29540"
"In post","2021","20-29","United Kingdom Statistics Authority","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Wales Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales Office","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Wales Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","Outside London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Welsh Government","Outside London","Female","310","305","26930","23830"
"In post","2021","20-29","Welsh Government","Outside London","Male","245","240","27060","23830"
"In post","2021","30-39","Attorney General's Departments","London","Female","805","750","49340","51250"
"In post","2021","30-39","Attorney General's Departments","London","Male","450","445","49260","51250"
"In post","2021","30-39","Attorney General's Departments","Outside London","Female","630","570","38360","38180"
"In post","2021","30-39","Attorney General's Departments","Outside London","Male","280","280","40140","38760"
"In post","2021","30-39","Cabinet Office","London","Female","925","900","51860","54700"
"In post","2021","30-39","Cabinet Office","London","Male","855","850","53250","54700"
"In post","2021","30-39","Cabinet Office","Outside London","Female","250","235","36370","32960"
"In post","2021","30-39","Cabinet Office","Outside London","Male","210","210","40000","34640"
"In post","2021","30-39","Cabinet Office","Unknown","Female","65","65","40670","33250"
"In post","2021","30-39","Cabinet Office","Unknown","Male","70","70","41500","33250"
"In post","2021","30-39","Chancellor's other departments","London","Female","45","40","55290","50810"
"In post","2021","30-39","Chancellor's other departments","London","Male","45","45","63130","58120"
"In post","2021","30-39","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chancellor's other departments","Outside London","Male","5","5","[c]","[c]"
"In post","2021","30-39","Charity Commission","London","Female","10","10","[c]","[c]"
"In post","2021","30-39","Charity Commission","London","Male","10","10","[c]","[c]"
"In post","2021","30-39","Charity Commission","Outside London","Female","45","40","31350","29160"
"In post","2021","30-39","Charity Commission","Outside London","Male","40","40","31950","29160"
"In post","2021","30-39","Competition and Markets Authority","London","Female","150","145","56620","56360"
"In post","2021","30-39","Competition and Markets Authority","London","Male","125","125","63640","59890"
"In post","2021","30-39","Competition and Markets Authority","Outside London","Female","15","10","[c]","[c]"
"In post","2021","30-39","Competition and Markets Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","London","Female","740","710","51530","53380"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","London","Male","815","810","52460","53600"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","Outside London","Female","935","865","33200","31000"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","Outside London","Male","935","925","35550","34170"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","London","Female","325","315","52520","52250"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","London","Male","260","260","53350","51730"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","Outside London","Female","15","15","[c]","[c]"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","Outside London","Male","10","10","[c]","[c]"
"In post","2021","30-39","Department for Education","London","Female","465","440","52220","53760"
"In post","2021","30-39","Department for Education","London","Male","270","265","51980","53760"
"In post","2021","30-39","Department for Education","Outside London","Female","805","755","39740","36780"
"In post","2021","30-39","Department for Education","Outside London","Male","590","585","39750","36780"
"In post","2021","30-39","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","London","Female","370","355","47510","46450"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","London","Male","265","265","47380","52290"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","Outside London","Female","1100","990","32340","29690"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","Outside London","Male","750","745","32910","30040"
"In post","2021","30-39","Department for International Trade","London","Female","310","305","48860","51970"
"In post","2021","30-39","Department for International Trade","London","Male","325","320","50410","51970"
"In post","2021","30-39","Department for International Trade","Outside London","Female","25","25","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Outside London","Male","25","25","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Overseas","Female","15","15","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Overseas","Male","45","45","52090","51770"
"In post","2021","30-39","Department for Transport","London","Female","385","375","50120","54110"
"In post","2021","30-39","Department for Transport","London","Male","470","470","49160","47410"
"In post","2021","30-39","Department for Transport","Outside London","Female","1445","1230","25790","21590"
"In post","2021","30-39","Department for Transport","Outside London","Male","1385","1365","30120","26700"
"In post","2021","30-39","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","London","Female","1020","950","34150","31060"
"In post","2021","30-39","Department for Work and Pensions","London","Male","720","715","34830","31060"
"In post","2021","30-39","Department for Work and Pensions","Outside London","Female","7990","6895","26580","27570"
"In post","2021","30-39","Department for Work and Pensions","Outside London","Male","5240","5170","27630","27570"
"In post","2021","30-39","Department for Work and Pensions","Unknown","Female","95","90","28550","27570"
"In post","2021","30-39","Department for Work and Pensions","Unknown","Male","85","85","31030","27570"
"In post","2021","30-39","Department of Health and Social Care","London","Female","1035","975","46450","41410"
"In post","2021","30-39","Department of Health and Social Care","London","Male","570","555","48830","50420"
"In post","2021","30-39","Department of Health and Social Care","Outside London","Female","810","735","37360","36330"
"In post","2021","30-39","Department of Health and Social Care","Outside London","Male","375","365","39630","36820"
"In post","2021","30-39","ESTYN","Outside London","Female","10","10","[c]","[c]"
"In post","2021","30-39","ESTYN","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","London","Female","55","50","41440","40960"
"In post","2021","30-39","Food Standards Agency","London","Male","40","40","42810","40960"
"In post","2021","30-39","Food Standards Agency","Outside London","Female","100","95","35440","31150"
"In post","2021","30-39","Food Standards Agency","Outside London","Male","65","65","37240","37910"
