"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Finance","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Inner London - West","Westminster","65","60","42800","32570"
"In post","2021","Attorney General's Departments","Finance","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North Yorkshire","York","20","20","35480","31170"
"In post","2021","Attorney General's Departments","Finance","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","West Yorkshire","Wakefield","10","10","30070","26780"
"In post","2021","Attorney General's Departments","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Inner London - West","Westminster","110","105","41340","35010"
"In post","2021","Attorney General's Departments","Human Resources","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Merseyside","Liverpool","35","35","37360","30610"
"In post","2021","Attorney General's Departments","Human Resources","North Yorkshire","York","25","25","40870","38180"
"In post","2021","Attorney General's Departments","Human Resources","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Midlands","Birmingham","10","10","37160","35230"
"In post","2021","Attorney General's Departments","Human Resources","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Yorkshire","Wakefield","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Inner London - West","Westminster","15","15","43820","32650"
"In post","2021","Attorney General's Departments","Legal","Bedfordshire and Hertfordshire","Hertfordshire","95","85","55040","57760"
"In post","2021","Attorney General's Departments","Legal","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","70","65","56700","57000"
"In post","2021","Attorney General's Departments","Legal","Cheshire","Warrington","15","15","63080","58850"
"In post","2021","Attorney General's Departments","Legal","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","10","10","51100","52410"
"In post","2021","Attorney General's Departments","Legal","Cumbria","East Cumbria","15","10","50150","51470"
"In post","2021","Attorney General's Departments","Legal","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Derbyshire and Nottinghamshire","Nottingham","110","100","53030","52440"
"In post","2021","Attorney General's Departments","Legal","Devon","Devon CC","50","50","52200","55610"
"In post","2021","Attorney General's Departments","Legal","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","East Anglia","Norwich and East Norfolk","25","20","52710","54180"
"In post","2021","Attorney General's Departments","Legal","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","East Anglia","Suffolk","15","15","50140","55610"
"In post","2021","Attorney General's Departments","Legal","East Wales","Cardiff and Vale of Glamorgan","110","100","52390","53350"
"In post","2021","Attorney General's Departments","Legal","East Wales","Flintshire and Wrexham","45","40","50940","55610"
"In post","2021","Attorney General's Departments","Legal","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","30","30","55550","55610"
"In post","2021","Attorney General's Departments","Legal","Essex","Heart of Essex","95","90","53140","51730"
"In post","2021","Attorney General's Departments","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","30","25","55910","53850"
"In post","2021","Attorney General's Departments","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","85","80","52740","54910"
"In post","2021","Attorney General's Departments","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Greater Manchester","Manchester","185","170","54510","55610"
"In post","2021","Attorney General's Departments","Legal","Hampshire and Isle of Wight","Portsmouth","45","45","56710","60710"
"In post","2021","Attorney General's Departments","Legal","Hampshire and Isle of Wight","South Hampshire","80","75","57780","55780"
"In post","2021","Attorney General's Departments","Legal","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Inner London - West","Westminster","2695","2510","60070","60730"
"In post","2021","Attorney General's Departments","Legal","Kent","East Kent","60","55","53420","51730"
"In post","2021","Attorney General's Departments","Legal","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Lancashire","Mid Lancashire","90","85","52310","54290"
"In post","2021","Attorney General's Departments","Legal","Leicestershire, Rutland and Northamptonshire","Leicester","80","70","49120","49580"
"In post","2021","Attorney General's Departments","Legal","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","10","10","48460","53350"
"In post","2021","Attorney General's Departments","Legal","Lincolnshire","Lincolnshire","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Merseyside","Liverpool","145","140","50880","51950"
"In post","2021","Attorney General's Departments","Legal","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","North Yorkshire","York","165","145","58860","55610"
"In post","2021","Attorney General's Departments","Legal","Northumberland and Tyne and Wear","Tyneside","105","100","51970","54200"
"In post","2021","Attorney General's Departments","Legal","Outer London - East and North East","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Outer London - East and North East","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Outer London - South","Croydon","15","15","60990","62140"
"In post","2021","Attorney General's Departments","Legal","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Outer London - West and North West","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Shropshire and Staffordshire","Stoke-on-Trent","35","30","54370","52410"
"In post","2021","Attorney General's Departments","Legal","South Yorkshire","Sheffield","55","50","48690","51470"
"In post","2021","Attorney General's Departments","Legal","Surrey, East and West Sussex","Brighton and Hove","55","50","57690","60710"
"In post","2021","Attorney General's Departments","Legal","Surrey, East and West Sussex","West Surrey","30","30","52370","53060"
"In post","2021","Attorney General's Departments","Legal","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Tees Valley and Durham","South Teesside","45","45","51850","55610"
"In post","2021","Attorney General's Departments","Legal","West Midlands","Birmingham","245","225","53120","53350"
"In post","2021","Attorney General's Departments","Legal","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","West Wales and The Valleys","Swansea","35","30","54250","54200"
"In post","2021","Attorney General's Departments","Legal","West Yorkshire","Leeds","220","200","53360","53350"
"In post","2021","Attorney General's Departments","Legal","West Yorkshire","Wakefield","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Bedfordshire and Hertfordshire","Hertfordshire","75","65","26630","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","60","55","28220","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","Cheshire","Warrington","15","15","28710","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","15","15","24360","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","Cumbria","East Cumbria","15","15","23470","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Derbyshire and Nottinghamshire","Nottingham","120","115","26010","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Devon","Devon CC","45","40","26270","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","East Anglia","Norwich and East Norfolk","50","40","26480","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","East Anglia","Suffolk","20","15","28380","27120"
"In post","2021","Attorney General's Departments","Operational Delivery","East Wales","Cardiff and Vale of Glamorgan","95","90","28020","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","East Wales","Flintshire and Wrexham","25","25","26070","25920"
"In post","2021","Attorney General's Departments","Operational Delivery","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","40","35","24800","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","Essex","Heart of Essex","85","80","27890","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","60","60","26790","25920"
"In post","2021","Attorney General's Departments","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Greater Manchester","Manchester","175","155","27340","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","Hampshire and Isle of Wight","Portsmouth","65","60","25900","23520"
"In post","2021","Attorney General's Departments","Operational Delivery","Hampshire and Isle of Wight","South Hampshire","60","55","30150","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Inner London - East","Haringey and Islington","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Inner London - East","Lewisham and Southwark","15","15","25420","24590"
"In post","2021","Attorney General's Departments","Operational Delivery","Inner London - West","Camden and City of London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Inner London - West","Westminster","695","650","30110","27760"
"In post","2021","Attorney General's Departments","Operational Delivery","Kent","East Kent","65","60","26520","25780"
"In post","2021","Attorney General's Departments","Operational Delivery","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Lancashire","Mid Lancashire","85","80","27360","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","Leicestershire, Rutland and Northamptonshire","Leicester","60","55","25740","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Merseyside","Liverpool","175","165","26140","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","North Yorkshire","York","55","50","27530","23720"
"In post","2021","Attorney General's Departments","Operational Delivery","Northumberland and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Northumberland and Tyne and Wear","Tyneside","125","110","25840","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","Outer London - East and North East","Bexley and Greenwich","10","10","25230","24590"
"In post","2021","Attorney General's Departments","Operational Delivery","Outer London - East and North East","Redbridge and Waltham Forest","10","10","23870","24590"
"In post","2021","Attorney General's Departments","Operational Delivery","Outer London - South","Croydon","25","20","25880","23520"
"In post","2021","Attorney General's Departments","Operational Delivery","Outer London - South","Merton, Kingston upon Thames and Sutton","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Outer London - West and North West","Harrow and Hillingdon","10","10","25690","24590"
"In post","2021","Attorney General's Departments","Operational Delivery","Outer London - West and North West","Hounslow and Richmond upon Thames","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Shropshire and Staffordshire","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Shropshire and Staffordshire","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Shropshire and Staffordshire","Stoke-on-Trent","25","25","24120","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","South Yorkshire","Sheffield","80","70","26210","24480"
"In post","2021","Attorney General's Departments","Operational Delivery","Surrey, East and West Sussex","Brighton and Hove","55","50","28120","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","Surrey, East and West Sussex","West Surrey","25","25","26030","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","Tees Valley and Durham","South Teesside","45","40","24830","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","West Midlands","Birmingham","225","210","25700","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","West Midlands","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","West Wales and The Valleys","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","West Wales and The Valleys","Swansea","30","25","27850","25650"
"In post","2021","Attorney General's Departments","Operational Delivery","West Yorkshire","Leeds","150","140","26080","24480"
"In post","2021","Attorney General's Departments","Operational Delivery","West Yorkshire","Wakefield","20","20","25400","21950"
"In post","2021","Attorney General's Departments","Other","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Inner London - West","Westminster","375","365","32140","27580"
"In post","2021","Attorney General's Departments","Other","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Outer London - South","Croydon","40","40","36010","31640"
"In post","2021","Attorney General's Departments","Other","West Yorkshire","Leeds","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Inner London - West","Westminster","75","70","49750","54760"
"In post","2021","Attorney General's Departments","Policy","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Inner London - West","Westminster","25","20","37080","32080"
"In post","2021","Attorney General's Departments","Security","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","North Yorkshire","York","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Greater Manchester","Greater Manchester South West","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Inner London - West","Westminster","15","15","40110","37300"
"In post","2021","Cabinet Office","Operational Delivery","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Inner London - West","Westminster","35","35","45790","38430"
"In post","2021","Cabinet Office","Other","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","Inner London - East","Tower Hamlets","10","10","56880","57880"
"In post","2021","Cabinet Office","Policy","Inner London - West","Westminster","15","15","53100","43890"
"In post","2021","Cabinet Office","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Bedfordshire and Hertfordshire","Hertfordshire","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","10","10","50420","36460"
"In post","2021","Cabinet Office","Unknown","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","15","15","54660","54700"
