"Status","Year","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Project Delivery","11460","11120","42740","39450"
"In post","2021","Declared non-disabled","Property","4820","4615","37220","33300"
"In post","2021","Declared non-disabled","Psychology","1015","970","35980","31180"
"In post","2021","Declared non-disabled","Science and Engineering","9575","9190","38710","37320"
"In post","2021","Declared non-disabled","Security","5230","5120","31180","26750"
"In post","2021","Declared non-disabled","Social Research","740","705","45100","43870"
"In post","2021","Declared non-disabled","Statistics","1355","1305","44390","40680"
"In post","2021","Declared non-disabled","Tax","9755","9180","35690","31810"
"In post","2021","Declared non-disabled","Unknown","84415","76660","30390","27570"
"In post","2021","Declared non-disabled","Veterinarian","340","325","46140","45430"
"In post","2021","Undeclared","Commercial","350","340","42530","40270"
"In post","2021","Undeclared","Communications","195","190","41960","38630"
"In post","2021","Undeclared","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","75","70","37480","33730"
"In post","2021","Undeclared","Digital, Data and Technology","715","700","41110","38560"
"In post","2021","Undeclared","Economics","120","120","44730","37090"
"In post","2021","Undeclared","Finance","520","495","39760","36500"
"In post","2021","Undeclared","Human Resources","410","390","38420","34710"
"In post","2021","Undeclared","Intelligence Analysis","285","275","34080","31810"
"In post","2021","Undeclared","Internal Audit","60","55","49490","49400"
"In post","2021","Undeclared","International Trade","45","45","47800","42610"
"In post","2021","Undeclared","Knowledge and Information Management","165","160","38440","35390"
"In post","2021","Undeclared","Legal","535","500","45550","40820"
"In post","2021","Undeclared","Medicine","125","110","62810","51390"
"In post","2021","Undeclared","Operational Delivery","12750","11645","29620","28130"
"In post","2021","Undeclared","Operational Research","100","100","45340","46080"
"In post","2021","Undeclared","Other","1350","1295","29960","26670"
"In post","2021","Undeclared","Planning","10","10","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","20","15","[c]","[c]"
"In post","2021","Undeclared","Policy","1650","1615","46010","42100"
"In post","2021","Undeclared","Project Delivery","935","910","42020","40000"
"In post","2021","Undeclared","Property","535","510","37040","33300"
"In post","2021","Undeclared","Psychology","135","130","37360","31180"
"In post","2021","Undeclared","Science and Engineering","1055","1010","39050","37380"
"In post","2021","Undeclared","Security","685","670","34410","34890"
"In post","2021","Undeclared","Social Research","45","45","42830","42470"
"In post","2021","Undeclared","Statistics","90","85","43030","41760"
"In post","2021","Undeclared","Tax","865","810","38080","32520"
"In post","2021","Undeclared","Unknown","4865","4535","29520","27570"
"In post","2021","Undeclared","Veterinarian","50","50","46130","37910"
"In post","2021","Unknown","Commercial","985","950","38620","36140"
"In post","2021","Unknown","Communications","955","930","41820","38600"
"In post","2021","Unknown","Corporate Finance","20","20","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","140","135","40870","35070"
"In post","2021","Unknown","Digital, Data and Technology","3155","3100","40850","37790"
"In post","2021","Unknown","Economics","540","535","42690","36030"
"In post","2021","Unknown","Finance","1420","1355","38210","33590"
"In post","2021","Unknown","Human Resources","1165","1115","34960","31180"
"In post","2021","Unknown","Inspector of Education and Training","75","70","58960","51360"
"In post","2021","Unknown","Intelligence Analysis","405","395","44130","40650"
"In post","2021","Unknown","Internal Audit","45","40","42020","40580"
"In post","2021","Unknown","International Trade","540","535","45700","38630"
"In post","2021","Unknown","Knowledge and Information Management","350","325","38900","36330"
"In post","2021","Unknown","Legal","2490","2360","43760","39800"
"In post","2021","Unknown","Medicine","705","630","59780","43610"
"In post","2021","Unknown","Operational Delivery","32930","30635","27510","24880"
"In post","2021","Unknown","Operational Research","165","160","42640","38630"
"In post","2021","Unknown","Other","5340","5185","34450","31320"
"In post","2021","Unknown","Planning","15","15","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","65","55","56520","58810"
"In post","2021","Unknown","Policy","5270","5160","46040","40650"
"In post","2021","Unknown","Project Delivery","2150","2090","42450","38630"
"In post","2021","Unknown","Property","1035","995","32620","30000"
"In post","2021","Unknown","Psychology","150","145","34220","30930"
"In post","2021","Unknown","Science and Engineering","2340","2240","39790","37480"
"In post","2021","Unknown","Security","1800","1775","31160","28750"
"In post","2021","Unknown","Social Research","270","265","36190","36030"
"In post","2021","Unknown","Statistics","420","405","39740","37020"
"In post","2021","Unknown","Tax","5820","5555","28270","25560"
"In post","2021","Unknown","Unknown","13875","13415","37380","30650"
"In post","2021","Unknown","Veterinarian","40","35","42330","37240"
"Leaver CS","2021","Declared disabled","Commercial","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data and Technology","40","[c]","35420","31460"
"Leaver CS","2021","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","40","[c]","36100","35310"
"Leaver CS","2021","Declared disabled","Inspector of Education and Training","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","35","[c]","49240","46370"
"Leaver CS","2021","Declared disabled","Medicine","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Operational Delivery","845","[c]","26630","22230"
"Leaver CS","2021","Declared disabled","Operational Research","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Other","160","[c]","28340","26430"
"Leaver CS","2021","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Policy","55","[c]","44220","39150"
"Leaver CS","2021","Declared disabled","Project Delivery","45","[c]","39910","35790"
"Leaver CS","2021","Declared disabled","Property","35","[c]","34900","33300"
"Leaver CS","2021","Declared disabled","Psychology","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Science and Engineering","65","[c]","28440","26570"
"Leaver CS","2021","Declared disabled","Security","40","[c]","30790","29440"
"Leaver CS","2021","Declared disabled","Social Research","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","1480","[c]","27420","26890"
"Leaver CS","2021","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","115","[c]","42450","38990"
"Leaver CS","2021","Declared non-disabled","Communications","125","[c]","37630","33300"
"Leaver CS","2021","Declared non-disabled","Corporate Finance","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","225","[c]","43420","38790"
"Leaver CS","2021","Declared non-disabled","Economics","50","[c]","43060","35190"
"Leaver CS","2021","Declared non-disabled","Finance","170","[c]","43450","40300"
"Leaver CS","2021","Declared non-disabled","Human Resources","185","[c]","38600","33940"
"Leaver CS","2021","Declared non-disabled","Inspector of Education and Training","65","[c]","68170","75500"
"Leaver CS","2021","Declared non-disabled","Intelligence Analysis","55","[c]","35280","32930"
"Leaver CS","2021","Declared non-disabled","Internal Audit","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","International Trade","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","75","[c]","35700","32650"
"Leaver CS","2021","Declared non-disabled","Legal","280","[c]","54390","54400"
"Leaver CS","2021","Declared non-disabled","Medicine","155","[c]","53130","38690"
"Leaver CS","2021","Declared non-disabled","Operational Delivery","4475","[c]","28250","23500"
"Leaver CS","2021","Declared non-disabled","Operational Research","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other","750","[c]","29780","26670"
"Leaver CS","2021","Declared non-disabled","Planning","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Planning Inspectors","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Policy","435","[c]","48890","41970"
"Leaver CS","2021","Declared non-disabled","Project Delivery","295","[c]","43120","39380"
"Leaver CS","2021","Declared non-disabled","Property","245","[c]","34370","31070"
"Leaver CS","2021","Declared non-disabled","Psychology","70","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Science and Engineering","470","[c]","32900","30090"
"Leaver CS","2021","Declared non-disabled","Security","215","[c]","30880","27050"
"Leaver CS","2021","Declared non-disabled","Social Research","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Statistics","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","6885","[c]","29210","26120"
"Leaver CS","2021","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data and Technology","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Economics","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Medicine","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Operational Delivery","660","[c]","28910","24890"
"Leaver CS","2021","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Other","75","[c]","27590","21890"
"Leaver CS","2021","Undeclared","Planning Inspectors","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Policy","40","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","30","[c]","36770","34550"
"Leaver CS","2021","Undeclared","Psychology","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Science and Engineering","85","[c]","32300","34530"
"Leaver CS","2021","Undeclared","Security","35","[c]","35220","39070"
"Leaver CS","2021","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","635","[c]","30710","27570"
"Leaver CS","2021","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","50","[c]","33760","34800"
"Leaver CS","2021","Unknown","Communications","80","[c]","35610","33120"
"Leaver CS","2021","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data and Technology","165","[c]","41740","38220"
"Leaver CS","2021","Unknown","Economics","55","[c]","27080","19130"
"Leaver CS","2021","Unknown","Finance","50","[c]","41190","36500"
"Leaver CS","2021","Unknown","Human Resources","75","[c]","37960","30330"
"Leaver CS","2021","Unknown","Inspector of Education and Training","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","International Trade","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Knowledge and Information Management","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","85","[c]","51980","55000"
"Leaver CS","2021","Unknown","Medicine","80","[c]","52490","38570"
"Leaver CS","2021","Unknown","Operational Delivery","2275","[c]","27410","22680"
"Leaver CS","2021","Unknown","Operational Research","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other","485","[c]","32210","29930"
"Leaver CS","2021","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Policy","300","[c]","40980","34730"
"Leaver CS","2021","Unknown","Project Delivery","85","[c]","34890","36030"
"Leaver CS","2021","Unknown","Property","115","[c]","27640","24500"
"Leaver CS","2021","Unknown","Psychology","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Science and Engineering","185","[c]","33810","28660"
"Leaver CS","2021","Unknown","Security","110","[c]","28090","24860"
"Leaver CS","2021","Unknown","Social Research","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Statistics","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","3260","[c]","33600","27570"
"Leaver CS","2021","Unknown","Veterinarian","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data and Technology","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Economics","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","35","[c]","42940","40940"
"Leaver Dept.","2021","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Internal Audit","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","International Trade","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Operational Delivery","165","[c]","28700","24590"
"Leaver Dept.","2021","Declared disabled","Operational Research","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Other","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Policy","120","[c]","42150","37220"
"Leaver Dept.","2021","Declared disabled","Project Delivery","45","[c]","40310","33310"
"Leaver Dept.","2021","Declared disabled","Property","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Science and Engineering","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Statistics","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","435","[c]","35070","32000"
"Leaver Dept.","2021","Declared non-disabled","Commercial","95","[c]","37050","36350"
"Leaver Dept.","2021","Declared non-disabled","Communications","105","[c]","45420","40800"
"Leaver Dept.","2021","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Counter Fraud","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data and Technology","115","[c]","44820","39200"
"Leaver Dept.","2021","Declared non-disabled","Economics","70","[c]","43640","38600"
"Leaver Dept.","2021","Declared non-disabled","Finance","155","[c]","46610","45150"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","195","[c]","38180","33620"
"Leaver Dept.","2021","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Intelligence Analysis","35","[c]","35410","35050"
"Leaver Dept.","2021","Declared non-disabled","Internal Audit","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","International Trade","50","[c]","48410","50700"
"Leaver Dept.","2021","Declared non-disabled","Knowledge and Information Management","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Legal","85","[c]","55950","54300"
"Leaver Dept.","2021","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Operational Delivery","1235","[c]","29310","24890"
"Leaver Dept.","2021","Declared non-disabled","Operational Research","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Other","205","[c]","37440","30750"
"Leaver Dept.","2021","Declared non-disabled","Planning","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Policy","880","[c]","45950","40940"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","270","[c]","41980","38680"
"Leaver Dept.","2021","Declared non-disabled","Property","35","[c]","43670","36840"
"Leaver Dept.","2021","Declared non-disabled","Psychology","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Science and Engineering","90","[c]","37340","33900"
"Leaver Dept.","2021","Declared non-disabled","Security","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Social Research","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Statistics","60","[c]","41130","36300"
"Leaver Dept.","2021","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","3105","[c]","35600","31990"
"Leaver Dept.","2021","Undeclared","Commercial","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Economics","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","120","[c]","28430","24890"
"Leaver Dept.","2021","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","90","[c]","44380","41790"
"Leaver Dept.","2021","Undeclared","Project Delivery","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","265","[c]","36010","32000"
"Leaver Dept.","2021","Unknown","Commercial","40","[c]","39020","37530"
"Leaver Dept.","2021","Unknown","Communications","70","[c]","42630","39600"
"Leaver Dept.","2021","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","70","[c]","45050","44310"
"Leaver Dept.","2021","Unknown","Economics","35","[c]","46660","52300"
"Leaver Dept.","2021","Unknown","Finance","45","[c]","47680","45200"
"Leaver Dept.","2021","Unknown","Human Resources","75","[c]","42120","37480"
"Leaver Dept.","2021","Unknown","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","70","[c]","43530","38540"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","470","[c]","28430","23530"
"Leaver Dept.","2021","Unknown","Operational Research","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","65","[c]","39320","33300"
"Leaver Dept.","2021","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","600","[c]","42070","37240"
"Leaver Dept.","2021","Unknown","Project Delivery","75","[c]","42060","37290"
"Leaver Dept.","2021","Unknown","Property","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Social Research","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","1680","[c]","36080","32000"
"New entrant CS","2021","Declared disabled","Commercial","15","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Communications","15","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Counter Fraud","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Digital, Data and Technology","75","[c]","37980","37000"
"New entrant CS","2021","Declared disabled","Economics","15","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Finance","25","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Human Resources","60","[c]","34730","29760"
"New entrant CS","2021","Declared disabled","Inspector of Education and Training","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Intelligence Analysis","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","International Trade","10","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Knowledge and Information Management","15","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Legal","35","[c]","39530","40000"
"New entrant CS","2021","Declared disabled","Medicine","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Operational Delivery","800","[c]","24940","22850"
"New entrant CS","2021","Declared disabled","Operational Research","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Other","105","[c]","24020","20920"
"New entrant CS","2021","Declared disabled","Planning","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Policy","225","[c]","34790","32790"
"New entrant CS","2021","Declared disabled","Project Delivery","70","[c]","35680","33000"
"New entrant CS","2021","Declared disabled","Property","15","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Psychology","10","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","100","[c]","29460","28200"
"New entrant CS","2021","Declared disabled","Security","25","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","15","[c]","[c]","[c]"
