"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","AO","Female","195","180","21750","21440"
"In post","2021","Digital, Data & Technology","AO","Male","200","200","22350","21590"
"In post","2021","Digital, Data & Technology","EO","Female","880","820","27180","26670"
"In post","2021","Digital, Data & Technology","EO","Male","1400","1375","27610","26740"
"In post","2021","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6","Female","270","260","65820","64670"
"In post","2021","Digital, Data & Technology","G6","Male","480","465","67110","65450"
"In post","2021","Digital, Data & Technology","G7","Female","1035","995","54100","53360"
"In post","2021","Digital, Data & Technology","G7","Male","1895","1870","55540","54230"
"In post","2021","Digital, Data & Technology","HEO","Female","1315","1245","32980","32180"
"In post","2021","Digital, Data & Technology","HEO","Male","2120","2080","33800","33260"
"In post","2021","Digital, Data & Technology","SCS level","Female","90","85","88680","79360"
"In post","2021","Digital, Data & Technology","SCS level","Male","165","165","92780","89800"
"In post","2021","Digital, Data & Technology","SEO","Female","1170","1120","40250","39650"
"In post","2021","Digital, Data & Technology","SEO","Male","2225","2185","41460","40580"
"In post","2021","Digital, Data & Technology","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Female","25","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Male","80","75","37430","37200"
"In post","2021","Finance","AA","Female","70","50","19780","20070"
"In post","2021","Finance","AA","Male","85","80","20010","20070"
"In post","2021","Finance","AO","Female","925","745","21280","21400"
"In post","2021","Finance","AO","Male","410","380","21190","21050"
"In post","2021","Finance","EO","Female","1080","1000","26570","26670"
"In post","2021","Finance","EO","Male","610","600","26230","26350"
"In post","2021","Finance","G6","Female","255","240","66720","66230"
"In post","2021","Finance","G6","Male","315","315","68280","67590"
"In post","2021","Finance","G7","Female","740","710","54780","54400"
"In post","2021","Finance","G7","Male","760","755","55690","54700"
"In post","2021","Finance","HEO","Female","1095","1040","33110","32790"
"In post","2021","Finance","HEO","Male","830","820","33520","32880"
"In post","2021","Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS level","Female","100","100","88170","82720"
"In post","2021","Finance","SCS level","Male","175","175","92900","85800"
"In post","2021","Finance","SEO","Female","995","950","41190","40580"
"In post","2021","Finance","SEO","Male","900","885","41740","40780"
"In post","2021","Finance","Unknown","Female","25","25","[c]","[c]"
"In post","2021","Finance","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Grants Management","AO","Female","565","480","21000","21050"
"In post","2021","Grants Management","AO","Male","390","380","21020","21050"
"In post","2021","Grants Management","EO","Female","315","280","25510","25190"
"In post","2021","Grants Management","EO","Male","225","220","25530","25190"
"In post","2021","Grants Management","G6","Female","10","10","[c]","[c]"
"In post","2021","Grants Management","G6","Male","5","5","[c]","[c]"
"In post","2021","Grants Management","G7","Female","20","20","[c]","[c]"
"In post","2021","Grants Management","G7","Male","25","25","[c]","[c]"
"In post","2021","Grants Management","HEO","Female","130","115","30470","30230"
"In post","2021","Grants Management","HEO","Male","105","105","30830","30780"
"In post","2021","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Grants Management","SEO","Female","50","50","37500","37230"
"In post","2021","Grants Management","SEO","Male","45","45","38270","37570"
"In post","2021","Human Resources","AA","Female","60","55","19840","19560"
"In post","2021","Human Resources","AA","Male","35","30","19560","19160"
"In post","2021","Human Resources","AO","Female","1085","950","21510","21130"
"In post","2021","Human Resources","AO","Male","430","420","21290","20920"
"In post","2021","Human Resources","EO","Female","1240","1150","26540","26670"
"In post","2021","Human Resources","EO","Male","525","515","27010","26670"
"In post","2021","Human Resources","G6","Female","325","315","66310","65440"
"In post","2021","Human Resources","G6","Male","155","155","67600","66150"
"In post","2021","Human Resources","G7","Female","995","955","54600","53870"
"In post","2021","Human Resources","G7","Male","420","415","55150","54540"
"In post","2021","Human Resources","HEO","Female","1570","1480","32760","32330"
"In post","2021","Human Resources","HEO","Male","690","680","33360","32980"
"In post","2021","Human Resources","SCS level","Female","150","145","88780","81870"
"In post","2021","Human Resources","SCS level","Male","75","70","90030","83350"
"In post","2021","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO","Female","1085","1030","41080","40130"
"In post","2021","Human Resources","SEO","Male","505","495","41760","40650"
"In post","2021","Human Resources","Unknown","Female","165","155","35190","32580"
"In post","2021","Human Resources","Unknown","Male","65","65","43930","34850"
"In post","2021","Internal Audit","AO","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","AO","Male","10","10","[c]","[c]"
"In post","2021","Internal Audit","EO","Female","35","30","27920","26780"
"In post","2021","Internal Audit","EO","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","G6","Female","35","30","67180","65600"
"In post","2021","Internal Audit","G6","Male","40","40","67260","64350"
"In post","2021","Internal Audit","G7","Female","55","50","53970","53110"
"In post","2021","Internal Audit","G7","Male","75","75","54460","54140"
"In post","2021","Internal Audit","HEO","Female","90","90","33940","33300"
"In post","2021","Internal Audit","HEO","Male","75","70","34510","33930"
"In post","2021","Internal Audit","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","SEO","Female","155","145","43380","42410"
"In post","2021","Internal Audit","SEO","Male","140","135","44750","44760"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA","Female","155","125","20090","20070"
"In post","2021","Legal","AA","Male","150","135","20080","20070"
"In post","2021","Legal","AO","Female","1660","1475","22340","22820"
"In post","2021","Legal","AO","Male","615","595","22410","22820"
"In post","2021","Legal","EO","Female","1715","1555","28080","28430"
"In post","2021","Legal","EO","Male","730","715","27990","28430"
"In post","2021","Legal","G6","Female","815","740","69360","67790"
"In post","2021","Legal","G6","Male","570","555","70810","70000"
"In post","2021","Legal","G7","Female","2905","2605","56000","55430"
"In post","2021","Legal","G7","Male","1735","1670","56900","55610"
"In post","2021","Legal","HEO","Female","1055","1005","34100","33610"
"In post","2021","Legal","HEO","Male","595","585","33950","33260"
"In post","2021","Legal","SCS level","Female","245","230","87610","82500"
"In post","2021","Legal","SCS level","Male","215","215","90250","83830"
"In post","2021","Legal","SEO","Female","1145","1020","42700","41830"
"In post","2021","Legal","SEO","Male","525","500","43530","43040"
"In post","2021","Legal","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA","Female","6015","5055","19760","20070"
"In post","2021","No function","AA","Male","4590","4260","20440","20600"
"In post","2021","No function","AO","Female","31960","27780","22470","21440"
"In post","2021","No function","AO","Male","27945","26700","24970","23970"
"In post","2021","No function","EO","Female","17080","15685","27360","26860"
"In post","2021","No function","EO","Male","16040","15405","29110","28080"
"In post","2021","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","G6","Female","2560","2420","67700","65450"
"In post","2021","No function","G6","Male","2960","2875","68480","66230"
"In post","2021","No function","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","G7","Female","7475","7150","54470","53380"
"In post","2021","No function","G7","Male","8085","7940","55170","53600"
"In post","2021","No function","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","HEO","Female","15140","14350","32870","32100"
"In post","2021","No function","HEO","Male","14080","13670","34170","33510"
"In post","2021","No function","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS level","Female","1445","1350","88830","79790"
"In post","2021","No function","SCS level","Male","1510","1470","92070","83110"
"In post","2021","No function","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","SEO","Female","8390","7955","41560","40060"
"In post","2021","No function","SEO","Male","7640","7425","43340","40860"
"In post","2021","No function","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Female","9290","8485","29630","28200"
"In post","2021","No function","Unknown","Male","2720","2615","30740","30210"
"In post","2021","Project Delivery","AA","Female","20","20","[c]","[c]"
"In post","2021","Project Delivery","AA","Male","40","40","17410","17230"
"In post","2021","Project Delivery","AO","Female","375","345","21910","21440"
"In post","2021","Project Delivery","AO","Male","180","175","22270","21610"
"In post","2021","Project Delivery","EO","Female","2295","2125","25230","26120"
"In post","2021","Project Delivery","EO","Male","2310","2260","24490","25560"
"In post","2021","Project Delivery","G6","Female","900","870","66440","65440"
"In post","2021","Project Delivery","G6","Male","1240","1210","67680","66720"
"In post","2021","Project Delivery","G7","Female","2335","2245","53020","53200"
"In post","2021","Project Delivery","G7","Male","2900","2860","53680","54100"
"In post","2021","Project Delivery","HEO","Female","3285","3100","32100","32770"
"In post","2021","Project Delivery","HEO","Male","3585","3530","32420","32820"
"In post","2021","Project Delivery","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","SCS level","Female","305","295","87850","79720"
"In post","2021","Project Delivery","SCS level","Male","390","385","94440","85610"
"In post","2021","Project Delivery","SEO","Female","2795","2660","39790","39980"
"In post","2021","Project Delivery","SEO","Male","4080","3990","40860","40580"
"In post","2021","Project Delivery","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Female","300","290","39210","37210"
"In post","2021","Project Delivery","Unknown","Male","1055","1045","43190","41270"
"In post","2021","Property","AA","Female","320","285","18710","18760"
"In post","2021","Property","AA","Male","505","495","18390","17980"
"In post","2021","Property","AO","Female","730","645","22060","21100"
"In post","2021","Property","AO","Male","800","775","24090","22920"
"In post","2021","Property","EO","Female","950","865","27110","26500"
"In post","2021","Property","EO","Male","1005","975","27760","26670"
"In post","2021","Property","G6","Female","75","75","65810","65050"
"In post","2021","Property","G6","Male","215","215","67030","65560"
"In post","2021","Property","G7","Female","325","315","53910","54540"
"In post","2021","Property","G7","Male","640","625","55230","54990"
"In post","2021","Property","HEO","Female","810","765","32790","33250"
"In post","2021","Property","HEO","Male","1180","1145","33890","33300"
"In post","2021","Property","SCS level","Female","30","30","82810","78300"
"In post","2021","Property","SCS level","Male","55","55","98700","93050"
"In post","2021","Property","SEO","Female","630","590","41160","40580"
"In post","2021","Property","SEO","Male","1005","975","42450","42160"
"In post","2021","Property","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Property","Unknown","Male","30","30","28760","21600"
"In post","2021","Security","AA","Female","325","315","19840","19560"
"In post","2021","Security","AA","Male","2025","1985","20090","19560"
"In post","2021","Security","AO","Female","580","545","27000","22980"
"In post","2021","Security","AO","Male","2585","2550","32710","38750"
"In post","2021","Security","EO","Female","360","350","28870","26670"
"In post","2021","Security","EO","Male","815","805","33870","30750"
"In post","2021","Security","G6","Female","30","30","[c]","[c]"
"In post","2021","Security","G6","Male","55","55","70880","69800"
"In post","2021","Security","G7","Female","110","105","55860","54700"
"In post","2021","Security","G7","Male","185","185","57560","55540"
"In post","2021","Security","HEO","Female","415","400","34650","33300"
"In post","2021","Security","HEO","Male","650","635","37400","34550"
"In post","2021","Security","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Security","SCS level","Male","30","30","90090","88760"
"In post","2021","Security","SEO","Female","190","185","44130","41180"
"In post","2021","Security","SEO","Male","330","325","46700","43840"
"In post","2021","Security","Unknown","Female","40","35","36590","37170"
"In post","2021","Security","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Unknown","AA","Female","2230","1955","20120","20060"
"In post","2021","Unknown","AA","Male","2335","2255","19880","19300"
"In post","2021","Unknown","AO","Female","28865","24185","21500","21010"
"In post","2021","Unknown","AO","Male","15625","14930","21630","21010"
"In post","2021","Unknown","EO","Female","42870","37930","27900","27570"
"In post","2021","Unknown","EO","Male","27225","26095","27890","27570"
"In post","2021","Unknown","G6","Female","1690","1605","69210","68740"
"In post","2021","Unknown","G6","Male","1795","1755","70340","69160"
"In post","2021","Unknown","G7","Female","4360","4115","56760","56620"
"In post","2021","Unknown","G7","Male","4190","4105","57580","57460"
"In post","2021","Unknown","HEO","Female","11155","10440","34000","33300"
"In post","2021","Unknown","HEO","Male","8600","8395","34230","33620"
"In post","2021","Unknown","SCS level","Female","630","605","88140","82460"
"In post","2021","Unknown","SCS level","Male","710","700","91790","83230"
"In post","2021","Unknown","SEO","Female","6220","5885","41480","41560"
"In post","2021","Unknown","SEO","Male","5745","5640","42140","41950"
"In post","2021","Unknown","Unknown","Female","350","345","35660","35380"
"In post","2021","Unknown","Unknown","Male","2120","2115","38010","34460"
"Leaver CS","2021","Analysis","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","AO","Female","45","[c]","21790","21980"
"Leaver CS","2021","Analysis","AO","Male","50","[c]","20830","19130"
"Leaver CS","2021","Analysis","EO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G7","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","HEO","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","HEO","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G7","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS level","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO","Male","35","[c]","41690","41010"
"Leaver CS","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G7","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HEO","Female","45","[c]","33030","33100"
"Leaver CS","2021","Communications","HEO","Male","30","[c]","31580","32520"
"Leaver CS","2021","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G7","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","HEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Male","50","[c]","27930","27130"
"Leaver CS","2021","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G7","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G7","Male","70","[c]","56860","56160"
"Leaver CS","2021","Digital, Data & Technology","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HEO","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HEO","Male","55","[c]","34340","33290"
"Leaver CS","2021","Digital, Data & Technology","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO","Female","30","[c]","41330","40150"
"Leaver CS","2021","Digital, Data & Technology","SEO","Male","50","[c]","41670","40600"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G7","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HEO","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AO","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G7","Female","[c]","[c]","[c]","[c]"
