"Status","Year","Age","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Communications","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","North East (England)","15","15","20140","20140"
"In post","2021","16-19","Debt","HM Revenue and Customs","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Scotland","20","20","20410","20140"
"In post","2021","16-19","Debt","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","Scotland","10","5","20140","20140"
"In post","2021","16-19","Finance","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","South West (England)","20","20","19600","19040"
"In post","2021","16-19","Finance","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Government","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","Wales","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","Wales","35","25","19100","18060"
"In post","2021","16-19","No function","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","London","10","5","23800","23220"
"In post","2021","16-19","No function","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","South West (England)","10","5","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","North East (England)","35","30","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs","North West (England)","35","35","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","Scotland","10","10","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","Wales","20","20","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","Yorkshire and The Humber","30","25","20140","20140"
"In post","2021","16-19","No function","HM Treasury","London","20","20","24140","24300"
"In post","2021","16-19","No function","Ministry of Defence","South West (England)","15","15","17150","16990"
"In post","2021","16-19","No function","Ministry of Justice","East Midlands (England)","20","20","20810","20600"
"In post","2021","16-19","No function","Ministry of Justice","East of England","15","15","23480","22850"
"In post","2021","16-19","No function","Ministry of Justice","London","20","20","22420","22350"
"In post","2021","16-19","No function","Ministry of Justice","North West (England)","15","15","19960","20260"
"In post","2021","16-19","No function","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","South East (England)","25","25","23210","22850"
"In post","2021","16-19","No function","Ministry of Justice","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","Wales","5","5","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","West Midlands (England)","20","20","21230","20600"
"In post","2021","16-19","No function","Ministry of Justice","Yorkshire and The Humber","15","15","19970","20600"
"In post","2021","16-19","No function","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other Cabinet Office Agencies","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other Cabinet Office Agencies","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","Scotland","20","20","21080","20810"
"In post","2021","16-19","No function","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Wales","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","Scotland","10","10","17080","16780"
"In post","2021","16-19","Project Delivery","Ministry of Defence","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","South West (England)","95","95","17810","17780"
"In post","2021","16-19","Project Delivery","Ministry of Defence","Wales","15","15","16570","16780"
"In post","2021","16-19","Project Delivery","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Foreign, Commonwealth and Development Office","South East (England)","10","10","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","North East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Government","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","East Midlands (England)","15","15","22520","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","East of England","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","London","10","10","29280","31060"
"In post","2021","16-19","Unknown","Department for Work and Pensions","North East (England)","35","35","21540","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","North West (England)","35","35","21010","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Scotland","15","15","21010","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","South East (England)","15","15","24850","24180"
"In post","2021","16-19","Unknown","Department for Work and Pensions","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Wales","20","20","22830","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","West Midlands (England)","15","15","23530","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Yorkshire and The Humber","30","30","22320","21010"
"In post","2021","16-19","Unknown","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","East of England","15","15","21430","21430"
"In post","2021","16-19","Unknown","Home Office","London","10","10","28540","28650"
"In post","2021","16-19","Unknown","Home Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","North West (England)","10","5","21430","21430"
"In post","2021","16-19","Unknown","Home Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","South East (England)","25","25","21290","21430"
"In post","2021","16-19","Unknown","Home Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","Unknown","35","35","18640","15940"
"In post","2021","16-19","Unknown","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government","Scotland","65","65","21360","21150"
"In post","2021","16-19","Unknown","Welsh Government","Wales","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office","London","10","10","30800","28560"
"In post","2021","20-29","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Chancellor's other departments","London","55","55","36650","35310"
"In post","2021","20-29","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","London","30","30","40790","34570"
"In post","2021","20-29","Analysis","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy","London","180","180","37760","34090"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Wales","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","London","75","75","46680","42020"
"In post","2021","20-29","Analysis","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Education","London","75","70","43150","45250"
"In post","2021","20-29","Analysis","Department for Education","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Education","North West (England)","20","20","33290","33190"
"In post","2021","20-29","Analysis","Department for Education","South West (England)","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Education","Yorkshire and The Humber","30","30","37890","41990"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","East of England","45","45","25330","24920"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","15","15","25040","24920"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","London","135","135","36170","31800"
"In post","2021","20-29","Analysis","Department for International Trade","South East (England)","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport","London","185","180","38770","35060"
"In post","2021","20-29","Analysis","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department of Health and Social Care","London","65","60","47770","53360"
"In post","2021","20-29","Analysis","Department of Health and Social Care","Yorkshire and The Humber","25","25","40270","36820"
"In post","2021","20-29","Analysis","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","London","10","10","37230","34310"
"In post","2021","20-29","Analysis","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office","London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs","London","140","140","38210","36160"
"In post","2021","20-29","Analysis","HM Revenue and Customs","North East (England)","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs","North West (England)","100","100","34100","31810"
"In post","2021","20-29","Analysis","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Treasury","London","80","75","41260","36720"
"In post","2021","20-29","Analysis","Ministry of Defence","London","50","50","38140","38500"
"In post","2021","20-29","Analysis","Ministry of Defence","South East (England)","95","95","30950","28650"
"In post","2021","20-29","Analysis","Ministry of Defence","South West (England)","50","50","31960","28650"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government","London","85","85","37370","33990"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Justice","London","120","120","38360","33930"
"In post","2021","20-29","Analysis","Ministry of Justice","Yorkshire and The Humber","25","25","26810","23050"
"In post","2021","20-29","Analysis","Office for Standards in Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education","London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education","South West (England)","15","15","31090","32010"
