"Status","Year","Ethnicity","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","110","110","39460","35890"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Female","100","95","41680","38160"
"In post","2021","Asian","Department for International Trade","Male","110","110","43610","38540"
"In post","2021","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Female","145","145","43510","42470"
"In post","2021","Asian","Department for Transport (excl. agencies)","Male","145","145","46120","42890"
"In post","2021","Asian","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Female","4390","3760","27670","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Male","2950","2860","27870","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Female","105","100","42880","37630"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Male","60","60","40710","35390"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Female","20","15","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Male","25","25","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Female","35","30","28690","26780"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Male","80","75","29700","30470"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","Female","110","105","37590","36500"
"In post","2021","Asian","Education and Skills Funding Agency","Male","95","90","41510","37300"
"In post","2021","Asian","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Female","25","25","[c]","[c]"
"In post","2021","Asian","FCDO Services","Male","35","35","35290","29230"
"In post","2021","Asian","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Male","25","25","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Female","240","225","41700","36460"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Male","180","180","46880","39220"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Female","15","15","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Male","15","15","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","Female","25","25","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","Male","30","30","51280","49850"
"In post","2021","Asian","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Legal Department","Female","175","160","50110","51250"
"In post","2021","Asian","Government Legal Department","Male","80","80","48090","51250"
"In post","2021","Asian","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Female","25","25","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Male","30","30","57090","52160"
"In post","2021","Asian","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Courts and Tribunals Service","Female","985","855","24880","22500"
"In post","2021","Asian","HM Courts and Tribunals Service","Male","495","480","24930","22680"
"In post","2021","Asian","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Female","115","100","30340","27130"
"In post","2021","Asian","HM Land Registry","Male","95","90","31440","27130"
"In post","2021","Asian","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Prison and Probation Service","Female","740","690","30260","28200"
"In post","2021","Asian","HM Prison and Probation Service","Male","775","730","31880","31200"
"In post","2021","Asian","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","Female","1975","1775","30530","27700"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","Male","2220","2150","31180","29570"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury (excl. agencies)","Female","110","110","44500","41900"
"In post","2021","Asian","HM Treasury (excl. agencies)","Male","85","85","42150","36350"
"In post","2021","Asian","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office (incl. agencies)","Female","2600","2335","31130","28850"
"In post","2021","Asian","Home Office (incl. agencies)","Male","1895","1825","31490","28810"
"In post","2021","Asian","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","Female","85","75","27740","25060"
"In post","2021","Asian","Insolvency Service","Male","60","55","30570","26290"
"In post","2021","Asian","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Female","15","15","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Female","40","35","26140","22570"
"In post","2021","Asian","Legal Aid Agency","Male","25","25","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Female","15","15","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Male","40","40","56500","59220"
"In post","2021","Asian","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Female","165","160","38810","33100"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Male","105","105","45270","40450"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","Female","10","10","[c]","[c]"
"In post","2021","Asian","Met Office","Male","15","15","[c]","[c]"
"In post","2021","Asian","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Female","425","400","33530","30660"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Male","480","475","34160","33000"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","125","120","41010","36340"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","85","85","40780","36340"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Female","275","265","36840","32870"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Male","190","190","41410","37820"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Female","145","135","35210","33910"
"In post","2021","Asian","National Crime Agency","Male","100","95","37740","36740"
"In post","2021","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Female","10","10","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Male","10","10","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Female","70","65","39700","39660"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Male","30","30","43390","35010"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Female","55","55","42830","38750"
"In post","2021","Asian","Office of Gas and Electricity Markets","Male","50","50","45630","39670"
"In post","2021","Asian","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Female","15","15","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Male","10","10","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Female","10","10","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Male","10","10","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Public Guardian","Female","205","185","21300","19930"
"In post","2021","Asian","Office of the Public Guardian","Male","210","205","21060","19930"
"In post","2021","Asian","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Female","5","5","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Male","5","5","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Public Health England","Female","495","455","41580","32330"
"In post","2021","Asian","Public Health England","Male","220","215","44780","39020"
"In post","2021","Asian","Public Health England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Queen Elizabeth II Centre","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Female","5","5","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Female","20","15","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Male","10","10","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government (excl. agencies)","Female","35","30","38870","35110"
"In post","2021","Asian","Scottish Government (excl. agencies)","Male","35","35","40440","38540"
"In post","2021","Asian","Scottish Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Male","5","5","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","Female","25","25","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","Male","20","20","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Security Scotland","Female","10","10","[c]","[c]"
"In post","2021","Asian","Social Security Scotland","Male","15","15","[c]","[c]"
"In post","2021","Asian","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Female","10","10","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Submarine Delivery Agency","Female","15","15","[c]","[c]"
"In post","2021","Asian","Submarine Delivery Agency","Male","30","30","37700","33230"
"In post","2021","Asian","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Teaching Regulation Agency","Female","10","10","[c]","[c]"
"In post","2021","Asian","Teaching Regulation Agency","Male","5","5","[c]","[c]"
"In post","2021","Asian","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","Female","30","25","[c]","[c]"
"In post","2021","Asian","The National Archives","Male","15","15","[c]","[c]"
"In post","2021","Asian","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Transport Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Transport Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","Female","25","25","[c]","[c]"
"In post","2021","Asian","UK Export Finance","Male","40","40","50040","46640"
"In post","2021","Asian","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Intellectual Property Office","Female","15","10","[c]","[c]"
"In post","2021","Asian","UK Intellectual Property Office","Male","15","15","[c]","[c]"
"In post","2021","Asian","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Space Agency","Female","5","5","[c]","[c]"
"In post","2021","Asian","UK Space Agency","Male","5","5","[c]","[c]"
"In post","2021","Asian","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","Female","70","65","30890","29540"
"In post","2021","Asian","United Kingdom Statistics Authority","Male","60","55","29660","26050"
"In post","2021","Asian","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Valuation Office Agency","Female","100","90","31650","29660"
"In post","2021","Asian","Valuation Office Agency","Male","85","85","33710","30680"
"In post","2021","Asian","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Vehicle Certification Agency","Male","10","10","[c]","[c]"
"In post","2021","Asian","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinary Medicines Directorate","Female","10","10","[c]","[c]"
"In post","2021","Asian","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","Female","10","10","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","Male","15","15","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2021","Asian","Welsh Government (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2021","Asian","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wilton Park","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Advisory, Conciliation and Arbitration Service","Female","20","20","[c]","[c]"
"In post","2021","Black","Advisory, Conciliation and Arbitration Service","Male","15","15","[c]","[c]"
"In post","2021","Black","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Animal and Plant Health Agency","Female","5","5","[c]","[c]"
"In post","2021","Black","Animal and Plant Health Agency","Male","5","5","[c]","[c]"
"In post","2021","Black","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
