"Status","Year","Age","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","South West (England)","Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Wiltshire","AA/AO","30","30","18680","19630"
"In post","2021","16-19","South West (England)","Wiltshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Wales","Bridgend and Neath Port Talbot","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Cardiff and Vale of Glamorgan","AA/AO","35","30","20200","20140"
"In post","2021","16-19","Wales","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Central Valleys","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Wales","Flintshire and Wrexham","AA/AO","15","15","17110","16780"
"In post","2021","16-19","Wales","Flintshire and Wrexham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Gwent Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Gwynedd","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Gwynedd","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Monmouthshire and Newport","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Wales","Monmouthshire and Newport","EO","10","10","[c]","[c]"
"In post","2021","16-19","Wales","South West Wales","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Wales","Swansea","AA/AO","45","40","19590","18060"
"In post","2021","16-19","Wales","Swansea","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Birmingham","AA/AO","20","20","20230","20140"
"In post","2021","16-19","West Midlands (England)","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Coventry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Dudley","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Dudley","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Shropshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Solihull","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Solihull","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Staffordshire CC","AA/AO","10","10","21870","22220"
"In post","2021","16-19","West Midlands (England)","Staffordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Stoke-on-Trent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Wolverhampton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Worcestershire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Worcestershire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Bradford","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Bradford","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Calderdale and Kirklees","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Calderdale and Kirklees","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Kingston upon Hull, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Leeds","AA/AO","45","45","20410","20140"
"In post","2021","16-19","Yorkshire and The Humber","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","North and North East Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Sheffield","AA/AO","15","15","20830","21010"
"In post","2021","16-19","Yorkshire and The Humber","Sheffield","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Sheffield","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Wakefield","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","York","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","York","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Derby","AA/AO","55","55","22240","21010"
"In post","2021","20-29","East Midlands (England)","Derby","EO","40","40","27260","27570"
"In post","2021","20-29","East Midlands (England)","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Derby","Unknown","25","25","25440","23680"
"In post","2021","20-29","East Midlands (England)","East Derbyshire","EO","15","15","27570","27570"
"In post","2021","20-29","East Midlands (England)","East Derbyshire","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Leicester","AA/AO","200","195","21540","21010"
"In post","2021","20-29","East Midlands (England)","Leicester","EO","85","85","27040","27570"
"In post","2021","20-29","East Midlands (England)","Leicester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Leicester","SEO/HEO","25","25","33210","31990"
"In post","2021","20-29","East Midlands (England)","Leicester","Unknown","25","25","25100","22920"
"In post","2021","20-29","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","195","195","22830","22850"
"In post","2021","20-29","East Midlands (England)","Leicestershire CC and Rutland","EO","50","50","25590","25140"
"In post","2021","20-29","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","20","20","33380","33540"
"In post","2021","20-29","East Midlands (England)","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","AA/AO","150","145","22920","21360"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","EO","80","80","27510","27570"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","SEO/HEO","30","30","33480","33000"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","Unknown","25","25","25660","22920"
"In post","2021","20-29","East Midlands (England)","North Northamptonshire","AA/AO","30","30","21360","21010"
"In post","2021","20-29","East Midlands (England)","North Northamptonshire","EO","25","25","27640","27570"
"In post","2021","20-29","East Midlands (England)","North Northamptonshire","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","North Nottinghamshire","AA/AO","110","110","24530","25300"
"In post","2021","20-29","East Midlands (England)","North Nottinghamshire","EO","30","30","27790","27570"
"In post","2021","20-29","East Midlands (England)","North Nottinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","North Nottinghamshire","Unknown","20","20","25230","22920"
"In post","2021","20-29","East Midlands (England)","Nottingham","AA/AO","525","505","21290","20140"
"In post","2021","20-29","East Midlands (England)","Nottingham","EO","440","435","25450","25560"
"In post","2021","20-29","East Midlands (England)","Nottingham","G6/G7","45","45","52260","52580"
"In post","2021","20-29","East Midlands (England)","Nottingham","SEO/HEO","305","305","32060","31810"
"In post","2021","20-29","East Midlands (England)","Nottingham","Unknown","35","30","23970","22920"
"In post","2021","20-29","East Midlands (England)","South and West Derbyshire","AA/AO","75","70","23460","22850"
"In post","2021","20-29","East Midlands (England)","South and West Derbyshire","EO","35","35","27050","26980"
"In post","2021","20-29","East Midlands (England)","South and West Derbyshire","SEO/HEO","10","10","31380","31710"
"In post","2021","20-29","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","South Nottinghamshire","AA/AO","45","40","23190","22850"
"In post","2021","20-29","East Midlands (England)","South Nottinghamshire","EO","20","20","26320","26330"
"In post","2021","20-29","East Midlands (England)","South Nottinghamshire","SEO/HEO","15","15","30560","29750"
"In post","2021","20-29","East Midlands (England)","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","West Northamptonshire","AA/AO","140","135","21490","20600"
"In post","2021","20-29","East Midlands (England)","West Northamptonshire","EO","30","30","26430","27570"
"In post","2021","20-29","East Midlands (England)","West Northamptonshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","West Northamptonshire","Unknown","30","30","24540","22920"
"In post","2021","20-29","East of England","Bedford","AA/AO","105","105","27580","29920"
"In post","2021","20-29","East of England","Bedford","EO","35","35","27180","27570"
"In post","2021","20-29","East of England","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Bedford","Unknown","15","15","23270","22920"
"In post","2021","20-29","East of England","Breckland and South Norfolk","AA/AO","85","85","23350","23970"
"In post","2021","20-29","East of England","Breckland and South Norfolk","EO","15","15","27000","27570"
"In post","2021","20-29","East of England","Breckland and South Norfolk","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","East of England","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Cambridgeshire CC","AA/AO","230","225","25060","25850"
"In post","2021","20-29","East of England","Cambridgeshire CC","EO","105","105","26720","26670"
"In post","2021","20-29","East of England","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Cambridgeshire CC","SEO/HEO","85","85","33200","33000"
"In post","2021","20-29","East of England","Cambridgeshire CC","Unknown","25","25","25500","22920"
"In post","2021","20-29","East of England","Central Bedfordshire","AA/AO","15","15","20130","20720"
"In post","2021","20-29","East of England","Central Bedfordshire","EO","15","15","29050","29670"
"In post","2021","20-29","East of England","Central Bedfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","East of England","Essex Haven Gateway","AA/AO","50","50","23040","21430"
"In post","2021","20-29","East of England","Essex Haven Gateway","EO","40","40","27980","28580"
"In post","2021","20-29","East of England","Essex Haven Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Essex Haven Gateway","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","East of England","Essex Thames Gateway","AA/AO","40","40","24130","24180"
"In post","2021","20-29","East of England","Essex Thames Gateway","EO","50","50","28870","29290"
"In post","2021","20-29","East of England","Essex Thames Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Essex Thames Gateway","Unknown","30","30","22180","22920"
"In post","2021","20-29","East of England","Heart of Essex","AA/AO","95","95","26420","25850"
"In post","2021","20-29","East of England","Heart of Essex","EO","85","85","28540","29290"
"In post","2021","20-29","East of England","Heart of Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Heart of Essex","SEO/HEO","20","20","35020","33520"
"In post","2021","20-29","East of England","Heart of Essex","Unknown","15","15","23990","22920"
"In post","2021","20-29","East of England","Hertfordshire","AA/AO","140","140","26600","27850"
"In post","2021","20-29","East of England","Hertfordshire","EO","130","130","29240","29290"
"In post","2021","20-29","East of England","Hertfordshire","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","East of England","Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Hertfordshire","SEO/HEO","90","90","36950","37000"
"In post","2021","20-29","East of England","Hertfordshire","Unknown","35","35","24480","24020"
"In post","2021","20-29","East of England","Luton","AA/AO","30","30","20650","20770"
"In post","2021","20-29","East of England","Luton","EO","40","40","26720","27570"
"In post","2021","20-29","East of England","Luton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Luton","Unknown","25","25","22300","22920"
"In post","2021","20-29","East of England","North and West Norfolk","AA/AO","45","40","22950","21300"
"In post","2021","20-29","East of England","North and West Norfolk","EO","15","15","27020","26500"
"In post","2021","20-29","East of England","North and West Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","North and West Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Norwich and East Norfolk","AA/AO","110","105","22350","22850"
"In post","2021","20-29","East of England","Norwich and East Norfolk","EO","50","50","25280","25480"
"In post","2021","20-29","East of England","Norwich and East Norfolk","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","East of England","Norwich and East Norfolk","SEO/HEO","30","30","30370","29250"
"In post","2021","20-29","East of England","Norwich and East Norfolk","Unknown","20","20","25270","24020"
"In post","2021","20-29","East of England","Peterborough","AA/AO","90","75","21500","21430"
"In post","2021","20-29","East of England","Peterborough","EO","45","45","26500","27130"
"In post","2021","20-29","East of England","Peterborough","SEO/HEO","20","20","32340","33000"
"In post","2021","20-29","East of England","Peterborough","Unknown","15","15","25170","22920"
"In post","2021","20-29","East of England","Southend-on-Sea","AA/AO","25","20","21780","20510"
"In post","2021","20-29","East of England","Southend-on-Sea","EO","40","40","27060","25560"
"In post","2021","20-29","East of England","Southend-on-Sea","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Southend-on-Sea","SEO/HEO","30","30","34690","31810"
"In post","2021","20-29","East of England","Suffolk","AA/AO","300","295","24280","21430"
"In post","2021","20-29","East of England","Suffolk","EO","130","125","26120","25560"
"In post","2021","20-29","East of England","Suffolk","SEO/HEO","50","50","31100","29750"
"In post","2021","20-29","East of England","Suffolk","Unknown","25","25","25670","24020"
"In post","2021","20-29","East of England","Thurrock","AA/AO","45","45","21580","21430"
"In post","2021","20-29","East of England","Thurrock","EO","15","15","26840","25180"
"In post","2021","20-29","East of England","West Essex","AA/AO","20","15","21640","21430"
