"Status","Year","Age","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scottish Government","55","50","21240","21150"
"In post","2021","16-19","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Transport","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Attorney General's Departments","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for International Trade","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Transport","20","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Land Registry","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","HM Revenue and Customs","160","155","20590","20140"
"In post","2021","16-19","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","40","40","22060","21430"
"In post","2021","16-19","Unknown","Ministry of Defence","115","115","18180","16780"
"In post","2021","16-19","Unknown","Ministry of Justice","55","55","21330","20600"
"In post","2021","16-19","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government","45","45","21160","20850"
"In post","2021","16-19","Unknown","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Attorney General's Departments","55","55","30640","27350"
"In post","2021","20-29","Declared disabled","Cabinet Office","165","165","34290","32000"
"In post","2021","20-29","Declared disabled","Chancellor's other departments","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","185","180","36460","33570"
"In post","2021","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","35","35","39930","36180"
"In post","2021","20-29","Declared disabled","Department for Education","110","110","36240","33190"
"In post","2021","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","175","175","30880","29270"
"In post","2021","20-29","Declared disabled","Department for International Trade","50","50","36940","32120"
"In post","2021","20-29","Declared disabled","Department for Transport","85","80","32040","30580"
"In post","2021","20-29","Declared disabled","Department for Work and Pensions","1155","1130","26350","27570"
"In post","2021","20-29","Declared disabled","Department of Health and Social Care","135","130","29890","28200"
"In post","2021","20-29","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Foreign, Commonwealth and Development Office","140","135","33880","34070"
"In post","2021","20-29","Declared disabled","HM Land Registry","30","30","25090","22350"
"In post","2021","20-29","Declared disabled","HM Revenue and Customs","355","340","28470","25560"
"In post","2021","20-29","Declared disabled","HM Treasury","85","85","38220","32320"
"In post","2021","20-29","Declared disabled","Home Office","230","225","28670","24890"
"In post","2021","20-29","Declared disabled","Ministry of Defence","520","515","28780","27750"
"In post","2021","20-29","Declared disabled","Ministry of Housing, Communities and Local Government","75","75","35090","33210"
"In post","2021","20-29","Declared disabled","Ministry of Justice","930","915","25380","24020"
"In post","2021","20-29","Declared disabled","National Crime Agency","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office for Standards in Education","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Gas and Electricity Markets","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other Cabinet Office Agencies","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scottish Government","225","220","29450","28170"
"In post","2021","20-29","Declared disabled","The National Archives","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","United Kingdom Statistics Authority","75","70","29170","29540"
"In post","2021","20-29","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Welsh Government","30","30","27370","23830"
"In post","2021","20-29","Declared non-disabled","Attorney General's Departments","735","720","32420","27440"
"In post","2021","20-29","Declared non-disabled","Cabinet Office","1150","1150","37040","34550"
"In post","2021","20-29","Declared non-disabled","Chancellor's other departments","65","60","37490","36590"
"In post","2021","20-29","Declared non-disabled","Charity Commission","25","25","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Competition and Markets Authority","135","135","39120","34570"
"In post","2021","20-29","Declared non-disabled","Department for Business, Energy and Industrial Strategy","1755","1750","37540","34090"
"In post","2021","20-29","Declared non-disabled","Department for Digital, Culture, Media and Sport","515","510","41410","35180"
"In post","2021","20-29","Declared non-disabled","Department for Education","920","915","36280","33300"
"In post","2021","20-29","Declared non-disabled","Department for Environment, Food and Rural Affairs","1425","1415","29790","29180"
"In post","2021","20-29","Declared non-disabled","Department for International Trade","425","425","37430","32120"
"In post","2021","20-29","Declared non-disabled","Department for Transport","1350","1320","30560","27840"
"In post","2021","20-29","Declared non-disabled","Department for Work and Pensions","7805","7670","26600","27570"
"In post","2021","20-29","Declared non-disabled","Department of Health and Social Care","1230","1180","29830","28470"
"In post","2021","20-29","Declared non-disabled","ESTYN","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Food Standards Agency","40","40","35140","32830"
"In post","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","995","995","34210","33860"
"In post","2021","20-29","Declared non-disabled","HM Land Registry","350","340","26520","27130"
"In post","2021","20-29","Declared non-disabled","HM Revenue and Customs","5040","4940","28150","25560"
"In post","2021","20-29","Declared non-disabled","HM Treasury","695","690","38820","32960"
"In post","2021","20-29","Declared non-disabled","Home Office","4105","3990","28060","24890"
"In post","2021","20-29","Declared non-disabled","Ministry of Defence","5095","5060","28560","27540"
"In post","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","500","500","36800","33210"
"In post","2021","20-29","Declared non-disabled","Ministry of Justice","9025","8905","26060","25300"
"In post","2021","20-29","Declared non-disabled","National Crime Agency","110","110","34100","32770"
"In post","2021","20-29","Declared non-disabled","Northern Ireland Office","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Office for Standards in Education","135","135","29230","25880"
"In post","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","300","300","31370","30950"
"In post","2021","20-29","Declared non-disabled","Office of Qualifications and Examinations Regulation","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Office of Rail and Road","25","25","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Other Cabinet Office Agencies","45","45","33830","34670"
"In post","2021","20-29","Declared non-disabled","Scotland Office","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Scottish Government","1505","1480","28020","26160"
"In post","2021","20-29","Declared non-disabled","The National Archives","60","55","26810","23560"
"In post","2021","20-29","Declared non-disabled","UK Export Finance","65","65","35780","33000"
"In post","2021","20-29","Declared non-disabled","UK Supreme Court","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","360","350","31670","29540"
"In post","2021","20-29","Declared non-disabled","Wales Office","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Water Services Regulation Authority","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Welsh Government","435","430","27170","23830"
"In post","2021","20-29","Undeclared","Attorney General's Departments","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Cabinet Office","65","65","39440","37300"
"In post","2021","20-29","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Business, Energy and Industrial Strategy","75","70","39660","35120"
"In post","2021","20-29","Undeclared","Department for Digital, Culture, Media and Sport","35","35","41510","34020"
"In post","2021","20-29","Undeclared","Department for Education","55","55","37510","36640"
"In post","2021","20-29","Undeclared","Department for Environment, Food and Rural Affairs","65","65","31250","29270"
"In post","2021","20-29","Undeclared","Department for International Trade","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Transport","325","320","35040","34710"
"In post","2021","20-29","Undeclared","Department for Work and Pensions","525","515","26550","27570"
"In post","2021","20-29","Undeclared","Department of Health and Social Care","95","90","28550","26880"
"In post","2021","20-29","Undeclared","Food Standards Agency","75","70","31570","31980"
"In post","2021","20-29","Undeclared","Foreign, Commonwealth and Development Office","30","30","33410","32370"
"In post","2021","20-29","Undeclared","HM Land Registry","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","HM Revenue and Customs","230","225","28660","25560"
"In post","2021","20-29","Undeclared","HM Treasury","210","210","36970","32320"
"In post","2021","20-29","Undeclared","Home Office","65","60","30910","28650"
"In post","2021","20-29","Undeclared","Ministry of Defence","255","255","28970","28650"
"In post","2021","20-29","Undeclared","Ministry of Housing, Communities and Local Government","35","35","35840","33210"
"In post","2021","20-29","Undeclared","Ministry of Justice","520","515","26590","25790"
"In post","2021","20-29","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Other Cabinet Office Agencies","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","Scottish Government","30","30","29050","26160"
"In post","2021","20-29","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","United Kingdom Statistics Authority","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Welsh Government","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Attorney General's Departments","515","515","26880","24590"
"In post","2021","20-29","Unknown","Cabinet Office","2015","2015","32010","29250"
"In post","2021","20-29","Unknown","Chancellor's other departments","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Charity Commission","20","15","[c]","[c]"
"In post","2021","20-29","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Department for Business, Energy and Industrial Strategy","895","890","32900","33040"
"In post","2021","20-29","Unknown","Department for Digital, Culture, Media and Sport","95","95","39430","34020"
"In post","2021","20-29","Unknown","Department for Education","530","525","33730","29750"
"In post","2021","20-29","Unknown","Department for Environment, Food and Rural Affairs","270","265","34470","32560"
"In post","2021","20-29","Unknown","Department for International Trade","455","455","37350","33460"
"In post","2021","20-29","Unknown","Department for Transport","470","455","25850","21590"
"In post","2021","20-29","Unknown","Department for Work and Pensions","1055","1040","27770","27570"
"In post","2021","20-29","Unknown","Department of Health and Social Care","1220","1215","36250","32790"
"In post","2021","20-29","Unknown","Foreign, Commonwealth and Development Office","320","320","36340","34770"
"In post","2021","20-29","Unknown","HM Land Registry","715","705","24840","22350"
"In post","2021","20-29","Unknown","HM Revenue and Customs","4710","4600","25280","24120"
"In post","2021","20-29","Unknown","HM Treasury","55","55","40840","37950"
"In post","2021","20-29","Unknown","Home Office","880","870","29190","25630"
"In post","2021","20-29","Unknown","Ministry of Defence","1720","1705","28260","26750"
"In post","2021","20-29","Unknown","Ministry of Housing, Communities and Local Government","115","115","35020","32990"
"In post","2021","20-29","Unknown","Ministry of Justice","3565","3520","25230","23970"
"In post","2021","20-29","Unknown","National Crime Agency","805","805","31690","32260"
"In post","2021","20-29","Unknown","Northern Ireland Office","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Office for Standards in Education","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Other Cabinet Office Agencies","100","100","27990","27770"
"In post","2021","20-29","Unknown","Scotland Office","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Scottish Government","1710","1675","26800","25870"
"In post","2021","20-29","Unknown","The National Archives","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","United Kingdom Statistics Authority","775","755","29100","29540"
"In post","2021","20-29","Unknown","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Welsh Government","85","80","25940","23830"
"In post","2021","30-39","Declared disabled","Attorney General's Departments","130","125","42900","48830"
"In post","2021","30-39","Declared disabled","Cabinet Office","170","165","46610","53710"
"In post","2021","30-39","Declared disabled","Chancellor's other departments","10","10","[c]","[c]"
"In post","2021","30-39","Declared disabled","Charity Commission","5","5","[c]","[c]"
"In post","2021","30-39","Declared disabled","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2021","30-39","Declared disabled","Department for Business, Energy and Industrial Strategy","260","250","41430","39530"
"In post","2021","30-39","Declared disabled","Department for Digital, Culture, Media and Sport","40","40","49820","51730"
"In post","2021","30-39","Declared disabled","Department for Education","170","160","41930","37100"
"In post","2021","30-39","Declared disabled","Department for Environment, Food and Rural Affairs","200","190","35840","32560"
"In post","2021","30-39","Declared disabled","Department for International Trade","50","50","51540","51970"
"In post","2021","30-39","Declared disabled","Department for Transport","210","190","29100","26350"
"In post","2021","30-39","Declared disabled","Department for Work and Pensions","1825","1665","27420","27570"
"In post","2021","30-39","Declared disabled","Department of Health and Social Care","115","110","39650","36330"
"In post","2021","30-39","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Food Standards Agency","10","10","[c]","[c]"
"In post","2021","30-39","Declared disabled","Foreign, Commonwealth and Development Office","205","205","45990","44230"
"In post","2021","30-39","Declared disabled","HM Land Registry","35","35","28040","27130"
"In post","2021","30-39","Declared disabled","HM Revenue and Customs","815","775","31810","30550"
"In post","2021","30-39","Declared disabled","HM Treasury","65","60","50970","52530"
"In post","2021","30-39","Declared disabled","Home Office","580","550","31230","25630"
"In post","2021","30-39","Declared disabled","Ministry of Defence","835","810","33990","33290"
"In post","2021","30-39","Declared disabled","Ministry of Housing, Communities and Local Government","80","75","42430","40540"
"In post","2021","30-39","Declared disabled","Ministry of Justice","1645","1565","28470","26570"
"In post","2021","30-39","Declared disabled","National Crime Agency","45","45","35760","36200"
"In post","2021","30-39","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office for Standards in Education","25","20","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office of Gas and Electricity Markets","15","15","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Other Cabinet Office Agencies","15","15","[c]","[c]"
"In post","2021","30-39","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Scottish Government","400","380","34830","32140"
"In post","2021","30-39","Declared disabled","The National Archives","5","5","[c]","[c]"
"In post","2021","30-39","Declared disabled","UK Export Finance","5","5","[c]","[c]"
"In post","2021","30-39","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","United Kingdom Statistics Authority","95","90","33620","31270"
"In post","2021","30-39","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Welsh Government","55","50","35470","34490"
"In post","2021","30-39","Declared non-disabled","Attorney General's Departments","1495","1400","45790","50520"
"In post","2021","30-39","Declared non-disabled","Cabinet Office","1350","1320","49030","54700"
"In post","2021","30-39","Declared non-disabled","Chancellor's other departments","80","80","58530","51370"
"In post","2021","30-39","Declared non-disabled","Charity Commission","65","65","33810","29160"
"In post","2021","30-39","Declared non-disabled","Competition and Markets Authority","270","260","59600","56360"
"In post","2021","30-39","Declared non-disabled","Department for Business, Energy and Industrial Strategy","2310","2230","43810","40220"
"In post","2021","30-39","Declared non-disabled","Department for Digital, Culture, Media and Sport","445","435","52750","52130"
"In post","2021","30-39","Declared non-disabled","Department for Education","1480","1420","44720","42220"
"In post","2021","30-39","Declared non-disabled","Department for Environment, Food and Rural Affairs","1845","1745","35390","33120"
"In post","2021","30-39","Declared non-disabled","Department for International Trade","360","360","50560","51970"
"In post","2021","30-39","Declared non-disabled","Department for Transport","2565","2385","33060","26780"
"In post","2021","30-39","Declared non-disabled","Department for Work and Pensions","11405","10435","27860","27570"
"In post","2021","30-39","Declared non-disabled","Department of Health and Social Care","1515","1415","42110","39780"
"In post","2021","30-39","Declared non-disabled","ESTYN","15","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Food Standards Agency","110","105","38840","37910"
"In post","2021","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","1530","1505","46130","44230"
"In post","2021","30-39","Declared non-disabled","HM Land Registry","315","290","32700","27130"
"In post","2021","30-39","Declared non-disabled","HM Revenue and Customs","8090","7690","32480","31810"
"In post","2021","30-39","Declared non-disabled","HM Treasury","520","505","55970","57500"
"In post","2021","30-39","Declared non-disabled","Home Office","7210","6780","31930","26910"
"In post","2021","30-39","Declared non-disabled","Ministry of Defence","6980","6720","34870","33300"
"In post","2021","30-39","Declared non-disabled","Ministry of Housing, Communities and Local Government","650","625","46240","48200"
"In post","2021","30-39","Declared non-disabled","Ministry of Justice","13080","12325","29360","27050"
"In post","2021","30-39","Declared non-disabled","National Crime Agency","345","335","41190","40170"
"In post","2021","30-39","Declared non-disabled","Northern Ireland Office","30","30","47950","45950"
"In post","2021","30-39","Declared non-disabled","Office for Standards in Education","345","330","42870","39460"
"In post","2021","30-39","Declared non-disabled","Office of Gas and Electricity Markets","365","360","45760","42000"
"In post","2021","30-39","Declared non-disabled","Office of Qualifications and Examinations Regulation","60","60","41920","38000"
"In post","2021","30-39","Declared non-disabled","Office of Rail and Road","75","75","51000","53250"
"In post","2021","30-39","Declared non-disabled","Other Cabinet Office Agencies","100","95","39200","35420"
"In post","2021","30-39","Declared non-disabled","Scotland Office","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Scottish Government","2325","2230","37540","34150"
"In post","2021","30-39","Declared non-disabled","The National Archives","80","80","34540","34770"
"In post","2021","30-39","Declared non-disabled","UK Export Finance","80","80","53070","50830"
"In post","2021","30-39","Declared non-disabled","UK Supreme Court","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","United Kingdom Statistics Authority","565","525","36880","36030"
"In post","2021","30-39","Declared non-disabled","Wales Office","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Water Services Regulation Authority","40","40","50980","48000"
"In post","2021","30-39","Declared non-disabled","Welsh Government","1110","1055","37640","37410"
"In post","2021","30-39","Undeclared","Attorney General's Departments","35","35","51970","51830"
"In post","2021","30-39","Undeclared","Cabinet Office","80","75","45350","46790"
"In post","2021","30-39","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Department for Business, Energy and Industrial Strategy","115","115","49530","53380"
"In post","2021","30-39","Undeclared","Department for Digital, Culture, Media and Sport","20","20","[c]","[c]"
"In post","2021","30-39","Undeclared","Department for Education","105","100","43450","40230"
"In post","2021","30-39","Undeclared","Department for Environment, Food and Rural Affairs","80","80","39030","37260"
"In post","2021","30-39","Undeclared","Department for International Trade","20","20","[c]","[c]"
"In post","2021","30-39","Undeclared","Department for Transport","370","355","38670","35060"
"In post","2021","30-39","Undeclared","Department for Work and Pensions","985","915","27410","27570"
"In post","2021","30-39","Undeclared","Department of Health and Social Care","125","120","43740","39700"
"In post","2021","30-39","Undeclared","Food Standards Agency","130","130","38060","37630"
"In post","2021","30-39","Undeclared","Foreign, Commonwealth and Development Office","85","80","46090","42200"
"In post","2021","30-39","Undeclared","HM Land Registry","20","15","[c]","[c]"
"In post","2021","30-39","Undeclared","HM Revenue and Customs","510","490","32540","31810"
"In post","2021","30-39","Undeclared","HM Treasury","95","95","55250","56340"
"In post","2021","30-39","Undeclared","Home Office","310","290","33760","28990"
"In post","2021","30-39","Undeclared","Ministry of Defence","610","595","36920","37320"
"In post","2021","30-39","Undeclared","Ministry of Housing, Communities and Local Government","35","35","49050","53130"
"In post","2021","30-39","Undeclared","Ministry of Justice","1550","1465","30320","30110"
"In post","2021","30-39","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Office of Rail and Road","10","10","[c]","[c]"
"In post","2021","30-39","Undeclared","Other Cabinet Office Agencies","10","10","[c]","[c]"
"In post","2021","30-39","Undeclared","Scotland Office","5","5","[c]","[c]"
"In post","2021","30-39","Undeclared","Scottish Government","80","75","38650","33640"
"In post","2021","30-39","Undeclared","United Kingdom Statistics Authority","25","20","[c]","[c]"
"In post","2021","30-39","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Welsh Government","25","20","[c]","[c]"
"In post","2021","30-39","Unknown","Attorney General's Departments","505","490","42460","41080"
"In post","2021","30-39","Unknown","Cabinet Office","770","760","50080","51560"
"In post","2021","30-39","Unknown","Chancellor's other departments","15","15","[c]","[c]"
"In post","2021","30-39","Unknown","Charity Commission","35","35","35520","30770"
"In post","2021","30-39","Unknown","Competition and Markets Authority","20","15","[c]","[c]"
