"Status","Year","Age","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Crown Prosecution Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","EO","Heterosexual / straight","70","70","18740","19040"
"In post","2021","16-19","Defence Equipment and Support","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","EO","Unknown","40","40","17140","16780"
"In post","2021","16-19","Defence Equipment and Support","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Heterosexual / straight","120","120","21210","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","EO","Heterosexual / straight","30","30","28380","27570"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","FCDO Services","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","AA/AO","Heterosexual / straight","50","50","22560","22850"
"In post","2021","16-19","HM Prison and Probation Service","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","Heterosexual / straight","65","60","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","Unknown","140","135","20220","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","AA/AO","Heterosexual / straight","30","25","21600","21430"
"In post","2021","16-19","Home Office (incl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","AA/AO","Unknown","35","35","21550","21430"
"In post","2021","16-19","Home Office (incl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","AA/AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","16-19","Public Health England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","The National Archives","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
