"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Croydon","SEO","10","10","42180","41760"
"In post","2021","Analysis","London","Hackney and Newham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Hackney and Newham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Hackney and Newham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Hackney and Newham","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Merton, Kingston upon Thames and Sutton","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Tower Hamlets","AO","5","5","[c]","[c]"
"In post","2021","Analysis","London","Tower Hamlets","EO","50","50","27990","28100"
"In post","2021","Analysis","London","Tower Hamlets","G6","50","50","74820","75140"
"In post","2021","Analysis","London","Tower Hamlets","G7","245","235","59530","58860"
"In post","2021","Analysis","London","Tower Hamlets","HEO","155","150","34700","34570"
"In post","2021","Analysis","London","Tower Hamlets","SCS level","35","30","96630","93190"
"In post","2021","Analysis","London","Tower Hamlets","SEO","140","135","42330","41760"
"In post","2021","Analysis","London","Westminster","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Westminster","AO","45","45","24850","24900"
"In post","2021","Analysis","London","Westminster","EO","195","190","28910","29000"
"In post","2021","Analysis","London","Westminster","G6","260","250","68220","66600"
"In post","2021","Analysis","London","Westminster","G7","735","710","56020","54760"
"In post","2021","Analysis","London","Westminster","HEO","830","820","34920","34090"
"In post","2021","Analysis","London","Westminster","SCS level","75","75","84460","78540"
"In post","2021","Analysis","London","Westminster","SEO","350","340","43730","42980"
"In post","2021","Analysis","London","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Darlington","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Darlington","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Darlington","G7","10","10","50330","50630"
"In post","2021","Analysis","North East (England)","Darlington","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","North East (England)","Darlington","SEO","10","10","41880","42220"
"In post","2021","Analysis","North East (England)","Durham CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","EO","5","5","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","G7","10","10","53870","54990"
"In post","2021","Analysis","North East (England)","Tyneside","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cheshire East","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North East","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester South West","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester South West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester South West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","G7","25","25","47520","52580"
"In post","2021","Analysis","North West (England)","Liverpool","HEO","20","15","31860","31810"
"In post","2021","Analysis","North West (England)","Liverpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","SEO","20","20","37690","38630"
"In post","2021","Analysis","North West (England)","Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Manchester","EO","20","20","25980","25560"
"In post","2021","Analysis","North West (England)","Manchester","G6","5","5","[c]","[c]"
"In post","2021","Analysis","North West (England)","Manchester","G7","45","40","51510","52580"
"In post","2021","Analysis","North West (England)","Manchester","HEO","80","80","32000","31810"
"In post","2021","Analysis","North West (England)","Manchester","SEO","70","65","38640","38630"
"In post","2021","Analysis","North West (England)","Mid Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Mid Lancashire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Mid Lancashire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Sefton","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Sefton","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Sefton","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Sefton","G7","10","10","55670","58330"
"In post","2021","Analysis","North West (England)","Sefton","HEO","10","10","32600","33100"
"In post","2021","Analysis","North West (England)","Sefton","SEO","10","10","39790","39390"
"In post","2021","Analysis","North West (England)","West Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","West Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Wirral","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","City of Edinburgh","HEO","10","10","35720","36780"
"In post","2021","Analysis","Scotland","City of Edinburgh","SEO","15","15","42060","42890"
"In post","2021","Analysis","Scotland","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Glasgow City","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","G7","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Buckinghamshire CC","EO","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","Buckinghamshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Buckinghamshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Buckinghamshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Central Hampshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Central Hampshire","EO","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","Central Hampshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Central Hampshire","G7","160","150","49130","46130"
"In post","2021","Analysis","South East (England)","Central Hampshire","HEO","70","70","28810","28650"
"In post","2021","Analysis","South East (England)","Central Hampshire","SEO","105","105","37470","37320"
"In post","2021","Analysis","South East (England)","East Kent","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","East Sussex CC","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","East Sussex CC","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","East Sussex CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Medway","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Medway","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Oxfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","EO","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Portsmouth","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","South Hampshire","AO","10","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","South Hampshire","EO","45","40","23910","23050"
"In post","2021","Analysis","South East (England)","South Hampshire","G6","20","20","60400","58880"
"In post","2021","Analysis","South East (England)","South Hampshire","G7","85","80","50390","49100"
"In post","2021","Analysis","South East (England)","South Hampshire","HEO","160","155","30150","29540"
"In post","2021","Analysis","South East (England)","South Hampshire","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","South Hampshire","SEO","120","115","37390","37020"
"In post","2021","Analysis","South East (England)","Southampton","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Southampton","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Surrey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Surrey","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Surrey","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Surrey","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (North East)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (South West)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (South West)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","West Sussex (South West)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","10","10","27880","27850"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","15","15","35530","36000"
"In post","2021","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","20","15","42840","43000"
"In post","2021","Analysis","South West (England)","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bristol, City of","EO","25","25","26090","25880"
"In post","2021","Analysis","South West (England)","Bristol, City of","G6","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bristol, City of","G7","25","25","56350","59810"
"In post","2021","Analysis","South West (England)","Bristol, City of","HEO","55","50","32120","32010"
"In post","2021","Analysis","South West (England)","Bristol, City of","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Bristol, City of","SEO","45","40","40600","39850"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon CC","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Dorset CC","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Dorset CC","AO","10","10","21050","21050"
"In post","2021","Analysis","South West (England)","Dorset CC","EO","30","25","25050","24920"
"In post","2021","Analysis","South West (England)","Dorset CC","G6","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Dorset CC","G7","15","10","48590","48080"
"In post","2021","Analysis","South West (England)","Dorset CC","HEO","35","35","29680","29270"
"In post","2021","Analysis","South West (England)","Dorset CC","SEO","20","15","37570","36580"
"In post","2021","Analysis","South West (England)","Plymouth","EO","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Plymouth","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Plymouth","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Somerset","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Somerset","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Wiltshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Wiltshire","G7","30","30","48290","46090"
"In post","2021","Analysis","South West (England)","Wiltshire","HEO","35","35","28360","28650"
"In post","2021","Analysis","South West (England)","Wiltshire","SEO","45","40","37640","37320"
"In post","2021","Analysis","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Cardiff and Vale of Glamorgan","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Central Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Central Valleys","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Central Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Central Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Flintshire and Wrexham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Flintshire and Wrexham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Flintshire and Wrexham","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","AO","50","50","19210","19130"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","EO","140","125","24100","23050"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","G6","35","35","60980","58880"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","G7","175","170","50550","49120"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","HEO","315","305","30080","29540"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","SCS level","20","20","82180","72320"
"In post","2021","Analysis","Wales","Monmouthshire and Newport","SEO","300","290","37190","37020"
"In post","2021","Analysis","Wales","Swansea","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Wales","Swansea","EO","15","15","26580","26780"
"In post","2021","Analysis","Wales","Swansea","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Swansea","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Wales","Swansea","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","G7","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Birmingham","HEO","15","15","38020","34530"
"In post","2021","Analysis","West Midlands (England)","Birmingham","SEO","10","10","45980","39660"
"In post","2021","Analysis","West Midlands (England)","Coventry","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Coventry","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Coventry","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Staffordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Telford and Wrekin","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Telford and Wrekin","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Worcestershire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Bradford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","EO","20","20","22820","22540"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","G6","10","10","62930","62400"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","G7","55","50","51520","50620"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","HEO","25","25","30050","28970"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Leeds","SEO","20","20","38060","36820"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","G7","40","35","51740","50630"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","HEO","30","25","32920","33190"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Sheffield","SEO","40","35","42670","42220"
"In post","2021","Analysis","Yorkshire and The Humber","Wakefield","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Wakefield","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Wakefield","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Wakefield","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","York","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","York","EO","10","10","25750","25750"
"In post","2021","Analysis","Yorkshire and The Humber","York","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","York","G7","10","10","53310","52600"
"In post","2021","Analysis","Yorkshire and The Humber","York","HEO","20","20","30870","30320"
"In post","2021","Analysis","Yorkshire and The Humber","York","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","York","SEO","10","10","38040","37350"
"In post","2021","Commercial","East Midlands (England)","Derby","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","AO","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","EO","10","10","27420","26670"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","EO","15","10","24080","22900"
"In post","2021","Commercial","East Midlands (England)","Nottingham","G6","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","G7","15","15","51560","51560"
