"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East of England","Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - East","AO","15","15","23470","24590"
"In post","2021","Attorney General's Departments","London","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - East","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - East","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - East","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - West","AA","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - West","AO","335","310","23180","23520"
"In post","2021","Attorney General's Departments","London","Inner London - West","EO","715","680","28650","27760"
"In post","2021","Attorney General's Departments","London","Inner London - West","G6","920","845","68580","66610"
"In post","2021","Attorney General's Departments","London","Inner London - West","G7","1590","1480","55470","52070"
"In post","2021","Attorney General's Departments","London","Inner London - West","HEO","455","445","36080","33930"
"In post","2021","Attorney General's Departments","London","Inner London - West","SCS level","255","245","87180","81420"
"In post","2021","Attorney General's Departments","London","Inner London - West","SEO","225","220","40710","40000"
"In post","2021","Attorney General's Departments","London","Inner London - West","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","London","Outer London - East and North East","AO","20","15","23790","24590"
"In post","2021","Attorney General's Departments","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - East and North East","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - East and North East","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - South","AO","25","25","23840","23730"
"In post","2021","Attorney General's Departments","London","Outer London - South","EO","20","15","28390","27470"
"In post","2021","Attorney General's Departments","London","Outer London - South","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - South","G7","20","15","60580","62120"
"In post","2021","Attorney General's Departments","London","Outer London - South","HEO","15","15","32980","32390"
"In post","2021","Attorney General's Departments","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - South","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - West and North West","AO","15","15","23490","24590"
"In post","2021","Attorney General's Departments","London","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - West and North West","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Outer London - West and North West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","AO","70","60","21850","21950"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","EO","45","40","27380","28430"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","G7","90","85","53560","54200"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","HEO","25","25","34110","33310"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","AO","30","20","21990","21950"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","EO","20","15","27420","28430"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","G7","35","35","54270","55610"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","HEO","10","10","34480","34480"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Tees Valley and Durham","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","G7","10","10","57390","57400"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cheshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","AO","15","10","22150","21950"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","G7","10","10","55090","55610"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Cumbria","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","AO","70","60","21940","21950"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","EO","85","75","27920","28430"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","G6","20","20","69950","69120"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","G7","145","130","54280","55610"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","HEO","35","35","34420","34480"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Greater Manchester","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","AO","35","30","22310","21950"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","EO","40","35","28090","28430"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","G7","70","65","53870","55610"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","HEO","20","20","34070","33310"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Lancashire","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","AO","85","80","21840","21950"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","EO","80","75","27050","26900"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","G7","125","120","53820","54200"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","HEO","50","45","33970","33310"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Merseyside","SEO","15","15","38470","38180"
"In post","2021","Attorney General's Departments","Overseas","Overseas","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","North Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AO","30","25","23270","23520"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","25","25","28240","27440"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G7","55","45","58380","60710"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","HEO","20","20","36790","36240"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","AO","55","50","22340","23520"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","EO","55","50","28420","27490"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","G6","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","G7","105","100","58410","60710"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","HEO","25","25","36060","35630"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Kent","AO","35","30","23140","23520"
"In post","2021","Attorney General's Departments","South East (England)","Kent","EO","35","35","29230","28370"
"In post","2021","Attorney General's Departments","South East (England)","Kent","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Kent","G7","45","40","56880","55000"
"In post","2021","Attorney General's Departments","South East (England)","Kent","HEO","10","10","37230","36240"
"In post","2021","Attorney General's Departments","South East (England)","Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","AO","30","30","22880","23520"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","EO","40","40","28730","29170"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","G7","65","60","58730","62120"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","HEO","20","20","36890","36240"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","AO","10","10","22550","21950"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","G7","10","10","53790","54480"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Devon","AO","15","15","20930","21950"
"In post","2021","Attorney General's Departments","South West (England)","Devon","EO","20","20","26970","26780"
"In post","2021","Attorney General's Departments","South West (England)","Devon","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Devon","G7","40","40","54720","55610"
"In post","2021","Attorney General's Departments","South West (England)","Devon","HEO","15","15","33940","33310"
"In post","2021","Attorney General's Departments","South West (England)","Devon","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AO","30","30","21880","21950"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","35","35","26850","26220"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6","10","10","67630","66410"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G7","90","80","54190","53850"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","20","20","34900","34480"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","East Wales","AO","60","55","21910","21950"
"In post","2021","Attorney General's Departments","Wales","East Wales","EO","45","40","27470","28430"
"In post","2021","Attorney General's Departments","Wales","East Wales","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","East Wales","G7","125","115","53900","55610"
"In post","2021","Attorney General's Departments","Wales","East Wales","HEO","40","35","35120","34480"
"In post","2021","Attorney General's Departments","Wales","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","East Wales","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","AO","15","15","22220","21950"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","EO","10","10","27290","28430"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","G7","35","30","55050","54200"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","HEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","West Wales and The Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","AO","15","15","22030","21950"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","EO","10","10","27130","27330"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","G7","35","30","54070","53780"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","AO","110","100","21780","21950"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","EO","95","90","27140","28430"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","G6","15","15","74660","70000"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","G7","190","175","54250","55000"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","HEO","60","60","34220","34480"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","West Midlands","SEO","10","10","39170","38180"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AO","20","20","21930","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","15","15","27700","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G7","30","25","55080","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","AO","30","30","21600","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","EO","40","35","26400","25920"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","G6","15","15","69800","67520"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","G7","180","160","57340","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","HEO","25","25","31080","30610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","SEO","30","30","38940","38180"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","AO","40","35","21660","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","EO","35","30","27450","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","G7","35","35","54800","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","HEO","20","15","35640","34480"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","AO","85","75","21770","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","EO","85","80","27180","27170"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","G6","25","20","68610","65560"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","G7","170","155","53650","54200"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","HEO","65","60","34540","34480"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","SCS level","10","10","88100","84740"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","SEO","15","15","40560","39710"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","G7","5","5","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Bedfordshire and Hertfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","East Anglia","AO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","East of England","East Anglia","EO","15","10","24640","23850"
"In post","2021","Cabinet Office","East of England","East Anglia","G6","10","10","71850","69580"
"In post","2021","Cabinet Office","East of England","East Anglia","G7","30","25","52840","51620"
"In post","2021","Cabinet Office","East of England","East Anglia","HEO","25","25","32350","32960"
"In post","2021","Cabinet Office","East of England","East Anglia","SCS level","15","15","86590","73360"
"In post","2021","Cabinet Office","East of England","East Anglia","SEO","10","10","38620","38420"
"In post","2021","Cabinet Office","London","Inner London - East","AO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","London","Inner London - East","EO","65","60","27870","27500"
"In post","2021","Cabinet Office","London","Inner London - East","G6","100","95","68660","68340"
"In post","2021","Cabinet Office","London","Inner London - East","G7","430","420","56630","54700"
"In post","2021","Cabinet Office","London","Inner London - East","HEO","165","160","33210","34550"
"In post","2021","Cabinet Office","London","Inner London - East","SCS level","45","45","103500","98900"
"In post","2021","Cabinet Office","London","Inner London - East","SEO","95","90","41390","40600"
"In post","2021","Cabinet Office","London","Inner London - West","AO","135","130","24470","24490"
"In post","2021","Cabinet Office","London","Inner London - West","EO","540","530","27970","27500"
"In post","2021","Cabinet Office","London","Inner London - West","G6","535","525","69850","66440"
"In post","2021","Cabinet Office","London","Inner London - West","G7","1295","1270","55950","54700"
"In post","2021","Cabinet Office","London","Inner London - West","HEO","1930","1925","32400","32000"
"In post","2021","Cabinet Office","London","Inner London - West","SCS level","715","700","94180","80040"
"In post","2021","Cabinet Office","London","Inner London - West","SEO","405","400","41400","40600"
"In post","2021","Cabinet Office","London","Outer London - South","G6","10","10","[c]","[c]"
"In post","2021","Cabinet Office","London","Outer London - South","G7","5","5","[c]","[c]"
"In post","2021","Cabinet Office","London","Outer London - South","HEO","35","35","29510","29250"
"In post","2021","Cabinet Office","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Outer London - West and North West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","AO","155","140","20800","20800"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","EO","95","90","24800","23850"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","G6","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","G7","20","20","51390","51300"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","HEO","90","90","31830","32000"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","SCS level","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Northumberland and Tyne and Wear","SEO","25","25","37920","37300"
"In post","2021","Cabinet Office","North East (England)","Tees Valley and Durham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Tees Valley and Durham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Tees Valley and Durham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","Tees Valley and Durham","SCS level","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Cumbria","HEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","EO","10","10","24680","23850"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","G6","25","25","71650","67670"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","G7","75","75","51880","51560"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","HEO","75","75","30910","32000"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","SCS level","25","25","78880","71460"
"In post","2021","Cabinet Office","North West (England)","Greater Manchester","SEO","60","60","37960","37300"
"In post","2021","Cabinet Office","North West (England)","Lancashire","G6","10","10","[c]","[c]"
