"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","North East (England)","SEO","Female","25","25","[c]","[c]"
"In post","2021","Commercial","North East (England)","SEO","Male","25","25","[c]","[c]"
"In post","2021","Commercial","North East (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","AO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","North West (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","EO","Female","40","40","25360","25560"
"In post","2021","Commercial","North West (England)","EO","Male","25","25","[c]","[c]"
"In post","2021","Commercial","North West (England)","G6","Female","15","15","[c]","[c]"
"In post","2021","Commercial","North West (England)","G6","Male","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","G7","Female","35","35","49380","49860"
"In post","2021","Commercial","North West (England)","G7","Male","30","30","55250","52580"
"In post","2021","Commercial","North West (England)","HEO","Female","65","60","29530","29360"
"In post","2021","Commercial","North West (England)","HEO","Male","55","55","30350","30040"
"In post","2021","Commercial","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","SEO","Female","115","110","38900","38280"
"In post","2021","Commercial","North West (England)","SEO","Male","90","90","39700","38630"
"In post","2021","Commercial","North West (England)","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G7","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","HEO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Scotland","AA","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","AA","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Scotland","AO","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Scotland","AO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Scotland","EO","Female","25","25","[c]","[c]"
"In post","2021","Commercial","Scotland","EO","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","G6","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Scotland","G7","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Scotland","HEO","Female","25","25","[c]","[c]"
"In post","2021","Commercial","Scotland","HEO","Male","40","40","35080","34610"
"In post","2021","Commercial","Scotland","SEO","Female","35","35","41930","42080"
"In post","2021","Commercial","Scotland","SEO","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Scotland","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Scotland","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Commercial","South East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","AO","Female","20","15","[c]","[c]"
"In post","2021","Commercial","South East (England)","AO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","South East (England)","EO","Female","45","40","26330","26670"
"In post","2021","Commercial","South East (England)","EO","Male","35","35","26570","26670"
"In post","2021","Commercial","South East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","G6","Male","15","15","[c]","[c]"
"In post","2021","Commercial","South East (England)","G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","South East (England)","G7","Male","20","20","[c]","[c]"
"In post","2021","Commercial","South East (England)","HEO","Female","80","80","33410","33300"
"In post","2021","Commercial","South East (England)","HEO","Male","40","40","33410","33510"
"In post","2021","Commercial","South East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","SEO","Female","85","80","41580","42000"
"In post","2021","Commercial","South East (England)","SEO","Male","85","85","44510","42080"
"In post","2021","Commercial","South East (England)","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Commercial","South East (England)","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Commercial","South West (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","AO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","South West (England)","AO","Male","15","15","[c]","[c]"
"In post","2021","Commercial","South West (England)","EO","Female","140","125","24150","23520"
"In post","2021","Commercial","South West (England)","EO","Male","80","80","24210","23520"
"In post","2021","Commercial","South West (England)","G6","Female","35","35","67330","67250"
"In post","2021","Commercial","South West (England)","G6","Male","60","55","67980","67150"
"In post","2021","Commercial","South West (England)","G7","Female","115","105","51650","51280"
"In post","2021","Commercial","South West (England)","G7","Male","135","130","52460","51280"
"In post","2021","Commercial","South West (England)","HEO","Female","285","265","31790","32970"
"In post","2021","Commercial","South West (England)","HEO","Male","205","200","32060","33000"
"In post","2021","Commercial","South West (England)","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Commercial","South West (England)","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Commercial","South West (England)","SEO","Female","240","220","40310","40580"
"In post","2021","Commercial","South West (England)","SEO","Male","230","225","41170","40610"
"In post","2021","Commercial","South West (England)","Unknown","Female","65","65","35990","32710"
"In post","2021","Commercial","South West (England)","Unknown","Male","85","85","40690","38240"
"In post","2021","Commercial","Unknown","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","AA","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Wales","AO","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Wales","AO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Wales","EO","Female","35","30","26230","26780"
"In post","2021","Commercial","Wales","EO","Male","35","35","26540","26470"
"In post","2021","Commercial","Wales","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Wales","G7","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Wales","HEO","Female","50","45","31340","31380"
"In post","2021","Commercial","Wales","HEO","Male","40","40","31070","31040"
"In post","2021","Commercial","Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","SEO","Female","40","35","40330","40060"
"In post","2021","Commercial","Wales","SEO","Male","40","40","41980","41080"
"In post","2021","Commercial","Wales","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","AO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","EO","Female","30","30","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","EO","Male","15","15","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","G6","Female","5","5","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","G6","Male","5","5","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","G7","Female","10","10","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","G7","Male","10","10","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","HEO","Female","25","25","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","HEO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","SEO","Female","60","55","41090","40000"
"In post","2021","Commercial","West Midlands (England)","SEO","Male","45","45","43460","40960"
"In post","2021","Commercial","West Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","AO","Female","10","5","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","EO","Female","20","15","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","EO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","G6","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","G6","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","G7","Female","35","30","52990","51080"
"In post","2021","Commercial","Yorkshire and The Humber","G7","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","HEO","Female","60","60","29820","29360"
"In post","2021","Commercial","Yorkshire and The Humber","HEO","Male","35","35","29790","30020"
"In post","2021","Commercial","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","SEO","Female","85","80","38950","37950"
"In post","2021","Commercial","Yorkshire and The Humber","SEO","Male","65","65","41610","38000"
"In post","2021","Commercial","Yorkshire and The Humber","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AO","Female","5","5","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","EO","Female","15","15","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","EO","Male","5","5","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","G7","Female","15","10","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","G7","Male","5","5","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","HEO","Female","20","15","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","HEO","Male","10","10","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","SEO","Female","15","15","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","SEO","Male","10","10","[c]","[c]"
"In post","2021","Communications","East of England","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","AO","Male","5","5","[c]","[c]"
"In post","2021","Communications","East of England","EO","Female","10","10","[c]","[c]"
"In post","2021","Communications","East of England","EO","Male","10","10","[c]","[c]"
"In post","2021","Communications","East of England","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","G7","Female","5","5","[c]","[c]"
"In post","2021","Communications","East of England","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","HEO","Female","15","15","[c]","[c]"
"In post","2021","Communications","East of England","HEO","Male","15","15","[c]","[c]"
"In post","2021","Communications","East of England","SEO","Female","10","10","[c]","[c]"
"In post","2021","Communications","East of England","SEO","Male","5","5","[c]","[c]"
"In post","2021","Communications","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AO","Female","35","35","24400","24270"
"In post","2021","Communications","London","AO","Male","30","30","[c]","[c]"
"In post","2021","Communications","London","EO","Female","150","150","28610","27960"
"In post","2021","Communications","London","EO","Male","85","85","28470","27850"
"In post","2021","Communications","London","G6","Female","95","90","68890","68720"
"In post","2021","Communications","London","G6","Male","70","70","69600","69750"
"In post","2021","Communications","London","G7","Female","285","270","55860","55160"
"In post","2021","Communications","London","G7","Male","200","195","55740","54730"
"In post","2021","Communications","London","HEO","Female","295","290","35710","35060"
"In post","2021","Communications","London","HEO","Male","225","220","36460","36300"
"In post","2021","Communications","London","SCS level","Female","55","55","84820","80310"
"In post","2021","Communications","London","SCS level","Male","45","45","92480","86900"
"In post","2021","Communications","London","SEO","Female","315","310","42950","42850"
"In post","2021","Communications","London","SEO","Male","205","205","43140","42890"
"In post","2021","Communications","North East (England)","AO","Female","15","10","[c]","[c]"
"In post","2021","Communications","North East (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","EO","Female","20","15","[c]","[c]"
"In post","2021","Communications","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2021","Communications","North East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","G7","Female","5","5","[c]","[c]"
"In post","2021","Communications","North East (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","HEO","Female","20","20","[c]","[c]"
"In post","2021","Communications","North East (England)","HEO","Male","10","10","[c]","[c]"
"In post","2021","Communications","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","SEO","Female","15","15","[c]","[c]"
"In post","2021","Communications","North East (England)","SEO","Male","10","10","[c]","[c]"
"In post","2021","Communications","North West (England)","AO","Female","10","5","[c]","[c]"
"In post","2021","Communications","North West (England)","AO","Male","10","10","[c]","[c]"
"In post","2021","Communications","North West (England)","EO","Female","20","15","[c]","[c]"
"In post","2021","Communications","North West (England)","EO","Male","15","15","[c]","[c]"
"In post","2021","Communications","North West (England)","G6","Female","5","5","[c]","[c]"
"In post","2021","Communications","North West (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","G7","Female","15","15","[c]","[c]"
"In post","2021","Communications","North West (England)","G7","Male","15","15","[c]","[c]"
"In post","2021","Communications","North West (England)","HEO","Female","35","35","31060","30420"
"In post","2021","Communications","North West (England)","HEO","Male","15","15","[c]","[c]"
"In post","2021","Communications","North West (England)","SEO","Female","40","40","38850","38630"
"In post","2021","Communications","North West (England)","SEO","Male","20","20","[c]","[c]"
"In post","2021","Communications","Northern Ireland","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SEO","Female","10","10","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","EO","Female","10","10","[c]","[c]"
"In post","2021","Communications","Scotland","EO","Male","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","HEO","Female","20","20","[c]","[c]"
"In post","2021","Communications","Scotland","HEO","Male","10","10","[c]","[c]"
"In post","2021","Communications","Scotland","SEO","Female","10","10","[c]","[c]"
"In post","2021","Communications","Scotland","SEO","Male","5","5","[c]","[c]"
"In post","2021","Communications","South East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","AO","Female","15","15","[c]","[c]"
"In post","2021","Communications","South East (England)","AO","Male","20","20","[c]","[c]"
"In post","2021","Communications","South East (England)","EO","Female","45","45","26500","26670"
"In post","2021","Communications","South East (England)","EO","Male","45","45","27490","26670"
"In post","2021","Communications","South East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","G7","Female","15","10","[c]","[c]"
"In post","2021","Communications","South East (England)","G7","Male","10","10","[c]","[c]"
"In post","2021","Communications","South East (England)","HEO","Female","45","40","33160","33300"
"In post","2021","Communications","South East (England)","HEO","Male","35","35","33650","33300"
"In post","2021","Communications","South East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","SEO","Female","35","35","40320","40580"
"In post","2021","Communications","South East (England)","SEO","Male","25","25","[c]","[c]"
"In post","2021","Communications","South West (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","AO","Female","10","10","[c]","[c]"
"In post","2021","Communications","South West (England)","AO","Male","10","10","[c]","[c]"
"In post","2021","Communications","South West (England)","EO","Female","25","25","[c]","[c]"
"In post","2021","Communications","South West (England)","EO","Male","30","30","27270","27210"
"In post","2021","Communications","South West (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","G6","Male","10","10","[c]","[c]"
"In post","2021","Communications","South West (England)","G7","Female","20","15","[c]","[c]"
"In post","2021","Communications","South West (England)","G7","Male","15","15","[c]","[c]"
"In post","2021","Communications","South West (England)","HEO","Female","45","40","32030","33000"
"In post","2021","Communications","South West (England)","HEO","Male","45","45","32740","32780"
"In post","2021","Communications","South West (England)","SEO","Female","50","45","38190","37360"
"In post","2021","Communications","South West (England)","SEO","Male","40","40","39060","39650"
"In post","2021","Communications","South West (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","AO","Female","25","25","[c]","[c]"
"In post","2021","Communications","Wales","AO","Male","10","10","[c]","[c]"
"In post","2021","Communications","Wales","EO","Female","45","40","27050","26780"
"In post","2021","Communications","Wales","EO","Male","35","35","27560","26890"
"In post","2021","Communications","Wales","G6","Female","5","5","[c]","[c]"
"In post","2021","Communications","Wales","G6","Male","5","5","[c]","[c]"
"In post","2021","Communications","Wales","G7","Female","20","20","[c]","[c]"
"In post","2021","Communications","Wales","G7","Male","15","15","[c]","[c]"
"In post","2021","Communications","Wales","HEO","Female","60","60","33050","32020"
"In post","2021","Communications","Wales","HEO","Male","45","40","34240","34490"
"In post","2021","Communications","Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","SEO","Female","55","50","42370","42360"
