"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Government Legal Department","Other","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Government Legal Department","Other","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Other","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Other","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Government Legal Department","Other","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Other","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Other","SEO/HEO","Heterosexual / straight","70","70","33660","31710"
"In post","2021","Government Legal Department","Other","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Government Legal Department","Other","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Other","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2021","Government Legal Department","Policy","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Government Legal Department","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Policy","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Government Legal Department","Project Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Commercial","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Communications","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Digital, Data and Technology","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Government Property Agency","Other","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Other","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Government Property Agency","Planning","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Planning","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Project Delivery","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Property","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Science and Engineering","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Government Property Agency","Science and Engineering","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Science and Engineering","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Science and Engineering","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Science and Engineering","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Science and Engineering","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Science and Engineering","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Economics","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Economics","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Economics","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Economics","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","SEO/HEO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Knowledge and Information Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Legal","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","AA/AO","Heterosexual / straight","170","150","21980","22160"
"In post","2021","Health and Safety Executive","Operational Delivery","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","AA/AO","Undeclared","40","35","22230","22160"
"In post","2021","Health and Safety Executive","Operational Delivery","AA/AO","Unknown","35","30","22540","22160"
"In post","2021","Health and Safety Executive","Operational Delivery","EO","Heterosexual / straight","220","205","28200","28210"
"In post","2021","Health and Safety Executive","Operational Delivery","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","EO","Undeclared","50","45","28410","28990"
"In post","2021","Health and Safety Executive","Operational Delivery","EO","Unknown","25","20","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","G6/G7","Heterosexual / straight","205","200","62470","59630"
"In post","2021","Health and Safety Executive","Operational Delivery","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","G6/G7","Undeclared","55","50","65050","59630"
"In post","2021","Health and Safety Executive","Operational Delivery","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Operational Delivery","SEO/HEO","Heterosexual / straight","590","565","48230","45850"
"In post","2021","Health and Safety Executive","Operational Delivery","SEO/HEO","LGBO","30","30","42370","41480"
"In post","2021","Health and Safety Executive","Operational Delivery","SEO/HEO","Undeclared","145","140","48460","46320"
"In post","2021","Health and Safety Executive","Operational Delivery","SEO/HEO","Unknown","75","75","50210","46080"
"In post","2021","Health and Safety Executive","Policy","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","SEO/HEO","Heterosexual / straight","35","35","39540","39330"
"In post","2021","Health and Safety Executive","Policy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Policy","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Health and Safety Executive","Property","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
