"Status","Year","Age","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Education (excl. agencies)","Manchester","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Westminster","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Westminster","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Westminster","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Blackpool","Outside London","15","15","21010","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Central Valleys","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Dumfries and Galloway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Durham CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Ealing","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Glasgow City","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Greater Manchester South East","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Gwynedd","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Leeds","Outside London","10","10","21010","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Leicester","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Sheffield","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Swansea","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Tyneside","Outside London","30","30","21670","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Worcestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Swansea","Outside London","35","25","19200","18060"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Milton Keynes","Outside London","15","15","21020","21600"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Dumfries and Galloway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Brent","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Plymouth","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Barnsley, Doncaster and Rotherham","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Buckinghamshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Chorley and West Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Kent Thames Gateway","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Staffordshire CC","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Worcestershire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Birmingham","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Cardiff and Vale of Glamorgan","Outside London","25","20","20370","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","City of Edinburgh","Outside London","20","20","20400","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Durham CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Greater Manchester South West","Outside London","10","10","21120","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Leeds","Outside London","30","25","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Liverpool","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Mid Lancashire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","North Lanarkshire","Outside London","15","10","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Nottingham","Outside London","10","10","22310","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Sefton","Outside London","20","20","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Southend-on-Sea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Sunderland","Outside London","15","15","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Tyneside","Outside London","30","30","20660","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","West Lothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Westminster","London","25","25","23980","24300"
"In post","2021","16-19","Home Office (incl. agencies)","Croydon","London","[c]","[c]","[c]","[c]"
