"Status","Year","Function_of_post","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","Female","55","50","67880","65470"
"In post","2021","Analysis","Government Actuary's Department","London","Male","110","105","70120","59410"
"In post","2021","Analysis","Government Actuary's Department","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","Female","155","150","48430","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","Male","205","200","46990","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","Female","125","115","39060","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","Male","160","155","39880","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","Female","40","40","53810","52840"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","Male","80","80","49220","52530"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","Female","35","35","43210","40640"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","Male","50","50","44530","40000"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","Female","55","50","38290","36300"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","Male","55","55","37210","35550"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","Female","70","65","46720","43190"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","Male","120","120","46900","53130"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","Female","170","155","47040","41590"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","Male","185","185","46230","41000"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","Female","60","55","37330","32010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","Male","60","55","38560","32010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","Male","35","35","54280","52000"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Outside London","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","Female","125","120","39400","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","Male","90","85","42790","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","Female","790","735","35730","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","Male","665","650","37710","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Outside London","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Wales Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Outside London","Female","35","30","30100","28580"
"In post","2021","Commercial","Animal and Plant Health Agency","Outside London","Male","20","15","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","Female","355","345","68880","64500"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","Male","415","415","81000","70000"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Outside London","Female","300","295","64080","62010"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Outside London","Male","330","330","65830","62010"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Companies House","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Outside London","Female","185","175","32760","32670"
"In post","2021","Commercial","Crown Commercial Service","Outside London","Male","170","165","34020","33270"
"In post","2021","Commercial","Crown Prosecution Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Outside London","Female","85","80","40860","35530"
"In post","2021","Commercial","Defence Equipment and Support","Outside London","Male","195","195","45880","41990"
"In post","2021","Commercial","Defence Equipment and Support","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Outside London","Female","35","35","32980","33090"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Outside London","Male","30","30","34290","37320"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Outside London","Female","95","90","39890","38000"
"In post","2021","Commercial","Department for Education (excl. agencies)","Outside London","Male","85","80","39090","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","75","70","37790","36970"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","45","45","41340","36970"
"In post","2021","Commercial","Department for International Trade","London","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","London","Female","60","55","52980","53360"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","London","Male","45","45","57660","44710"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","Female","55","55","41010","36820"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","Male","40","40","42890","38300"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Outside London","Female","80","65","31320","31040"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Outside London","Male","75","75","34290","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Outside London","Female","40","40","41040","34370"
"In post","2021","Commercial","FCDO Services","Outside London","Male","35","30","46520","44670"
"In post","2021","Commercial","Food Standards Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Female","45","45","39860","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Actuary's Department","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Actuary's Department","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","London","Female","145","140","47490","43840"
"In post","2021","Commercial","HM Prison and Probation Service","London","Male","90","90","54520","53880"
"In post","2021","Commercial","HM Prison and Probation Service","Outside London","Female","230","225","44110","42630"
"In post","2021","Commercial","HM Prison and Probation Service","Outside London","Male","215","210","53730","52370"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Outside London","Female","70","65","34400","31960"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Outside London","Male","65","65","39210","38630"
"In post","2021","Commercial","HM Treasury (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","London","Female","25","25","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","London","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Outside London","Female","70","65","35330","37190"
"In post","2021","Commercial","Legal Aid Agency","Outside London","Male","40","40","35950","39460"
"In post","2021","Commercial","Met Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Outside London","Female","95","90","41180","38300"
"In post","2021","Commercial","Met Office","Outside London","Male","90","90","44670","47400"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","London","Female","55","55","35630","31040"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","London","Male","105","105","39850","37000"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Outside London","Female","735","695","33310","33300"
