"Status","Year","Disability","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","Heterosexual / straight","170","165","36490","33840"
"In post","2021","Declared disabled","Communications","Communications","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","Heterosexual / straight","95","90","27310","25560"
"In post","2021","Declared disabled","Communications","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","Heterosexual / straight","100","95","28870","25560"
"In post","2021","Declared disabled","Communications","Tax","LGBO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","Undeclared","10","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","Heterosexual / straight","35","35","38460","37910"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","Heterosexual / straight","165","150","31520","29570"
"In post","2021","Declared disabled","Counter Fraud","Legal","LGBO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","Unknown","30","30","30460","29570"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","Heterosexual / straight","215","195","30700","28130"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","Unknown","35","30","27460","25630"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","Heterosexual / straight","110","100","39280","35000"
"In post","2021","Declared disabled","Counter Fraud","Tax","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","Heterosexual / straight","240","200","23140","21440"
"In post","2021","Declared disabled","Debt","Operational Delivery","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","Undeclared","35","30","23310","21440"
"In post","2021","Declared disabled","Debt","Operational Delivery","Unknown","45","40","22880","21440"
"In post","2021","Declared disabled","Debt","Tax","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Heterosexual / straight","625","605","38840","35100"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","LGBO","75","75","36310","33400"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Undeclared","95","90","39110","35060"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Unknown","60","60","35170","33770"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
