"Status","Year","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Asian","EO","255","[c]","27570","27570"
"Leaver Dept.","2021","Asian","G6/G7","120","[c]","58010","56150"
"Leaver Dept.","2021","Asian","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","335","[c]","36080","35040"
"Leaver Dept.","2021","Asian","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","95","[c]","22020","21300"
"Leaver Dept.","2021","Black","EO","145","[c]","27500","27570"
"Leaver Dept.","2021","Black","G6/G7","55","[c]","56930","54670"
"Leaver Dept.","2021","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","185","[c]","36370","35590"
"Leaver Dept.","2021","Black","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","EO","70","[c]","27560","27570"
"Leaver Dept.","2021","Mixed","G6/G7","80","[c]","57460","55650"
"Leaver Dept.","2021","Mixed","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SEO/HEO","130","[c]","35080","33690"
"Leaver Dept.","2021","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","EO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SEO/HEO","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","70","[c]","21320","21010"
"Leaver Dept.","2021","Undeclared","EO","75","[c]","27160","27570"
"Leaver Dept.","2021","Undeclared","G6/G7","95","[c]","58090","56340"
"Leaver Dept.","2021","Undeclared","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","175","[c]","36510","36730"
"Leaver Dept.","2021","Undeclared","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","565","[c]","21040","20920"
"Leaver Dept.","2021","Unknown","EO","460","[c]","27180","27500"
"Leaver Dept.","2021","Unknown","G6/G7","630","[c]","56220","54460"
"Leaver Dept.","2021","Unknown","SCS level","75","[c]","85160","77030"
"Leaver Dept.","2021","Unknown","SEO/HEO","1355","[c]","34220","32860"
"Leaver Dept.","2021","Unknown","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2021","White","AA/AO","1140","[c]","20910","21010"
"Leaver Dept.","2021","White","EO","1375","[c]","26520","27470"
"Leaver Dept.","2021","White","G6/G7","1310","[c]","57340","55640"
"Leaver Dept.","2021","White","SCS level","235","[c]","89280","80390"
"Leaver Dept.","2021","White","SEO/HEO","2335","[c]","35330","34140"
"Leaver Dept.","2021","White","Unknown","100","[c]","[c]","[c]"
"New entrant CS","2021","Asian","AA/AO","1125","[c]","21810","21010"
"New entrant CS","2021","Asian","EO","1910","[c]","28680","27570"
"New entrant CS","2021","Asian","G6/G7","245","[c]","57780","55000"
"New entrant CS","2021","Asian","SCS level","25","[c]","[c]","[c]"
"New entrant CS","2021","Asian","SEO/HEO","740","[c]","35380","34030"
"New entrant CS","2021","Asian","Unknown","60","[c]","23820","22920"
"New entrant CS","2021","Black","AA/AO","645","[c]","23150","22680"
"New entrant CS","2021","Black","EO","1335","[c]","29300","31060"
"New entrant CS","2021","Black","G6/G7","105","[c]","54740","53000"
"New entrant CS","2021","Black","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","SEO/HEO","455","[c]","35540","34090"
"New entrant CS","2021","Black","Unknown","105","[c]","24700","24020"
"New entrant CS","2021","Chinese","AA/AO","30","[c]","22030","21010"
"New entrant CS","2021","Chinese","EO","45","[c]","28170","27770"
"New entrant CS","2021","Chinese","G6/G7","15","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SEO/HEO","40","[c]","35820","34020"
"New entrant CS","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","AA/AO","465","[c]","22320","21010"
"New entrant CS","2021","Mixed","EO","630","[c]","28430","27570"
