"Status","Year","Age","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Commercial","South East (England)","Outside London","70","70","29080","26670"
"In post","2021","20-29","Commercial","South West (England)","Outside London","355","350","29140","29210"
"In post","2021","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","Outside London","20","20","28150","27770"
"In post","2021","20-29","Commercial","West Midlands (England)","Outside London","35","35","30040","29730"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","Outside London","55","55","29930","28970"
"In post","2021","20-29","Communications","East Midlands (England)","Outside London","10","10","23890","21590"
"In post","2021","20-29","Communications","East of England","Outside London","15","15","30590","30660"
"In post","2021","20-29","Communications","London","London","595","595","36620","35430"
"In post","2021","20-29","Communications","North East (England)","Outside London","15","15","27270","26000"
"In post","2021","20-29","Communications","North West (England)","Outside London","30","30","29090","28570"
"In post","2021","20-29","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Communications","South East (England)","Outside London","35","35","27900","26670"
"In post","2021","20-29","Communications","South West (England)","Outside London","35","35","27180","26220"
"In post","2021","20-29","Communications","Wales","Outside London","55","55","28970","29200"
"In post","2021","20-29","Communications","West Midlands (England)","Outside London","15","15","27680","26450"
"In post","2021","20-29","Communications","Yorkshire and The Humber","Outside London","15","15","28380","25000"
"In post","2021","20-29","Corporate Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","London","5","5","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","London","55","55","32430","33100"
"In post","2021","20-29","Counter Fraud","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","East Midlands (England)","Outside London","45","45","30270","27130"
"In post","2021","20-29","Digital, Data and Technology","East of England","Outside London","45","45","27830","26510"
"In post","2021","20-29","Digital, Data and Technology","London","London","535","535","38690","36800"
"In post","2021","20-29","Digital, Data and Technology","North East (England)","Outside London","90","90","32330","31810"
"In post","2021","20-29","Digital, Data and Technology","North West (England)","Outside London","140","140","32820","31810"
"In post","2021","20-29","Digital, Data and Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Scotland","Outside London","95","90","32420","31810"
"In post","2021","20-29","Digital, Data and Technology","South East (England)","Outside London","110","110","30030","29540"
"In post","2021","20-29","Digital, Data and Technology","South West (England)","Outside London","330","325","30760","29760"
"In post","2021","20-29","Digital, Data and Technology","Wales","Outside London","295","295","29880","27070"
"In post","2021","20-29","Digital, Data and Technology","West Midlands (England)","Outside London","140","140","32710","31810"
"In post","2021","20-29","Digital, Data and Technology","Yorkshire and The Humber","Outside London","110","110","32990","30470"
"In post","2021","20-29","Economics","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","London","London","1015","1015","38230","34330"
"In post","2021","20-29","Economics","North West (England)","Outside London","15","15","32500","31810"
"In post","2021","20-29","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Scotland","Outside London","10","10","35160","33980"
"In post","2021","20-29","Economics","South East (England)","Outside London","10","10","34490","31800"
"In post","2021","20-29","Economics","South West (England)","Outside London","10","10","38220","38790"
"In post","2021","20-29","Economics","Wales","Outside London","80","80","29280","29540"
"In post","2021","20-29","Economics","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Yorkshire and The Humber","Outside London","25","25","33200","32790"
"In post","2021","20-29","Finance","East Midlands (England)","Outside London","20","20","26760","25560"
"In post","2021","20-29","Finance","East of England","Outside London","45","45","31160","30600"
"In post","2021","20-29","Finance","London","London","405","405","39600","36120"
"In post","2021","20-29","Finance","North East (England)","Outside London","25","25","34080","31810"
"In post","2021","20-29","Finance","North West (England)","Outside London","60","60","31450","29730"
"In post","2021","20-29","Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Finance","Scotland","Outside London","95","85","24470","20140"
"In post","2021","20-29","Finance","South East (England)","Outside London","85","85","29770","28130"
"In post","2021","20-29","Finance","South West (England)","Outside London","240","240","28080","26350"
"In post","2021","20-29","Finance","Wales","Outside London","60","55","28310","26350"
"In post","2021","20-29","Finance","West Midlands (England)","Outside London","70","70","29790","26780"
"In post","2021","20-29","Finance","Yorkshire and The Humber","Outside London","90","90","31380","28970"
"In post","2021","20-29","Human Resources","East Midlands (England)","Outside London","40","40","30850","29310"
"In post","2021","20-29","Human Resources","East of England","Outside London","20","20","28400","24620"
"In post","2021","20-29","Human Resources","London","London","450","445","36330","32730"
"In post","2021","20-29","Human Resources","North East (England)","Outside London","20","20","29860","30820"
"In post","2021","20-29","Human Resources","North West (England)","Outside London","140","140","26670","25560"
"In post","2021","20-29","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Scotland","Outside London","65","65","25730","24220"
"In post","2021","20-29","Human Resources","South East (England)","Outside London","40","40","28400","26590"
"In post","2021","20-29","Human Resources","South West (England)","Outside London","125","120","25290","21590"
"In post","2021","20-29","Human Resources","Wales","Outside London","105","105","26670","24500"
"In post","2021","20-29","Human Resources","West Midlands (England)","Outside London","30","30","31800","28090"
"In post","2021","20-29","Human Resources","Yorkshire and The Humber","Outside London","45","45","31520","28970"
"In post","2021","20-29","Intelligence Analysis","East Midlands (England)","Outside London","25","25","26810","26350"
"In post","2021","20-29","Intelligence Analysis","East of England","Outside London","70","70","29210","26670"
"In post","2021","20-29","Intelligence Analysis","London","London","300","300","37310","35700"
"In post","2021","20-29","Intelligence Analysis","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","North West (England)","Outside London","25","25","27200","25220"
"In post","2021","20-29","Intelligence Analysis","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Scotland","Outside London","10","10","29600","28690"
