"Status","Year","Age","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","HM Revenue and Customs (excl. agencies)","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Defence Equipment and Support","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","Crown Prosecution Service","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Defence Science and Technology Laboratory","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","HM Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","HM Prison and Probation Service","60","60","22480","22850"
"In post","2021","16-19","Declared non-disabled","No function","HM Revenue and Customs (excl. agencies)","50","45","20140","20140"
"In post","2021","16-19","Declared non-disabled","No function","HM Treasury (excl. agencies)","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Public Health England","15","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Defence Electronics and Components Agency","15","15","[c]","[c]"
