"Status","Year","Disability","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Lancashire","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","Lincolnshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","Liverpool","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","York","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","Tyneside","5","5","[c]","[c]"
