"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Statistics","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South East (England)","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South East (England)","Portsmouth","15","15","34150","31480"
"In post","2021","Analysis","Statistics","South East (England)","South Hampshire","130","125","41790","37520"
"In post","2021","Analysis","Statistics","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","55","50","40280","37050"
"In post","2021","Analysis","Statistics","South West (England)","Bristol, City of","105","100","39210","32010"
"In post","2021","Analysis","Statistics","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South West (England)","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","South West (England)","Wiltshire","10","10","41990","39990"
"In post","2021","Analysis","Statistics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Wales","Monmouthshire and Newport","305","300","41160","37020"
"In post","2021","Analysis","Statistics","West Midlands (England)","Birmingham","10","10","41430","39100"
"In post","2021","Analysis","Statistics","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Yorkshire and The Humber","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Yorkshire and The Humber","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Yorkshire and The Humber","Leeds","45","45","40240","37720"
"In post","2021","Analysis","Statistics","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Yorkshire and The Humber","York","50","45","35600","31350"
"In post","2021","Analysis","Tax","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
