"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Yorkshire and The Humber","SCS level","Female","130","125","84480","76850"
"In post","2021","Yorkshire and The Humber","SCS level","Male","145","145","86480","78350"
"In post","2021","Yorkshire and The Humber","SEO/HEO","Female","4850","4515","34790","33320"
"In post","2021","Yorkshire and The Humber","SEO/HEO","Male","4110","3995","35710","34610"
"In post","2021","Yorkshire and The Humber","Unknown","Female","1035","930","29640","28200"
"In post","2021","Yorkshire and The Humber","Unknown","Male","295","285","30280","30210"
"Leaver CS","2021","East Midlands (England)","AA/AO","Female","465","[c]","20090","20180"
"Leaver CS","2021","East Midlands (England)","AA/AO","Male","360","[c]","20820","20420"
"Leaver CS","2021","East Midlands (England)","EO","Female","210","[c]","26070","26930"
"Leaver CS","2021","East Midlands (England)","EO","Male","200","[c]","27910","27570"
"Leaver CS","2021","East Midlands (England)","G6/G7","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","G6/G7","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","Female","140","[c]","36410","34290"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","Male","115","[c]","35500","34510"
"Leaver CS","2021","East Midlands (England)","Unknown","Female","35","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Unknown","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","East of England","AA/AO","Female","440","[c]","21160","21010"
"Leaver CS","2021","East of England","AA/AO","Male","405","[c]","22560","21430"
"Leaver CS","2021","East of England","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","EO","Female","260","[c]","27370","27570"
"Leaver CS","2021","East of England","EO","Male","160","[c]","27650","27570"
"Leaver CS","2021","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","G6/G7","Female","35","[c]","[c]","[c]"
"Leaver CS","2021","East of England","G6/G7","Male","50","[c]","61280","59020"
"Leaver CS","2021","East of England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","East of England","SEO/HEO","Female","165","[c]","35970","34530"
"Leaver CS","2021","East of England","SEO/HEO","Male","185","[c]","39450","37600"
"Leaver CS","2021","East of England","SEO/HEO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Unknown","Female","50","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Unknown","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","London","AA/AO","Female","695","[c]","22770","22680"
"Leaver CS","2021","London","AA/AO","Male","570","[c]","23180","22890"
"Leaver CS","2021","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","EO","Female","640","[c]","28490","28860"
"Leaver CS","2021","London","EO","Male","500","[c]","28980","29390"
"Leaver CS","2021","London","EO","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","London","G6/G7","Female","500","[c]","60730","58570"
"Leaver CS","2021","London","G6/G7","Male","560","[c]","61010","58450"
"Leaver CS","2021","London","G6/G7","Unknown","20","[c]","[c]","[c]"
