"Status","Year","Age","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","60-64","EO","Female","5995","4620","27860","27570"
"In post","2021","60-64","EO","Male","4650","3845","28550","27570"
"In post","2021","60-64","G6/G7","Female","1105","960","60910","59160"
"In post","2021","60-64","G6/G7","Male","2005","1770","62120","60290"
"In post","2021","60-64","SCS level","Female","165","145","99580","92550"
"In post","2021","60-64","SCS level","Male","285","270","104970","96540"
"In post","2021","60-64","SEO/HEO","Female","3205","2640","36950","35360"
"In post","2021","60-64","SEO/HEO","Male","4520","3890","39240","38200"
"In post","2021","60-64","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","Female","690","580","30140","28200"
"In post","2021","60-64","Unknown","Male","560","520","37340","37170"
"In post","2021","65+","AA/AO","Female","2765","2030","21410","21010"
"In post","2021","65+","AA/AO","Male","2405","1935","21920","21010"
"In post","2021","65+","EO","Female","1530","1095","28020","27570"
"In post","2021","65+","EO","Male","1545","1185","28280","27570"
"In post","2021","65+","G6/G7","Female","215","175","62810","61000"
"In post","2021","65+","G6/G7","Male","645","495","63710","61010"
"In post","2021","65+","SCS level","Female","35","30","101800","95950"
"In post","2021","65+","SCS level","Male","75","60","107070","101000"
"In post","2021","65+","SEO/HEO","Female","645","495","37380","36010"
"In post","2021","65+","SEO/HEO","Male","1380","1085","39070","37610"
"In post","2021","65+","Unknown","Female","230","175","30580","28200"
"In post","2021","65+","Unknown","Male","175","155","37420","35530"
"In post","2021","Unknown","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Female","10","10","[c]","[c]"
"In post","2021","Unknown","EO","Male","10","10","[c]","[c]"
"In post","2021","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","AA/AO","Female","50","[c]","20280","20940"
"Leaver CS","2021","16-19","AA/AO","Male","40","[c]","20510","21010"
"Leaver CS","2021","16-19","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","EO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","AA/AO","Female","1655","[c]","20940","21010"
"Leaver CS","2021","20-29","AA/AO","Male","1455","[c]","21290","21010"
"Leaver CS","2021","20-29","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","EO","Female","540","[c]","25690","26880"
"Leaver CS","2021","20-29","EO","Male","560","[c]","26020","26410"
"Leaver CS","2021","20-29","EO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","G6/G7","Female","45","[c]","54440","54070"
"Leaver CS","2021","20-29","G6/G7","Male","55","[c]","55050","54470"
"Leaver CS","2021","20-29","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","SEO/HEO","Female","380","[c]","33580","32980"
"Leaver CS","2021","20-29","SEO/HEO","Male","375","[c]","34040","33570"
"Leaver CS","2021","20-29","SEO/HEO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Female","190","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Male","105","[c]","27730","27540"
"Leaver CS","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","AA/AO","Female","855","[c]","21110","21010"
"Leaver CS","2021","30-39","AA/AO","Male","805","[c]","22340","21010"
"Leaver CS","2021","30-39","EO","Female","455","[c]","27440","27570"
"Leaver CS","2021","30-39","EO","Male","360","[c]","27880","27570"
"Leaver CS","2021","30-39","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","G6/G7","Female","215","[c]","56760","54400"
"Leaver CS","2021","30-39","G6/G7","Male","265","[c]","57550","55000"
"Leaver CS","2021","30-39","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","SCS level","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","30-39","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","30-39","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","SEO/HEO","Female","445","[c]","36830","36800"
"Leaver CS","2021","30-39","SEO/HEO","Male","400","[c]","36410","36420"
"Leaver CS","2021","30-39","SEO/HEO","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Female","135","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Male","80","[c]","28710","29880"
"Leaver CS","2021","40-49","AA/AO","Female","745","[c]","21090","21010"
"Leaver CS","2021","40-49","AA/AO","Male","615","[c]","21510","21010"
"Leaver CS","2021","40-49","EO","Female","420","[c]","27580","27570"
"Leaver CS","2021","40-49","EO","Male","275","[c]","27960","27570"
"Leaver CS","2021","40-49","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","G6/G7","Female","205","[c]","60450","57940"
"Leaver CS","2021","40-49","G6/G7","Male","195","[c]","60910","57830"
"Leaver CS","2021","40-49","G6/G7","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","40-49","SCS level","Female","55","[c]","92380","86600"
"Leaver CS","2021","40-49","SCS level","Male","50","[c]","95320","92000"
"Leaver CS","2021","40-49","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","SEO/HEO","Female","380","[c]","37000","36760"
"Leaver CS","2021","40-49","SEO/HEO","Male","290","[c]","37490","37710"
"Leaver CS","2021","40-49","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Female","125","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Male","50","[c]","[c]","[c]"
"Leaver CS","2021","50-59","AA/AO","Female","1380","[c]","21050","21010"
"Leaver CS","2021","50-59","AA/AO","Male","925","[c]","22290","21010"
"Leaver CS","2021","50-59","EO","Female","840","[c]","27440","27570"
"Leaver CS","2021","50-59","EO","Male","670","[c]","28740","27570"
"Leaver CS","2021","50-59","G6/G7","Female","355","[c]","61800","59330"
"Leaver CS","2021","50-59","G6/G7","Male","380","[c]","62640","60740"
"Leaver CS","2021","50-59","G6/G7","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","SCS level","Female","50","[c]","98510","97370"
"Leaver CS","2021","50-59","SCS level","Male","95","[c]","110680","103960"
"Leaver CS","2021","50-59","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","SEO/HEO","Female","720","[c]","37440","36960"
"Leaver CS","2021","50-59","SEO/HEO","Male","725","[c]","38780","38170"
"Leaver CS","2021","50-59","SEO/HEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Female","135","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Male","115","[c]","41530","35120"
"Leaver CS","2021","60-64","AA/AO","Female","960","[c]","20940","21010"
"Leaver CS","2021","60-64","AA/AO","Male","655","[c]","22330","21010"
"Leaver CS","2021","60-64","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","EO","Female","610","[c]","27530","27570"
"Leaver CS","2021","60-64","EO","Male","510","[c]","28310","27570"
"Leaver CS","2021","60-64","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","G6/G7","Female","210","[c]","63420","60830"
"Leaver CS","2021","60-64","G6/G7","Male","320","[c]","62290","60250"
"Leaver CS","2021","60-64","G6/G7","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","SCS level","Female","45","[c]","94770","90660"
"Leaver CS","2021","60-64","SCS level","Male","70","[c]","101370","95960"
"Leaver CS","2021","60-64","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","SEO/HEO","Female","480","[c]","37470","35110"
"Leaver CS","2021","60-64","SEO/HEO","Male","660","[c]","39120","38560"
"Leaver CS","2021","60-64","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Female","80","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Male","90","[c]","43620","37580"
"Leaver CS","2021","65+","AA/AO","Female","990","[c]","20700","20920"
"Leaver CS","2021","65+","AA/AO","Male","775","[c]","20940","20650"
"Leaver CS","2021","65+","EO","Female","455","[c]","27410","27570"
"Leaver CS","2021","65+","EO","Male","415","[c]","27630","27570"
"Leaver CS","2021","65+","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","G6/G7","Female","60","[c]","60840","61060"
"Leaver CS","2021","65+","G6/G7","Male","140","[c]","62820","60950"
"Leaver CS","2021","65+","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","65+","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","65+","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","SEO/HEO","Female","190","[c]","36700","35060"
"Leaver CS","2021","65+","SEO/HEO","Male","420","[c]","39200","37530"
"Leaver CS","2021","65+","Unknown","Female","75","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","Male","55","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","AA/AO","Female","525","[c]","21240","21010"
"Leaver Dept.","2021","20-29","AA/AO","Male","345","[c]","21050","21010"
"Leaver Dept.","2021","20-29","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","EO","Female","530","[c]","26960","27440"
"Leaver Dept.","2021","20-29","EO","Male","435","[c]","26920","27540"
"Leaver Dept.","2021","20-29","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","G6/G7","Female","175","[c]","54250","53600"
"Leaver Dept.","2021","20-29","G6/G7","Male","155","[c]","53890","53350"
"Leaver Dept.","2021","20-29","SEO/HEO","Female","1125","[c]","33700","32750"
"Leaver Dept.","2021","20-29","SEO/HEO","Male","935","[c]","33800","32830"
"Leaver Dept.","2021","20-29","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","Male","45","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","AA/AO","Female","320","[c]","20820","21010"
"Leaver Dept.","2021","30-39","AA/AO","Male","280","[c]","21280","21010"
"Leaver Dept.","2021","30-39","EO","Female","375","[c]","26600","26970"
"Leaver Dept.","2021","30-39","EO","Male","290","[c]","26660","27570"
"Leaver Dept.","2021","30-39","G6/G7","Female","510","[c]","56460","54700"
"Leaver Dept.","2021","30-39","G6/G7","Male","465","[c]","56330","54700"
"Leaver Dept.","2021","30-39","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SCS level","Female","45","[c]","77460","74370"
"Leaver Dept.","2021","30-39","SCS level","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","SEO/HEO","Female","660","[c]","35900","34940"
"Leaver Dept.","2021","30-39","SEO/HEO","Male","655","[c]","35990","35020"
"Leaver Dept.","2021","30-39","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","AA/AO","Female","195","[c]","20980","21010"
"Leaver Dept.","2021","40-49","AA/AO","Male","155","[c]","21300","21010"
"Leaver Dept.","2021","40-49","EO","Female","270","[c]","27100","27570"
"Leaver Dept.","2021","40-49","EO","Male","155","[c]","26850","27570"
"Leaver Dept.","2021","40-49","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","G6/G7","Female","325","[c]","58710","57730"
"Leaver Dept.","2021","40-49","G6/G7","Male","265","[c]","58670","57540"
"Leaver Dept.","2021","40-49","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SCS level","Female","115","[c]","86020","77970"
"Leaver Dept.","2021","40-49","SCS level","Male","60","[c]","89460","89790"
"Leaver Dept.","2021","40-49","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","SEO/HEO","Female","365","[c]","36740","35800"
"Leaver Dept.","2021","40-49","SEO/HEO","Male","275","[c]","37060","36880"
"Leaver Dept.","2021","40-49","Unknown","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","AA/AO","Female","160","[c]","20970","21010"
"Leaver Dept.","2021","50-59","AA/AO","Male","115","[c]","21160","20800"
"Leaver Dept.","2021","50-59","EO","Female","185","[c]","27130","27570"
"Leaver Dept.","2021","50-59","EO","Male","110","[c]","26870","27570"
"Leaver Dept.","2021","50-59","G6/G7","Female","155","[c]","58490","57490"
"Leaver Dept.","2021","50-59","G6/G7","Male","175","[c]","59600","59650"
"Leaver Dept.","2021","50-59","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","SCS level","Female","40","[c]","94980","83890"
"Leaver Dept.","2021","50-59","SCS level","Male","40","[c]","97050","87600"
"Leaver Dept.","2021","50-59","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","SEO/HEO","Female","270","[c]","36620","35720"
"Leaver Dept.","2021","50-59","SEO/HEO","Male","190","[c]","36530","35310"
"Leaver Dept.","2021","50-59","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","AA/AO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","AA/AO","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","EO","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","EO","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","G6/G7","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","G6/G7","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","SCS level","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","SEO/HEO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","SEO/HEO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","AA/AO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","SEO/HEO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","16-19","AA/AO","Female","390","[c]","20880","20920"
"New entrant CS","2021","16-19","AA/AO","Male","285","[c]","20800","20810"
"New entrant CS","2021","16-19","EO","Female","90","[c]","24990","26120"
"New entrant CS","2021","16-19","EO","Male","110","[c]","23000","24300"
"New entrant CS","2021","16-19","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Unknown","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Unknown","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","20-29","AA/AO","Female","5350","[c]","21440","21010"
"New entrant CS","2021","20-29","AA/AO","Male","4370","[c]","21710","21010"
"New entrant CS","2021","20-29","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","EO","Female","4585","[c]","27500","27570"
"New entrant CS","2021","20-29","EO","Male","3115","[c]","27210","27570"
"New entrant CS","2021","20-29","EO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","G6/G7","Female","225","[c]","53890","53360"
"New entrant CS","2021","20-29","G6/G7","Male","215","[c]","54500","53380"
"New entrant CS","2021","20-29","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","SCS level","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","SEO/HEO","Female","2850","[c]","32880","32560"
"New entrant CS","2021","20-29","SEO/HEO","Male","2280","[c]","33190","32790"
"New entrant CS","2021","20-29","SEO/HEO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Female","695","[c]","22960","22920"
"New entrant CS","2021","20-29","Unknown","Male","200","[c]","24350","22920"
"New entrant CS","2021","30-39","AA/AO","Female","2100","[c]","21350","21010"
"New entrant CS","2021","30-39","AA/AO","Male","2080","[c]","22320","21010"
"New entrant CS","2021","30-39","EO","Female","2580","[c]","27860","27570"
"New entrant CS","2021","30-39","EO","Male","1855","[c]","27730","27570"
"New entrant CS","2021","30-39","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","G6/G7","Female","680","[c]","56210","53990"
"New entrant CS","2021","30-39","G6/G7","Male","640","[c]","57400","55000"
"New entrant CS","2021","30-39","G6/G7","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","SCS level","Female","55","[c]","81310","77000"
"New entrant CS","2021","30-39","SCS level","Male","60","[c]","76110","73350"
"New entrant CS","2021","30-39","SEO/HEO","Female","1730","[c]","35630","35400"
"New entrant CS","2021","30-39","SEO/HEO","Male","1365","[c]","35860","35900"
"New entrant CS","2021","30-39","SEO/HEO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Female","320","[c]","23950","22920"
"New entrant CS","2021","30-39","Unknown","Male","120","[c]","27880","22920"
"New entrant CS","2021","40-49","AA/AO","Female","1475","[c]","21270","21010"
"New entrant CS","2021","40-49","AA/AO","Male","1260","[c]","22280","21010"
"New entrant CS","2021","40-49","EO","Female","1845","[c]","27950","27570"
"New entrant CS","2021","40-49","EO","Male","1310","[c]","27720","27570"
"New entrant CS","2021","40-49","G6/G7","Female","560","[c]","57790","54120"
"New entrant CS","2021","40-49","G6/G7","Male","590","[c]","59130","56000"
"New entrant CS","2021","40-49","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","SCS level","Female","90","[c]","86120","80000"
"New entrant CS","2021","40-49","SCS level","Male","105","[c]","96900","89980"
"New entrant CS","2021","40-49","SEO/HEO","Female","1025","[c]","36450","36500"
"New entrant CS","2021","40-49","SEO/HEO","Male","855","[c]","36650","36330"
"New entrant CS","2021","40-49","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Female","200","[c]","26800","22920"
"New entrant CS","2021","40-49","Unknown","Male","100","[c]","33550","22920"
"New entrant CS","2021","50-59","AA/AO","Female","1395","[c]","20950","21010"
"New entrant CS","2021","50-59","AA/AO","Male","1220","[c]","21790","21010"
"New entrant CS","2021","50-59","EO","Female","1580","[c]","27920","27570"
"New entrant CS","2021","50-59","EO","Male","1115","[c]","28000","27570"
"New entrant CS","2021","50-59","G6/G7","Female","295","[c]","59310","56000"
"New entrant CS","2021","50-59","G6/G7","Male","435","[c]","59480","56550"
"New entrant CS","2021","50-59","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","SCS level","Female","55","[c]","99080","91000"
"New entrant CS","2021","50-59","SCS level","Male","100","[c]","100320","95000"
"New entrant CS","2021","50-59","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","SEO/HEO","Female","585","[c]","35970","36030"
"New entrant CS","2021","50-59","SEO/HEO","Male","670","[c]","37390","37450"
