"Status","Year","Disability","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","G6/G7","20","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","35","30","21930","22220"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","50","50","43920","40970"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","AA/AO","160","145","22460","21950"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","EO","140","125","28210","28430"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","G6/G7","315","290","59020","55610"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","105","100","36430","35020"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","EO","290","270","22630","21850"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","G6/G7","135","130","56380","55210"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","SEO/HEO","650","630","35790","35430"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","EO","35","35","23280","22780"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","165","160","50480","46650"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","240","230","33060","32000"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","50","50","28290","27690"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","190","185","58560","56340"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","200","200","37390","35820"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","45","40","57340","54730"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","55","55","36170","34020"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","EO","85","80","26690","26000"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","G6/G7","145","140","57090","54400"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","SCS level","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","SEO/HEO","260","250","35760","36500"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","75","70","26700","26050"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","175","175","53700","53200"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","305","290","35120","35900"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","G6/G7","85","85","56420","53260"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","SEO/HEO","75","75","35260","35360"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","G6/G7","65","65","57830","54760"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","85","80","38310","35990"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","5070","4280","21150","21010"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","8370","7425","28060","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","295","280","56020","54070"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","1465","1350","34730","34290"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","50","50","58410","57480"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","60","60","36040","36820"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","EO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","490","390","20280","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","EO","90","80","26710","26780"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","65","60","37490","33350"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","80","75","23550","21590"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","EO","275","245","28140","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","95","90","35770","33350"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","G6/G7","40","40","54760","51410"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","SEO/HEO","95","90","34690","36500"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","SEO/HEO","30","30","40830","40920"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","EO","30","30","27550","26750"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","SEO/HEO","30","30","35920","36540"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","65","65","25930","25430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","105","100","30040","30430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","240","235","59240","58030"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","280","275","37470","37560"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","G6/G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","SEO/HEO","35","35","40560","39980"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","EO","35","35","29020","27710"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","G6/G7","110","100","60420","61730"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","AA/AO","50","40","22120","22160"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","EO","70","65","28350","28210"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","G6/G7","40","35","58800","57660"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","SEO/HEO","160","150","43700","43380"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","AA/AO","1395","1225","19870","19930"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","EO","335","320","24120","23900"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","G6/G7","50","45","56170","57200"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","SEO/HEO","285","265","34830","34190"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","AA/AO","115","105","22380","22350"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","EO","200","170","27440","27130"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","SEO/HEO","150","130","36820","33840"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","AA/AO","2315","2160","25920","24690"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","EO","620","590","30640","30310"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","G6/G7","70","70","71640","69910"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","SEO/HEO","705","685","41420","38160"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Unknown","2240","2080","30550","30210"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA/AO","1900","1590","20980","20640"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","1225","1100","26750","25560"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6/G7","610","575","57140","53150"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO/HEO","1730","1620","34960","33530"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","G6/G7","80","80","58730","55850"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","SEO/HEO","75","75","34250","32500"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","AA/AO","840","730","21870","21430"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","EO","1190","1085","27170","26910"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","G6/G7","250","245","60650","57680"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","SCS level","25","25","[c]","[c]"
