"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","Croydon","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands (England)","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Southend-on-Sea","25","25","43620","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","Camden and City of London","15","15","42310","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","Croydon","30","30","47610","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","Hackney and Newham","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","Tower Hamlets","120","115","47870","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","Westminster","190","185","47980","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Greater Manchester South West","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Liverpool","75","70","39900","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Manchester","160","150","38490","33690"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Sefton","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","Westminster","125","120","50770","52680"
"In post","2021","Analysis","Insolvency Service","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","South East (England)","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","Westminster","85","85","43990","40640"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Buckinghamshire CC","10","10","35540","33180"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Central Hampshire","15","15","37120","33460"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Portsmouth","15","15","34150","31480"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","55","55","40630","38530"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","Westminster","190","190","46840","46510"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","Tower Hamlets","320","310","46810","41090"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","Westminster","30","30","45060","40680"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","North East (England)","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","Leeds","35","35","32450","30430"
"In post","2021","Analysis","National Savings and Investments","London","Westminster","10","10","38090","33290"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","Nottingham","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","Westminster","35","35","45600","42850"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","North West (England)","Manchester","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","South West (England)","Bristol, City of","90","85","39150","32010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","Tower Hamlets","55","55","54980","52000"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Scotland","Glasgow City","10","10","54880","63750"
"In post","2021","Analysis","Office of Rail and Road","London","Tower Hamlets","30","30","53850","55430"
"In post","2021","Analysis","Office of Rail and Road","North West (England)","Manchester","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Yorkshire and The Humber","York","5","5","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","South West (England)","Bristol, City of","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scotland","City of Edinburgh","20","20","38010","36780"
"In post","2021","Analysis","Registers of Scotland","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","North East (England)","Tyneside","5","5","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","North West (England)","East Cumbria","10","10","29950","30040"
"In post","2021","Analysis","Rural Payments Agency","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","Westminster","25","25","44760","38200"
"In post","2021","Analysis","UK Intellectual Property Office","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Wales","Monmouthshire and Newport","15","15","49150","55600"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","Westminster","225","225","40680","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Scotland","City of Edinburgh","10","10","44440","45040"
"In post","2021","Analysis","United Kingdom Statistics Authority","South East (England)","South Hampshire","440","420","37170","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Wales","Monmouthshire and Newport","1025","975","36210","36030"
"In post","2021","Analysis","Valuation Office Agency","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","London","Tower Hamlets","20","20","51160","46630"
"In post","2021","Analysis","Valuation Office Agency","North East (England)","Tyneside","15","15","45110","46750"
"In post","2021","Analysis","Valuation Office Agency","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","Camden and City of London","20","20","71600","71740"
"In post","2021","Analysis","Water Services Regulation Authority","West Midlands (England)","Birmingham","15","15","53360","49810"
"In post","2021","Analysis","Welsh Revenue Authority","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","15","15","26080","24920"
"In post","2021","Commercial","Animal and Plant Health Agency","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Scotland","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","South East (England)","West Surrey","15","15","34470","28600"
"In post","2021","Commercial","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Wales","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Wales","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","West Midlands (England)","Worcestershire","10","10","35070","34450"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","East Midlands (England)","Nottingham","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","East of England","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","East of England","Norwich and East Norfolk","55","55","55100","52050"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","Croydon","20","15","70260","68170"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","Lewisham and Southwark","10","10","114770","126890"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","Tower Hamlets","100","95","53630","54700"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","Westminster","640","630","78260","69150"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North East (England)","Darlington","10","10","68480","66810"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North East (England)","Tyneside","15","15","60310","56470"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North West (England)","Blackpool","30","30","56540","49700"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester South West","50","50","61190","53460"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North West (England)","Liverpool","70","70","64390","55840"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North West (England)","Manchester","35","35","62540","56520"
