"Status","Year","Ethnicity","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Heterosexual / straight","40","35","36600","33240"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Heterosexual / straight","500","465","39580","35020"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Unknown","85","75","38930","30110"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Heterosexual / straight","285","275","33760","31950"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Unknown","10","5","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","55","55","42740","38100"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","395","385","44010","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heterosexual / straight","110","110","46790","42020"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Heterosexual / straight","405","395","39800","36500"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","220","215","39970","35900"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Department for International Trade","Heterosexual / straight","190","185","41790","38300"
"In post","2021","Asian","Department for International Trade","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Department for International Trade","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","260","255","45310","42680"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","5430","5005","28060","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","125","115","28060","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","410","355","26750","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","1380","1150","26820","27570"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","140","135","42050","36820"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","40","35","27560","21590"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","80","80","30010","30470"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","20","15","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","155","150","39210","36780"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","Unknown","35","35","40450","38710"
"In post","2021","Asian","Education Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Heterosexual / straight","55","55","33840","28980"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","Heterosexual / straight","40","40","38840","32830"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Heterosexual / straight","360","350","43500","38130"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","Heterosexual / straight","50","50","47860","49430"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","Heterosexual / straight","205","195","48420","51250"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","LGBO","10","5","[c]","[c]"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","Unknown","35","30","56170","63730"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","Heterosexual / straight","50","50","50280","44690"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","Heterosexual / straight","1265","1150","24820","22570"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","LGBO","30","25","[c]","[c]"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","Undeclared","120","110","25010","22450"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","Unknown","65","55","26810","22450"
"In post","2021","Asian","HM Land Registry","HM Land Registry","Heterosexual / straight","150","140","31390","27130"
"In post","2021","Asian","HM Land Registry","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","HM Land Registry","Undeclared","15","10","[c]","[c]"
"In post","2021","Asian","HM Land Registry","HM Land Registry","Unknown","40","35","28220","27130"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","Heterosexual / straight","1340","1260","30920","30010"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","LGBO","30","30","27200","24620"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","Undeclared","55","55","31320","31600"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","Unknown","85","80","34920","32850"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Heterosexual / straight","3105","2935","31420","29570"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","LGBO","105","95","28000","25560"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Undeclared","205","185","28640","25560"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","785","715","29680","25630"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","Heterosexual / straight","170","170","43730","38720"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","Heterosexual / straight","4065","3775","31470","28810"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","LGBO","40","35","31530","28670"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","Undeclared","380","340","29270","28570"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","95","85","29090","25060"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","Unknown","45","40","27220","25060"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","Heterosexual / straight","55","50","26670","22570"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","Heterosexual / straight","55","50","48780","52620"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Heterosexual / straight","180","180","39760","33090"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","80","75","45440","40850"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Heterosexual / straight","795","770","34090","31200"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","LGBO","25","25","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Undeclared","55","50","33610","30560"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Heterosexual / straight","185","180","40610","35890"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Heterosexual / straight","415","405","38620","33930"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","National Crime Agency","National Crime Agency","Heterosexual / straight","220","215","36420","36200"
"In post","2021","Asian","National Crime Agency","National Crime Agency","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","National Crime Agency","National Crime Agency","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","National Crime Agency","National Crime Agency","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
