"Status","Year","Disability","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Legal","London","G6/G7","225","210","62090","62590"
"In post","2021","Declared disabled","Legal","London","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","SEO/HEO","65","60","39020","38650"
"In post","2021","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Outside London","AA/AO","150","135","22030","21950"
"In post","2021","Declared disabled","Legal","Outside London","EO","140","125","27440","28130"
"In post","2021","Declared disabled","Legal","Outside London","G6/G7","270","245","57650","55610"
"In post","2021","Declared disabled","Legal","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal","Outside London","SEO/HEO","235","220","38840","38000"
"In post","2021","Declared disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","London","AA/AO","635","590","25580","24120"
"In post","2021","Declared disabled","No function","London","EO","605","585","29860","29550"
"In post","2021","Declared disabled","No function","London","G6/G7","780","760","58600","56150"
"In post","2021","Declared disabled","No function","London","SCS level","110","110","86290","77370"
"In post","2021","Declared disabled","No function","London","SEO/HEO","1150","1125","37740","36800"
"In post","2021","Declared disabled","No function","London","Unknown","290","280","34050","34100"
"In post","2021","Declared disabled","No function","Outside London","AA/AO","6060","5335","22220","21270"
"In post","2021","Declared disabled","No function","Outside London","EO","2520","2320","27480","26780"
"In post","2021","Declared disabled","No function","Outside London","G6/G7","660","630","56530","52580"
"In post","2021","Declared disabled","No function","Outside London","SCS level","30","30","91210","85850"
"In post","2021","Declared disabled","No function","Outside London","SEO/HEO","2590","2445","36260","35000"
"In post","2021","Declared disabled","No function","Outside London","Unknown","1935","1785","29950","28990"
"In post","2021","Declared disabled","No function","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Overseas","G6/G7","50","50","60400","58850"
"In post","2021","Declared disabled","No function","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Overseas","SEO/HEO","55","55","35560","34380"
"In post","2021","Declared disabled","No function","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","London","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","London","EO","45","45","29610","29570"
"In post","2021","Declared disabled","Project Delivery","London","G6/G7","195","185","60940","59650"
"In post","2021","Declared disabled","Project Delivery","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","London","SEO/HEO","175","165","38660","38600"
"In post","2021","Declared disabled","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Outside London","AA/AO","45","45","20870","21040"
"In post","2021","Declared disabled","Project Delivery","Outside London","EO","450","420","24630","25730"
"In post","2021","Declared disabled","Project Delivery","Outside London","G6/G7","345","335","54520","53500"
"In post","2021","Declared disabled","Project Delivery","Outside London","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Outside London","SEO/HEO","1160","1110","35800","35000"
"In post","2021","Declared disabled","Project Delivery","Outside London","Unknown","120","115","40450","39860"
"In post","2021","Declared disabled","Project Delivery","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Overseas","G6/G7","35","35","59240","56820"
"In post","2021","Declared disabled","Project Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","London","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Property","London","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Property","London","G6/G7","30","30","60190","61040"
"In post","2021","Declared disabled","Property","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Property","London","SEO/HEO","40","40","39370","36800"
"In post","2021","Declared disabled","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Outside London","AA/AO","150","135","21050","21100"
"In post","2021","Declared disabled","Property","Outside London","EO","130","120","26520","26470"
"In post","2021","Declared disabled","Property","Outside London","G6/G7","70","65","56510","54990"
"In post","2021","Declared disabled","Property","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Outside London","SEO/HEO","265","250","35880","33300"
"In post","2021","Declared disabled","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Property","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","London","AA/AO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Security","London","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Security","London","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Security","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","London","SEO/HEO","35","35","41380","40890"
"In post","2021","Declared disabled","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Outside London","AA/AO","320","310","26450","20920"
"In post","2021","Declared disabled","Security","Outside London","EO","100","100","31770","27420"
"In post","2021","Declared disabled","Security","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Security","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Outside London","SEO/HEO","105","100","38860","34770"
"In post","2021","Declared disabled","Security","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Security","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","AA/AO","515","455","24510","25110"
"In post","2021","Declared disabled","Unknown","London","EO","1410","1290","30580","31060"
"In post","2021","Declared disabled","Unknown","London","G6/G7","310","300","62130","59730"
"In post","2021","Declared disabled","Unknown","London","SCS level","55","55","90420","84980"
"In post","2021","Declared disabled","Unknown","London","SEO/HEO","715","680","39300","38450"
"In post","2021","Declared disabled","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Outside London","AA/AO","6495","5595","21030","21010"
"In post","2021","Declared disabled","Unknown","Outside London","EO","8680","7735","27560","27570"
"In post","2021","Declared disabled","Unknown","Outside London","G6/G7","585","560","58600","56120"
"In post","2021","Declared disabled","Unknown","Outside London","SCS level","35","35","87140","83230"
"In post","2021","Declared disabled","Unknown","Outside London","SEO/HEO","2490","2335","35460","34290"
"In post","2021","Declared disabled","Unknown","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","EO","90","85","28030","27570"
"In post","2021","Declared disabled","Unknown","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","London","AA/AO","40","40","24760","24900"
"In post","2021","Declared non-disabled","Analysis","London","EO","150","150","28830","28950"
"In post","2021","Declared non-disabled","Analysis","London","G6/G7","960","920","62760","59160"
"In post","2021","Declared non-disabled","Analysis","London","SCS level","95","95","89990","80370"
"In post","2021","Declared non-disabled","Analysis","London","SEO/HEO","1010","995","38300","36700"
"In post","2021","Declared non-disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Outside London","AA/AO","70","65","20490","21050"
"In post","2021","Declared non-disabled","Analysis","Outside London","EO","305","285","25450","25100"
"In post","2021","Declared non-disabled","Analysis","Outside London","G6/G7","670","640","53300","51310"
"In post","2021","Declared non-disabled","Analysis","Outside London","SCS level","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Outside London","SEO/HEO","1220","1165","34720","35900"
"In post","2021","Declared non-disabled","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","London","AA/AO","65","65","24380","24490"
"In post","2021","Declared non-disabled","Commercial","London","EO","110","105","29050","29000"
"In post","2021","Declared non-disabled","Commercial","London","G6/G7","290","285","66070","64500"
"In post","2021","Declared non-disabled","Commercial","London","SCS level","115","110","116980","108390"
"In post","2021","Declared non-disabled","Commercial","London","SEO/HEO","380","375","41350","40600"
"In post","2021","Declared non-disabled","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Outside London","AA/AO","255","235","21280","20920"
"In post","2021","Declared non-disabled","Commercial","Outside London","EO","460","435","26490","26670"
"In post","2021","Declared non-disabled","Commercial","Outside London","G6/G7","520","505","58800","55740"
"In post","2021","Declared non-disabled","Commercial","Outside London","SCS level","55","55","97790","87430"
"In post","2021","Declared non-disabled","Commercial","Outside London","SEO/HEO","1530","1485","37770","37320"
"In post","2021","Declared non-disabled","Commercial","Outside London","Unknown","155","150","39120","35570"
"In post","2021","Declared non-disabled","Commercial","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Overseas","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","London","AA/AO","40","40","24340","24270"
"In post","2021","Declared non-disabled","Communications","London","EO","200","195","25810","27500"
"In post","2021","Declared non-disabled","Communications","London","G6/G7","440","420","59860","58380"
"In post","2021","Declared non-disabled","Communications","London","SCS level","75","75","91110","82260"
"In post","2021","Declared non-disabled","Communications","London","SEO/HEO","690","685","38650","38690"
"In post","2021","Declared non-disabled","Communications","Outside London","AA/AO","250","220","20940","21050"
"In post","2021","Declared non-disabled","Communications","Outside London","EO","1400","1340","25770","25560"
"In post","2021","Declared non-disabled","Communications","Outside London","G6/G7","240","235","54660","52580"
"In post","2021","Declared non-disabled","Communications","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Outside London","SEO/HEO","1365","1320","34390","31810"
