"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Crown Prosecution Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","G6/G7","Female","45","40","47070","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","G6/G7","Male","150","145","49710","46130"
"In post","2021","Analysis","Defence Science and Technology Laboratory","SEO/HEO","Female","90","85","33400","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","SEO/HEO","Male","165","160","33940","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Male","50","50","61410","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Female","50","50","36340","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Male","115","115","37460","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Male","35","35","63080","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","45","45","42100","42020"
"In post","2021","Analysis","Department for Education (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","G6/G7","Female","65","55","55390","54080"
"In post","2021","Analysis","Department for Education (excl. agencies)","G6/G7","Male","70","70","55610","53760"
"In post","2021","Analysis","Department for Education (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","SEO/HEO","Female","135","125","40430","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","SEO/HEO","Male","105","100","39630","39870"
"In post","2021","Analysis","Department for Education (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6/G7","Female","35","35","54620","51970"
"In post","2021","Analysis","Department for International Trade","G6/G7","Male","70","70","53820","51970"
"In post","2021","Analysis","Department for International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","Female","50","50","33460","31800"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","Male","55","55","32680","31800"
"In post","2021","Analysis","Department for Transport (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","EO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","G6/G7","Female","80","75","57860","54860"
"In post","2021","Analysis","Department for Transport (excl. agencies)","G6/G7","Male","90","90","58140","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","SEO/HEO","Female","70","70","37560","35430"
"In post","2021","Analysis","Department for Transport (excl. agencies)","SEO/HEO","Male","105","105","36350","35060"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","Female","115","105","57430","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","Male","105","105","57120","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","AA/AO","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","Female","15","10","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","Male","25","20","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","G6/G7","Female","40","35","81710","72830"
"In post","2021","Analysis","Government Actuary's Department","G6/G7","Male","65","60","91720","89720"
"In post","2021","Analysis","Government Actuary's Department","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","SEO/HEO","Male","35","35","41600","41530"
"In post","2021","Analysis","Government Internal Audit Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","G6/G7","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","EO","Female","20","15","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","G6/G7","Female","100","90","57610","59160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","G6/G7","Male","125","120","56890","59160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","SEO/HEO","Female","150","140","36190","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","SEO/HEO","Male","210","205","36600","36160"
"In post","2021","Analysis","HM Treasury (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","G6/G7","Female","25","20","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","G6/G7","Male","40","40","59120","55840"
"In post","2021","Analysis","HM Treasury (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","SEO/HEO","Male","30","30","34750","33090"
"In post","2021","Analysis","Insolvency Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","EO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","EO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","SEO/HEO","Female","50","45","40550","40640"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","SEO/HEO","Male","60","60","40380","38630"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Female","35","30","58370","55050"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Male","60","60","57930","54210"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Female","35","35","36140","34540"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Male","45","45","35020","33960"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","EO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","EO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","G6/G7","Female","65","55","60530","58710"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","G6/G7","Male","70","70","60150","58130"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","SEO/HEO","Female","100","95","37850","38280"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","SEO/HEO","Male","105","105","38110","39990"
"In post","2021","Analysis","National Savings and Investments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","EO","Female","[c]","[c]","[c]","[c]"
