"Status","Year","Disability","Ethnicity","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","South Yorkshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","West Yorkshire","35","30","26480","25900"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Inner London - East","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Inner London - West","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Outer London - South","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North East (England)","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","Derbyshire and Nottinghamshire","30","30","32450","27570"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","25","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","Lincolnshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East of England","Bedfordshire and Hertfordshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East of England","East Anglia","30","30","26990","27190"
"In post","2021","Declared disabled","Mixed","East of England","Essex","20","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","Inner London - East","80","75","34670","31060"
"In post","2021","Declared disabled","Mixed","London","Inner London - West","235","230","43080","39000"
"In post","2021","Declared disabled","Mixed","London","Outer London - East and North East","20","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","Outer London - South","50","50","36470","31060"
"In post","2021","Declared disabled","Mixed","London","Outer London - West and North West","35","35","30970","31060"
"In post","2021","Declared disabled","Mixed","North East (England)","Northumberland and Tyne and Wear","25","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North West (England)","Greater Manchester","55","50","28520","26810"
"In post","2021","Declared disabled","Mixed","North West (England)","Lancashire","25","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North West (England)","Merseyside","60","50","27320","25560"
"In post","2021","Declared disabled","Mixed","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","Eastern Scotland","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","West Central Scotland","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","25","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South East (England)","Hampshire and Isle of Wight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South East (England)","Kent","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South East (England)","Surrey, East and West Sussex","35","35","32250","28400"
"In post","2021","Declared disabled","Mixed","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South West (England)","Devon","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South West (England)","Dorset and Somerset","10","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","65","60","34660","28650"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Wales","East Wales","45","45","30390","28050"
"In post","2021","Declared disabled","Mixed","Wales","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","Shropshire and Staffordshire","20","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","West Midlands","50","45","26100","26370"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","South Yorkshire","30","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","West Yorkshire","50","45","30000","27570"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","East Anglia","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","Essex","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Inner London - East","30","30","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Inner London - West","95","90","43800","38960"
"In post","2021","Declared disabled","Other ethnicity","London","Outer London - East and North East","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Outer London - South","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North East (England)","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Greater Manchester","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","Eastern Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","Kent","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","Devon","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Wales","East Wales","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","West Midlands (England)","Shropshire and Staffordshire","10","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","West Midlands (England)","West Midlands","20","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East Midlands (England)","Derbyshire and Nottinghamshire","65","60","28380","27470"
"In post","2021","Declared disabled","Undeclared","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","30","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East Midlands (England)","Lincolnshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East of England","Bedfordshire and Hertfordshire","25","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East of England","East Anglia","35","35","31210","28130"
"In post","2021","Declared disabled","Undeclared","East of England","Essex","35","35","29480","29170"
"In post","2021","Declared disabled","Undeclared","London","Inner London - East","100","90","35990","31060"
"In post","2021","Declared disabled","Undeclared","London","Inner London - West","165","165","43390","39440"
"In post","2021","Declared disabled","Undeclared","London","Outer London - East and North East","25","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","London","Outer London - South","60","55","33930","30820"
"In post","2021","Declared disabled","Undeclared","London","Outer London - West and North West","55","50","32720","30780"
"In post","2021","Declared disabled","Undeclared","North East (England)","Northumberland and Tyne and Wear","75","65","28060","25560"
"In post","2021","Declared disabled","Undeclared","North East (England)","Tees Valley and Durham","25","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","North West (England)","Cheshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","North West (England)","Cumbria","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","North West (England)","Greater Manchester","85","75","28030","26910"
"In post","2021","Declared disabled","Undeclared","North West (England)","Lancashire","65","60","27720","27570"
"In post","2021","Declared disabled","Undeclared","North West (England)","Merseyside","80","70","27080","26160"
"In post","2021","Declared disabled","Undeclared","Northern Ireland","Northern Ireland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scotland","Eastern Scotland","70","65","33830","33650"
"In post","2021","Declared disabled","Undeclared","Scotland","Highlands and Islands","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scotland","North Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scotland","Southern Scotland","20","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scotland","West Central Scotland","50","45","27640","27570"
"In post","2021","Declared disabled","Undeclared","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","45","45","30790","28670"
"In post","2021","Declared disabled","Undeclared","South East (England)","Hampshire and Isle of Wight","70","60","29460","27570"
"In post","2021","Declared disabled","Undeclared","South East (England)","Kent","55","55","29370","27370"
"In post","2021","Declared disabled","Undeclared","South East (England)","Surrey, East and West Sussex","45","35","28510","27570"
"In post","2021","Declared disabled","Undeclared","South West (England)","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","South West (England)","Devon","50","45","26420","25450"
"In post","2021","Declared disabled","Undeclared","South West (England)","Dorset and Somerset","35","35","28600","27570"
"In post","2021","Declared disabled","Undeclared","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","170","160","37070","33670"
"In post","2021","Declared disabled","Undeclared","Unknown","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Wales","East Wales","55","50","30970","27570"
"In post","2021","Declared disabled","Undeclared","Wales","West Wales and The Valleys","55","50","27400","26780"
"In post","2021","Declared disabled","Undeclared","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","20","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","West Midlands (England)","Shropshire and Staffordshire","30","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","West Midlands (England)","West Midlands","90","80","29090","26670"
"In post","2021","Declared disabled","Undeclared","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","20","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Yorkshire and The Humber","North Yorkshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Yorkshire and The Humber","South Yorkshire","50","45","29720","27570"
"In post","2021","Declared disabled","Undeclared","Yorkshire and The Humber","West Yorkshire","65","55","29110","27380"
"In post","2021","Declared disabled","Unknown","East Midlands (England)","Derbyshire and Nottinghamshire","40","40","30310","27570"
"In post","2021","Declared disabled","Unknown","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","East of England","East Anglia","20","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","East of England","Essex","20","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","Inner London - East","40","40","36270","34020"
"In post","2021","Declared disabled","Unknown","London","Inner London - West","155","145","42540","38600"
"In post","2021","Declared disabled","Unknown","London","Outer London - East and North East","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","Outer London - South","30","30","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","Outer London - West and North West","20","20","[c]","[c]"
"In post","2021","Declared disabled","Unknown","North East (England)","Northumberland and Tyne and Wear","70","60","24650","21440"
"In post","2021","Declared disabled","Unknown","North East (England)","Tees Valley and Durham","25","20","[c]","[c]"
"In post","2021","Declared disabled","Unknown","North West (England)","Cheshire","10","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","North West (England)","Greater Manchester","40","40","30310","27570"
"In post","2021","Declared disabled","Unknown","North West (England)","Lancashire","30","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","North West (England)","Merseyside","55","45","25280","21440"
"In post","2021","Declared disabled","Unknown","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","Overseas","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scotland","Eastern Scotland","120","105","30720","30930"
"In post","2021","Declared disabled","Unknown","Scotland","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scotland","North Eastern Scotland","15","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scotland","Southern Scotland","30","25","28780","26120"
