"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","35","35","19010","16470"
"In post","2021","20-29","Analysis","AA/AO","Female","55","55","21580","21050"
"In post","2021","20-29","Analysis","AA/AO","Male","65","65","21870","21420"
"In post","2021","20-29","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","EO","Female","140","140","26450","26410"
"In post","2021","20-29","Analysis","EO","Male","150","150","26830","26510"
"In post","2021","20-29","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","G6/G7","Female","165","165","54040","53420"
"In post","2021","20-29","Analysis","G6/G7","Male","205","205","54290","54320"
"In post","2021","20-29","Analysis","SEO/HEO","Female","795","790","34720","33880"
"In post","2021","20-29","Analysis","SEO/HEO","Male","885","880","34660","34080"
"In post","2021","20-29","Analysis","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","AA/AO","Female","55","50","21460","20920"
"In post","2021","20-29","Commercial","AA/AO","Male","55","55","21120","20920"
"In post","2021","20-29","Commercial","EO","Female","125","120","26090","26570"
"In post","2021","20-29","Commercial","EO","Male","100","100","25920","26350"
"In post","2021","20-29","Commercial","G6/G7","Female","45","45","55100","54700"
"In post","2021","20-29","Commercial","G6/G7","Male","30","30","54700","54700"
"In post","2021","20-29","Commercial","SCS level","Female","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","SCS level","Male","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","SEO/HEO","Female","220","220","35030","34550"
"In post","2021","20-29","Commercial","SEO/HEO","Male","220","220","34790","34500"
"In post","2021","20-29","Commercial","Unknown","Female","30","30","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Male","30","30","[c]","[c]"
"In post","2021","20-29","Communications","AA/AO","Female","65","60","22620","22680"
"In post","2021","20-29","Communications","AA/AO","Male","35","35","22200","21160"
"In post","2021","20-29","Communications","EO","Female","570","565","26000","25560"
"In post","2021","20-29","Communications","EO","Male","565","560","25700","25560"
"In post","2021","20-29","Communications","G6/G7","Female","40","40","54420","54700"
"In post","2021","20-29","Communications","G6/G7","Male","35","35","53990","53360"
"In post","2021","20-29","Communications","SEO/HEO","Female","435","435","35190","33340"
"In post","2021","20-29","Communications","SEO/HEO","Male","330","330","34930","32790"
"In post","2021","20-29","Counter Fraud","AA/AO","Female","30","30","20480","20140"
"In post","2021","20-29","Counter Fraud","AA/AO","Male","45","45","20390","20140"
"In post","2021","20-29","Counter Fraud","EO","Female","310","310","26500","25560"
"In post","2021","20-29","Counter Fraud","EO","Male","355","355","26710","25560"
"In post","2021","20-29","Counter Fraud","G6/G7","Female","30","30","53130","52580"
"In post","2021","20-29","Counter Fraud","G6/G7","Male","30","30","55040","52580"
"In post","2021","20-29","Counter Fraud","SEO/HEO","Female","145","145","33320","31810"
"In post","2021","20-29","Counter Fraud","SEO/HEO","Male","155","155","33830","31810"
"In post","2021","20-29","Debt","AA/AO","Female","425","410","20350","20140"
"In post","2021","20-29","Debt","AA/AO","Male","480","470","20340","20140"
"In post","2021","20-29","Debt","EO","Female","65","60","25170","25560"
"In post","2021","20-29","Debt","EO","Male","75","70","25120","25560"
"In post","2021","20-29","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Debt","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AA/AO","Female","45","45","21740","21040"
"In post","2021","20-29","Digital, Data & Technology","AA/AO","Male","70","70","21370","21040"
"In post","2021","20-29","Digital, Data & Technology","EO","Female","225","225","26450","26350"
"In post","2021","20-29","Digital, Data & Technology","EO","Male","455","455","26800","26130"
"In post","2021","20-29","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","G6/G7","Female","85","85","54510","53400"
"In post","2021","20-29","Digital, Data & Technology","G6/G7","Male","125","125","53940","54700"
"In post","2021","20-29","Digital, Data & Technology","SEO/HEO","Female","420","415","34930","33930"
"In post","2021","20-29","Digital, Data & Technology","SEO/HEO","Male","615","615","35220","33930"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Female","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2021","20-29","Finance","AA/AO","Female","110","100","20760","20140"
"In post","2021","20-29","Finance","AA/AO","Male","105","100","20800","20140"
"In post","2021","20-29","Finance","EO","Female","195","195","25540","26000"
"In post","2021","20-29","Finance","EO","Male","175","175","25130","25560"
"In post","2021","20-29","Finance","G6/G7","Female","60","60","54690","53590"
"In post","2021","20-29","Finance","G6/G7","Male","70","70","55510","54670"
"In post","2021","20-29","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SEO/HEO","Female","280","275","35690","35020"
"In post","2021","20-29","Finance","SEO/HEO","Male","295","295","35310","33570"
"In post","2021","20-29","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2021","20-29","Finance","Unknown","Male","10","10","[c]","[c]"
"In post","2021","20-29","Grants Management","AA/AO","Female","95","95","20800","21050"
"In post","2021","20-29","Grants Management","AA/AO","Male","70","70","20930","21050"
"In post","2021","20-29","Grants Management","EO","Female","35","35","24650","24920"
"In post","2021","20-29","Grants Management","EO","Male","30","30","24960","24920"
"In post","2021","20-29","Grants Management","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","20-29","Grants Management","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","AA/AO","Female","185","180","21520","20920"
"In post","2021","20-29","Human Resources","AA/AO","Male","90","90","20730","20800"
"In post","2021","20-29","Human Resources","EO","Female","275","270","25830","26350"
"In post","2021","20-29","Human Resources","EO","Male","140","140","26260","26510"
"In post","2021","20-29","Human Resources","G6/G7","Female","85","85","55490","54670"
"In post","2021","20-29","Human Resources","G6/G7","Male","40","40","53850","53130"
"In post","2021","20-29","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","SEO/HEO","Female","415","410","33100","32120"
"In post","2021","20-29","Human Resources","SEO/HEO","Male","155","155","33610","32120"
"In post","2021","20-29","Human Resources","Unknown","Female","25","25","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","Male","10","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","EO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2021","20-29","Internal Audit","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","20-29","Legal","AA/AO","Female","425","415","21660","21950"
"In post","2021","20-29","Legal","AA/AO","Male","175","175","21740","21950"
"In post","2021","20-29","Legal","EO","Female","360","355","27390","26970"
"In post","2021","20-29","Legal","EO","Male","180","180","27520","26970"
"In post","2021","20-29","Legal","G6/G7","Female","125","125","51420","50640"
"In post","2021","20-29","Legal","G6/G7","Male","75","75","52810","51250"
"In post","2021","20-29","Legal","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","SEO/HEO","Female","335","335","34830","35030"
"In post","2021","20-29","Legal","SEO/HEO","Male","170","170","35410","36160"
"In post","2021","20-29","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","AA/AO","Female","8150","7845","22570","21490"
"In post","2021","20-29","No function","AA/AO","Male","7440","7350","23500","22450"
"In post","2021","20-29","No function","EO","Female","3495","3450","27040","26470"
"In post","2021","20-29","No function","EO","Male","2440","2430","27290","26680"
"In post","2021","20-29","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","G6/G7","Female","1190","1185","54380","53380"
"In post","2021","20-29","No function","G6/G7","Male","1135","1135","54630","53380"
"In post","2021","20-29","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","SCS level","Female","5","5","[c]","[c]"
"In post","2021","20-29","No function","SCS level","Male","10","10","[c]","[c]"
"In post","2021","20-29","No function","SEO/HEO","Female","5635","5600","33500","32790"
"In post","2021","20-29","No function","SEO/HEO","Male","4410","4395","33600","32920"
"In post","2021","20-29","No function","Unknown","Female","1805","1765","25370","22920"
"In post","2021","20-29","No function","Unknown","Male","310","305","24760","22920"
"In post","2021","20-29","Project Delivery","AA/AO","Female","85","80","21830","21140"
"In post","2021","20-29","Project Delivery","AA/AO","Male","55","55","21240","21070"
"In post","2021","20-29","Project Delivery","EO","Female","560","550","24080","25310"
"In post","2021","20-29","Project Delivery","EO","Male","805","800","23760","25310"
"In post","2021","20-29","Project Delivery","G6/G7","Female","170","170","52320","53000"
"In post","2021","20-29","Project Delivery","G6/G7","Male","115","115","53510","53600"
"In post","2021","20-29","Project Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","SEO/HEO","Female","1020","1010","33650","33300"
"In post","2021","20-29","Project Delivery","SEO/HEO","Male","1100","1100","33320","32610"
"In post","2021","20-29","Project Delivery","Unknown","Female","70","70","29670","29000"
"In post","2021","20-29","Project Delivery","Unknown","Male","225","225","29320","28010"
"In post","2021","20-29","Property","AA/AO","Female","170","165","20890","20880"
"In post","2021","20-29","Property","AA/AO","Male","155","155","22110","21100"
"In post","2021","20-29","Property","EO","Female","145","135","25840","25860"
"In post","2021","20-29","Property","EO","Male","155","150","26460","25860"
"In post","2021","20-29","Property","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","20-29","Property","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","SEO/HEO","Female","130","130","33740","33150"
"In post","2021","20-29","Property","SEO/HEO","Male","155","155","34610","33300"
"In post","2021","20-29","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Unknown","Male","20","20","[c]","[c]"
"In post","2021","20-29","Security","AA/AO","Female","210","210","23340","20920"
"In post","2021","20-29","Security","AA/AO","Male","655","655","25030","25540"
"In post","2021","20-29","Security","EO","Female","80","80","26460","26670"
"In post","2021","20-29","Security","EO","Male","80","80","27350","26670"
"In post","2021","20-29","Security","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","20-29","Security","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","20-29","Security","SEO/HEO","Female","95","95","35240","34550"
"In post","2021","20-29","Security","SEO/HEO","Male","90","90","35630","34550"
"In post","2021","20-29","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","Female","3705","3530","21650","21010"
"In post","2021","20-29","Unknown","AA/AO","Male","3150","3090","21590","21010"
"In post","2021","20-29","Unknown","EO","Female","5455","5355","27890","27570"
"In post","2021","20-29","Unknown","EO","Male","3845","3830","27690","27570"
"In post","2021","20-29","Unknown","G6/G7","Female","260","260","55770","57430"
"In post","2021","20-29","Unknown","G6/G7","Male","200","200","57230","57430"
"In post","2021","20-29","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Female","1860","1845","35460","35050"
"In post","2021","20-29","Unknown","SEO/HEO","Male","1530","1530","36200","35070"
"In post","2021","20-29","Unknown","Unknown","Female","75","75","29460","28980"
"In post","2021","20-29","Unknown","Unknown","Male","340","340","29000","28980"
"In post","2021","30-39","Analysis","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","30-39","Analysis","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","30-39","Analysis","EO","Female","55","50","25510","24920"
"In post","2021","30-39","Analysis","EO","Male","70","65","25540","25150"
"In post","2021","30-39","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","G6/G7","Female","380","350","57880","57530"
"In post","2021","30-39","Analysis","G6/G7","Male","505","500","57660","54990"
"In post","2021","30-39","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","SCS level","Female","10","10","[c]","[c]"
"In post","2021","30-39","Analysis","SCS level","Male","20","20","[c]","[c]"
"In post","2021","30-39","Analysis","SEO/HEO","Female","445","415","36210","36850"
"In post","2021","30-39","Analysis","SEO/HEO","Male","535","530","36570","36590"
"In post","2021","30-39","Analysis","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Commercial","AA/AO","Female","40","40","21630","21130"
"In post","2021","30-39","Commercial","AA/AO","Male","25","20","[c]","[c]"
"In post","2021","30-39","Commercial","EO","Female","105","95","26390","26670"
"In post","2021","30-39","Commercial","EO","Male","55","55","26500","26570"
"In post","2021","30-39","Commercial","G6/G7","Female","165","155","58330","54700"
"In post","2021","30-39","Commercial","G6/G7","Male","180","180","58690","54700"
"In post","2021","30-39","Commercial","SCS level","Female","45","45","75860","68400"
"In post","2021","30-39","Commercial","SCS level","Male","65","65","73830","68000"
"In post","2021","30-39","Commercial","SEO/HEO","Female","420","400","37220","37040"
"In post","2021","30-39","Commercial","SEO/HEO","Male","370","370","37750","37420"
"In post","2021","30-39","Commercial","Unknown","Female","30","25","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","Male","35","35","40860","40970"
"In post","2021","30-39","Communications","AA/AO","Female","50","35","20780","20920"
"In post","2021","30-39","Communications","AA/AO","Male","35","35","21100","20570"
"In post","2021","30-39","Communications","EO","Female","385","360","25730","25560"
"In post","2021","30-39","Communications","EO","Male","485","480","25430","25560"
"In post","2021","30-39","Communications","G6/G7","Female","250","240","57340","55180"
"In post","2021","30-39","Communications","G6/G7","Male","135","130","57180","54970"
"In post","2021","30-39","Communications","SCS level","Female","5","5","[c]","[c]"
"In post","2021","30-39","Communications","SCS level","Male","15","15","[c]","[c]"
"In post","2021","30-39","Communications","SEO/HEO","Female","590","565","36300","35120"
"In post","2021","30-39","Communications","SEO/HEO","Male","500","500","35490","32680"
"In post","2021","30-39","Counter Fraud","AA/AO","Female","45","40","20760","20140"
"In post","2021","30-39","Counter Fraud","AA/AO","Male","45","45","20700","20140"
"In post","2021","30-39","Counter Fraud","EO","Female","390","365","26220","25560"
"In post","2021","30-39","Counter Fraud","EO","Male","480","480","26390","25560"
"In post","2021","30-39","Counter Fraud","G6/G7","Female","90","85","55290","52580"
"In post","2021","30-39","Counter Fraud","G6/G7","Male","150","150","55020","52580"
"In post","2021","30-39","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","SEO/HEO","Female","365","350","33630","31810"
"In post","2021","30-39","Counter Fraud","SEO/HEO","Male","490","490","34000","31810"
"In post","2021","30-39","Debt","AA/AO","Female","370","315","20520","20140"
"In post","2021","30-39","Debt","AA/AO","Male","300","290","20230","20140"
"In post","2021","30-39","Debt","EO","Female","85","75","25320","25560"
"In post","2021","30-39","Debt","EO","Male","60","60","25220","25560"
"In post","2021","30-39","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2021","30-39","Debt","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","AA/AO","Female","45","40","21320","21130"
"In post","2021","30-39","Digital, Data & Technology","AA/AO","Male","40","40","21710","21590"
"In post","2021","30-39","Digital, Data & Technology","EO","Female","185","175","26680","26350"
"In post","2021","30-39","Digital, Data & Technology","EO","Male","300","300","27460","26670"
"In post","2021","30-39","Digital, Data & Technology","G6/G7","Female","400","385","56250","54700"
"In post","2021","30-39","Digital, Data & Technology","G6/G7","Male","610","605","57040","54700"
"In post","2021","30-39","Digital, Data & Technology","SCS level","Female","15","15","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","SCS level","Male","20","20","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","SEO/HEO","Female","680","655","36150","36160"
"In post","2021","30-39","Digital, Data & Technology","SEO/HEO","Male","1145","1140","37050","36780"
"In post","2021","30-39","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2021","30-39","Finance","AA/AO","Female","120","100","21160","20880"
"In post","2021","30-39","Finance","AA/AO","Male","50","50","20760","20390"
"In post","2021","30-39","Finance","EO","Female","190","170","26230","26350"
"In post","2021","30-39","Finance","EO","Male","105","105","26060","25560"
"In post","2021","30-39","Finance","G6/G7","Female","285","270","57610","56350"
"In post","2021","30-39","Finance","G6/G7","Male","275","275","58370","56780"
"In post","2021","30-39","Finance","SCS level","Female","15","15","[c]","[c]"
"In post","2021","30-39","Finance","SCS level","Male","20","20","[c]","[c]"
"In post","2021","30-39","Finance","SEO/HEO","Female","450","425","36540","36500"
"In post","2021","30-39","Finance","SEO/HEO","Male","390","385","36400","36780"
"In post","2021","30-39","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","AA/AO","Female","115","95","21030","21050"
"In post","2021","30-39","Grants Management","AA/AO","Male","75","75","20990","21050"
"In post","2021","30-39","Grants Management","EO","Female","70","60","25110","25100"
"In post","2021","30-39","Grants Management","EO","Male","45","45","25000","25190"
"In post","2021","30-39","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","SEO/HEO","Female","35","30","31170","30040"
"In post","2021","30-39","Grants Management","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","30-39","Human Resources","AA/AO","Female","240","205","21090","20920"
"In post","2021","30-39","Human Resources","AA/AO","Male","100","100","21210","20920"
"In post","2021","30-39","Human Resources","EO","Female","290","265","26230","26410"
"In post","2021","30-39","Human Resources","EO","Male","120","120","26260","25560"
"In post","2021","30-39","Human Resources","G6/G7","Female","315","295","57070","54990"
"In post","2021","30-39","Human Resources","G6/G7","Male","115","115","57340","54990"
"In post","2021","30-39","Human Resources","SCS level","Female","20","20","[c]","[c]"
"In post","2021","30-39","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2021","30-39","Human Resources","SEO/HEO","Female","655","620","35380","34150"
"In post","2021","30-39","Human Resources","SEO/HEO","Male","305","300","35920","35730"
"In post","2021","30-39","Human Resources","Unknown","Female","35","30","31690","26330"
"In post","2021","30-39","Human Resources","Unknown","Male","15","15","[c]","[c]"
"In post","2021","30-39","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","EO","Female","10","10","[c]","[c]"
"In post","2021","30-39","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","30-39","Internal Audit","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","30-39","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","SEO/HEO","Female","50","50","37790","38610"
"In post","2021","30-39","Internal Audit","SEO/HEO","Male","30","30","37820","39190"
"In post","2021","30-39","Legal","AA/AO","Female","295","255","22170","22820"
"In post","2021","30-39","Legal","AA/AO","Male","100","95","22030","21950"
"In post","2021","30-39","Legal","EO","Female","320","285","27780","27580"
"In post","2021","30-39","Legal","EO","Male","160","155","27600","27280"
"In post","2021","30-39","Legal","G6/G7","Female","1095","1025","56300","52440"
"In post","2021","30-39","Legal","G6/G7","Male","570","560","56920","53510"
"In post","2021","30-39","Legal","SCS level","Female","15","15","[c]","[c]"
"In post","2021","30-39","Legal","SCS level","Male","25","25","[c]","[c]"
"In post","2021","30-39","Legal","SEO/HEO","Female","525","495","37780","37290"
"In post","2021","30-39","Legal","SEO/HEO","Male","280","280","36820","36160"
"In post","2021","30-39","No function","AA/AO","Female","7305","6250","22300","21300"
