"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","No function","Inner London - East","London","15","10","23590","22680"
"In post","2021","16-19","No function","Inner London - West","London","40","40","24730","24300"
"In post","2021","16-19","No function","Kent","Outside London","15","15","22470","21500"
"In post","2021","16-19","No function","Lancashire","Outside London","15","15","20310","20140"
"In post","2021","16-19","No function","Leicestershire, Rutland and Northamptonshire","Outside London","10","10","20210","20140"
"In post","2021","16-19","No function","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Merseyside","Outside London","30","30","20300","20140"
"In post","2021","16-19","No function","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Northumberland and Tyne and Wear","Outside London","30","30","20150","20140"
"In post","2021","16-19","No function","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Outer London - South","London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Outer London - West and North West","London","10","5","20520","21320"
"In post","2021","16-19","No function","Shropshire and Staffordshire","Outside London","10","10","21930","22850"
"In post","2021","16-19","No function","South Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","No function","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Surrey, East and West Sussex","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","No function","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","West Central Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","No function","West Midlands","Outside London","15","15","20140","20030"
"In post","2021","16-19","No function","West Wales and The Valleys","Outside London","40","30","19380","18060"
"In post","2021","16-19","No function","West Yorkshire","Outside London","40","40","20190","20140"
"In post","2021","16-19","Project Delivery","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Devon","Outside London","10","10","17720","16780"
"In post","2021","16-19","Project Delivery","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East Wales","Outside London","15","15","16570","16780"
"In post","2021","16-19","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","80","80","17830","17780"
"In post","2021","16-19","Project Delivery","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Southern Scotland","Outside London","10","10","17480","16780"
"In post","2021","16-19","Property","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Property","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Berkshire, Buckinghamshire and Oxfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Security","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","16-19","Security","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Bedfordshire and Hertfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Cheshire","Outside London","[c]","[c]","[c]","[c]"
