"Status","Year","Organisation","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","SEO","105","95","41230","39960"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","EO","55","55","30950","31460"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","G7","15","15","56540","54680"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","HEO","15","15","34810","36410"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","SEO","10","10","43960","43980"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","AA","10","10","20460","21330"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","AO","795","740","21870","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","EO","715","675","26220","25520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","G6","55","50","62380","62150"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","G7","135","135","52020","52290"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","HEO","390","370","31450","31210"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","SEO","465","440","39890","37910"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","G6","10","10","66070","65650"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","G7","10","10","53280","51250"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","SEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","AO","140","135","24470","24490"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","EO","600","590","27960","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","G6","640","630","69770","66700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","G7","1730","1695","56120","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","HEO","2130","2120","32410","32000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","SCS level","760","745","94650","80420"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","SEO","500","495","41400","40600"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","AO","390","360","20890","20800"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","EO","260","245","25570","25600"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","G6","185","180","73540","68550"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","G7","395","385","52330","51560"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","HEO","710","695","31690","32000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","SCS level","190","190","82130","72000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","SEO","220","215","38820","38460"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","AO","20","20","21040","20800"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","EO","25","25","26220","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","G6","20","20","67520","64500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","G7","55","55","53510","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","HEO","425","425","30950","32000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","SCS level","20","20","95890","76390"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","SEO","30","30","39750","40060"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","AA","10","10","17640","17640"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","AO","45","40","21150","21050"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","EO","120","115","25080","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","G6","25","25","63160","63450"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","G7","85","80","48750","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","HEO","185","180","29740","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","SEO","130","125","37230","36580"
"In post","2021","Charity Commission","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","London","EO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","London","G6","10","10","63780","62480"
"In post","2021","Charity Commission","Charity Commission","London","G7","15","15","50040","51070"
"In post","2021","Charity Commission","Charity Commission","London","HEO","20","20","29160","29160"
"In post","2021","Charity Commission","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","London","SEO","20","20","38850","37910"
"In post","2021","Charity Commission","Charity Commission","Outside London","AO","15","15","20150","20080"
"In post","2021","Charity Commission","Charity Commission","Outside London","EO","105","95","24780","24440"
"In post","2021","Charity Commission","Charity Commission","Outside London","G6","10","10","62630","62480"
"In post","2021","Charity Commission","Charity Commission","Outside London","G7","30","30","53390","51070"
"In post","2021","Charity Commission","Charity Commission","Outside London","HEO","125","115","29470","29160"
"In post","2021","Charity Commission","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Outside London","SEO","75","75","38180","37910"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","London","AO","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","AO","420","365","21700","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","EO","285","270","27840","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","G6","20","20","67070","65990"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","G7","50","50","53570","51480"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","HEO","160","150","34720","35570"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","SEO","145","140","43260","42990"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","AO","25","25","23300","22860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","EO","70","70","28600","28160"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","G6","185","175","76680","76290"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","G7","210","205","57900","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","HEO","135","130","35320","34870"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","SCS level","110","105","109740","101590"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","SEO","50","50","44420","43880"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","G6","10","10","74540","73450"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","G7","25","20","56480","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","HEO","10","10","35250","34720"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","AA","10","10","17720","17880"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","AO","105","95","20540","20650"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","EO","85","80","23350","22710"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","G7","15","10","55930","58000"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","HEO","70","65","28160","26560"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","SEO","15","15","34120","32540"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","EO","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","G6","10","10","63840","63060"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","G7","15","15","54550","55000"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","HEO","10","10","34290","32920"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","SCS level","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","SEO","15","15","39180","40000"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","AO","25","25","19140","18870"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","EO","105","100","23410","22230"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","G6","45","40","61450","60750"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","G7","125","120","48500","47760"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","HEO","185","180","28580","27770"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","SCS level","15","15","88920","73230"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","SEO","220","215","36430","35420"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","AO","710","630","21930","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","EO","320","305","27330","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","G6","35","35","72830","73280"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","G7","165","155","65160","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","HEO","295","280","33170","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","SCS level","30","30","85890","83230"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","SEO","470","440","47550","51540"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","AA","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","AO","330","305","23150","23520"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","EO","340","320","28890","30040"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","G6","75","75","75970","74660"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","G7","645","605","59670","61360"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","HEO","175","170","35390","34100"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","SCS level","40","40","97330","90410"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","SEO","80","75","41160","39750"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","AO","1110","1010","22000","21950"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","EO","1015","935","27640","28430"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","G6","135","135","73180","70350"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","G7","2010","1840","55210","55610"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","HEO","585","560","34810","34480"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","SCS level","40","40","91740","84970"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","SEO","145","140","39710","38540"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Overseas","G7","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","G7","10","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","London","EO","10","10","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","London","G6","20","20","88060","83780"
"In post","2021","Debt Management Office","HM Treasury","London","G7","35","35","62920","60330"
"In post","2021","Debt Management Office","HM Treasury","London","HEO","20","20","36020","35400"
"In post","2021","Debt Management Office","HM Treasury","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","London","SEO","25","25","45270","44100"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","AA","30","30","17340","16780"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","AO","60","55","21350","21000"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","EO","265","250","28000","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","HEO","65","65","34570","32850"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","EO","120","115","20440","19990"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","HEO","60","60","29020","27920"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","SEO","15","10","41710","41710"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","EO","2490","2385","22330","21470"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","G6","410","400","68960","68100"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","G7","1245","1210","52820","53640"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","HEO","3135","3025","30680","30680"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","SCS level","110","110","103800","94590"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","SEO","3060","2965","40740","40980"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Overseas","HEO","5","5","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Overseas","SEO","30","30","42160","42170"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","AA","30","30","19040","16990"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","AO","100","100","18700","17710"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","EO","245","230","23050","22780"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","G6","170","160","67930","66500"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","G7","1800","1730","49540","46130"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","HEO","1000","975","28650","28650"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","SEO","1030","985","37680","37320"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","AO","60","60","25600","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","EO","330","325","28770","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","G6","595","575","68100","65450"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","G7","1610","1575","55490","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","HEO","1075","1060","34620","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","SCS level","315","300","83440","75500"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","SEO","910","900","41480","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","AO","20","15","21450","21330"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","EO","75","70","25200","24570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","G6","30","30","63750","61350"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","G7","90","90","52110","49130"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","HEO","100","95","35340","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","15","15","76230","71750"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","SEO","95","90","46630","37320"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","AA","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","EO","170","165","27490","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","G6","200","195","66620","65120"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","G7","585","575","56120","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","HEO","635","625","37120","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","SCS level","120","115","86940","77180"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","EO","10","10","25970","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","G7","20","20","53010","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","HEO","30","30","34770","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","AO","25","25","24290","24100"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","EO","250","245","29260","28500"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","G6","365","350","66420","65370"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","G7","610","580","54970","54160"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","HEO","360","350","34570","33610"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","SCS level","165","160","84060","75200"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","SEO","395","380","42370","40940"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","AO","50","45","21110","21000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","EO","490","470","25660","25000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","G6","345","335","63430","61900"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","G7","805","775","51100","50400"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","HEO","805","775","30590","30090"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","SCS level","65","65","81800","74100"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","SEO","950","915","38310","36960"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","G6","5","5","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","G7","5","5","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","AO","80","75","24470","24370"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","EO","245","240","28170","28170"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","G6","240","230","64650","64290"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","G7","620","600","54380","53870"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","HEO","645","635","33260","33110"
