"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Education","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","G7","Female","55","45","53590","53760"
"In post","2021","Analysis","Department for Education","G7","Male","55","55","52660","52290"
"In post","2021","Analysis","Department for Education","HEO","Female","50","45","34550","33510"
"In post","2021","Analysis","Department for Education","HEO","Male","50","50","35200","35200"
"In post","2021","Analysis","Department for Education","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO","Female","85","75","43900","43020"
"In post","2021","Analysis","Department for Education","SEO","Male","55","55","43560","42580"
"In post","2021","Analysis","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Female","60","55","25190","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Male","60","55","25230","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G7","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G7","Male","60","55","49900","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","HEO","Female","75","70","29900","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","HEO","Male","110","110","30010","29690"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO","Female","60","55","37150","36580"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO","Male","65","65","37520","37280"
"In post","2021","Analysis","Department for International Trade","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G7","Female","30","30","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G7","Male","55","55","50980","51970"
"In post","2021","Analysis","Department for International Trade","HEO","Female","35","35","31400","31800"
"In post","2021","Analysis","Department for International Trade","HEO","Male","45","45","30750","31800"
"In post","2021","Analysis","Department for International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Male","40","40","27920","26780"
"In post","2021","Analysis","Department for Transport","G6","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G7","Female","60","55","55060","54760"
"In post","2021","Analysis","Department for Transport","G7","Male","80","75","55820","54760"
"In post","2021","Analysis","Department for Transport","HEO","Female","50","50","33120","34000"
"In post","2021","Analysis","Department for Transport","HEO","Male","85","85","32840","33670"
"In post","2021","Analysis","Department for Transport","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO","Female","35","35","42660","42890"
"In post","2021","Analysis","Department for Transport","SEO","Male","45","45","42460","42470"
"In post","2021","Analysis","Department for Work and Pensions","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G7","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G7","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6","Female","35","30","66650","66230"
"In post","2021","Analysis","Department of Health and Social Care","G6","Male","30","30","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G7","Female","80","75","53630","53360"
"In post","2021","Analysis","Department of Health and Social Care","G7","Male","75","75","53470","53360"
"In post","2021","Analysis","Department of Health and Social Care","HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SEO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","EO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","G6","Female","20","20","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","G6","Male","35","35","67690","71290"
"In post","2021","Analysis","HM Revenue and Customs","G7","Female","90","85","55070","58650"
"In post","2021","Analysis","HM Revenue and Customs","G7","Male","100","95","53770","54990"
"In post","2021","Analysis","HM Revenue and Customs","HEO","Female","85","80","33950","31810"
"In post","2021","Analysis","HM Revenue and Customs","HEO","Male","135","130","34530","36160"
"In post","2021","Analysis","HM Revenue and Customs","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","SEO","Female","75","70","39120","38630"
"In post","2021","Analysis","HM Revenue and Customs","SEO","Male","90","85","39910","38630"
"In post","2021","Analysis","HM Treasury","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G6","Female","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G6","Male","20","20","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G7","Female","15","15","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G7","Male","35","35","56640","55840"
"In post","2021","Analysis","HM Treasury","HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","HM Treasury","HEO","Male","30","30","34830","33550"
"In post","2021","Analysis","HM Treasury","SCS level","Female","10","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","EO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","EO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","G6","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","G7","Female","55","50","49300","46090"
"In post","2021","Analysis","Ministry of Defence","G7","Male","160","155","50270","46130"
"In post","2021","Analysis","Ministry of Defence","HEO","Female","65","60","31510","28660"
"In post","2021","Analysis","Ministry of Defence","HEO","Male","100","100","31550","28660"
"In post","2021","Analysis","Ministry of Defence","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","SEO","Female","75","70","39590","37320"
"In post","2021","Analysis","Ministry of Defence","SEO","Male","125","120","39100","37320"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","G6","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","G6","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","G7","Female","25","20","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","G7","Male","45","45","55060","53130"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","HEO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","HEO","Male","35","35","32910","33210"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SEO","Female","15","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","EO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","EO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","G7","Female","65","60","60490","58710"
"In post","2021","Analysis","Ministry of Justice","G7","Male","75","75","60170","58130"
"In post","2021","Analysis","Ministry of Justice","HEO","Female","40","40","33260","33930"
"In post","2021","Analysis","Ministry of Justice","HEO","Male","55","55","33820","33930"
"In post","2021","Analysis","Ministry of Justice","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","SEO","Female","65","60","41090","40480"
"In post","2021","Analysis","Ministry of Justice","SEO","Male","50","50","42480","40830"
"In post","2021","Analysis","Office for Standards in Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","EO","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","G6","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","HEO","Female","40","35","32730","32010"
"In post","2021","Analysis","Office for Standards in Education","HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","SEO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","SEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","G6","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","G7","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","G7","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","HEO","Female","[c]","[c]","[c]","[c]"
