"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","AA/AO","15","10","19910","19630"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Science and Engineering","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Finance","AA/AO","10","5","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","AA/AO","35","35","20310","20140"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","EO","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tax","AA/AO","145","135","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Tax","EO","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","AA/AO","30","30","20540","20140"
"In post","2021","16-19","HM Revenue and Customs","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Economics","EO","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Policy","EO","10","10","[c]","[c]"
"In post","2021","16-19","HM Treasury","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","AA/AO","65","60","21500","21430"
"In post","2021","16-19","Home Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Finance","EO","20","20","19570","19040"
"In post","2021","16-19","Ministry of Defence","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","EO","20","20","18300","17780"
"In post","2021","16-19","Ministry of Defence","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Defence","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","AA/AO","30","30","16610","16780"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","EO","70","70","18080","17780"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","Unknown","15","15","16870","16780"
"In post","2021","16-19","Ministry of Defence","Security","AA/AO","15","15","21860","19560"
"In post","2021","16-19","Ministry of Defence","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","AA/AO","130","130","21610","20600"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Operational Delivery","AA/AO","25","20","21280","20810"
"In post","2021","16-19","Scottish Government","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Unknown","AA/AO","65","65","20870","21150"
"In post","2021","16-19","Scottish Government","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Operational Delivery","AA/AO","10","10","18700","19130"
"In post","2021","16-19","United Kingdom Statistics Authority","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Communications","EO","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Communications","SEO/HEO","15","15","35050","35290"
"In post","2021","20-29","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Counter Fraud","EO","15","15","26340","26090"
"In post","2021","20-29","Attorney General's Departments","Counter Fraud","SEO/HEO","30","30","35720","33100"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","EO","10","10","27500","28210"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","15","15","36280","35290"
"In post","2021","20-29","Attorney General's Departments","Finance","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Finance","EO","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Human Resources","EO","20","20","26420","26400"
"In post","2021","20-29","Attorney General's Departments","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Human Resources","SEO/HEO","15","15","32100","30720"
"In post","2021","20-29","Attorney General's Departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Legal","EO","125","125","28830","29280"
"In post","2021","20-29","Attorney General's Departments","Legal","G6/G7","135","135","50660","50520"
"In post","2021","20-29","Attorney General's Departments","Legal","SEO/HEO","130","130","41270","40800"
"In post","2021","20-29","Attorney General's Departments","Operational Delivery","AA/AO","425","415","21650","21950"
"In post","2021","20-29","Attorney General's Departments","Operational Delivery","EO","160","160","26490","26970"
"In post","2021","20-29","Attorney General's Departments","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Operational Delivery","SEO/HEO","35","35","33130","31560"
"In post","2021","20-29","Attorney General's Departments","Other","AA/AO","10","10","23660","23670"
"In post","2021","20-29","Attorney General's Departments","Other","EO","85","85","27080","27350"
"In post","2021","20-29","Attorney General's Departments","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Other","SEO/HEO","20","20","30990","30720"
"In post","2021","20-29","Attorney General's Departments","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Unknown","AA/AO","180","180","22250","20920"
"In post","2021","20-29","Cabinet Office","Unknown","EO","445","445","27120","27500"
"In post","2021","20-29","Cabinet Office","Unknown","G6/G7","430","425","56030","54700"
"In post","2021","20-29","Cabinet Office","Unknown","SCS level","20","20","65790","62880"
"In post","2021","20-29","Cabinet Office","Unknown","SEO/HEO","2290","2290","31750","32000"
"In post","2021","20-29","Chancellor's other departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Other","AA/AO","10","10","22800","21980"
"In post","2021","20-29","Chancellor's other departments","Other","EO","10","10","28660","28230"
"In post","2021","20-29","Chancellor's other departments","Other","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Other","SEO/HEO","30","30","40020","37830"
"In post","2021","20-29","Chancellor's other departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Unknown","EO","20","20","24300","24440"
"In post","2021","20-29","Charity Commission","Unknown","SEO/HEO","10","10","31320","29160"
"In post","2021","20-29","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Communications","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Digital, Data and Technology","SEO/HEO","10","10","37810","34290"
"In post","2021","20-29","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Economics","G6/G7","10","10","55160","54320"
"In post","2021","20-29","Competition and Markets Authority","Economics","SEO/HEO","20","20","33840","33610"
"In post","2021","20-29","Competition and Markets Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Legal","EO","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Legal","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Project Delivery","AA/AO","15","15","23210","22860"
"In post","2021","20-29","Competition and Markets Authority","Project Delivery","EO","10","10","27620","27530"
"In post","2021","20-29","Competition and Markets Authority","Project Delivery","G6/G7","15","15","57060","55000"
"In post","2021","20-29","Competition and Markets Authority","Project Delivery","SEO/HEO","20","20","35110","34570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Commercial","SEO/HEO","10","10","35250","35620"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Communications","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Communications","EO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Communications","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Communications","SEO/HEO","35","35","38910","38620"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Counter Fraud","SEO/HEO","5","5","[c]","[c]"
