"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Westminster","15","10","45090","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Camden and City of London","15","15","42310","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Croydon","10","10","41710","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Hackney and Newham","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Liverpool","25","25","39360","31960"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Manchester","65","65","36650","31810"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Southend-on-Sea","25","25","43620","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Tower Hamlets","50","45","47570","41800"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Westminster","60","60","50570","41790"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Tower Hamlets","[c]","[c]","[c]","[c]"
