"Status","Year","Function_of_post","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","280","260","44290","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","365","355","43850","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","Female","45","40","53850","52840"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","Male","85","85","48720","52530"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","90","85","40130","38720"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","105","105","40730","38500"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","75","70","46360","42980"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","125","125","46790","48200"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","195","180","45260","40480"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","210","205","45140","40620"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","Female","5","5","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","85","75","40340","35010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","70","70","39160","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","45","45","55030","52000"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","Male","35","30","54070","55430"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","915","855","36230","33020"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","755","740","38310","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","35","35","33970","32540"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Wales Office","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","35","30","30100","28580"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","20","15","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Female","665","645","66570","62250"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Male","750","750","74230","65440"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","Female","190","180","33620","33340"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","Male","180","175","34510","34800"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","HM Treasury","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","Female","85","80","40860","35530"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","Male","195","195","45800","42000"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Female","35","35","32980","33090"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Male","30","30","34290","37320"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Department for Education","Female","95","95","39720","38000"
"In post","2021","Commercial","Department for Education (excl. agencies)","Department for Education","Male","90","85","39840","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","85","80","37580","36970"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","55","55","41680","37940"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Department for Transport","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","115","110","47050","40650"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","85","85","51060","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Female","80","65","31320","31040"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Male","75","75","34290","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Female","25","25","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Female","45","45","44990","37990"
"In post","2021","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Male","40","35","49460","47080"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","50","45","40200","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","35","35","40340","38500"
"In post","2021","Commercial","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Actuary's Department","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Department for Work and Pensions","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Department for Work and Pensions","Male","25","25","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Ministry of Justice","Female","375","365","45420","42630"
"In post","2021","Commercial","HM Prison and Probation Service","Ministry of Justice","Male","305","300","53970","52370"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","75","65","34340","31810"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","70","70","39250","38630"
"In post","2021","Commercial","HM Treasury (excl. agencies)","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Ministry of Justice","Female","100","95","36880","37310"
"In post","2021","Commercial","Legal Aid Agency","Ministry of Justice","Male","60","60","39010","40080"
"In post","2021","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Female","100","95","41620","39560"
"In post","2021","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Male","90","90","44490","46100"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","805","760","33520","33300"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","735","725","36780","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","110","110","32790","33240"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","100","100","32550","28120"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","Female","10","10","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","Male","10","10","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Department of Health and Social Care","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Public Health England","Department of Health and Social Care","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Scottish Government","Female","35","35","28490","25870"
"In post","2021","Commercial","Scottish Prison Service","Scottish Government","Male","50","45","32260","25870"
"In post","2021","Commercial","Serious Fraud Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Ministry of Defence","Female","70","65","37150","33680"
"In post","2021","Commercial","Submarine Delivery Agency","Ministry of Defence","Male","80","80","43480","40850"
"In post","2021","Commercial","The National Archives","The National Archives","Female","20","15","[c]","[c]"
"In post","2021","Commercial","The National Archives","The National Archives","Male","25","20","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","UK Export Finance","Female","65","60","45420","44080"
"In post","2021","Commercial","UK Export Finance","UK Export Finance","Male","130","130","58130","52500"
"In post","2021","Commercial","UK Hydrographic Office","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Ministry of Defence","Male","10","10","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","15","15","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Female","20","15","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Attorney General's Departments","Female","10","10","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Female","205","200","46520","42550"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Male","140","140","47870","40600"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Charity Commission","Female","20","20","[c]","[c]"
"In post","2021","Communications","Charity Commission","Charity Commission","Male","10","10","[c]","[c]"
"In post","2021","Communications","Companies House","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2021","Communications","Companies House","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Competition and Markets Authority","Female","20","20","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Competition and Markets Authority","Male","15","15","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Other Cabinet Office Agencies","Female","15","10","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Other Cabinet Office Agencies","Male","5","5","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Attorney General's Departments","Female","35","35","41500","39750"
"In post","2021","Communications","Crown Prosecution Service","Attorney General's Departments","Male","20","20","[c]","[c]"
"In post","2021","Communications","Debt Management Office","HM Treasury","Female","5","5","[c]","[c]"
"In post","2021","Communications","Debt Management Office","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Ministry of Defence","Female","85","80","30200","27220"
"In post","2021","Communications","Defence Equipment and Support","Ministry of Defence","Male","200","195","25560","21380"
"In post","2021","Communications","Defence Science and Technology Laboratory","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","60","60","50360","47380"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","50","50","47100","45100"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","25","20","[c]","[c]"
