"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Chancellor's other departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G7","Heterosexual / straight","40","35","58000","56360"
"In post","2021","Analysis","Competition and Markets Authority","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G7","Heterosexual / straight","50","50","58050","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Heterosexual / straight","90","90","35580","34090"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Undeclared","15","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Unknown","35","35","36090","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G7","Heterosexual / straight","40","40","60980","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","HEO","Heterosexual / straight","50","50","42940","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","G7","Heterosexual / straight","70","65","53110","53420"
"In post","2021","Analysis","Department for Education","G7","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","G7","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Education","HEO","Heterosexual / straight","80","75","34790","33640"
"In post","2021","Analysis","Department for Education","HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO","Heterosexual / straight","105","95","43670","42580"
"In post","2021","Analysis","Department for Education","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO","Unknown","20","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","55","50","25380","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Unknown","55","50","25050","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G7","Heterosexual / straight","40","35","50090","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G7","Unknown","40","40","49210","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","HEO","Heterosexual / straight","80","75","30290","29750"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","HEO","Undeclared","15","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","HEO","Unknown","90","85","29650","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO","Heterosexual / straight","45","45","37560","37240"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO","Undeclared","15","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO","Unknown","65","60","37190","36580"
"In post","2021","Analysis","Department for International Trade","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G7","Heterosexual / straight","55","55","51430","51970"
"In post","2021","Analysis","Department for International Trade","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G7","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","HEO","Heterosexual / straight","50","50","31040","31800"
"In post","2021","Analysis","Department for International Trade","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SCS level","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Heterosexual / straight","40","40","28200","26780"
"In post","2021","Analysis","Department for Transport","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G7","Heterosexual / straight","95","90","55380","54760"
"In post","2021","Analysis","Department for Transport","G7","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G7","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Transport","HEO","Heterosexual / straight","90","85","33310","34330"
"In post","2021","Analysis","Department for Transport","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO","Heterosexual / straight","55","55","42580","42470"
"In post","2021","Analysis","Department for Transport","SEO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO","Unknown","15","10","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6","Unknown","40","40","66600","66230"
"In post","2021","Analysis","Department of Health and Social Care","G7","Heterosexual / straight","75","70","53580","53360"
"In post","2021","Analysis","Department of Health and Social Care","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G7","Unknown","75","75","53340","53360"
"In post","2021","Analysis","Department of Health and Social Care","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","LGBO","[c]","[c]","[c]","[c]"
