"Status","Year","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","Undeclared","680","640","35880","31990"
"In post","2021","Human Resources","Unknown","1345","1270","34550","31810"
"In post","2021","Internal Audit","Heterosexual / straight","585","560","46320","43830"
"In post","2021","Internal Audit","LGBO","35","30","48110","44290"
"In post","2021","Internal Audit","Undeclared","85","80","45890","42520"
"In post","2021","Internal Audit","Unknown","60","55","42640","39750"
"In post","2021","Legal","Heterosexual / straight","8840","8235","45440","46530"
"In post","2021","Legal","LGBO","565","550","46370","48080"
"In post","2021","Legal","Undeclared","2385","2165","34510","29350"
"In post","2021","Legal","Unknown","3055","2790","46830","50570"
"In post","2021","No function","Heterosexual / straight","116910","109345","33420","29810"
"In post","2021","No function","LGBO","7955","7740","34150","30640"
"In post","2021","No function","Undeclared","15895","14560","33130","29730"
"In post","2021","No function","Unknown","44175","40955","31040","27490"
"In post","2021","Project Delivery","Heterosexual / straight","20255","19580","41180","38620"
"In post","2021","Project Delivery","LGBO","930","920","41650","37870"
"In post","2021","Project Delivery","Undeclared","2925","2800","41080","38630"
"In post","2021","Project Delivery","Unknown","4290","4135","41670","38630"
"In post","2021","Property","Heterosexual / straight","5900","5630","35590","33300"
"In post","2021","Property","LGBO","225","220","34830","32000"
"In post","2021","Property","Undeclared","865","820","36510","33300"
"In post","2021","Property","Unknown","2325","2210","30740","26850"
"In post","2021","Security","Heterosexual / straight","6020","5885","31060","26750"
"In post","2021","Security","LGBO","270","270","32580","29250"
"In post","2021","Security","Undeclared","950","930","34830","37640"
"In post","2021","Security","Unknown","1520","1490","31590","28750"
"In post","2021","Unknown","Heterosexual / straight","114590","105690","30840","27570"
"In post","2021","Unknown","LGBO","6115","5885","30890","27570"
"In post","2021","Unknown","Undeclared","14915","13620","30870","27570"
"In post","2021","Unknown","Unknown","31090","27850","30230","27570"
"Leaver CS","2021","Analysis","Heterosexual / straight","140","[c]","37880","31700"
"Leaver CS","2021","Analysis","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","110","[c]","32240","27530"
"Leaver CS","2021","Commercial","Heterosexual / straight","145","[c]","42010","37640"
"Leaver CS","2021","Commercial","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","85","[c]","62440","57430"
"Leaver CS","2021","Communications","Heterosexual / straight","130","[c]","36810","32750"
"Leaver CS","2021","Communications","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","80","[c]","38970","36030"
"Leaver CS","2021","Counter Fraud","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Heterosexual / straight","210","[c]","43390","38870"
"Leaver CS","2021","Digital, Data & Technology","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","35","[c]","40690","35060"
"Leaver CS","2021","Digital, Data & Technology","Unknown","160","[c]","40480","37420"
"Leaver CS","2021","Finance","Heterosexual / straight","150","[c]","40720","36930"
"Leaver CS","2021","Finance","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","45","[c]","42670","37050"
"Leaver CS","2021","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Unknown","90","[c]","24950","21050"
"Leaver CS","2021","Human Resources","Heterosexual / straight","215","[c]","38580","33560"
"Leaver CS","2021","Human Resources","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","65","[c]","39810","33310"
"Leaver CS","2021","Internal Audit","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Heterosexual / straight","345","[c]","45490","46420"
"Leaver CS","2021","Legal","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Undeclared","150","[c]","34600","26550"
"Leaver CS","2021","Legal","Unknown","155","[c]","48350","52990"
"Leaver CS","2021","No function","Heterosexual / straight","4980","[c]","32600","25880"
"Leaver CS","2021","No function","LGBO","330","[c]","31660","23130"
"Leaver CS","2021","No function","Undeclared","800","[c]","32100","26410"
"Leaver CS","2021","No function","Unknown","3040","[c]","30960","24370"
"Leaver CS","2021","Project Delivery","Heterosexual / straight","565","[c]","39000","34670"
"Leaver CS","2021","Project Delivery","LGBO","30","[c]","36020","36960"
"Leaver CS","2021","Project Delivery","Undeclared","85","[c]","39430","37060"
"Leaver CS","2021","Project Delivery","Unknown","165","[c]","34200","30160"
"Leaver CS","2021","Property","Heterosexual / straight","275","[c]","32630","29200"
"Leaver CS","2021","Property","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","55","[c]","35610","33630"
"Leaver CS","2021","Property","Unknown","215","[c]","27700","24960"
"Leaver CS","2021","Security","Heterosexual / straight","245","[c]","30270","26670"
"Leaver CS","2021","Security","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","45","[c]","37100","39070"
"Leaver CS","2021","Security","Unknown","125","[c]","27660","24970"
"Leaver CS","2021","Unknown","Heterosexual / straight","4950","[c]","29950","26890"
"Leaver CS","2021","Unknown","LGBO","265","[c]","30710","27570"
"Leaver CS","2021","Unknown","Undeclared","700","[c]","31080","27570"
"Leaver CS","2021","Unknown","Unknown","8325","[c]","30270","27570"
"Leaver Dept.","2021","Analysis","Heterosexual / straight","180","[c]","41920","37320"
"Leaver Dept.","2021","Analysis","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","50","[c]","40050","36300"
"Leaver Dept.","2021","Commercial","Heterosexual / straight","95","[c]","40000","38060"
"Leaver Dept.","2021","Commercial","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","50","[c]","48160","49000"
"Leaver Dept.","2021","Communications","Heterosexual / straight","115","[c]","43890","40700"
"Leaver Dept.","2021","Communications","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","70","[c]","40010","38440"
"Leaver Dept.","2021","Counter Fraud","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Heterosexual / straight","130","[c]","44070","39140"
"Leaver Dept.","2021","Digital, Data & Technology","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","65","[c]","48470","48370"
"Leaver Dept.","2021","Finance","Heterosexual / straight","125","[c]","46170","43310"
"Leaver Dept.","2021","Finance","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Undeclared","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","45","[c]","48720","44480"
"Leaver Dept.","2021","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","45","[c]","26340","25070"
"Leaver Dept.","2021","Human Resources","Heterosexual / straight","325","[c]","37940","32910"
"Leaver Dept.","2021","Human Resources","LGBO","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","85","[c]","41270","37570"
"Leaver Dept.","2021","Internal Audit","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Heterosexual / straight","135","[c]","40550","32540"
"Leaver Dept.","2021","Legal","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","35","[c]","42770","36760"
"Leaver Dept.","2021","Legal","Unknown","45","[c]","53700","53670"
"Leaver Dept.","2021","No function","Heterosexual / straight","2105","[c]","38440","32910"
"Leaver Dept.","2021","No function","LGBO","240","[c]","37920","32750"
"Leaver Dept.","2021","No function","Undeclared","250","[c]","39340","33640"
"Leaver Dept.","2021","No function","Unknown","1420","[c]","36910","32000"
"Leaver Dept.","2021","Project Delivery","Heterosexual / straight","360","[c]","40800","34430"
"Leaver Dept.","2021","Project Delivery","LGBO","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Undeclared","30","[c]","42050","40400"
"Leaver Dept.","2021","Project Delivery","Unknown","100","[c]","43090","38380"
"Leaver Dept.","2021","Property","Heterosexual / straight","70","[c]","38860","33300"
"Leaver Dept.","2021","Property","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","40","[c]","30030","25500"
"Leaver Dept.","2021","Security","Heterosexual / straight","35","[c]","36350","33300"
"Leaver Dept.","2021","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","2280","[c]","34700","29860"
"Leaver Dept.","2021","Unknown","LGBO","185","[c]","34140","29210"
"Leaver Dept.","2021","Unknown","Undeclared","245","[c]","36380","31060"
"Leaver Dept.","2021","Unknown","Unknown","2655","[c]","33770","30850"
"New entrant CS","2021","Analysis","Heterosexual / straight","705","[c]","33870","32540"
"New entrant CS","2021","Analysis","LGBO","90","[c]","32290","31800"
"New entrant CS","2021","Analysis","Undeclared","70","[c]","34780","32540"
"New entrant CS","2021","Analysis","Unknown","355","[c]","35010","31810"
"New entrant CS","2021","Commercial","Heterosexual / straight","350","[c]","36230","33300"
"New entrant CS","2021","Commercial","LGBO","30","[c]","33770","30020"
"New entrant CS","2021","Commercial","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","365","[c]","62220","65130"
"New entrant CS","2021","Communications","Heterosexual / straight","515","[c]","31410","26130"
"New entrant CS","2021","Communications","LGBO","70","[c]","31690","25840"
"New entrant CS","2021","Communications","Undeclared","40","[c]","30540","27500"
"New entrant CS","2021","Communications","Unknown","680","[c]","29810","25560"
"New entrant CS","2021","Counter Fraud","Heterosexual / straight","95","[c]","31950","28290"
"New entrant CS","2021","Counter Fraud","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Unknown","90","[c]","28650","25560"
"New entrant CS","2021","Debt","Heterosexual / straight","245","[c]","20610","20140"
"New entrant CS","2021","Debt","LGBO","30","[c]","[c]","[c]"
"New entrant CS","2021","Debt","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","Debt","Unknown","680","[c]","20460","20140"
"New entrant CS","2021","Digital, Data & Technology","Heterosexual / straight","920","[c]","40570","37070"
"New entrant CS","2021","Digital, Data & Technology","LGBO","90","[c]","38430","35930"
"New entrant CS","2021","Digital, Data & Technology","Undeclared","100","[c]","41200","36650"
"New entrant CS","2021","Digital, Data & Technology","Unknown","755","[c]","38820","34310"
"New entrant CS","2021","Finance","Heterosexual / straight","470","[c]","36010","32790"
"New entrant CS","2021","Finance","LGBO","25","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Undeclared","30","[c]","35160","32330"
"New entrant CS","2021","Finance","Unknown","250","[c]","33400","32790"
"New entrant CS","2021","Grants Management","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Unknown","40","[c]","22480","21050"
"New entrant CS","2021","Human Resources","Heterosexual / straight","565","[c]","32850","28380"
"New entrant CS","2021","Human Resources","LGBO","70","[c]","32510","28500"
"New entrant CS","2021","Human Resources","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","210","[c]","31480","27380"
"New entrant CS","2021","Internal Audit","Heterosexual / straight","35","[c]","41610","39980"
"New entrant CS","2021","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Heterosexual / straight","900","[c]","37070","37230"
"New entrant CS","2021","Legal","LGBO","75","[c]","32110","26970"
"New entrant CS","2021","Legal","Undeclared","140","[c]","28920","20850"
"New entrant CS","2021","Legal","Unknown","290","[c]","34310","28600"
"New entrant CS","2021","No function","Heterosexual / straight","11050","[c]","29050","25380"
"New entrant CS","2021","No function","LGBO","1250","[c]","28110","25230"
"New entrant CS","2021","No function","Undeclared","1005","[c]","32360","28590"
"New entrant CS","2021","No function","Unknown","7885","[c]","26380","22850"
"New entrant CS","2021","Project Delivery","Heterosexual / straight","1260","[c]","37020","33570"
"New entrant CS","2021","Project Delivery","LGBO","90","[c]","33580","30850"
"New entrant CS","2021","Project Delivery","Undeclared","75","[c]","37970","35750"
"New entrant CS","2021","Project Delivery","Unknown","440","[c]","33500","30930"
"New entrant CS","2021","Property","Heterosexual / straight","440","[c]","32210","30000"
"New entrant CS","2021","Property","LGBO","25","[c]","[c]","[c]"
"New entrant CS","2021","Property","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2021","Property","Unknown","255","[c]","27860","24500"
"New entrant CS","2021","Security","Heterosexual / straight","465","[c]","26670","23540"
"New entrant CS","2021","Security","LGBO","40","[c]","26330","24220"
"New entrant CS","2021","Security","Undeclared","30","[c]","26260","22570"
"New entrant CS","2021","Security","Unknown","310","[c]","27690","24620"
"New entrant CS","2021","Unknown","Heterosexual / straight","15745","[c]","27380","27570"
"New entrant CS","2021","Unknown","LGBO","1580","[c]","26900","27570"
"New entrant CS","2021","Unknown","Undeclared","950","[c]","28280","27570"
"New entrant CS","2021","Unknown","Unknown","4785","[c]","30720","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","The Department for Work and Pensions provided aggregated functions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
