"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Black","West Midlands (England)","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","Black","West Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","Heterosexual / straight","50","45","27740","26140"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","Heterosexual / straight","30","30","30020","25560"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","Unknown","5","5","[c]","[c]"
