"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Debt","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AO","Unknown","35","35","20140","20140"
"In post","2021","16-19","Debt","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AO","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","Finance","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Legal","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Legal","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","AA","Heterosexual / straight","50","45","18880","18850"
"In post","2021","16-19","No function","AA","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","No function","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","AA","Unknown","40","35","18650","18060"
"In post","2021","16-19","No function","AO","Heterosexual / straight","145","140","21390","20500"
"In post","2021","16-19","No function","AO","LGBO","10","10","[c]","[c]"
"In post","2021","16-19","No function","AO","Undeclared","15","10","[c]","[c]"
"In post","2021","16-19","No function","AO","Unknown","165","160","20990","20140"
"In post","2021","16-19","No function","EO","Heterosexual / straight","40","35","24360","24300"
"In post","2021","16-19","No function","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","EO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","No function","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","Heterosexual / straight","50","50","19160","17780"
"In post","2021","16-19","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","Unknown","45","45","17500","16780"
"In post","2021","16-19","Project Delivery","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Property","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","AA","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Property","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Property","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Property","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","AA","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Security","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Security","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA","Heterosexual / straight","40","40","20730","21150"
"In post","2021","16-19","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","AO","Heterosexual / straight","165","155","21410","21010"
"In post","2021","16-19","Unknown","AO","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","AO","Unknown","50","45","21500","21430"
"In post","2021","16-19","Unknown","EO","Heterosexual / straight","45","45","27910","27570"
"In post","2021","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","Analysis","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","AO","Heterosexual / straight","55","55","22310","21980"
"In post","2021","20-29","Analysis","AO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","AO","Unknown","40","40","20740","19640"
"In post","2021","20-29","Analysis","EO","Heterosexual / straight","160","160","26910","27120"
"In post","2021","20-29","Analysis","EO","LGBO","35","35","25980","25960"
"In post","2021","20-29","Analysis","EO","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Analysis","EO","Unknown","85","85","26210","25560"
"In post","2021","20-29","Analysis","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","G6","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","G7","Heterosexual / straight","235","235","53580","53530"
"In post","2021","20-29","Analysis","G7","LGBO","30","30","[c]","[c]"
"In post","2021","20-29","Analysis","G7","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Analysis","G7","Unknown","65","65","52470","53360"
"In post","2021","20-29","Analysis","HEO","Heterosexual / straight","800","800","33090","32540"
"In post","2021","20-29","Analysis","HEO","LGBO","120","115","32700","32540"
"In post","2021","20-29","Analysis","HEO","Undeclared","65","65","33690","33120"
"In post","2021","20-29","Analysis","HEO","Unknown","275","270","32520","31810"
"In post","2021","20-29","Analysis","SEO","Heterosexual / straight","295","295","39730","38630"
"In post","2021","20-29","Analysis","SEO","LGBO","35","35","40160","39030"
"In post","2021","20-29","Analysis","SEO","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Analysis","SEO","Unknown","75","75","38610","37320"
"In post","2021","20-29","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","AA","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","AO","Heterosexual / straight","75","75","21380","20920"
"In post","2021","20-29","Commercial","AO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","AO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","EO","Heterosexual / straight","145","145","26080","26510"
"In post","2021","20-29","Commercial","EO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Commercial","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","EO","Unknown","50","50","25640","26120"
"In post","2021","20-29","Commercial","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","G6","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","G7","Unknown","40","40","53820","54700"
"In post","2021","20-29","Commercial","HEO","Heterosexual / straight","185","180","32470","33000"
"In post","2021","20-29","Commercial","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Commercial","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Commercial","HEO","Unknown","50","50","30770","31000"
"In post","2021","20-29","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Commercial","SEO","Heterosexual / straight","95","95","39130","38690"
"In post","2021","20-29","Commercial","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","SEO","Unknown","55","55","39240","40480"
"In post","2021","20-29","Commercial","Unknown","Heterosexual / straight","40","40","27590","26670"
"In post","2021","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","AO","Heterosexual / straight","50","45","22760","21590"
"In post","2021","20-29","Communications","AO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Communications","AO","Unknown","30","30","22400","22150"
"In post","2021","20-29","Communications","EO","Heterosexual / straight","495","490","25840","25560"
"In post","2021","20-29","Communications","EO","LGBO","55","50","25590","25560"
"In post","2021","20-29","Communications","EO","Undeclared","30","30","25860","25560"
"In post","2021","20-29","Communications","EO","Unknown","555","550","25880","25560"
"In post","2021","20-29","Communications","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","G7","Heterosexual / straight","35","35","52970","53760"
"In post","2021","20-29","Communications","G7","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Communications","G7","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Communications","HEO","Heterosexual / straight","310","310","33120","31810"
"In post","2021","20-29","Communications","HEO","LGBO","40","40","32620","31810"
"In post","2021","20-29","Communications","HEO","Undeclared","30","30","34020","33530"
"In post","2021","20-29","Communications","HEO","Unknown","180","180","32890","31810"
"In post","2021","20-29","Communications","SEO","Heterosexual / straight","115","115","40680","40070"
"In post","2021","20-29","Communications","SEO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Communications","SEO","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Communications","SEO","Unknown","65","65","40610","40600"
"In post","2021","20-29","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","Counter Fraud","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","AO","Unknown","40","40","20410","20140"
"In post","2021","20-29","Counter Fraud","EO","Heterosexual / straight","345","345","26660","25560"
"In post","2021","20-29","Counter Fraud","EO","LGBO","30","30","26330","25560"
"In post","2021","20-29","Counter Fraud","EO","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Counter Fraud","EO","Unknown","265","265","26530","25560"
"In post","2021","20-29","Counter Fraud","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","G7","Heterosexual / straight","40","40","53300","52580"
"In post","2021","20-29","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Counter Fraud","G7","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Counter Fraud","HEO","Heterosexual / straight","135","130","32490","31810"
"In post","2021","20-29","Counter Fraud","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Counter Fraud","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Counter Fraud","HEO","Unknown","95","95","32310","31810"
"In post","2021","20-29","Counter Fraud","SEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","20-29","Counter Fraud","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","SEO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Debt","AO","Heterosexual / straight","275","265","20330","20140"
"In post","2021","20-29","Debt","AO","LGBO","50","50","20340","20140"
"In post","2021","20-29","Debt","AO","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Debt","AO","Unknown","570","550","20350","20140"
"In post","2021","20-29","Debt","EO","Heterosexual / straight","70","70","25230","25560"
"In post","2021","20-29","Debt","EO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Debt","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","EO","Unknown","55","55","24880","25560"
"In post","2021","20-29","Debt","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Debt","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AA","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AO","Heterosexual / straight","40","40","21740","21320"
"In post","2021","20-29","Digital, Data & Technology","AO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AO","Unknown","40","40","21740","21590"
"In post","2021","20-29","Digital, Data & Technology","EO","Heterosexual / straight","315","310","26620","26130"
"In post","2021","20-29","Digital, Data & Technology","EO","LGBO","45","45","26410","26350"
"In post","2021","20-29","Digital, Data & Technology","EO","Undeclared","45","45","27370","27320"
"In post","2021","20-29","Digital, Data & Technology","EO","Unknown","280","280","26650","25740"
"In post","2021","20-29","Digital, Data & Technology","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","G7","Heterosexual / straight","105","105","53180","53720"
"In post","2021","20-29","Digital, Data & Technology","G7","LGBO","30","30","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","G7","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","G7","Unknown","55","55","53220","52850"
"In post","2021","20-29","Digital, Data & Technology","HEO","Heterosexual / straight","335","335","32750","32000"
"In post","2021","20-29","Digital, Data & Technology","HEO","LGBO","45","45","33060","32150"
"In post","2021","20-29","Digital, Data & Technology","HEO","Undeclared","30","30","32120","31810"
"In post","2021","20-29","Digital, Data & Technology","HEO","Unknown","270","270","32390","31810"
"In post","2021","20-29","Digital, Data & Technology","SEO","Heterosexual / straight","200","200","39900","39120"
"In post","2021","20-29","Digital, Data & Technology","SEO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","SEO","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","SEO","Unknown","110","110","39780","38630"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","20-29","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","AA","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Finance","AO","Heterosexual / straight","90","85","21210","20140"
"In post","2021","20-29","Finance","AO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Finance","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Finance","AO","Unknown","95","85","20570","20140"
"In post","2021","20-29","Finance","EO","Heterosexual / straight","250","250","25320","25560"
"In post","2021","20-29","Finance","EO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Finance","EO","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Finance","EO","Unknown","85","80","25670","25560"
"In post","2021","20-29","Finance","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","G7","Heterosexual / straight","85","85","54610","54670"
"In post","2021","20-29","Finance","G7","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Finance","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Finance","G7","Unknown","25","25","[c]","[c]"
"In post","2021","20-29","Finance","HEO","Heterosexual / straight","220","220","33030","32790"
"In post","2021","20-29","Finance","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Finance","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Finance","HEO","Unknown","110","110","32860","32790"
"In post","2021","20-29","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SEO","Heterosexual / straight","130","130","40200","39990"
"In post","2021","20-29","Finance","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Finance","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Finance","SEO","Unknown","55","55","39820","40650"
"In post","2021","20-29","Finance","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","AO","Heterosexual / straight","35","35","20860","21050"
"In post","2021","20-29","Grants Management","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","AO","Unknown","130","125","20870","21050"
"In post","2021","20-29","Grants Management","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
