"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","40","35","60590","61720"
"In post","2021","Corporate Finance","London","SCS level","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","20","20","40790","42680"
"In post","2021","Corporate Finance","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","10","10","24850","24920"
"In post","2021","Corporate Finance","Outside London","G6/G7","30","30","55450","49940"
"In post","2021","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","40","35","34760","34760"
"In post","2021","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","65","60","28180","28750"
"In post","2021","Counter Fraud","London","G6/G7","90","90","63360","61900"
"In post","2021","Counter Fraud","London","SCS level","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","230","225","38390","40000"
"In post","2021","Counter Fraud","Outside London","AA/AO","50","45","20720","21430"
"In post","2021","Counter Fraud","Outside London","EO","120","110","25760","25310"
"In post","2021","Counter Fraud","Outside London","G6/G7","30","30","56440","55320"
"In post","2021","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","295","280","36900","36060"
"In post","2021","Digital, Data and Technology","London","AA/AO","45","45","24640","24220"
"In post","2021","Digital, Data and Technology","London","EO","290","285","29510","29500"
"In post","2021","Digital, Data and Technology","London","G6/G7","1280","1265","62330","60770"
"In post","2021","Digital, Data and Technology","London","SCS level","115","115","94880","90710"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","1550","1520","40140","40270"
"In post","2021","Digital, Data and Technology","London","Unknown","15","15","37060","33050"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","395","385","21590","21330"
"In post","2021","Digital, Data and Technology","Outside London","EO","1920","1850","27190","26670"
"In post","2021","Digital, Data and Technology","Outside London","G6/G7","2180","2140","55980","52920"
"In post","2021","Digital, Data and Technology","Outside London","SCS level","110","105","87260","80800"
"In post","2021","Digital, Data and Technology","Outside London","SEO/HEO","5315","5160","37050","36820"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","50","50","35720","33400"
"In post","2021","Digital, Data and Technology","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO/HEO","10","10","39110","36460"
"In post","2021","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","AA/AO","60","60","24200","24120"
"In post","2021","Economics","London","EO","95","95","27720","27680"
"In post","2021","Economics","London","G6/G7","765","745","60320","58710"
"In post","2021","Economics","London","SCS level","80","80","89940","82660"
"In post","2021","Economics","London","SEO/HEO","765","760","35200","34090"
"In post","2021","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","AA/AO","30","30","19710","19130"
"In post","2021","Economics","Outside London","EO","25","25","24400","23380"
"In post","2021","Economics","Outside London","G6/G7","145","140","55880","53100"
"In post","2021","Economics","Outside London","SCS level","10","10","81270","77330"
"In post","2021","Economics","Outside London","SEO/HEO","140","135","33550","31810"
"In post","2021","Economics","Overseas","G6/G7","35","35","59000","58030"
"In post","2021","Economics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","AA/AO","80","80","24380","24350"
"In post","2021","Finance","London","EO","300","290","28740","29000"
"In post","2021","Finance","London","G6/G7","920","900","61760","59730"
"In post","2021","Finance","London","SCS level","165","160","91190","83860"
"In post","2021","Finance","London","SEO/HEO","1090","1070","39620","39830"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","AA/AO","1080","905","21180","21140"
"In post","2021","Finance","Outside London","EO","1315","1235","26050","26350"
"In post","2021","Finance","Outside London","G6/G7","1210","1185","57060","55340"
"In post","2021","Finance","Outside London","SCS level","115","115","89690","82480"
"In post","2021","Finance","Outside London","SEO/HEO","2710","2605","37060","36820"
"In post","2021","Finance","Outside London","Unknown","130","125","40400","39860"
"In post","2021","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","EO","15","15","28310","26670"
"In post","2021","Finance","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","Finance","Overseas","SEO/HEO","15","15","37320","33630"
"In post","2021","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","AA/AO","90","85","24330","24090"
"In post","2021","Human Resources","London","EO","345","335","29060","28810"
"In post","2021","Human Resources","London","G6/G7","770","745","61040","59190"
"In post","2021","Human Resources","London","SCS level","135","130","89020","82600"
"In post","2021","Human Resources","London","SEO/HEO","1075","1045","38890","37900"
"In post","2021","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Outside London","AA/AO","1120","1025","21440","21130"
"In post","2021","Human Resources","Outside London","EO","1025","960","26460","26670"
"In post","2021","Human Resources","Outside London","G6/G7","880","850","55910","54270"
"In post","2021","Human Resources","Outside London","SCS level","60","55","89070","83350"
"In post","2021","Human Resources","Outside London","SEO/HEO","2285","2160","35870","33930"
"In post","2021","Human Resources","Outside London","Unknown","40","35","42090","41040"
"In post","2021","Human Resources","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO/HEO","10","10","36890","36460"
"In post","2021","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6/G7","10","5","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","G6/G7","125","125","75690","75500"
"In post","2021","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","SEO/HEO","100","95","50850","51360"
"In post","2021","Inspector of Education and Training","Outside London","G6/G7","385","375","75240","75500"
"In post","2021","Inspector of Education and Training","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Inspector of Education and Training","Outside London","SEO/HEO","235","230","51080","51360"
"In post","2021","Intelligence Analysis","London","AA/AO","65","55","25170","25630"
"In post","2021","Intelligence Analysis","London","EO","450","420","29940","29250"
"In post","2021","Intelligence Analysis","London","G6/G7","295","285","60090","59160"
"In post","2021","Intelligence Analysis","London","SCS level","15","15","84760","78810"
"In post","2021","Intelligence Analysis","London","SEO/HEO","600","580","39750","38410"
"In post","2021","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Outside London","AA/AO","65","60","21570","21430"
"In post","2021","Intelligence Analysis","Outside London","EO","1110","1060","26930","26670"
"In post","2021","Intelligence Analysis","Outside London","G6/G7","100","95","54610","52580"
"In post","2021","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Outside London","SEO/HEO","625","610","34380","33300"
"In post","2021","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","G6/G7","15","15","55880","54540"
"In post","2021","Intelligence Analysis","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","SEO/HEO","45","45","36520","34770"
"In post","2021","Intelligence Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","AA/AO","10","10","33630","35900"
"In post","2021","Internal Audit","London","EO","10","10","31580","32160"
"In post","2021","Internal Audit","London","G6/G7","75","70","62690","59730"
"In post","2021","Internal Audit","London","SCS level","20","20","91180","88450"
"In post","2021","Internal Audit","London","SEO/HEO","95","95","44810","45260"
"In post","2021","Internal Audit","Outside London","AA/AO","10","10","24490","22080"
"In post","2021","Internal Audit","Outside London","EO","40","35","27530","26780"
"In post","2021","Internal Audit","Outside London","G6/G7","125","120","56700","54540"
"In post","2021","Internal Audit","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Internal Audit","Outside London","SEO/HEO","380","360","39520","39980"
"In post","2021","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","EO","70","70","27760","26510"
"In post","2021","International Trade","London","G6/G7","455","450","55470","52850"
"In post","2021","International Trade","London","SCS level","85","80","84460","75570"
"In post","2021","International Trade","London","SEO/HEO","465","460","35800","35560"
"In post","2021","International Trade","Outside London","EO","30","30","24950","25560"
"In post","2021","International Trade","Outside London","G6/G7","55","55","53740","51970"
"In post","2021","International Trade","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","International Trade","Outside London","SEO/HEO","145","145","33520","31810"
"In post","2021","International Trade","Overseas","G6/G7","85","85","57660","56750"
"In post","2021","International Trade","Overseas","SCS level","25","25","90850","89840"
"In post","2021","International Trade","Overseas","SEO/HEO","50","50","37660","38300"
"In post","2021","Knowledge and Information Management","London","AA/AO","80","80","24640","24560"
"In post","2021","Knowledge and Information Management","London","EO","135","125","28920","29160"
"In post","2021","Knowledge and Information Management","London","G6/G7","190","180","59790","57460"
"In post","2021","Knowledge and Information Management","London","SCS level","15","15","86460","78820"
"In post","2021","Knowledge and Information Management","London","SEO/HEO","325","315","38050","37640"
"In post","2021","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","AA/AO","250","240","21290","20920"
"In post","2021","Knowledge and Information Management","Outside London","EO","370","350","26220","26670"
"In post","2021","Knowledge and Information Management","Outside London","G6/G7","215","205","55420","54190"
"In post","2021","Knowledge and Information Management","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","SEO/HEO","730","700","36320","36330"
"In post","2021","Knowledge and Information Management","Outside London","Unknown","55","55","46000","41820"
"In post","2021","Knowledge and Information Management","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AA/AO","45","45","25170","25630"
"In post","2021","Legal","London","EO","575","560","30300","29570"
"In post","2021","Legal","London","G6/G7","2955","2745","61270","61860"
"In post","2021","Legal","London","SCS level","290","280","88850","82520"
"In post","2021","Legal","London","SEO/HEO","895","865","39650","39360"
"In post","2021","Legal","London","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Outside London","AA/AO","260","230","20870","20140"
"In post","2021","Legal","Outside London","EO","1365","1305","26190","25560"
"In post","2021","Legal","Outside London","G6/G7","2960","2720","57560","55610"
"In post","2021","Legal","Outside London","SCS level","100","95","87150","83230"
"In post","2021","Legal","Outside London","SEO/HEO","2680","2495","37940","37880"
"In post","2021","Legal","Overseas","G6/G7","10","10","65590","70740"
"In post","2021","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","London","AA/AO","10","10","25020","24420"
"In post","2021","Medicine","London","EO","15","15","30100","27550"
"In post","2021","Medicine","London","G6/G7","115","105","64570","66680"
"In post","2021","Medicine","London","SCS level","205","175","103560","95140"
"In post","2021","Medicine","London","SEO/HEO","45","40","40970","40850"
"In post","2021","Medicine","Outside London","AA/AO","335","315","21990","22640"
"In post","2021","Medicine","Outside London","EO","310","280","30560","30620"
"In post","2021","Medicine","Outside London","G6/G7","525","450","76640","79040"
"In post","2021","Medicine","Outside London","SCS level","215","190","109850","106390"
"In post","2021","Medicine","Outside London","SEO/HEO","665","605","38480","37890"
"In post","2021","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Medicine","Overseas","G6/G7","30","25","69480","69440"
"In post","2021","Medicine","Overseas","SEO/HEO","15","15","39090","37890"
"In post","2021","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Operational Delivery","London","AA/AO","8365","7785","25930","25140"
"In post","2021","Operational Delivery","London","EO","7080","6620","29940","29080"
"In post","2021","Operational Delivery","London","G6/G7","2285","2220","60690","58220"
"In post","2021","Operational Delivery","London","SCS level","330","320","95850","89520"
"In post","2021","Operational Delivery","London","SEO/HEO","6300","6085","38880","37460"
"In post","2021","Operational Delivery","London","Unknown","1545","1490","33360","32090"
"In post","2021","Operational Delivery","Outside London","AA/AO","72550","64885","22620","21430"
"In post","2021","Operational Delivery","Outside London","EO","37870","35085","27340","26520"
"In post","2021","Operational Delivery","Outside London","G6/G7","4215","4100","57620","53720"
"In post","2021","Operational Delivery","Outside London","SCS level","320","315","90200","83560"
"In post","2021","Operational Delivery","Outside London","SEO/HEO","24160","22910","36150","34370"
"In post","2021","Operational Delivery","Outside London","Unknown","10650","9785","29420","28200"
"In post","2021","Operational Delivery","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","EO","105","105","28140","27370"
"In post","2021","Operational Delivery","Overseas","G6/G7","35","35","71280","70930"
"In post","2021","Operational Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","SEO/HEO","135","135","59100","59420"
"In post","2021","Operational Delivery","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","AA/AO","15","15","20460","19930"
"In post","2021","Operational Delivery","Unknown","EO","35","30","28950","26930"
"In post","2021","Operational Delivery","Unknown","G6/G7","10","10","57590","60990"
"In post","2021","Operational Delivery","Unknown","SEO/HEO","80","80","44160","43710"
"In post","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","London","AA/AO","10","10","27020","28000"
"In post","2021","Operational Research","London","EO","25","25","30420","29570"
"In post","2021","Operational Research","London","G6/G7","140","130","63160","59920"
"In post","2021","Operational Research","London","SCS level","20","20","80180","78890"
"In post","2021","Operational Research","London","SEO/HEO","200","200","39800","38340"
"In post","2021","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Outside London","AA/AO","25","25","20600","21580"
"In post","2021","Operational Research","Outside London","EO","30","30","25790","26350"
"In post","2021","Operational Research","Outside London","G6/G7","365","345","50870","47140"
"In post","2021","Operational Research","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Operational Research","Outside London","SEO/HEO","360","350","35040","37320"
"In post","2021","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other","London","AA/AO","720","680","24880","24590"
"In post","2021","Other","London","EO","1170","1110","28050","28650"
"In post","2021","Other","London","G6/G7","895","860","63470","59730"
"In post","2021","Other","London","SCS level","165","160","95930","88520"
"In post","2021","Other","London","SEO/HEO","1230","1205","37430","36590"
"In post","2021","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Outside London","AA/AO","7095","6750","20880","20920"
"In post","2021","Other","Outside London","EO","3955","3775","25920","26670"
"In post","2021","Other","Outside London","G6/G7","950","920","59570","56700"
"In post","2021","Other","Outside London","SCS level","80","75","95740","88270"
"In post","2021","Other","Outside London","SEO/HEO","3945","3785","35320","34090"
"In post","2021","Other","Outside London","Unknown","225","220","43550","40660"
"In post","2021","Other","Overseas","AA/AO","10","10","[c]","[c]"
"In post","2021","Other","Overseas","EO","20","20","26800","26670"
"In post","2021","Other","Overseas","G6/G7","110","110","65450","66440"
"In post","2021","Other","Overseas","SCS level","25","25","78270","78030"
"In post","2021","Other","Overseas","SEO/HEO","215","210","43060","41600"
"In post","2021","Other","Unknown","AA/AO","15","15","21180","21580"
"In post","2021","Other","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Other","Unknown","Unknown","1835","1835","37610","34460"
"In post","2021","Planning","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","London","EO","15","10","28530","27850"
"In post","2021","Planning","London","G6/G7","35","35","58190","54700"
"In post","2021","Planning","London","SCS level","10","10","[c]","[c]"
"In post","2021","Planning","London","SEO/HEO","40","40","38380","39600"
"In post","2021","Planning","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Planning","Outside London","G6/G7","25","25","57380","57270"
"In post","2021","Planning","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Outside London","SEO/HEO","60","55","38890","38920"
"In post","2021","Planning","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Outside London","G6/G7","340","300","57760","58810"
"In post","2021","Planning Inspectors","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Policy","London","AA/AO","365","355","25270","24490"
"In post","2021","Policy","London","EO","1750","1710","29120","28670"
"In post","2021","Policy","London","G6/G7","8360","8120","59200","57460"
"In post","2021","Policy","London","SCS level","1395","1340","85440","77450"
"In post","2021","Policy","London","SEO/HEO","7805","7675","37630","37000"
"In post","2021","Policy","London","Unknown","15","15","46610","46990"
"In post","2021","Policy","Outside London","AA/AO","410","385","21840","21590"
"In post","2021","Policy","Outside London","EO","900","855","26730","26670"
"In post","2021","Policy","Outside London","G6/G7","2165","2090","55630","52940"
"In post","2021","Policy","Outside London","SCS level","225","220","86090","78460"
"In post","2021","Policy","Outside London","SEO/HEO","3925","3760","36580","36630"
"In post","2021","Policy","Outside London","Unknown","10","10","40810","38850"
"In post","2021","Policy","Overseas","AA/AO","20","20","23050","23000"
"In post","2021","Policy","Overseas","EO","40","40","27770","28150"
"In post","2021","Policy","Overseas","G6/G7","840","840","58710","56900"
"In post","2021","Policy","Overseas","SCS level","215","215","86410","76150"
"In post","2021","Policy","Overseas","SEO/HEO","630","630","35620","34350"
"In post","2021","Policy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","G6/G7","10","10","54540","51710"
"In post","2021","Policy","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","London","AA/AO","55","55","24360","24370"
"In post","2021","Project Delivery","London","EO","330","320","29060","29080"
"In post","2021","Project Delivery","London","G6/G7","1395","1360","61140","59160"
"In post","2021","Project Delivery","London","SCS level","255","250","94660","93000"
"In post","2021","Project Delivery","London","SEO/HEO","1615","1580","38960","38600"
"In post","2021","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Outside London","AA/AO","265","250","21200","21040"
"In post","2021","Project Delivery","Outside London","EO","1560","1490","25990","26670"
"In post","2021","Project Delivery","Outside London","G6/G7","2880","2815","54800","53500"
"In post","2021","Project Delivery","Outside London","SCS level","170","165","88000","80550"
"In post","2021","Project Delivery","Outside London","SEO/HEO","6775","6540","36320","36520"
"In post","2021","Project Delivery","Outside London","Unknown","535","520","43270","40790"
"In post","2021","Project Delivery","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Overseas","EO","15","15","27930","26800"
"In post","2021","Project Delivery","Overseas","G6/G7","55","55","58100","55620"
"In post","2021","Project Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Overseas","SEO/HEO","80","80","41470","41800"
"In post","2021","Project Delivery","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","SEO/HEO","15","15","38960","39550"
"In post","2021","Project Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Property","London","AA/AO","95","90","23510","24960"
"In post","2021","Property","London","EO","260","245","29980","29630"
"In post","2021","Property","London","G6/G7","310","300","62760","62960"
"In post","2021","Property","London","SCS level","30","30","96350","92550"
"In post","2021","Property","London","SEO/HEO","410","395","40490","38410"
"In post","2021","Property","London","Unknown","5","5","[c]","[c]"
"In post","2021","Property","Outside London","AA/AO","920","870","19260","18760"
"In post","2021","Property","Outside London","EO","1210","1135","26380","26470"
"In post","2021","Property","Outside London","G6/G7","815","795","56310","54990"
"In post","2021","Property","Outside London","SCS level","40","40","85630","75310"
"In post","2021","Property","Outside London","SEO/HEO","2615","2510","36630","34790"
"In post","2021","Property","Outside London","Unknown","40","40","26120","21600"
"In post","2021","Property","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Overseas","EO","30","30","27410","26950"
"In post","2021","Property","Overseas","G6/G7","25","25","59060","55900"
"In post","2021","Property","Overseas","SEO/HEO","135","135","38110","38080"
"In post","2021","Property","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2021","Property","Unknown","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Psychology","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Psychology","London","EO","10","10","28740","27070"
"In post","2021","Psychology","London","G6/G7","10","5","[c]","[c]"
"In post","2021","Psychology","London","SEO/HEO","40","35","41970","42550"
"In post","2021","Psychology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Outside London","AA/AO","65","60","21190","20890"
"In post","2021","Psychology","Outside London","EO","410","400","26840","26330"
"In post","2021","Psychology","Outside London","G6/G7","110","105","63160","64220"
"In post","2021","Psychology","Outside London","SEO/HEO","765","725","37110","31180"
"In post","2021","Psychology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","London","AA/AO","110","100","24190","23710"
"In post","2021","Science and Engineering","London","EO","115","110","28210","27510"
"In post","2021","Science and Engineering","London","G6/G7","460","435","60700","59020"
"In post","2021","Science and Engineering","London","SCS level","60","50","102590","95310"
"In post","2021","Science and Engineering","London","SEO/HEO","650","620","39030","40070"
"In post","2021","Science and Engineering","London","Unknown","25","25","31770","33950"
"In post","2021","Science and Engineering","Outside London","AA/AO","1280","1230","21500","21570"
"In post","2021","Science and Engineering","Outside London","EO","1880","1825","25730","26350"
"In post","2021","Science and Engineering","Outside London","G6/G7","2645","2515","54710","53430"
"In post","2021","Science and Engineering","Outside London","SCS level","65","65","96010","94210"
"In post","2021","Science and Engineering","Outside London","SEO/HEO","5895","5645","36750","37320"
"In post","2021","Science and Engineering","Outside London","Unknown","700","690","40880","39990"
"In post","2021","Science and Engineering","Overseas","AA/AO","10","10","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","G6/G7","25","25","62010","57000"
"In post","2021","Science and Engineering","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","SEO/HEO","65","65","43820","42870"
"In post","2021","Science and Engineering","Overseas","Unknown","20","20","34960","32750"
"In post","2021","Science and Engineering","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","Unknown","70","65","27660","27370"
"In post","2021","Security","London","AA/AO","405","400","26590","24110"
"In post","2021","Security","London","EO","160","155","31700","29990"
"In post","2021","Security","London","G6/G7","180","180","61920","59640"
"In post","2021","Security","London","SCS level","20","20","81490","75250"
