"Status","Year","Disability","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","275","235","26580","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","225","210","27560","26930"
"In post","2021","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Yorkshire and The Humber","North Yorkshire","Female","280","255","33090","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","North Yorkshire","Male","180","170","31590","28020"
"In post","2021","Declared disabled","Yorkshire and The Humber","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Yorkshire and The Humber","South Yorkshire","Female","760","650","29430","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","South Yorkshire","Male","475","450","31090","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Yorkshire and The Humber","West Yorkshire","Female","1130","995","29490","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","West Yorkshire","Male","670","630","31530","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Female","4625","4135","30650","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Male","3420","3290","33230","28210"
"In post","2021","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","2510","2195","27170","25560"
"In post","2021","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","1730","1670","28870","27370"
"In post","2021","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East Midlands (England)","Lincolnshire","Female","1020","935","26570","25560"
"In post","2021","Declared non-disabled","East Midlands (England)","Lincolnshire","Male","955","925","29690","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","Female","1790","1625","31390","29290"
"In post","2021","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","Male","1335","1285","33660","30750"
"In post","2021","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East of England","East Anglia","Female","4500","4030","28700","27130"
"In post","2021","Declared non-disabled","East of England","East Anglia","Male","4030","3900","31270","28130"
"In post","2021","Declared non-disabled","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East of England","Essex","Female","2225","1985","29640","29290"
"In post","2021","Declared non-disabled","East of England","Essex","Male","1625","1545","32450","29290"
"In post","2021","Declared non-disabled","East of England","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Inner London - East","Female","6245","5830","40560","34100"
"In post","2021","Declared non-disabled","London","Inner London - East","Male","4760","4635","44830","38320"
"In post","2021","Declared non-disabled","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Inner London - West","Female","20790","19845","46750","41970"
"In post","2021","Declared non-disabled","London","Inner London - West","Male","18670","18455","49330","45200"
"In post","2021","Declared non-disabled","London","Inner London - West","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","London","Outer London - East and North East","Female","1575","1420","30110","31060"
"In post","2021","Declared non-disabled","London","Outer London - East and North East","Male","1040","1015","31980","31060"
"In post","2021","Declared non-disabled","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Outer London - South","Female","4415","4065","36360","31160"
"In post","2021","Declared non-disabled","London","Outer London - South","Male","3285","3225","39960","35200"
"In post","2021","Declared non-disabled","London","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Outer London - West and North West","Female","3570","3250","32030","31060"
"In post","2021","Declared non-disabled","London","Outer London - West and North West","Male","2925","2765","33350","31060"
"In post","2021","Declared non-disabled","London","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North East (England)","Northumberland and Tyne and Wear","Female","8465","7230","27860","25560"
"In post","2021","Declared non-disabled","North East (England)","Northumberland and Tyne and Wear","Male","5500","5285","30720","27570"
"In post","2021","Declared non-disabled","North East (England)","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North East (England)","Tees Valley and Durham","Female","3815","3330","27490","25790"
"In post","2021","Declared non-disabled","North East (England)","Tees Valley and Durham","Male","2540","2410","29200","27280"
"In post","2021","Declared non-disabled","North East (England)","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Cheshire","Female","1310","1190","29870","27570"
"In post","2021","Declared non-disabled","North West (England)","Cheshire","Male","935","905","32300","29180"
"In post","2021","Declared non-disabled","North West (England)","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Cumbria","Female","1015","870","26320","24920"
"In post","2021","Declared non-disabled","North West (England)","Cumbria","Male","670","655","29630","25490"
"In post","2021","Declared non-disabled","North West (England)","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Greater Manchester","Female","7325","6685","30640","27570"
"In post","2021","Declared non-disabled","North West (England)","Greater Manchester","Male","5785","5615","32530","27570"
"In post","2021","Declared non-disabled","North West (England)","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Lancashire","Female","5845","5125","28090","27570"
"In post","2021","Declared non-disabled","North West (England)","Lancashire","Male","3950","3780","29590","27570"
"In post","2021","Declared non-disabled","North West (England)","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Merseyside","Female","8185","7185","27890","25310"
"In post","2021","Declared non-disabled","North West (England)","Merseyside","Male","5255","5060","30090","26670"
"In post","2021","Declared non-disabled","North West (England)","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Northern Ireland","Female","1090","985","29000","25560"
"In post","2021","Declared non-disabled","Northern Ireland","Northern Ireland","Male","1230","1195","28350","25490"
"In post","2021","Declared non-disabled","Northern Ireland","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Overseas","Female","975","970","48630","47000"
"In post","2021","Declared non-disabled","Overseas","Overseas","Male","1595","1590","49920","48120"
"In post","2021","Declared non-disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Eastern Scotland","Female","5790","5285","34280","27570"
"In post","2021","Declared non-disabled","Scotland","Eastern Scotland","Male","4325","4215","36710","31810"
"In post","2021","Declared non-disabled","Scotland","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Highlands and Islands","Female","730","665","28070","27570"
"In post","2021","Declared non-disabled","Scotland","Highlands and Islands","Male","665","645","29840","27570"
"In post","2021","Declared non-disabled","Scotland","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","North Eastern Scotland","Female","525","480","33730","28170"
"In post","2021","Declared non-disabled","Scotland","North Eastern Scotland","Male","525","510","43490","35110"
"In post","2021","Declared non-disabled","Scotland","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Southern Scotland","Female","2040","1770","29500","27570"
"In post","2021","Declared non-disabled","Scotland","Southern Scotland","Male","1435","1370","31410","27570"
"In post","2021","Declared non-disabled","Scotland","Southern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","West Central Scotland","Female","6170","5485","29570","26570"
"In post","2021","Declared non-disabled","Scotland","West Central Scotland","Male","4755","4590","31700","27570"
"In post","2021","Declared non-disabled","Scotland","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","3285","3040","31270","28350"
"In post","2021","Declared non-disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","3100","3040","34440","31810"
"In post","2021","Declared non-disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Hampshire and Isle of Wight","Female","4965","4460","30620","27570"
"In post","2021","Declared non-disabled","South East (England)","Hampshire and Isle of Wight","Male","4810","4615","34690","31810"
"In post","2021","Declared non-disabled","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Kent","Female","2995","2710","28760","27370"
"In post","2021","Declared non-disabled","South East (England)","Kent","Male","2940","2825","30230","29200"
"In post","2021","Declared non-disabled","South East (England)","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Surrey, East and West Sussex","Female","3395","3005","29890","27570"
"In post","2021","Declared non-disabled","South East (England)","Surrey, East and West Sussex","Male","2445","2320","31690","28350"
"In post","2021","Declared non-disabled","South East (England)","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Cornwall and Isles of Scilly","Female","670","585","25830","26590"
"In post","2021","Declared non-disabled","South West (England)","Cornwall and Isles of Scilly","Male","510","490","27370","26670"
"In post","2021","Declared non-disabled","South West (England)","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Devon","Female","3215","2800","30120","27570"
"In post","2021","Declared non-disabled","South West (England)","Devon","Male","3385","3260","34290","31740"
"In post","2021","Declared non-disabled","South West (England)","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Dorset and Somerset","Female","1760","1555","28320","27570"
"In post","2021","Declared non-disabled","South West (England)","Dorset and Somerset","Male","1780","1730","30710","28220"
"In post","2021","Declared non-disabled","South West (England)","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","9625","8835","34010","30620"
"In post","2021","Declared non-disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","10725","10480","38830","36000"
"In post","2021","Declared non-disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Unknown","Female","580","530","32300","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","Male","435","420","33850","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","East Wales","Female","7455","6755","32450","27570"
"In post","2021","Declared non-disabled","Wales","East Wales","Male","6045","5865","35160","30130"
"In post","2021","Declared non-disabled","Wales","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","West Wales and The Valleys","Female","7140","6215","28040","26130"
"In post","2021","Declared non-disabled","Wales","West Wales and The Valleys","Male","4335","4180","31420","27570"
"In post","2021","Declared non-disabled","Wales","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","1565","1410","27240","25400"
"In post","2021","Declared non-disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","1300","1270","28700","26700"
"In post","2021","Declared non-disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Shropshire and Staffordshire","Female","3120","2805","28860","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","Shropshire and Staffordshire","Male","2505","2425","31350","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","West Midlands","Female","7450","6590","30050","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","West Midlands","Male","4880","4735","32500","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","1735","1505","26780","26750"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","1610","1545","29230","27150"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","North Yorkshire","Female","1745","1605","33610","29180"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","North Yorkshire","Male","1585","1550","34710","30440"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","South Yorkshire","Female","4255","3700","30370","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","South Yorkshire","Male","3015","2910","33200","27680"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","West Yorkshire","Female","6215","5510","30830","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","West Yorkshire","Male","4825","4655","32980","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Derbyshire and Nottinghamshire","Female","385","350","29560","27570"
"In post","2021","Undeclared","East Midlands (England)","Derbyshire and Nottinghamshire","Male","400","380","31570","31650"
"In post","2021","Undeclared","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","225","195","26050","25830"
"In post","2021","Undeclared","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","225","215","29810","31180"
"In post","2021","Undeclared","East Midlands (England)","Lincolnshire","Female","100","90","27070","23240"
"In post","2021","Undeclared","East Midlands (England)","Lincolnshire","Male","160","155","30220","29600"
"In post","2021","Undeclared","East of England","Bedfordshire and Hertfordshire","Female","120","110","30860","28900"
"In post","2021","Undeclared","East of England","Bedfordshire and Hertfordshire","Male","135","130","33810","31880"
"In post","2021","Undeclared","East of England","East Anglia","Female","455","415","29500","27380"
"In post","2021","Undeclared","East of England","East Anglia","Male","660","620","32060","31650"
"In post","2021","Undeclared","East of England","Essex","Female","185","170","29640","29050"
"In post","2021","Undeclared","East of England","Essex","Male","175","170","33600","31100"
"In post","2021","Undeclared","London","Inner London - East","Female","535","490","39370","33930"
"In post","2021","Undeclared","London","Inner London - East","Male","465","440","41260","35900"
"In post","2021","Undeclared","London","Inner London - West","Female","1690","1630","43780","39460"
"In post","2021","Undeclared","London","Inner London - West","Male","1975","1950","46700","42460"
"In post","2021","Undeclared","London","Outer London - East and North East","Female","150","135","29600","30340"
"In post","2021","Undeclared","London","Outer London - East and North East","Male","155","145","33140","33950"
"In post","2021","Undeclared","London","Outer London - South","Female","310","290","35900","31120"
"In post","2021","Undeclared","London","Outer London - South","Male","260","255","41010","36620"
"In post","2021","Undeclared","London","Outer London - West and North West","Female","255","230","32820","31060"
"In post","2021","Undeclared","London","Outer London - West and North West","Male","300","285","36410","31800"
"In post","2021","Undeclared","North East (England)","Northumberland and Tyne and Wear","Female","460","400","27360","25560"
"In post","2021","Undeclared","North East (England)","Northumberland and Tyne and Wear","Male","505","485","30540","27570"
"In post","2021","Undeclared","North East (England)","Tees Valley and Durham","Female","315","275","27850","27130"
"In post","2021","Undeclared","North East (England)","Tees Valley and Durham","Male","485","445","30700","31650"
"In post","2021","Undeclared","North West (England)","Cheshire","Female","125","115","28810","27570"
"In post","2021","Undeclared","North West (England)","Cheshire","Male","150","145","32310","31650"
"In post","2021","Undeclared","North West (England)","Cumbria","Female","50","45","26770","25420"
"In post","2021","Undeclared","North West (England)","Cumbria","Male","60","60","32060","29180"
"In post","2021","Undeclared","North West (England)","Greater Manchester","Female","585","530","29810","27570"
