"Status","Year","Disability","Ethnicity","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Anglia","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Anglia","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Anglia","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Wales","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Wales","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Eastern Scotland","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Eastern Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester","AA/AO","50","45","20740","20180"
"In post","2021","Declared disabled","Asian","Greater Manchester","EO","45","45","26450","27570"
"In post","2021","Declared disabled","Asian","Greater Manchester","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hampshire and Isle of Wight","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hampshire and Isle of Wight","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hampshire and Isle of Wight","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inner London - East","AA/AO","55","45","25060","25060"
"In post","2021","Declared disabled","Asian","Inner London - East","EO","100","90","30860","31060"
"In post","2021","Declared disabled","Asian","Inner London - East","G6/G7","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inner London - East","SEO/HEO","55","50","39180","38930"
"In post","2021","Declared disabled","Asian","Inner London - East","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inner London - West","AA/AO","50","45","24800","24310"
"In post","2021","Declared disabled","Asian","Inner London - West","EO","130","125","29670","29850"
"In post","2021","Declared disabled","Asian","Inner London - West","G6/G7","125","125","59140","57460"
"In post","2021","Declared disabled","Asian","Inner London - West","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inner London - West","SEO/HEO","215","210","37790","36650"
"In post","2021","Declared disabled","Asian","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kent","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lancashire","AA/AO","50","45","20710","21010"
"In post","2021","Declared disabled","Asian","Lancashire","EO","35","35","26890","27570"
"In post","2021","Declared disabled","Asian","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lancashire","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lancashire","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","AA/AO","70","60","20360","20120"
"In post","2021","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","EO","30","30","26860","27570"
"In post","2021","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merseyside","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland and Tyne and Wear","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland and Tyne and Wear","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - East and North East","AA/AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - East and North East","EO","60","55","30670","31060"
"In post","2021","Declared disabled","Asian","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - East and North East","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - South","AA/AO","45","40","25010","25630"
"In post","2021","Declared disabled","Asian","Outer London - South","EO","55","50","29910","29370"
"In post","2021","Declared disabled","Asian","Outer London - South","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - South","SEO/HEO","50","45","40690","41950"
"In post","2021","Declared disabled","Asian","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - West and North West","AA/AO","65","60","24800","25110"
"In post","2021","Declared disabled","Asian","Outer London - West and North West","EO","135","115","30140","31060"
"In post","2021","Declared disabled","Asian","Outer London - West and North West","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - West and North West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - West and North West","SEO/HEO","45","40","37960","37350"
"In post","2021","Declared disabled","Asian","Outer London - West and North West","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire and Staffordshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire and Staffordshire","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire and Staffordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire and Staffordshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Yorkshire","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Yorkshire","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Yorkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Surrey, East and West Sussex","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Surrey, East and West Sussex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Surrey, East and West Sussex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Surrey, East and West Sussex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tees Valley and Durham","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tees Valley and Durham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Central Scotland","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Central Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands","AA/AO","130","115","20610","20650"
"In post","2021","Declared disabled","Asian","West Midlands","EO","150","140","26960","27570"
"In post","2021","Declared disabled","Asian","West Midlands","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands","SEO/HEO","60","55","34010","32200"
"In post","2021","Declared disabled","Asian","West Midlands","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Wales and The Valleys","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Wales and The Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Yorkshire","AA/AO","45","40","21460","21010"
"In post","2021","Declared disabled","Asian","West Yorkshire","EO","60","55","26620","27570"
"In post","2021","Declared disabled","Asian","West Yorkshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Yorkshire","SEO/HEO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Yorkshire","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Bedfordshire and Hertfordshire","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
