"Status","Year","Disability","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","90","85","36540","37360"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South Yorkshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Southern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Southern Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Wales","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Greater Manchester","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Hampshire and Isle of Wight","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Hampshire and Isle of Wight","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - West","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - West","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - West","SEO/HEO","55","50","40120","39420"
"In post","2021","Declared disabled","Communications","Kent","EO","[c]","[c]","[c]","[c]"
