"Status","Year","Disability","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Legal","SEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","AA","45","35","20120","20070"
"In post","2021","Declared disabled","Asian","Operational Delivery","AO","365","320","22870","21440"
"In post","2021","Declared disabled","Asian","Operational Delivery","EO","220","200","27830","28650"
"In post","2021","Declared disabled","Asian","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","HEO","100","95","33510","33420"
"In post","2021","Declared disabled","Asian","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","SEO","45","45","42910","41970"
"In post","2021","Declared disabled","Asian","Operational Delivery","Unknown","90","85","30430","30210"
"In post","2021","Declared disabled","Asian","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","EO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","EO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","G7","35","35","55060","54110"
"In post","2021","Declared disabled","Asian","Policy","HEO","55","50","33720","33640"
"In post","2021","Declared disabled","Asian","Policy","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","HEO","45","45","34980","35580"
"In post","2021","Declared disabled","Asian","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","AO","295","250","21720","21010"
"In post","2021","Declared disabled","Asian","Unknown","EO","630","570","28990","27570"
"In post","2021","Declared disabled","Asian","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","HEO","80","75","35060","35120"
"In post","2021","Declared disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","SEO","35","35","40480","40230"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","G6","[c]","[c]","[c]","[c]"
