"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Department for International Trade","Communications","HEO","20","20","31410","32120"
"In post","2021","20-29","Department for International Trade","Communications","SEO","10","10","38100","38540"
"In post","2021","20-29","Department for International Trade","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Digital, Data and Technology","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Digital, Data and Technology","SEO","15","15","41540","38540"
"In post","2021","20-29","Department for International Trade","Economics","AO","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Economics","EO","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Economics","G7","30","30","49540","51970"
"In post","2021","20-29","Department for International Trade","Economics","HEO","55","55","30750","31800"
"In post","2021","20-29","Department for International Trade","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Finance","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Human Resources","EO","10","10","27120","26510"
"In post","2021","20-29","Department for International Trade","Human Resources","G6","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Human Resources","G7","10","10","51950","51970"
"In post","2021","20-29","Department for International Trade","Human Resources","HEO","20","20","30820","31800"
"In post","2021","20-29","Department for International Trade","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Human Resources","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","International Trade","EO","35","35","25560","26390"
"In post","2021","20-29","Department for International Trade","International Trade","G6","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","International Trade","G7","100","100","50880","51970"
"In post","2021","20-29","Department for International Trade","International Trade","HEO","165","160","32190","32120"
"In post","2021","20-29","Department for International Trade","International Trade","SEO","110","110","38030","38540"
"In post","2021","20-29","Department for International Trade","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Operational Delivery","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Other","EO","25","25","27330","26510"
"In post","2021","20-29","Department for International Trade","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Other","G7","15","15","51030","51970"
"In post","2021","20-29","Department for International Trade","Other","HEO","25","25","31940","32120"
"In post","2021","20-29","Department for International Trade","Other","SEO","10","10","36850","38160"
"In post","2021","20-29","Department for International Trade","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Policy","EO","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Policy","G7","25","25","51730","51970"
"In post","2021","20-29","Department for International Trade","Policy","HEO","45","45","32550","32120"
"In post","2021","20-29","Department for International Trade","Policy","SEO","25","25","38730","38540"
"In post","2021","20-29","Department for International Trade","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Project Delivery","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Security","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Social Research","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Statistics","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Statistics","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Statistics","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Commercial","EO","15","15","27080","29640"
"In post","2021","20-29","Department for Transport","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Commercial","HEO","20","20","33960","34710"
"In post","2021","20-29","Department for Transport","Commercial","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Communications","AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","Communications","EO","15","15","26260","26350"
"In post","2021","20-29","Department for Transport","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Communications","HEO","20","20","33830","34710"
"In post","2021","20-29","Department for Transport","Communications","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Digital, Data and Technology","AO","15","15","21590","21590"
"In post","2021","20-29","Department for Transport","Digital, Data and Technology","EO","75","75","27120","26350"
"In post","2021","20-29","Department for Transport","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Digital, Data and Technology","HEO","45","45","32890","31380"
"In post","2021","20-29","Department for Transport","Digital, Data and Technology","SEO","25","25","43340","42650"
"In post","2021","20-29","Department for Transport","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Economics","EO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Economics","G7","30","30","54580","54700"
"In post","2021","20-29","Department for Transport","Economics","HEO","60","60","31990","33990"
"In post","2021","20-29","Department for Transport","Economics","SEO","10","10","42600","42470"
"In post","2021","20-29","Department for Transport","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Finance","AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","Finance","EO","10","10","25510","26350"
"In post","2021","20-29","Department for Transport","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Finance","G7","10","10","53590","54650"
"In post","2021","20-29","Department for Transport","Finance","HEO","15","15","32760","32390"
"In post","2021","20-29","Department for Transport","Finance","SEO","10","10","41560","42470"
"In post","2021","20-29","Department for Transport","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Human Resources","EO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","Human Resources","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Human Resources","HEO","20","20","31940","31040"
"In post","2021","20-29","Department for Transport","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","International Trade","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Operational Delivery","AA","160","140","18050","18060"
"In post","2021","20-29","Department for Transport","Operational Delivery","AO","635","615","22460","21590"
"In post","2021","20-29","Department for Transport","Operational Delivery","EO","135","130","27690","26470"
"In post","2021","20-29","Department for Transport","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Operational Delivery","HEO","20","20","34150","34930"
"In post","2021","20-29","Department for Transport","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Operational Research","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Other","AO","10","10","23320","21590"
"In post","2021","20-29","Department for Transport","Other","EO","45","45","26980","30270"
"In post","2021","20-29","Department for Transport","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Other","HEO","15","15","33550","34710"
"In post","2021","20-29","Department for Transport","Other","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Policy","AO","10","10","21590","21590"
"In post","2021","20-29","Department for Transport","Policy","EO","45","45","28610","29970"
"In post","2021","20-29","Department for Transport","Policy","G6","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Policy","G7","60","60","53910","54110"
"In post","2021","20-29","Department for Transport","Policy","HEO","160","160","34070","34710"
"In post","2021","20-29","Department for Transport","Policy","SEO","70","70","41640","42470"
"In post","2021","20-29","Department for Transport","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Project Delivery","EO","20","20","26970","26470"
"In post","2021","20-29","Department for Transport","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Project Delivery","G7","15","15","54310","54650"
"In post","2021","20-29","Department for Transport","Project Delivery","HEO","50","50","34090","34710"
"In post","2021","20-29","Department for Transport","Project Delivery","SEO","20","20","42090","42470"
"In post","2021","20-29","Department for Transport","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Science and Engineering","EO","10","10","27460","27250"
"In post","2021","20-29","Department for Transport","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Science and Engineering","HEO","15","15","35250","34710"
"In post","2021","20-29","Department for Transport","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Security","EO","10","10","28020","28220"
"In post","2021","20-29","Department for Transport","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Security","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Security","HEO","15","15","34250","34710"
"In post","2021","20-29","Department for Transport","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Social Research","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Social Research","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Statistics","EO","15","15","29400","29970"
"In post","2021","20-29","Department for Transport","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Statistics","G7","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","Statistics","HEO","15","15","34800","35060"
"In post","2021","20-29","Department for Transport","Statistics","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Transport","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Unknown","EO","15","15","30130","30270"
"In post","2021","20-29","Department for Transport","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Unknown","G7","10","10","54720","54650"
"In post","2021","20-29","Department for Transport","Unknown","HEO","30","30","34880","35060"
"In post","2021","20-29","Department for Transport","Unknown","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Operational Delivery","AO","45","45","21220","20480"
"In post","2021","20-29","Department for Work and Pensions","Operational Delivery","EO","40","40","26670","26410"
"In post","2021","20-29","Department for Work and Pensions","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Operational Delivery","HEO","50","45","32320","31680"
"In post","2021","20-29","Department for Work and Pensions","Operational Delivery","SEO","25","25","42220","41480"
"In post","2021","20-29","Department for Work and Pensions","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Science and Engineering","AO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Science and Engineering","EO","55","55","26440","26370"
"In post","2021","20-29","Department for Work and Pensions","Science and Engineering","HEO","15","15","31560","31710"
"In post","2021","20-29","Department for Work and Pensions","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Unknown","AO","3600","3495","21440","21010"
"In post","2021","20-29","Department for Work and Pensions","Unknown","EO","5925","5845","28450","27570"
"In post","2021","20-29","Department for Work and Pensions","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Unknown","G7","85","85","54440","54070"
"In post","2021","20-29","Department for Work and Pensions","Unknown","HEO","515","510","33370","31990"
"In post","2021","20-29","Department for Work and Pensions","Unknown","SEO","170","170","38140","37710"
"In post","2021","20-29","Department of Health and Social Care","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Commercial","EO","10","10","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Commercial","G7","15","15","53350","53360"
"In post","2021","20-29","Department of Health and Social Care","Commercial","HEO","15","15","29470","28970"
"In post","2021","20-29","Department of Health and Social Care","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Commercial","SEO","20","20","40120","40650"
"In post","2021","20-29","Department of Health and Social Care","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Communications","EO","30","30","27160","27270"
"In post","2021","20-29","Department of Health and Social Care","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Communications","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Communications","HEO","30","25","33280","32790"
"In post","2021","20-29","Department of Health and Social Care","Communications","SEO","15","15","40880","40650"
"In post","2021","20-29","Department of Health and Social Care","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Digital, Data and Technology","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Digital, Data and Technology","HEO","35","35","32220","32790"
"In post","2021","20-29","Department of Health and Social Care","Digital, Data and Technology","SEO","10","10","39880","40550"
"In post","2021","20-29","Department of Health and Social Care","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Economics","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Economics","HEO","30","30","32810","32790"
"In post","2021","20-29","Department of Health and Social Care","Economics","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Finance","EO","30","30","25060","23440"
"In post","2021","20-29","Department of Health and Social Care","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Finance","G7","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Finance","HEO","60","60","31780","32790"
"In post","2021","20-29","Department of Health and Social Care","Finance","SEO","25","25","39840","40650"
"In post","2021","20-29","Department of Health and Social Care","Human Resources","AA","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Human Resources","AO","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Human Resources","EO","40","40","26660","27270"
"In post","2021","20-29","Department of Health and Social Care","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Human Resources","G7","10","10","52790","53360"
"In post","2021","20-29","Department of Health and Social Care","Human Resources","HEO","30","30","32090","32790"
"In post","2021","20-29","Department of Health and Social Care","Human Resources","SEO","15","15","39720","40260"
"In post","2021","20-29","Department of Health and Social Care","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Intelligence Analysis","G6","10","10","65080","66230"
"In post","2021","20-29","Department of Health and Social Care","Intelligence Analysis","G7","35","35","53350","53360"
"In post","2021","20-29","Department of Health and Social Care","Intelligence Analysis","HEO","20","20","32060","32790"
"In post","2021","20-29","Department of Health and Social Care","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Knowledge and Information Management","AO","10","10","21110","19630"
"In post","2021","20-29","Department of Health and Social Care","Knowledge and Information Management","EO","15","15","24440","23370"
"In post","2021","20-29","Department of Health and Social Care","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Knowledge and Information Management","HEO","20","20","30380","29330"
"In post","2021","20-29","Department of Health and Social Care","Knowledge and Information Management","SEO","10","10","37910","37480"
"In post","2021","20-29","Department of Health and Social Care","Medicine","EO","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Medicine","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Medicine","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Operational Delivery","AA","25","20","19800","18850"
"In post","2021","20-29","Department of Health and Social Care","Operational Delivery","AO","190","165","20480","19630"
"In post","2021","20-29","Department of Health and Social Care","Operational Delivery","EO","185","175","25440","26880"
"In post","2021","20-29","Department of Health and Social Care","Operational Delivery","G7","30","30","53040","53070"
"In post","2021","20-29","Department of Health and Social Care","Operational Delivery","HEO","185","175","31370","32330"
"In post","2021","20-29","Department of Health and Social Care","Operational Delivery","SEO","85","85","39140","40070"
"In post","2021","20-29","Department of Health and Social Care","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Other","EO","25","25","27580","27400"
"In post","2021","20-29","Department of Health and Social Care","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Other","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Other","SEO","10","10","40750","40850"
"In post","2021","20-29","Department of Health and Social Care","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Policy","EO","125","125","26570","27270"
"In post","2021","20-29","Department of Health and Social Care","Policy","G6","25","25","66410","66230"
"In post","2021","20-29","Department of Health and Social Care","Policy","G7","130","130","53100","53360"
"In post","2021","20-29","Department of Health and Social Care","Policy","HEO","300","300","31950","32790"
"In post","2021","20-29","Department of Health and Social Care","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Policy","SEO","90","90","39810","40650"
"In post","2021","20-29","Department of Health and Social Care","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Science and Engineering","AA","20","20","19320","18850"
"In post","2021","20-29","Department of Health and Social Care","Science and Engineering","AO","120","115","21780","21570"
"In post","2021","20-29","Department of Health and Social Care","Science and Engineering","EO","135","135","25120","24420"
"In post","2021","20-29","Department of Health and Social Care","Science and Engineering","G7","10","10","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Science and Engineering","HEO","135","130","31030","31190"
"In post","2021","20-29","Department of Health and Social Care","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Science and Engineering","SEO","75","75","39200","40070"
"In post","2021","20-29","Department of Health and Social Care","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Statistics","G7","10","10","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Unknown","AO","10","10","23510","23550"
"In post","2021","20-29","Department of Health and Social Care","Unknown","EO","40","40","27180","27140"
"In post","2021","20-29","Department of Health and Social Care","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Unknown","G7","20","20","53680","53360"
"In post","2021","20-29","Department of Health and Social Care","Unknown","HEO","15","15","32540","32640"
"In post","2021","20-29","Department of Health and Social Care","Unknown","SEO","15","15","39170","40450"
"In post","2021","20-29","ESTYN","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Counter Fraud","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Economics","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Operational Delivery","EO","15","15","25490","26750"
"In post","2021","20-29","Food Standards Agency","Operational Delivery","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Policy","HEO","15","15","31410","30810"
"In post","2021","20-29","Food Standards Agency","Policy","SEO","10","10","39070","39130"
"In post","2021","20-29","Food Standards Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Science and Engineering","HEO","10","10","32550","32830"
"In post","2021","20-29","Food Standards Agency","Science and Engineering","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Unknown","HEO","[c]","[c]","[c]","[c]"
