"Status","Year","Age","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","HM Treasury","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","HM Treasury","Outside London","EO","10","10","[c]","[c]"
"In post","2021","20-29","HM Treasury","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HM Treasury","Outside London","SEO/HEO","10","10","32880","30730"
"In post","2021","20-29","Home Office","London","AA/AO","230","225","24810","25630"
"In post","2021","20-29","Home Office","London","EO","620","615","29050","28670"
"In post","2021","20-29","Home Office","London","G6/G7","210","210","58600","57460"
"In post","2021","20-29","Home Office","London","SEO/HEO","865","860","37930","35200"
"In post","2021","20-29","Home Office","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Home Office","Outside London","AA/AO","1530","1435","21320","21430"
"In post","2021","20-29","Home Office","Outside London","EO","1515","1490","25070","24890"
"In post","2021","20-29","Home Office","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Home Office","Outside London","SEO/HEO","275","275","32290","30830"
"In post","2021","20-29","Home Office","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Home Office","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Home Office","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Home Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","London","AA/AO","95","95","25080","25390"
"In post","2021","20-29","Ministry of Defence","London","EO","160","160","29290","29250"
"In post","2021","20-29","Ministry of Defence","London","G6/G7","40","40","59980","59730"
"In post","2021","20-29","Ministry of Defence","London","SEO/HEO","430","430","40560","38600"
"In post","2021","20-29","Ministry of Defence","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Outside London","AA/AO","1605","1585","22400","20920"
"In post","2021","20-29","Ministry of Defence","Outside London","EO","1870","1850","24290","25750"
"In post","2021","20-29","Ministry of Defence","Outside London","G6/G7","50","50","49790","47600"
"In post","2021","20-29","Ministry of Defence","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Outside London","SEO/HEO","2490","2475","32370","32320"
"In post","2021","20-29","Ministry of Defence","Outside London","Unknown","405","400","28960","27540"
"In post","2021","20-29","Ministry of Defence","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Overseas","EO","15","15","27420","26670"
"In post","2021","20-29","Ministry of Defence","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Overseas","SEO/HEO","30","30","39060","38690"
"In post","2021","20-29","Ministry of Defence","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","Unknown","Unknown","375","375","28960","28980"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","London","AA/AO","15","15","26980","26870"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","London","EO","105","105","27980","27850"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","London","G6/G7","130","130","54520","53130"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","London","SEO/HEO","310","305","35500","33210"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","Outside London","AA/AO","50","50","20960","21270"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","Outside London","EO","30","30","25600","25720"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","Outside London","G6/G7","15","15","48540","48200"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","Outside London","SEO/HEO","65","65","31970","30190"
"In post","2021","20-29","Ministry of Justice","London","AA/AO","1290","1285","26920","24440"
"In post","2021","20-29","Ministry of Justice","London","EO","395","395","28120","26410"
"In post","2021","20-29","Ministry of Justice","London","G6/G7","120","120","56040","55490"
"In post","2021","20-29","Ministry of Justice","London","SEO/HEO","745","745","34850","33920"
"In post","2021","20-29","Ministry of Justice","London","Unknown","335","335","28610","26810"
"In post","2021","20-29","Ministry of Justice","Outside London","AA/AO","7805","7690","23940","23970"
"In post","2021","20-29","Ministry of Justice","Outside London","EO","985","975","26070","25830"
"In post","2021","20-29","Ministry of Justice","Outside London","G6/G7","20","20","50460","49050"
"In post","2021","20-29","Ministry of Justice","Outside London","SEO/HEO","550","550","30490","29750"
"In post","2021","20-29","Ministry of Justice","Outside London","Unknown","1785","1740","24660","22920"
"In post","2021","20-29","Ministry of Justice","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Ministry of Justice","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","National Crime Agency","London","AA/AO","30","30","24220","24220"
"In post","2021","20-29","National Crime Agency","London","EO","230","230","33700","32260"
"In post","2021","20-29","National Crime Agency","London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","National Crime Agency","London","SEO/HEO","65","65","42010","40170"
"In post","2021","20-29","National Crime Agency","Outside London","AA/AO","75","75","21600","20800"
"In post","2021","20-29","National Crime Agency","Outside London","EO","475","475","30520","30640"
"In post","2021","20-29","National Crime Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","National Crime Agency","Outside London","SEO/HEO","50","50","39460","38540"
"In post","2021","20-29","National Crime Agency","Overseas","EO","[c]","[c]","[c]","[c]"
