"Status","Year","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cheshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G7","Heterosexual / straight","120","120","53480","52830"
"In post","2021","Cheshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Cheshire","G7","Unknown","20","20","[c]","[c]"
"In post","2021","Cheshire","HEO","Heterosexual / straight","405","390","36840","36740"
"In post","2021","Cheshire","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Cheshire","HEO","Undeclared","50","50","36010","36740"
"In post","2021","Cheshire","HEO","Unknown","75","75","36680","36740"
"In post","2021","Cheshire","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cheshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO","Heterosexual / straight","215","210","44530","45480"
"In post","2021","Cheshire","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Cheshire","SEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Cheshire","SEO","Unknown","40","35","44290","44470"
"In post","2021","Cheshire","Unknown","Heterosexual / straight","160","150","29590","29530"
"In post","2021","Cheshire","Unknown","LGBO","15","15","[c]","[c]"
"In post","2021","Cheshire","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA","Heterosexual / straight","85","80","18960","19560"
"In post","2021","Cornwall and Isles of Scilly","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA","Undeclared","15","15","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA","Unknown","10","10","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AO","Heterosexual / straight","385","350","21240","21010"
"In post","2021","Cornwall and Isles of Scilly","AO","LGBO","20","20","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AO","Undeclared","50","45","21710","21010"
"In post","2021","Cornwall and Isles of Scilly","AO","Unknown","140","120","20980","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","Heterosexual / straight","415","380","27250","27570"
"In post","2021","Cornwall and Isles of Scilly","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Undeclared","60","55","27260","27570"
"In post","2021","Cornwall and Isles of Scilly","EO","Unknown","125","115","27060","27570"
"In post","2021","Cornwall and Isles of Scilly","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G7","Heterosexual / straight","30","30","55040","53070"
"In post","2021","Cornwall and Isles of Scilly","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G7","Unknown","10","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","HEO","Heterosexual / straight","105","100","33270","33300"
"In post","2021","Cornwall and Isles of Scilly","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","HEO","Unknown","25","20","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO","Heterosexual / straight","50","50","40570","40320"
"In post","2021","Cornwall and Isles of Scilly","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","45","35","29140","28200"
"In post","2021","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA","Heterosexual / straight","55","55","19590","19560"
"In post","2021","Cumbria","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA","Undeclared","10","10","[c]","[c]"
"In post","2021","Cumbria","AA","Unknown","20","15","[c]","[c]"
"In post","2021","Cumbria","AO","Heterosexual / straight","415","365","22520","21050"
"In post","2021","Cumbria","AO","LGBO","30","30","23270","21050"
"In post","2021","Cumbria","AO","Undeclared","50","45","21970","21050"
"In post","2021","Cumbria","AO","Unknown","340","300","21680","21050"
"In post","2021","Cumbria","EO","Heterosexual / straight","360","330","25860","26250"
"In post","2021","Cumbria","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Cumbria","EO","Undeclared","45","40","26490","26520"
"In post","2021","Cumbria","EO","Unknown","155","140","26700","26340"
"In post","2021","Cumbria","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cumbria","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G7","Heterosexual / straight","40","40","52810","51100"
"In post","2021","Cumbria","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Cumbria","G7","Unknown","15","15","[c]","[c]"
"In post","2021","Cumbria","HEO","Heterosexual / straight","140","125","31360","30700"
"In post","2021","Cumbria","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Cumbria","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Cumbria","HEO","Unknown","30","30","31280","30230"
"In post","2021","Cumbria","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO","Heterosexual / straight","85","80","39730","37400"
"In post","2021","Cumbria","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Cumbria","SEO","Unknown","25","25","[c]","[c]"
"In post","2021","Cumbria","Unknown","Heterosexual / straight","190","180","37090","33740"
"In post","2021","Cumbria","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Cumbria","Unknown","Undeclared","30","30","40440","39860"
"In post","2021","Cumbria","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","AA","Heterosexual / straight","250","230","19670","20600"
"In post","2021","Derbyshire and Nottinghamshire","AA","LGBO","15","15","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","AA","Undeclared","35","30","19100","19430"
"In post","2021","Derbyshire and Nottinghamshire","AA","Unknown","80","70","20320","20600"
"In post","2021","Derbyshire and Nottinghamshire","AO","Heterosexual / straight","2025","1840","22410","21010"
"In post","2021","Derbyshire and Nottinghamshire","AO","LGBO","140","135","23130","21240"
"In post","2021","Derbyshire and Nottinghamshire","AO","Undeclared","270","235","22230","21010"
"In post","2021","Derbyshire and Nottinghamshire","AO","Unknown","980","885","22180","21010"
"In post","2021","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","2195","2020","26710","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","LGBO","150","145","26560","27130"
"In post","2021","Derbyshire and Nottinghamshire","EO","Undeclared","335","300","27010","27130"
"In post","2021","Derbyshire and Nottinghamshire","EO","Unknown","870","800","26740","27130"
"In post","2021","Derbyshire and Nottinghamshire","G6","Heterosexual / straight","170","165","67610","64670"
"In post","2021","Derbyshire and Nottinghamshire","G6","LGBO","10","10","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","G6","Undeclared","20","20","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","G6","Unknown","40","40","67710","64770"
"In post","2021","Derbyshire and Nottinghamshire","G7","Heterosexual / straight","635","610","54560","52580"
"In post","2021","Derbyshire and Nottinghamshire","G7","LGBO","35","35","55510","52580"
"In post","2021","Derbyshire and Nottinghamshire","G7","Undeclared","85","80","54540","52580"
"In post","2021","Derbyshire and Nottinghamshire","G7","Unknown","145","140","53780","52580"
"In post","2021","Derbyshire and Nottinghamshire","HEO","Heterosexual / straight","1295","1225","32190","31810"
"In post","2021","Derbyshire and Nottinghamshire","HEO","LGBO","65","65","31990","31810"
"In post","2021","Derbyshire and Nottinghamshire","HEO","Undeclared","195","185","32620","31940"
"In post","2021","Derbyshire and Nottinghamshire","HEO","Unknown","460","440","32130","31810"
"In post","2021","Derbyshire and Nottinghamshire","SCS level","Heterosexual / straight","65","60","89330","83370"
"In post","2021","Derbyshire and Nottinghamshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SEO","Heterosexual / straight","855","805","40980","39390"
"In post","2021","Derbyshire and Nottinghamshire","SEO","LGBO","40","40","40440","38630"
"In post","2021","Derbyshire and Nottinghamshire","SEO","Undeclared","135","130","42110","40030"
"In post","2021","Derbyshire and Nottinghamshire","SEO","Unknown","185","175","40240","38650"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","390","355","30040","30210"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Undeclared","50","45","31620","31420"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Unknown","45","40","27650","27260"
"In post","2021","Devon","AA","Heterosexual / straight","330","305","19460","19560"
"In post","2021","Devon","AA","LGBO","20","15","[c]","[c]"
"In post","2021","Devon","AA","Undeclared","40","35","19370","19560"
"In post","2021","Devon","AA","Unknown","155","140","19560","19560"
"In post","2021","Devon","AO","Heterosexual / straight","1580","1400","22800","21050"
"In post","2021","Devon","AO","LGBO","105","100","23460","21050"
"In post","2021","Devon","AO","Undeclared","215","190","24310","21070"
"In post","2021","Devon","AO","Unknown","655","570","22810","21050"
"In post","2021","Devon","EO","Heterosexual / straight","1425","1305","26970","27570"
"In post","2021","Devon","EO","LGBO","80","80","27250","27570"
"In post","2021","Devon","EO","Undeclared","210","185","27680","27570"
"In post","2021","Devon","EO","Unknown","630","570","26890","27130"
"In post","2021","Devon","G6","Heterosexual / straight","45","45","68490","64220"
"In post","2021","Devon","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Devon","G6","Unknown","160","150","62210","60640"
"In post","2021","Devon","G7","Heterosexual / straight","190","180","56780","55220"
"In post","2021","Devon","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","G7","Undeclared","25","20","[c]","[c]"
"In post","2021","Devon","G7","Unknown","410","390","49200","48080"
"In post","2021","Devon","HEO","Heterosexual / straight","610","565","34260","33300"
"In post","2021","Devon","HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Devon","HEO","Undeclared","105","95","35680","34060"
"In post","2021","Devon","HEO","Unknown","525","505","33560","33050"
"In post","2021","Devon","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Devon","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Devon","SEO","Heterosexual / straight","435","415","42650","42170"
"In post","2021","Devon","SEO","LGBO","20","20","[c]","[c]"
"In post","2021","Devon","SEO","Undeclared","65","65","43590","43160"
"In post","2021","Devon","SEO","Unknown","620","585","40690","39750"
"In post","2021","Devon","Unknown","Heterosexual / straight","260","245","34280","32100"
"In post","2021","Devon","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Devon","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","Devon","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Dorset and Somerset","AA","Heterosexual / straight","275","260","19400","19560"
"In post","2021","Dorset and Somerset","AA","LGBO","5","5","[c]","[c]"
"In post","2021","Dorset and Somerset","AA","Undeclared","35","35","19800","19560"
"In post","2021","Dorset and Somerset","AA","Unknown","50","45","20110","20600"
"In post","2021","Dorset and Somerset","AO","Heterosexual / straight","920","855","23100","21130"
"In post","2021","Dorset and Somerset","AO","LGBO","60","60","24090","22430"
"In post","2021","Dorset and Somerset","AO","Undeclared","120","110","23150","21130"
"In post","2021","Dorset and Somerset","AO","Unknown","250","230","23410","22350"
"In post","2021","Dorset and Somerset","EO","Heterosexual / straight","1095","1010","27340","27570"
"In post","2021","Dorset and Somerset","EO","LGBO","50","45","27430","27570"
"In post","2021","Dorset and Somerset","EO","Undeclared","170","155","27520","27570"
"In post","2021","Dorset and Somerset","EO","Unknown","305","260","27320","27570"
"In post","2021","Dorset and Somerset","G6","Heterosexual / straight","30","30","69480","67250"
"In post","2021","Dorset and Somerset","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Dorset and Somerset","G7","Heterosexual / straight","105","100","56070","53720"
"In post","2021","Dorset and Somerset","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","G7","Undeclared","15","10","[c]","[c]"
"In post","2021","Dorset and Somerset","G7","Unknown","35","35","57740","54670"
"In post","2021","Dorset and Somerset","HEO","Heterosexual / straight","625","590","33320","33290"
"In post","2021","Dorset and Somerset","HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Dorset and Somerset","HEO","Undeclared","130","125","33740","33300"
"In post","2021","Dorset and Somerset","HEO","Unknown","140","130","33110","33290"
"In post","2021","Dorset and Somerset","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Dorset and Somerset","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SEO","Heterosexual / straight","360","350","42380","42510"
"In post","2021","Dorset and Somerset","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Dorset and Somerset","SEO","Undeclared","65","60","42550","42510"
"In post","2021","Dorset and Somerset","SEO","Unknown","75","70","42060","42510"
"In post","2021","Dorset and Somerset","Unknown","Heterosexual / straight","175","155","28460","28200"
"In post","2021","Dorset and Somerset","Unknown","LGBO","15","15","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","East Anglia","AA","Heterosexual / straight","650","605","19720","19560"
"In post","2021","East Anglia","AA","LGBO","35","35","19630","19560"
"In post","2021","East Anglia","AA","Undeclared","70","70","19960","19560"
"In post","2021","East Anglia","AA","Unknown","180","165","20010","20600"
"In post","2021","East Anglia","AO","Heterosexual / straight","2770","2545","24080","21580"
"In post","2021","East Anglia","AO","LGBO","140","130","24470","22850"
"In post","2021","East Anglia","AO","Undeclared","350","320","23900","21440"
"In post","2021","East Anglia","AO","Unknown","760","680","24700","22350"
"In post","2021","East Anglia","EO","Heterosexual / straight","2245","2085","27480","27570"
"In post","2021","East Anglia","EO","LGBO","110","110","26790","27570"
"In post","2021","East Anglia","EO","Undeclared","330","305","27740","27570"
"In post","2021","East Anglia","EO","Unknown","600","545","27670","27570"
"In post","2021","East Anglia","G6","Heterosexual / straight","115","110","69540","65410"
"In post","2021","East Anglia","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","G6","Undeclared","15","15","[c]","[c]"
"In post","2021","East Anglia","G6","Unknown","30","30","66590","64590"
"In post","2021","East Anglia","G7","Heterosexual / straight","385","370","56280","53900"
"In post","2021","East Anglia","G7","LGBO","10","10","[c]","[c]"
"In post","2021","East Anglia","G7","Undeclared","45","45","56370","54540"
"In post","2021","East Anglia","G7","Unknown","125","115","52840","51610"
"In post","2021","East Anglia","HEO","Heterosexual / straight","1320","1260","32890","33180"
"In post","2021","East Anglia","HEO","LGBO","45","40","31930","31810"
"In post","2021","East Anglia","HEO","Undeclared","220","210","33030","33300"
"In post","2021","East Anglia","HEO","Unknown","285","275","31940","31810"
"In post","2021","East Anglia","SCS level","Heterosexual / straight","40","40","100270","102500"
"In post","2021","East Anglia","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","East Anglia","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","East Anglia","SEO","Heterosexual / straight","730","695","42470","40580"
"In post","2021","East Anglia","SEO","LGBO","30","30","40210","39600"
"In post","2021","East Anglia","SEO","Undeclared","135","125","42120","40580"
"In post","2021","East Anglia","SEO","Unknown","170","160","39890","38170"
"In post","2021","East Anglia","Unknown","Heterosexual / straight","390","360","29550","30210"
"In post","2021","East Anglia","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","East Anglia","Unknown","Undeclared","50","45","31140","32690"
"In post","2021","East Anglia","Unknown","Unknown","30","25","26230","24020"
"In post","2021","East Wales","AA","Heterosexual / straight","295","280","19290","19560"
"In post","2021","East Wales","AA","LGBO","25","20","[c]","[c]"
"In post","2021","East Wales","AA","Undeclared","45","40","19340","19560"
"In post","2021","East Wales","AA","Unknown","85","75","19600","20070"
"In post","2021","East Wales","AO","Heterosexual / straight","3125","2840","21810","21050"
"In post","2021","East Wales","AO","LGBO","200","195","21380","20890"
"In post","2021","East Wales","AO","Undeclared","405","365","21780","21140"
"In post","2021","East Wales","AO","Unknown","1555","1370","21140","20180"
"In post","2021","East Wales","EO","Heterosexual / straight","3440","3210","26820","27460"
"In post","2021","East Wales","EO","LGBO","255","250","26430","26860"
"In post","2021","East Wales","EO","Undeclared","560","515","27780","27570"
"In post","2021","East Wales","EO","Unknown","1250","1170","26000","25560"
"In post","2021","East Wales","G6","Heterosexual / straight","375","360","68160","66970"
"In post","2021","East Wales","G6","LGBO","15","15","[c]","[c]"
"In post","2021","East Wales","G6","Undeclared","45","40","68240","66240"
"In post","2021","East Wales","G6","Unknown","55","55","65890","65450"
"In post","2021","East Wales","G7","Heterosexual / straight","1355","1300","54960","54040"
"In post","2021","East Wales","G7","LGBO","65","65","54420","54090"
"In post","2021","East Wales","G7","Undeclared","155","150","57350","59720"
"In post","2021","East Wales","G7","Unknown","345","325","54780","54900"
"In post","2021","East Wales","HEO","Heterosexual / straight","2385","2260","33000","31810"
"In post","2021","East Wales","HEO","LGBO","165","160","31770","31810"
"In post","2021","East Wales","HEO","Undeclared","305","295","34160","33170"
"In post","2021","East Wales","HEO","Unknown","690","660","31460","31810"
"In post","2021","East Wales","SCS level","Heterosexual / straight","190","185","87180","79500"
"In post","2021","East Wales","SCS level","LGBO","15","15","[c]","[c]"
