"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Counter Fraud","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","AO","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","EO","150","150","27920","27130"
"In post","2021","Asian","Digital, Data and Technology","G6","35","35","70980","69100"
"In post","2021","Asian","Digital, Data and Technology","G7","190","190","58540","57800"
"In post","2021","Asian","Digital, Data and Technology","HEO","205","200","33770","33510"
"In post","2021","Asian","Digital, Data and Technology","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","SEO","245","240","42180","41970"
"In post","2021","Asian","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","AO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","EO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","G6","20","20","[c]","[c]"
"In post","2021","Asian","Economics","G7","60","55","56390","57620"
"In post","2021","Asian","Economics","HEO","65","65","33090","32970"
"In post","2021","Asian","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","AO","60","50","22250","21160"
"In post","2021","Asian","Finance","EO","140","135","27250","26670"
"In post","2021","Asian","Finance","G6","35","35","69260","68720"
"In post","2021","Asian","Finance","G7","115","115","56560","56750"
"In post","2021","Asian","Finance","HEO","210","205","34130","33950"
"In post","2021","Asian","Finance","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Finance","SEO","170","165","42300","41620"
"In post","2021","Asian","Finance","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","AO","50","45","22660","21490"
"In post","2021","Asian","Human Resources","EO","85","80","27920","27670"
"In post","2021","Asian","Human Resources","G6","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","G7","50","50","56980","56270"
"In post","2021","Asian","Human Resources","HEO","130","125","33780","34000"
"In post","2021","Asian","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","SEO","70","70","41870","41950"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","G7","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","AO","20","20","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","EO","105","100","28530","28990"
"In post","2021","Asian","Intelligence Analysis","G6","5","5","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","G7","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","HEO","35","35","34780","35200"
"In post","2021","Asian","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","G7","15","15","[c]","[c]"
"In post","2021","Asian","Internal Audit","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO","25","25","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","EO","15","15","[c]","[c]"
"In post","2021","Asian","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","G7","25","25","[c]","[c]"
"In post","2021","Asian","International Trade","HEO","30","30","[c]","[c]"
"In post","2021","Asian","International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","International Trade","SEO","25","25","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","AO","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","EO","30","30","27040","27230"
"In post","2021","Asian","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","G7","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","HEO","35","35","33480","33250"
"In post","2021","Asian","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AO","15","15","[c]","[c]"
"In post","2021","Asian","Legal","EO","130","130","28150","29570"
"In post","2021","Asian","Legal","G6","80","75","68690","66120"
"In post","2021","Asian","Legal","G7","385","355","55170","52040"
"In post","2021","Asian","Legal","HEO","135","135","35470","36160"
"In post","2021","Asian","Legal","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Legal","SEO","120","110","41660","41440"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","AO","30","30","22940","22640"
"In post","2021","Asian","Medicine","EO","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","G6","20","20","[c]","[c]"
"In post","2021","Asian","Medicine","G7","35","30","69650","70320"
"In post","2021","Asian","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","SCS level","75","70","106250","101490"
"In post","2021","Asian","Medicine","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","AA","415","365","20870","20600"
"In post","2021","Asian","Operational Delivery","AO","4040","3585","22650","21430"
"In post","2021","Asian","Operational Delivery","EO","3035","2820","27550","27790"
"In post","2021","Asian","Operational Delivery","G6","35","35","69020","67260"
"In post","2021","Asian","Operational Delivery","G7","225","220","55730","54290"
"In post","2021","Asian","Operational Delivery","HEO","1240","1170","33730","33100"
"In post","2021","Asian","Operational Delivery","SCS level","20","20","[c]","[c]"
"In post","2021","Asian","Operational Delivery","SEO","535","520","43420","41870"
"In post","2021","Asian","Operational Delivery","Unknown","520","480","29170","28200"
"In post","2021","Asian","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","G7","10","10","[c]","[c]"
"In post","2021","Asian","Operational Research","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","AA","55","55","20550","19560"
"In post","2021","Asian","Other","AO","170","160","23130","22050"
"In post","2021","Asian","Other","EO","265","255","26620","27400"
"In post","2021","Asian","Other","G6","25","25","[c]","[c]"
"In post","2021","Asian","Other","G7","65","65","56620","57180"
"In post","2021","Asian","Other","HEO","150","150","33620","34100"
"In post","2021","Asian","Other","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Other","SEO","105","100","41910","41970"
"In post","2021","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","AA","15","15","[c]","[c]"
"In post","2021","Asian","Policy","AO","60","55","24890","24370"
"In post","2021","Asian","Policy","EO","285","275","28770","28670"
"In post","2021","Asian","Policy","G6","130","130","67010","65650"
"In post","2021","Asian","Policy","G7","435","430","55060","54090"
"In post","2021","Asian","Policy","HEO","575","565","34320","33900"
"In post","2021","Asian","Policy","SCS level","70","65","81410","76350"
"In post","2021","Asian","Policy","SEO","345","340","41310","40880"
"In post","2021","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","AO","15","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","EO","130","130","27320","27170"
"In post","2021","Asian","Project Delivery","G6","40","40","69500","68940"
"In post","2021","Asian","Project Delivery","G7","145","145","54880","54760"
"In post","2021","Asian","Project Delivery","HEO","250","240","33840","34010"
"In post","2021","Asian","Project Delivery","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","SEO","220","220","41140","41760"
"In post","2021","Asian","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","AO","15","15","[c]","[c]"
"In post","2021","Asian","Property","EO","95","90","28150","28330"
"In post","2021","Asian","Property","G6","15","15","[c]","[c]"
"In post","2021","Asian","Property","G7","25","25","[c]","[c]"
"In post","2021","Asian","Property","HEO","50","50","35260","35950"
"In post","2021","Asian","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SEO","40","40","43200","43000"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","EO","5","5","[c]","[c]"
"In post","2021","Asian","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","HEO","15","15","[c]","[c]"
"In post","2021","Asian","Psychology","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","AA","10","10","[c]","[c]"
"In post","2021","Asian","Science and Engineering","AO","55","55","23200","23530"
"In post","2021","Asian","Science and Engineering","EO","95","90","26300","27200"
"In post","2021","Asian","Science and Engineering","G6","15","15","[c]","[c]"
"In post","2021","Asian","Science and Engineering","G7","60","60","54060","53620"
"In post","2021","Asian","Science and Engineering","HEO","160","155","33070","32900"
"In post","2021","Asian","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","SEO","150","145","40900","40740"
"In post","2021","Asian","Science and Engineering","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Security","AA","95","90","20750","20060"
"In post","2021","Asian","Security","AO","60","60","29390","25630"
"In post","2021","Asian","Security","EO","45","45","28800","28950"
"In post","2021","Asian","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","G7","10","10","[c]","[c]"
"In post","2021","Asian","Security","HEO","30","30","35430","35130"
"In post","2021","Asian","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SEO","30","30","44740","44480"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","G7","10","10","[c]","[c]"
"In post","2021","Asian","Social Research","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","EO","15","15","[c]","[c]"
"In post","2021","Asian","Statistics","G6","5","5","[c]","[c]"
"In post","2021","Asian","Statistics","G7","35","35","55590","56150"
"In post","2021","Asian","Statistics","HEO","45","45","34960","33910"
"In post","2021","Asian","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","SEO","35","35","40710","40480"
"In post","2021","Asian","Tax","AO","275","250","20390","20140"
"In post","2021","Asian","Tax","EO","335","315","27540","25560"
"In post","2021","Asian","Tax","G6","15","15","[c]","[c]"
"In post","2021","Asian","Tax","G7","135","130","54700","52580"
"In post","2021","Asian","Tax","HEO","510","490","33990","31810"
"In post","2021","Asian","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","SEO","115","115","39950","38630"
"In post","2021","Asian","Unknown","AA","55","45","20410","20230"
"In post","2021","Asian","Unknown","AO","2390","2025","21740","21010"
"In post","2021","Asian","Unknown","EO","4705","4360","28940","27570"
"In post","2021","Asian","Unknown","G6","75","75","68580","66610"
"In post","2021","Asian","Unknown","G7","270","265","55520","54700"
"In post","2021","Asian","Unknown","HEO","615","600","34660","34550"
"In post","2021","Asian","Unknown","SCS level","55","55","91910","90000"
"In post","2021","Asian","Unknown","SEO","270","265","40290","40450"
"In post","2021","Asian","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AO","15","15","[c]","[c]"
"In post","2021","Black","Commercial","EO","35","35","27670","27260"
"In post","2021","Black","Commercial","G6","5","5","[c]","[c]"
"In post","2021","Black","Commercial","G7","15","15","[c]","[c]"
"In post","2021","Black","Commercial","HEO","40","40","32620","33000"
"In post","2021","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SEO","60","60","43280","42630"
"In post","2021","Black","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","AO","5","5","[c]","[c]"
"In post","2021","Black","Communications","EO","25","25","[c]","[c]"
"In post","2021","Black","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","G7","15","15","[c]","[c]"
"In post","2021","Black","Communications","HEO","45","45","35810","35440"
"In post","2021","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SEO","20","20","[c]","[c]"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","EO","10","10","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","HEO","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","AO","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","EO","70","70","28380","28440"
"In post","2021","Black","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","G7","85","85","57350","57440"
"In post","2021","Black","Digital, Data and Technology","HEO","125","125","34190","33750"
"In post","2021","Black","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","SEO","110","105","42480","41970"
"In post","2021","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","EO","10","10","[c]","[c]"
"In post","2021","Black","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","G7","10","10","[c]","[c]"
"In post","2021","Black","Economics","HEO","30","30","33830","33120"
"In post","2021","Black","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","AO","20","20","[c]","[c]"
"In post","2021","Black","Finance","EO","65","65","28410","28830"
"In post","2021","Black","Finance","G6","10","10","[c]","[c]"
"In post","2021","Black","Finance","G7","65","65","56440","56530"
"In post","2021","Black","Finance","HEO","105","105","34520","33930"
"In post","2021","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","SEO","95","90","43120","42800"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","AO","20","20","[c]","[c]"
"In post","2021","Black","Human Resources","EO","65","65","28860","28830"
"In post","2021","Black","Human Resources","G6","5","5","[c]","[c]"
"In post","2021","Black","Human Resources","G7","40","40","55740","56000"
"In post","2021","Black","Human Resources","HEO","85","85","33850","34010"
"In post","2021","Black","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","SEO","60","60","42850","41970"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","G7","5","5","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SEO","20","20","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","AO","10","10","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","EO","35","30","29740","29220"
"In post","2021","Black","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","G7","5","5","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","HEO","10","10","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","AO","5","5","[c]","[c]"
"In post","2021","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","G7","5","5","[c]","[c]"
"In post","2021","Black","Internal Audit","HEO","10","10","[c]","[c]"
"In post","2021","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","SEO","10","10","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","EO","10","10","[c]","[c]"
"In post","2021","Black","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","G7","15","15","[c]","[c]"
"In post","2021","Black","International Trade","HEO","15","15","[c]","[c]"
"In post","2021","Black","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","SEO","10","10","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","AO","15","15","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","EO","15","15","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","G7","10","10","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","HEO","20","20","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","SEO","15","15","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","AO","10","10","[c]","[c]"
"In post","2021","Black","Legal","EO","65","65","29070","29570"
"In post","2021","Black","Legal","G6","30","30","70880","71290"
"In post","2021","Black","Legal","G7","190","185","57540","56560"
"In post","2021","Black","Legal","HEO","70","70","35870","36160"
"In post","2021","Black","Legal","SCS level","10","10","[c]","[c]"
"In post","2021","Black","Legal","SEO","45","45","41740","42500"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","AO","5","5","[c]","[c]"
"In post","2021","Black","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","G6","5","5","[c]","[c]"
"In post","2021","Black","Medicine","G7","5","5","[c]","[c]"
"In post","2021","Black","Medicine","HEO","10","10","[c]","[c]"
"In post","2021","Black","Medicine","SCS level","25","25","[c]","[c]"
"In post","2021","Black","Medicine","SEO","5","5","[c]","[c]"
"In post","2021","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","AA","410","380","22330","22210"
"In post","2021","Black","Operational Delivery","AO","2185","2030","25310","23520"
"In post","2021","Black","Operational Delivery","EO","1460","1385","28660","28760"
"In post","2021","Black","Operational Delivery","G6","25","25","[c]","[c]"
"In post","2021","Black","Operational Delivery","G7","110","110","53840","53380"
"In post","2021","Black","Operational Delivery","HEO","620","600","34580","34810"
"In post","2021","Black","Operational Delivery","SCS level","10","10","[c]","[c]"
"In post","2021","Black","Operational Delivery","SEO","250","245","43860","41970"
"In post","2021","Black","Operational Delivery","Unknown","790","765","31040","28200"
"In post","2021","Black","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","HEO","5","5","[c]","[c]"
"In post","2021","Black","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","AA","30","25","[c]","[c]"
"In post","2021","Black","Other","AO","125","120","23950","23670"
"In post","2021","Black","Other","EO","185","175","27290","27590"
"In post","2021","Black","Other","G6","10","10","[c]","[c]"
"In post","2021","Black","Other","G7","20","20","[c]","[c]"
"In post","2021","Black","Other","HEO","95","90","33490","34430"
