"Status","Year","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Merseyside","Outside London","35","30","31360","25580"
"In post","2021","Counter Fraud","North Yorkshire","Outside London","20","20","37430","37910"
"In post","2021","Counter Fraud","Northern Ireland","Outside London","10","10","23850","24970"
"In post","2021","Counter Fraud","Northumberland and Tyne and Wear","Outside London","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outer London - South","London","10","10","38460","37480"
"In post","2021","Counter Fraud","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tees Valley and Durham","Outside London","30","30","26490","25310"
"In post","2021","Counter Fraud","West Central Scotland","Outside London","70","65","27810","25310"
"In post","2021","Counter Fraud","West Midlands","Outside London","70","70","37490","37380"
"In post","2021","Counter Fraud","West Wales and The Valleys","Outside London","15","15","31630","26780"
"In post","2021","Counter Fraud","West Yorkshire","Outside London","30","30","38650","39490"
"In post","2021","Digital, Data and Technology","Bedfordshire and Hertfordshire","Outside London","75","75","35900","34770"
"In post","2021","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Outside London","245","240","41480","37910"
"In post","2021","Digital, Data and Technology","Cheshire","Outside London","135","135","41990","41700"
"In post","2021","Digital, Data and Technology","Cornwall and Isles of Scilly","Outside London","10","10","35730","35040"
"In post","2021","Digital, Data and Technology","Cumbria","Outside London","20","20","32400","29180"
"In post","2021","Digital, Data and Technology","Derbyshire and Nottinghamshire","Outside London","180","175","38690","35860"
"In post","2021","Digital, Data and Technology","Devon","Outside London","885","850","37780","38450"
"In post","2021","Digital, Data and Technology","Dorset and Somerset","Outside London","240","235","37890","35340"
"In post","2021","Digital, Data and Technology","East Anglia","Outside London","165","160","34900","31830"
"In post","2021","Digital, Data and Technology","East Wales","Outside London","1100","1080","40000","37410"
"In post","2021","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Outside London","15","15","28510","27310"
"In post","2021","Digital, Data and Technology","Eastern Scotland","Outside London","225","220","38680","35230"
"In post","2021","Digital, Data and Technology","Essex","Outside London","270","250","37480","35000"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1015","985","40710","39170"
"In post","2021","Digital, Data and Technology","Greater Manchester","Outside London","450","445","40570","37460"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","Outside London","375","370","37160","33300"
"In post","2021","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","Outside London","80","75","38280","33150"
"In post","2021","Digital, Data and Technology","Highlands and Islands","Outside London","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - East","London","630","620","49780","45000"
"In post","2021","Digital, Data and Technology","Inner London - West","London","1805","1780","50010","46090"
"In post","2021","Digital, Data and Technology","Kent","Outside London","15","15","35820","32340"
"In post","2021","Digital, Data and Technology","Lancashire","Outside London","55","55","32300","31770"
"In post","2021","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","Outside London","75","75","33840","31740"
"In post","2021","Digital, Data and Technology","Lincolnshire","Outside London","30","30","27800","26670"
"In post","2021","Digital, Data and Technology","Merseyside","Outside London","375","365","38340","34830"
"In post","2021","Digital, Data and Technology","North Eastern Scotland","Outside London","15","15","40860","32980"
"In post","2021","Digital, Data and Technology","North Yorkshire","Outside London","155","155","38890","37720"
"In post","2021","Digital, Data and Technology","Northern Ireland","Outside London","20","20","33860","31810"
"In post","2021","Digital, Data and Technology","Northumberland and Tyne and Wear","Outside London","565","545","39480","38630"
"In post","2021","Digital, Data and Technology","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outer London - South","London","580","570","50740","45800"
"In post","2021","Digital, Data and Technology","Outer London - West and North West","London","280","270","43290","41970"
"In post","2021","Digital, Data and Technology","Overseas","Overseas","20","20","34620","33300"
"In post","2021","Digital, Data and Technology","Shropshire and Staffordshire","Outside London","300","285","42150","38630"
"In post","2021","Digital, Data and Technology","South Yorkshire","Outside London","380","370","44100","41990"
"In post","2021","Digital, Data and Technology","Southern Scotland","Outside London","210","205","40370","38630"
"In post","2021","Digital, Data and Technology","Surrey, East and West Sussex","Outside London","195","185","37450","33370"
"In post","2021","Digital, Data and Technology","Tees Valley and Durham","Outside London","135","130","37570","37100"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Central Scotland","Outside London","155","150","37210","33040"
"In post","2021","Digital, Data and Technology","West Midlands","Outside London","515","500","40490","37000"
"In post","2021","Digital, Data and Technology","West Wales and The Valleys","Outside London","915","895","39140","36030"
"In post","2021","Digital, Data and Technology","West Yorkshire","Outside London","360","345","37640","32080"
"In post","2021","Economics","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","52310","51970"
"In post","2021","Economics","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Economics","East Wales","Outside London","160","160","39490","32180"
"In post","2021","Economics","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","25","25","45380","48370"
"In post","2021","Economics","Greater Manchester","Outside London","30","30","37820","31810"
"In post","2021","Economics","Hampshire and Isle of Wight","Outside London","10","10","42450","42560"
"In post","2021","Economics","Inner London - East","London","205","200","55390","55860"
"In post","2021","Economics","Inner London - West","London","1535","1510","46890","42020"
"In post","2021","Economics","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North Yorkshire","Outside London","15","15","45510","47640"
