"Status","Year","Parent_department","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Operational Delivery","London","HEO","80","75","33190","33120"
"In post","2021","Attorney General's Departments","Operational Delivery","London","SCS level","10","10","93470","83100"
"In post","2021","Attorney General's Departments","Operational Delivery","London","SEO","35","35","40930","39750"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","AO","1090","995","22010","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","EO","865","790","27800","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","G6","20","20","71460","69920"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","G7","45","45","53750","50850"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","HEO","180","175","32180","32060"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","SEO","55","55","39740","39030"
"In post","2021","Attorney General's Departments","Other","London","AO","50","50","23790","23800"
"In post","2021","Attorney General's Departments","Other","London","EO","220","210","27600","27350"
"In post","2021","Attorney General's Departments","Other","London","G6","15","15","66620","65680"
"In post","2021","Attorney General's Departments","Other","London","G7","20","20","53310","51830"
"In post","2021","Attorney General's Departments","Other","London","HEO","80","80","32040","31180"
"In post","2021","Attorney General's Departments","Other","London","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","London","SEO","25","25","39070","38850"
"In post","2021","Attorney General's Departments","Other","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","London","AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","London","EO","10","10","28260","27850"
"In post","2021","Attorney General's Departments","Policy","London","G6","10","10","69270","67320"
"In post","2021","Attorney General's Departments","Policy","London","G7","30","30","57410","54970"
"In post","2021","Attorney General's Departments","Policy","London","HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","London","SEO","10","10","40580","40350"
"In post","2021","Attorney General's Departments","Policy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","London","SEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","AO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","EO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","G6","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","G7","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","HEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","London","G7","15","10","56350","56340"
"In post","2021","Cabinet Office","Policy","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","London","AO","135","130","24470","24490"
"In post","2021","Cabinet Office","Unknown","London","EO","585","575","27970","27500"
"In post","2021","Cabinet Office","Unknown","London","G6","630","620","69830","66720"
"In post","2021","Cabinet Office","Unknown","London","G7","1705","1670","56120","54700"
"In post","2021","Cabinet Office","Unknown","London","HEO","2115","2105","32390","32000"
"In post","2021","Cabinet Office","Unknown","London","SCS level","755","740","94650","80420"
"In post","2021","Cabinet Office","Unknown","London","SEO","485","480","41420","40600"
"In post","2021","Cabinet Office","Unknown","Outside London","AO","390","360","20890","20800"
"In post","2021","Cabinet Office","Unknown","Outside London","EO","260","245","25580","25680"
"In post","2021","Cabinet Office","Unknown","Outside London","G6","180","180","73540","68550"
"In post","2021","Cabinet Office","Unknown","Outside London","G7","395","385","52340","51560"
"In post","2021","Cabinet Office","Unknown","Outside London","HEO","710","690","31690","32000"
"In post","2021","Cabinet Office","Unknown","Outside London","SCS level","190","190","82130","72000"
"In post","2021","Cabinet Office","Unknown","Outside London","SEO","210","205","38900","38890"
"In post","2021","Cabinet Office","Unknown","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","AO","20","20","21040","20800"
"In post","2021","Cabinet Office","Unknown","Unknown","EO","25","25","26220","27500"
"In post","2021","Cabinet Office","Unknown","Unknown","G6","20","20","67670","64500"
"In post","2021","Cabinet Office","Unknown","Unknown","G7","55","55","53510","54700"
"In post","2021","Cabinet Office","Unknown","Unknown","HEO","425","425","30950","32000"
"In post","2021","Cabinet Office","Unknown","Unknown","SCS level","20","20","95890","76390"
"In post","2021","Cabinet Office","Unknown","Unknown","SEO","25","25","40150","40600"
"In post","2021","Chancellor's other departments","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","London","G7","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","London","HEO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","London","EO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","London","G7","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","London","HEO","10","10","38860","39450"
"In post","2021","Chancellor's other departments","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","London","SEO","10","10","47680","46090"
"In post","2021","Chancellor's other departments","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","London","EO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","London","SEO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","London","AO","10","10","22610","21980"
"In post","2021","Chancellor's other departments","Other","London","EO","20","20","29380","28510"
"In post","2021","Chancellor's other departments","Other","London","G6","95","85","91470","86590"
"In post","2021","Chancellor's other departments","Other","London","G7","35","35","55740","57250"
"In post","2021","Chancellor's other departments","Other","London","HEO","40","40","36960","36590"
"In post","2021","Chancellor's other departments","Other","London","SCS level","10","10","126820","117830"
"In post","2021","Chancellor's other departments","Other","London","SEO","35","35","45990","45530"
"In post","2021","Chancellor's other departments","Other","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Outside London","SEO","10","10","41850","40290"
"In post","2021","Chancellor's other departments","Project Delivery","London","G7","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Outside London","HEO","15","15","29610","29160"
"In post","2021","Charity Commission","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Outside London","SEO","20","20","39120","37910"
"In post","2021","Charity Commission","Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","London","G7","5","5","[c]","[c]"
"In post","2021","Charity Commission","Legal","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Outside London","G6","[c]","[c]","[c]","[c]"
