"Status","Year","Age","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","Counter Fraud","London","75","70","46190","41970"
"In post","2021","40-49","Counter Fraud","Outside London","140","135","33990","34230"
"In post","2021","40-49","Digital, Data and Technology","London","910","895","53640","52500"
"In post","2021","40-49","Digital, Data and Technology","Outside London","2800","2740","41990","38630"
"In post","2021","40-49","Digital, Data and Technology","Overseas","5","5","[c]","[c]"
"In post","2021","40-49","Economics","London","170","165","67690","66280"
"In post","2021","40-49","Economics","Outside London","60","55","55120","57070"
"In post","2021","40-49","Economics","Overseas","5","5","[c]","[c]"
"In post","2021","40-49","Finance","London","700","685","52940","50420"
"In post","2021","40-49","Finance","Outside London","1735","1650","39990","37000"
"In post","2021","40-49","Finance","Overseas","10","10","[c]","[c]"
"In post","2021","40-49","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","London","625","595","50890","46070"
"In post","2021","40-49","Human Resources","Outside London","1455","1375","37740","33650"
"In post","2021","40-49","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Inspector of Education and Training","London","75","75","64000","64500"
"In post","2021","40-49","Inspector of Education and Training","Outside London","195","190","66440","74730"
"In post","2021","40-49","Intelligence Analysis","London","305","290","43560","37980"
"In post","2021","40-49","Intelligence Analysis","Outside London","525","505","31300","27770"
"In post","2021","40-49","Intelligence Analysis","Overseas","20","20","49580","46320"
"In post","2021","40-49","Internal Audit","London","55","50","56900","54130"
"In post","2021","40-49","Internal Audit","Outside London","130","125","43590","42260"
"In post","2021","40-49","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","International Trade","London","165","160","52320","51970"
"In post","2021","40-49","International Trade","Outside London","45","45","40270","32120"
"In post","2021","40-49","International Trade","Overseas","45","45","62610","60080"
"In post","2021","40-49","Knowledge and Information Management","London","195","185","44020","39630"
"In post","2021","40-49","Knowledge and Information Management","Outside London","405","385","38240","37000"
"In post","2021","40-49","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","London","1350","1240","58790","60710"
"In post","2021","40-49","Legal","Outside London","2140","1980","45780","48080"
"In post","2021","40-49","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Medicine","London","115","100","74140","75100"
"In post","2021","40-49","Medicine","Outside London","590","525","53430","41720"
"In post","2021","40-49","Medicine","Overseas","20","20","47840","44500"
"In post","2021","40-49","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Operational Delivery","London","5765","5430","37020","32840"
"In post","2021","40-49","Operational Delivery","Outside London","33710","31190","29010","26160"
"In post","2021","40-49","Operational Delivery","Overseas","95","95","48310","46000"
"In post","2021","40-49","Operational Delivery","Unknown","30","25","42650","43710"
"In post","2021","40-49","Operational Research","London","60","55","59100","59230"
"In post","2021","40-49","Operational Research","Outside London","165","155","46240","46130"
"In post","2021","40-49","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other","London","855","820","47800","41010"
"In post","2021","40-49","Other","Outside London","3360","3220","30380","26670"
"In post","2021","40-49","Other","Overseas","150","150","52630","46620"
"In post","2021","40-49","Other","Unknown","385","385","40220","35380"
"In post","2021","40-49","Planning","London","20","20","53280","53760"
"In post","2021","40-49","Planning","Outside London","35","30","48460","47000"
"In post","2021","40-49","Planning Inspectors","Outside London","100","95","54290","47660"
"In post","2021","40-49","Policy","London","3880","3695","57540","57400"
"In post","2021","40-49","Policy","Outside London","2095","1995","44620","40980"
"In post","2021","40-49","Policy","Overseas","570","570","54650","56130"
"In post","2021","40-49","Policy","Unknown","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","London","945","915","54600","54760"
"In post","2021","40-49","Project Delivery","Outside London","3205","3120","42240","39980"
"In post","2021","40-49","Project Delivery","Overseas","40","40","45270","43440"
"In post","2021","40-49","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Property","London","265","255","44940","38430"
"In post","2021","40-49","Property","Outside London","1215","1170","36100","33300"
"In post","2021","40-49","Property","Overseas","50","50","39860","38220"
"In post","2021","40-49","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Psychology","London","15","15","50070","50570"
"In post","2021","40-49","Psychology","Outside London","285","265","44290","45830"
"In post","2021","40-49","Science and Engineering","London","360","340","51400","51980"
"In post","2021","40-49","Science and Engineering","Outside London","2680","2550","42420","40850"
"In post","2021","40-49","Science and Engineering","Overseas","25","25","44730","45610"
"In post","2021","40-49","Science and Engineering","Unknown","20","20","28140","27370"
"In post","2021","40-49","Security","London","260","260","43560","42440"
"In post","2021","40-49","Security","Outside London","1410","1400","31670","31230"
"In post","2021","40-49","Security","Overseas","15","15","37320","34400"
"In post","2021","40-49","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Social Research","London","95","90","56220","57460"
"In post","2021","40-49","Social Research","Outside London","135","125","43140","47000"
"In post","2021","40-49","Statistics","London","190","180","54300","55540"
"In post","2021","40-49","Statistics","Outside London","230","220","46810","47000"
"In post","2021","40-49","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Tax","London","385","370","41860","36180"
"In post","2021","40-49","Tax","Outside London","2995","2860","33720","31810"
"In post","2021","40-49","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","London","3725","3520","46160","36160"
"In post","2021","40-49","Unknown","Outside London","24385","22150","30470","27570"
"In post","2021","40-49","Unknown","Overseas","95","95","55020","52400"
"In post","2021","40-49","Unknown","Unknown","255","240","33690","27570"
"In post","2021","40-49","Veterinarian","London","20","15","51530","53280"
"In post","2021","40-49","Veterinarian","Outside London","150","145","43230","37980"
"In post","2021","50-59","Commercial","London","245","245","49490","46250"
"In post","2021","50-59","Commercial","Outside London","1245","1220","43350","40580"
"In post","2021","50-59","Commercial","Overseas","10","10","55580","54310"
"In post","2021","50-59","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","50-59","Communications","London","275","270","50070","45200"
"In post","2021","50-59","Communications","Outside London","460","445","37700","34190"
"In post","2021","50-59","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Corporate Finance","London","15","15","62300","51270"
"In post","2021","50-59","Corporate Finance","Outside London","20","20","44500","46080"
"In post","2021","50-59","Counter Fraud","London","115","110","48580","41580"
"In post","2021","50-59","Counter Fraud","Outside London","185","180","35900","34730"
"In post","2021","50-59","Digital, Data and Technology","London","810","800","51360","47730"
"In post","2021","50-59","Digital, Data and Technology","Outside London","2575","2510","41840","38630"
"In post","2021","50-59","Digital, Data and Technology","Overseas","5","5","[c]","[c]"
"In post","2021","50-59","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Economics","London","100","100","67770","68880"
"In post","2021","50-59","Economics","Outside London","35","30","54190","51970"
"In post","2021","50-59","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Finance","London","665","660","50790","45200"
"In post","2021","50-59","Finance","Outside London","2095","1970","38370","33750"
"In post","2021","50-59","Finance","Overseas","15","15","37020","33300"
"In post","2021","50-59","Human Resources","London","670","655","50410","45960"
"In post","2021","50-59","Human Resources","Outside London","1680","1600","36950","33300"
"In post","2021","50-59","Human Resources","Overseas","10","10","37680","33300"
"In post","2021","50-59","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Inspector of Education and Training","London","95","95","68010","64500"
"In post","2021","50-59","Inspector of Education and Training","Outside London","300","290","67030","74730"
"In post","2021","50-59","Intelligence Analysis","London","345","335","40820","37260"
"In post","2021","50-59","Intelligence Analysis","Outside London","510","495","30770","27660"
"In post","2021","50-59","Intelligence Analysis","Overseas","10","10","45230","39930"
"In post","2021","50-59","Internal Audit","London","85","80","56830","53670"
"In post","2021","50-59","Internal Audit","Outside London","235","230","45800","42720"
"In post","2021","50-59","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","International Trade","London","170","165","53740","51970"
"In post","2021","50-59","International Trade","Outside London","70","70","43080","38630"
"In post","2021","50-59","International Trade","Overseas","25","25","57980","54470"
"In post","2021","50-59","Knowledge and Information Management","London","255","245","41900","37870"
"In post","2021","50-59","Knowledge and Information Management","Outside London","505","485","36260","33350"
"In post","2021","50-59","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Legal","London","1190","1135","59320","61860"
"In post","2021","50-59","Legal","Outside London","2315","2160","47050","46530"
"In post","2021","50-59","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","50-59","Medicine","London","115","105","91030","89250"
"In post","2021","50-59","Medicine","Outside London","605","550","60750","44500"
"In post","2021","50-59","Medicine","Overseas","20","15","61440","59380"
"In post","2021","50-59","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Operational Delivery","London","7385","7045","36090","30850"
"In post","2021","50-59","Operational Delivery","Outside London","43880","40285","29220","26780"
"In post","2021","50-59","Operational Delivery","Overseas","120","115","51310","54570"
"In post","2021","50-59","Operational Delivery","Unknown","60","55","40820","43150"
"In post","2021","50-59","Operational Research","London","45","45","61100","65500"
"In post","2021","50-59","Operational Research","Outside London","150","145","47270","46130"
"In post","2021","50-59","Other","London","1035","985","40140","32520"
"In post","2021","50-59","Other","Outside London","6180","5990","29020","23850"
"In post","2021","50-59","Other","Overseas","100","100","53360","46620"
"In post","2021","50-59","Other","Unknown","510","510","42690","37300"
"In post","2021","50-59","Planning","London","20","20","57770","60250"
"In post","2021","50-59","Planning","Outside London","20","20","45630","42360"
"In post","2021","50-59","Planning Inspectors","Outside London","120","115","59220","58810"
"In post","2021","50-59","Policy","London","3125","3055","52900","53200"
"In post","2021","50-59","Policy","Outside London","1985","1920","44790","40300"
"In post","2021","50-59","Policy","Overseas","415","410","60090","59160"
"In post","2021","50-59","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Project Delivery","London","955","935","55020","52580"
"In post","2021","50-59","Project Delivery","Outside London","3820","3725","43080","40580"
"In post","2021","50-59","Project Delivery","Overseas","40","40","45790","45200"
"In post","2021","50-59","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","50-59","Property","London","410","400","46360","44350"
"In post","2021","50-59","Property","Outside London","2125","2065","36570","33300"
"In post","2021","50-59","Property","Overseas","75","75","39630","37940"
"In post","2021","50-59","Property","Unknown","10","10","[c]","[c]"
"In post","2021","50-59","Psychology","London","5","5","[c]","[c]"
"In post","2021","50-59","Psychology","Outside London","135","130","38580","30450"
"In post","2021","50-59","Science and Engineering","London","295","280","54380","51480"
"In post","2021","50-59","Science and Engineering","Outside London","3305","3205","41790","40790"
"In post","2021","50-59","Science and Engineering","Overseas","25","25","50650","48480"
"In post","2021","50-59","Science and Engineering","Unknown","25","25","27210","27370"
"In post","2021","50-59","Security","London","385","380","38520","35440"
"In post","2021","50-59","Security","Outside London","2580","2550","31840","28550"
"In post","2021","50-59","Security","Overseas","40","40","38320","34350"
"In post","2021","50-59","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Social Research","London","40","40","58270","58130"
"In post","2021","50-59","Social Research","Outside London","85","85","46330","47000"
"In post","2021","50-59","Statistics","London","125","120","54740","56240"
"In post","2021","50-59","Statistics","Outside London","160","155","44340","39850"
"In post","2021","50-59","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Tax","London","905","880","43270","39800"
"In post","2021","50-59","Tax","Outside London","3665","3480","35590","31810"
"In post","2021","50-59","Unknown","London","4320","4115","41460","31880"
"In post","2021","50-59","Unknown","Outside London","33695","30640","29720","27570"
"In post","2021","50-59","Unknown","Overseas","65","65","40320","33300"
"In post","2021","50-59","Unknown","Unknown","355","335","34100","27570"
"In post","2021","50-59","Veterinarian","London","15","15","55720","52070"
"In post","2021","50-59","Veterinarian","Outside London","95","95","51730","51760"
"In post","2021","60-64","Commercial","London","60","55","51980","44980"
"In post","2021","60-64","Commercial","Outside London","250","215","41560","40080"
"In post","2021","60-64","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Communications","London","40","40","46240","42540"
"In post","2021","60-64","Communications","Outside London","85","75","34320","30200"
"In post","2021","60-64","Communications","Overseas","[c]","[c]","[c]","[c]"
