"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Economics","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","EO","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Operational Delivery","AA","45","40","19400","19060"
"In post","2021","16-19","Declared non-disabled","Operational Delivery","AO","125","115","21960","21430"
"In post","2021","16-19","Declared non-disabled","Operational Delivery","EO","15","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other","AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Policy","EO","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Science and Engineering","AA","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Science and Engineering","AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Science and Engineering","EO","35","35","18940","17780"
"In post","2021","16-19","Declared non-disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Tax","AO","50","45","20140","20140"
"In post","2021","16-19","Declared non-disabled","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","AA","40","40","20610","21150"
"In post","2021","16-19","Declared non-disabled","Unknown","AO","145","145","21290","21010"
"In post","2021","16-19","Declared non-disabled","Unknown","EO","40","40","28190","27570"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Other","EO","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","EO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","AO","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","AA","40","35","18740","18060"
"In post","2021","16-19","Unknown","Operational Delivery","AO","165","160","21440","21430"
"In post","2021","16-19","Unknown","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","AA","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Other","EO","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Unknown","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Policy","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","EO","30","30","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Security","AA","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Tax","AO","90","90","20140","20140"
"In post","2021","16-19","Unknown","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","AA","25","25","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","AO","40","40","20990","20140"
"In post","2021","16-19","Unknown","Unknown","EO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","EO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","HEO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","EO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","HEO","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","EO","40","40","25540","25000"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","HEO","35","35","32370","32000"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","SEO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","G7","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","HEO","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","AO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","EO","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","G7","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","AO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","EO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","G7","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","HEO","35","35","31460","31900"
"In post","2021","20-29","Declared disabled","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","EO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","International Trade","G7","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","International Trade","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","International Trade","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","AO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","EO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","EO","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","G7","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Medicine","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Delivery","AA","130","130","19840","20600"
"In post","2021","20-29","Declared disabled","Operational Delivery","AO","665","645","23400","22130"
"In post","2021","20-29","Declared disabled","Operational Delivery","EO","285","280","26370","25560"
"In post","2021","20-29","Declared disabled","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Delivery","G7","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Delivery","HEO","105","105","31710","31810"
"In post","2021","20-29","Declared disabled","Operational Delivery","SEO","35","35","38540","38640"
"In post","2021","20-29","Declared disabled","Operational Delivery","Unknown","220","215","25510","23840"
"In post","2021","20-29","Declared disabled","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Research","HEO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Research","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","AA","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","AO","35","35","21630","20920"
"In post","2021","20-29","Declared disabled","Other","EO","60","60","24610","25190"
"In post","2021","20-29","Declared disabled","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","HEO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Policy","AO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Policy","EO","85","85","27710","27850"
"In post","2021","20-29","Declared disabled","Policy","G6","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Policy","G7","100","95","53500","53380"
"In post","2021","20-29","Declared disabled","Policy","HEO","265","265","33240","33230"
"In post","2021","20-29","Declared disabled","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Policy","SEO","100","95","39940","40050"
"In post","2021","20-29","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","EO","40","40","25090","25560"
"In post","2021","20-29","Declared disabled","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","G7","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","HEO","65","60","33020","33210"
"In post","2021","20-29","Declared disabled","Project Delivery","SEO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","AO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","EO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Psychology","EO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Psychology","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Science and Engineering","AA","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Science and Engineering","AO","35","35","21930","21050"
"In post","2021","20-29","Declared disabled","Science and Engineering","EO","55","55","25770","26370"
"In post","2021","20-29","Declared disabled","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Science and Engineering","HEO","75","70","29850","28650"
"In post","2021","20-29","Declared disabled","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Science and Engineering","SEO","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","Science and Engineering","Unknown","20","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","AO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","EO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","G7","[c]","[c]","[c]","[c]"
