"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Buckinghamshire CC","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Central Hampshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","AA/AO","Heterosexual / straight","40","40","21060","21150"
"In post","2021","16-19","City of Edinburgh","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Croydon","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","AA/AO","Unknown","[c]","[c]","[c]","[c]"
