"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Inspector of Education and Training","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","Heterosexual / straight","125","115","33780","30090"
"In post","2021","Asian","Intelligence Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","Heterosexual / straight","40","40","28580","25990"
"In post","2021","Asian","Intelligence Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Heterosexual / straight","40","40","51500","50750"
"In post","2021","Asian","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
